134.,2013-07-24 20:14:30,125.96,60%,"Don't practice too much at first, or you're likely to develo...",No win (2 of 3)
133.,2013-07-24 20:11:08,166.25,100%,Typing competitions provided another test of the Qwerty keyb...,Win (1 of 3)
132.,2013-07-24 20:10:03,107.15,46%,Sholes consulted with an educator who helped him analyze the...,No win (2 of 4)
131.,2013-07-24 20:08:17,165.19,100%,"The Orient was almost a European invention, and had been sin...",Win (1 of 2)
130.,2013-07-24 20:06:17,89.23,66%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",No win (3 of 3)
129.,2013-07-23 13:09:18,165.41,100%,There's a piece of Maria in every song that I sing. And the ...,Win (1 of 5)
128.,2013-07-23 13:04:03,174.13,100%,"Every craft and every investigation, and likewise every acti...",Win (1 of 4)
127.,2013-07-23 13:02:50,158.77,100%,"A little boy went out to play. When he opened his door, he s...",Win (1 of 5)
126.,2013-07-23 13:01:48,170.91,100%,Instead of hiring workers during the peak hog kill in the wi...,No win (2 of 4)
125.,2013-07-23 13:00:30,142.15,100%,"The less you do with the controls, the less chance of error....",No win (3 of 5)
124.,2013-07-23 12:59:49,121.42,100%,It was one of those days when it's a minute away from snowin...,No win (2 of 2)
123.,2013-07-23 12:58:58,68.92,82%,"What good's a reward if you ain't around to use it? Besides,...",No win (2 of 2)
122.,2013-07-23 12:57:59,127.98,100%,Do I really look like a guy with a plan? You know what I am?...,No win (2 of 4)
121.,2013-07-22 23:57:50,82.96,93%,And I will strike down upon thee with great vengeance and fu...,No win (3 of 3)
120.,2013-07-22 23:56:57,117.30,100%,"I rejected those answers; instead, I chose something differe...",No win (3 of 3)
119.,2013-07-22 23:55:48,77.22,100%,"A computer needs a manager to administer its operations, jus...",No win (3 of 4)
118.,2013-07-22 23:54:53,139.42,100%,"Many people limit themselves to leading boring, dull lives b...",Win (1 of 4)
117.,2013-07-22 23:53:43,137.33,100%,Aztec rule was based upon a system of tribute and fear over ...,No win (1 of 1)
116.,2013-07-22 23:52:14,146.12,100%,Involuntarily I glanced seaward - and distinguished nothing ...,Win (1 of 4)
115.,2013-07-22 23:51:02,180.05,100%,"If you are given too many choices, if you are forced to cons...",Win (1 of 3)
114.,2013-07-22 23:49:54,129.35,100%,"Let's sort the buyers from the spiers, the needy from the gr...",No win (2 of 2)
113.,2013-07-22 23:49:06,134.42,100%,You've got a way to keep me on your side. You give me cause ...,Win (1 of 2)
112.,2013-07-22 23:48:24,107.26,100%,Be impeccable with your word - speak with integrity. Say onl...,No win (3 of 3)
111.,2013-07-22 22:26:57,92.05,91%,"Ezekiel twenty-five, seventeen: The path of the righteous ma...",No win (3 of 3)
110.,2013-07-22 19:07:54,82.01,93%,"I rejected those answers; instead, I chose something differe...",No win (2 of 3)
109.,2013-07-22 18:59:39,138.94,100%,"There was me, that is Alex, and my three droogs, that is Pet...",Win (1 of 2)
108.,2013-07-22 18:58:11,153.37,100%,Well I woke in mid-afternoon cause that's when it all hurts ...,Win (1 of 4)
107.,2013-07-22 18:54:27,112.13,100%,"Whether you're a student, secretary, office administrator, m...",Win (1 of 3)
106.,2013-07-22 18:53:37,94.70,100%,"The time I waited seemed endless, and I felt doubts and fear...",Win (1 of 5)
105.,2013-07-22 18:52:24,149.27,100%,"Everyone said I was daft to build a castle on a swamp, but I...",Win (1 of 4)
104.,2013-07-22 18:50:27,150.97,100%,We live in a charmed world. If we have money we can buy lite...,Win (1 of 2)
103.,2013-07-22 18:49:10,102.14,95%,It takes more than a calorie of fossil fuel energy to produc...,Win (1 of 3)
102.,2013-07-22 18:47:22,142.69,100%,"Double, double, toil and trouble; fire burn, and cauldron bu...",No win (2 of 4)
101.,2013-07-22 18:44:39,131.33,100%,I've flown seven million miles. And I've been waiting on peo...,Win (1 of 3)
100.,2013-07-22 18:41:38,121.69,100%,The example of painting can teach us not only how to manage ...,Win (1 of 5)
99.,2013-07-20 19:43:12,75.90,92%,"However, let us leave aside the philosophical, social, and e...",Win (1 of 3)
98.,2013-07-20 19:41:34,82.46,90%,"Because they're at the bottom of the scale, nerds are a safe...",No win (2 of 3)
97.,2013-07-20 19:40:38,71.80,87%,"A zealot might be, for instance, an individual with a person...",No win (3 of 4)
96.,2013-07-20 19:31:55,78.64,90%,"The day dawned bleak and chill, a moving wall of gray light ...",Win (1 of 3)
95.,2013-07-19 12:03:09,93.04,91%,I've been looking so long at these pictures of you that I al...,No win (2 of 3)
94.,2013-07-19 12:02:21,108.38,96%,"Ever since I was a child, folks have thought they had me peg...",No win (2 of 5)
93.,2013-07-19 12:01:54,64.22,86%,"As the netted bag says, this potato was grown in Idaho, that...",No win (3 of 3)
92.,2013-07-19 12:00:39,83.68,88%,"Races are not won in the first corner; however, they are oft...",No win (3 of 3)
91.,2013-07-19 11:59:34,93.81,93%,There are still some places where you can get all you can ea...,Win (1 of 2)
90.,2013-07-19 11:56:25,95.03,93%,There's a piece of Maria in every song that I sing. And the ...,Win (1 of 5)
89.,2013-07-19 11:55:41,79.97,89%,"I hope that whoever you are, you escape this place. I hope t...",No win (2 of 3)
88.,2013-07-19 11:54:37,78.08,91%,"My darling, you have to be standing up in order to be able t...",No win (2 of 5)
87.,2013-07-19 11:53:28,98.72,93%,"But no matter how effective the lesson was, I never really u...",Win (1 of 5)
86.,2013-07-19 11:47:53,89.52,96%,"The world of typing has changed. In the 1970s, every busines...",Win (1 of 5)
85.,2013-07-19 11:47:02,81.73,93%,"Padre, these are subtleties! We are not concerned with motiv...",Win (1 of 5)
84.,2013-07-19 11:45:42,86.93,94%,Groups of illegal miners smuggle themselves down in freight ...,Win (1 of 5)
83.,2013-07-19 11:42:49,68.63,91%,"The world of typing has changed. In the 1970s, every busines...",No win (3 of 5)
82.,2013-07-19 00:06:49,71.98,88%,The inner surface of the cell wall touches the cytoplasmic m...,Win (1 of 4)
81.,2013-07-19 00:05:54,98.64,93%,"I'm so glad you came, I'm so glad you remembered, the walkin...",Win (1 of 5)
80.,2013-07-19 00:05:15,82.69,92%,But if in efficient causes it is possible to go on to infini...,No win (3 of 4)
79.,2013-07-19 00:04:17,68.82,91%,Buddhism addresses two major types of meditation. Vipassana ...,No win (4 of 5)
78.,2013-07-18 14:34:41,72.80,88%,At the time when Britain faced a plunge into chaos and darkn...,No win (2 of 2)
77.,2013-07-18 14:25:16,76.42,87%,Is it really necessary to send that email? The more emails y...,No win (2 of 3)
76.,2013-07-18 14:23:40,69.85,87%,In order to become an elf I filled out ten pages' worth of f...,No win (2 of 5)
75.,2013-07-18 14:21:45,96.88,97%,The alternative to binge travel - the mini retirement - enta...,No win (2 of 4)
74.,2013-07-18 14:20:31,70.82,85%,Many wines have more than 14 percent alcohol because the win...,No win (2 of 2)
73.,2013-07-18 14:18:01,111.83,97%,"My name is Turkish. Funny name for an Englishman, I know. My...",Win (1 of 5)
72.,2013-07-18 14:16:51,89.53,92%,"Everyone said I was daft to build a castle on a swamp, but I...",Win (1 of 2)
71.,2013-07-18 14:15:29,106.56,97%,Is it sweeter to exist only in the mind or to exist both in ...,Win (1 of 5)
70.,2013-07-16 16:58:45,71.96,88%,What? A swallow carrying a coconut? It's not a question of w...,Win (1 of 3)
69.,2013-07-16 16:57:48,55.27,81%,"Anyway, like I was saying, shrimp is the fruit of the sea. Y...",No win (3 of 4)
68.,2013-07-16 16:56:46,63.75,87%,Is it really necessary to send that email? The more emails y...,No win (3 of 4)
67.,2013-07-16 15:35:38,101.18,91%,The treatment of atoms with more than one electron requires ...,Win (1 of 5)
66.,2013-07-16 15:31:40,85.51,100%,"I believe in love, and I know that you do too. And I believe...",No win (2 of 3)
65.,2013-07-16 15:29:15,107.94,100%,"Picking up the pieces, half alive in a nine 'til five, vacan...",Win (1 of 4)
64.,2013-07-16 15:26:35,107.51,100%,Let me tell you why you're here. You're here because you kno...,No win (2 of 3)
63.,2013-07-16 15:25:08,53.30,56%,"Keying text quickly is important, but it is more important t...",No win (4 of 4)
62.,2013-07-16 15:24:02,61.08,80%,"Whenever you watch the mind, you withdraw consciousness from...",No win (2 of 3)
61.,2013-07-16 15:17:06,65.73,97%,"And in the world a heart of darkness, a firezone, where poet...",Win (1 of 3)
60.,2013-07-16 15:15:06,106.99,100%,San Francisco in the middle sixties was a very special time ...,Win (1 of 5)
59.,2013-07-16 15:13:29,98.21,100%,"Historically, most wines contained less than 14 percent alco...",Win (1 of 2)
58.,2013-07-16 14:58:45,72.12,91%,And I don't believe in the existence of angels but looking a...,Win (1 of 5)
57.,2013-07-16 14:54:47,40.51,86%,"After removal from the oven, the pizza is sliced and plated ...",No win (4 of 4)
56.,2013-07-16 14:48:44,59.76,88%,Since every piece of matter in the Universe is in some way a...,No win (5 of 5)
55.,2013-07-15 16:51:23,65.91,80%,"Keying text quickly is important, but it is more important t...",No win (3 of 5)
