140.,2017-08-29 20:24:05,53.58,94%,"I walk a mile with a smile and I don't know, I don't care wh...",Win (1 of 5)
139.,2017-06-28 17:11:30,43.70,94%,You can know the name of a bird in all the languages of the ...,No win (5 of 5)
138.,2017-06-28 17:09:41,49.12,96%,"Yes, not only humans but also every other organism in the co...",No win (2 of 3)
137.,2017-06-27 19:43:57,48.74,96%,I'll say God seems to have a kind of laid-back management st...,No win (4 of 5)
136.,2017-06-27 19:42:15,37.16,91%,Even the best-designed chair won't make up for bad posture. ...,No win (2 of 3)
135.,2017-06-27 19:40:51,39.98,93%,I'll say God seems to have a kind of laid-back management st...,No win (4 of 4)
134.,2017-06-27 19:36:57,52.50,95%,What is your obsession with this money? My father died when ...,Win (1 of 2)
133.,2017-06-27 19:35:11,51.58,95%,For once I can touch what my heart used to dream of long bef...,No win (2 of 5)
132.,2017-06-27 19:33:55,49.22,96%,What should have been swift revenge turned into an all out w...,No win (2 of 3)
131.,2016-02-05 10:39:38,39.99,87%,The pickpockets' profession demands extraordinary nimbleness...,No win (4 of 5)
130.,2016-02-05 10:38:16,49.98,91%,Sparkling wines are wines that contain carbon dioxide bubble...,No win (4 of 4)
129.,2016-02-05 10:36:48,47.86,87%,Writing is hard work. A clear sentence is no accident. Very ...,Win (1 of 5)
128.,2015-12-15 10:53:00,34.16,81%,"The boy has not a real choice, has he? Self-interest, the fe...",No win (3 of 3)
127.,2015-12-15 10:51:02,41.28,84%,"Webster defines intelligence as, ""the ability to apprehend i...",No win (3 of 5)
126.,2015-12-15 10:49:16,50.15,86%,"Ever since I was a child, folks have thought they had me peg...",No win (2 of 5)
125.,2015-12-15 10:48:10,53.95,91%,Although his voice was also broken by uncertainty and his ha...,No win (3 of 5)
124.,2015-12-15 10:47:08,51.18,92%,"Because some men aren't looking for anything logical, like m...",Win (1 of 5)
123.,2015-12-15 10:46:03,53.31,90%,One essential rule: make sure the joke is the last possible ...,No win (2 of 4)
122.,2015-12-15 10:44:24,61.50,92%,And in the dream I knew that he was goin' on ahead and that ...,Win (1 of 5)
121.,2015-12-15 10:43:25,45.79,90%,"There are men who possess a peculiarly strong visual memory,...",No win (4 of 4)
120.,2015-12-15 10:41:55,40.67,81%,Many rivers to cross but I can't seem to find my way over. W...,No win (2 of 5)
119.,2015-12-07 10:28:16,43.11,89%,"To evaluate an option from the other side's point of view, c...",No win (3 of 5)
118.,2015-12-04 10:46:32,53.76,88%,"OK, let me get something straight: this is a journal, not a ...",No win (2 of 3)
117.,2015-12-04 10:43:47,48.88,91%,You're not like the others. I've seen a few; I know. When I ...,Win (1 of 2)
116.,2015-12-04 10:40:29,45.43,82%,"I never wanted to become someone like him. So secure, conten...",No win (4 of 4)
115.,2015-12-04 10:38:56,46.67,89%,When considering the cultural significance of this intriguin...,Win (1 of 5)
114.,2015-12-03 17:01:02,49.12,91%,With the coming of Dean Moriarty began the part of my life y...,No win (2 of 5)
113.,2015-12-02 10:42:08,42.32,82%,I am learning about twenty new Italian words a day. Where am...,No win (2 of 5)
112.,2015-12-02 10:37:44,49.52,89%,"Look and think as far ahead as possible. Often, a driver's n...",Win (1 of 4)
111.,2015-12-02 10:35:25,44.25,86%,"When I was your age, television was called books. And this i...",No win (3 of 3)
110.,2015-12-02 10:33:14,45.95,87%,The number one challenge I've seen with myself and with othe...,No win (2 of 4)
109.,2015-11-30 16:09:37,40.50,85%,"Hello, hello, hello, is there anybody in there? Just nod if ...",Win (1 of 4)
108.,2015-11-30 16:07:47,42.79,88%,I don't believe in painted roses or bleeding hearts while bu...,No win (5 of 5)
107.,2015-11-28 22:18:56,35.28,82%,"I don't want tickets, I need you to find me a painting, a cl...",No win (5 of 5)
106.,2015-11-28 12:35:39,39.92,88%,While it may hold true that the final few seconds of a bike ...,Win (1 of 3)
105.,2015-11-28 12:34:11,46.10,89%,To drive out of the Central Valley of California on a hot da...,No win (2 of 5)
104.,2015-11-28 12:32:47,29.33,87%,The most precious treasures we have in life are the images w...,No win (3 of 3)
103.,2015-11-28 12:30:41,40.71,84%,"Take my love, take my land, take me where I cannot stand. I ...",No win (3 of 4)
102.,2015-11-28 10:52:10,39.40,83%,"Every craft and every investigation, and likewise every acti...",No win (4 of 5)
101.,2015-11-27 22:41:51,38.32,78%,"And you know it's time to go, through the sleet and driving ...",No win (3 of 3)
100.,2015-11-25 21:59:30,49.08,88%,Any finite number divided by infinity is as near to nothing ...,No win (5 of 5)
99.,2015-11-25 21:57:54,50.36,92%,"Combat for a naval aviator is fought in short, violent burst...",Win (1 of 2)
98.,2015-11-25 21:56:24,37.27,84%,Having endured the racial turmoil of the Civil Rights Moveme...,No win (3 of 3)
97.,2015-11-25 13:37:16,52.59,92%,Paper as we know it today was invented in China in around 10...,No win (2 of 4)
96.,2015-11-25 13:35:33,44.43,88%,I still see things that are not here. I just choose not to a...,No win (2 of 4)
95.,2015-11-25 13:33:58,42.30,86%,"And I said, I don't care if they lay me off either, because ...",No win (4 of 5)
94.,2015-11-25 13:31:49,53.02,88%,"And in the world a heart of darkness, a firezone, where poet...",No win (4 of 5)
93.,2015-11-25 13:30:36,41.77,86%,Being able to quit things that don't work is integral to bei...,No win (4 of 5)
92.,2015-11-25 13:28:49,48.48,88%,Remembering you running soft through the night. You were big...,No win (2 of 5)
91.,2015-11-25 10:20:52,48.56,89%,It is possible that I already had some presentiment of my fu...,No win (2 of 5)
90.,2015-11-24 23:20:58,46.42,94%,I've seen things you people wouldn't believe. Attack ships o...,No win (2 of 5)
89.,2015-11-24 23:17:57,46.77,92%,We were all in our late twenties or early-to-middle thirties...,No win (2 of 5)
88.,2015-11-24 23:16:32,33.08,87%,"Webster defines intelligence as, ""the ability to apprehend i...",No win (5 of 5)
87.,2015-11-24 23:12:41,34.67,86%,You can know the name of a bird in all the languages of the ...,No win (2 of 5)
86.,2015-11-24 19:49:16,33.63,84%,From compositional considerations the tomato layer would be ...,No win (3 of 4)
85.,2015-11-24 19:24:26,38.24,85%,"Trudging slowly over wet sand, back to the bench where your ...",Win (1 of 3)
84.,2015-11-24 19:23:19,41.04,88%,The wine list looks so imposing that you finally give up lab...,No win (2 of 2)
83.,2015-11-24 19:22:00,45.46,88%,"But suddenly, I viddied that thinking was for the gloopy one...",No win (2 of 2)
82.,2015-11-24 19:20:40,35.52,87%,"The car has stopped. Vinny: ""What have you stopped here for?...",No win (4 of 4)
81.,2015-11-24 19:19:06,47.14,88%,My entire life had been on a predictable trajectory dominate...,No win (3 of 4)
80.,2015-11-24 19:17:09,38.29,90%,What? A swallow carrying a coconut? It's not a question of w...,No win (2 of 4)
79.,2015-11-24 10:55:40,47.41,89%,"The typewriter had a problem, though. Try to type quickly on...",Win (1 of 4)
78.,2015-11-24 10:50:15,40.42,86%,Having endured the racial turmoil of the Civil Rights Moveme...,Win (1 of 2)
77.,2015-11-24 10:48:09,41.81,87%,Vigorous writing is concise. A sentence should contain no un...,Win (1 of 2)
76.,2015-11-24 10:39:59,47.49,86%,"For centuries, the battle of morality was fought between tho...",No win (2 of 4)
75.,2015-11-23 20:48:52,46.42,90%,Instead of hiring workers during the peak hog kill in the wi...,No win (3 of 3)
74.,2015-11-23 20:46:49,46.49,89%,"At first we were silent, but finally we considered ourselves...",No win (2 of 5)
73.,2015-11-23 20:45:41,43.17,83%,Remember that humor is written backwards. That means you fir...,No win (4 of 5)
72.,2015-11-23 20:44:22,52.96,90%,"Every craft and every investigation, and likewise every acti...",No win (3 of 5)
71.,2015-11-23 20:43:26,44.06,91%,Indonesia is a nation of islands - more than seventeen thous...,No win (4 of 5)
70.,2015-11-23 20:41:39,42.88,90%,My entire life had been on a predictable trajectory dominate...,No win (3 of 3)
69.,2015-11-23 20:39:55,50.30,90%,"Keying text quickly is important, but it is more important t...",No win (3 of 3)
68.,2015-11-23 20:38:54,50.17,89%,The child is brought up in a culture where he or she simply ...,No win (2 of 5)
