147.,2017-01-08 02:37:54,112.36,88%,"I've heard there was a secret chord that David played, and i...",Win (1 of 3)
146.,2016-11-09 03:33:12,115.22,93%,"Yeah, you just take Soupy-Sales to prom 'cause I can think o...",No win (2 of 3)
145.,2016-11-09 03:31:19,110.92,96%,Achieving top performance in a programming contest or any ot...,Win (1 of 3)
144.,2016-11-09 03:30:34,118.12,92%,The spot where we intend to fight must not be made known; fo...,Win (1 of 2)
143.,2016-11-09 03:29:43,107.17,86%,"Take my love, take my land, take me where I cannot stand. I ...",Win (1 of 3)
142.,2016-11-09 03:28:27,126.82,99%,Topology is generally considered to be one of the three linc...,Win (1 of 4)
141.,2016-11-09 03:27:37,118.37,96%,"Everyone laughed and looked around, surprised to discover th...",Win (1 of 2)
140.,2016-11-09 03:26:42,125.50,92%,"My darling, you have to be standing up in order to be able t...",Win (1 of 2)
139.,2016-11-09 03:26:04,122.94,92%,And he told us of his life in the land of submarines.,No win (2 of 3)
138.,2016-11-09 03:24:15,118.95,96%,"No man is an island, entire of itself; every man is a piece ...",Win (1 of 2)
137.,2016-11-09 03:23:20,121.14,96%,"According to the popular story, the keyboard invented by Aug...",Win (1 of 2)
136.,2016-11-09 03:22:25,118.31,88%,It is by will alone I set my mind in motion. It is by the ju...,Win (1 of 3)
135.,2016-11-09 03:21:48,133.91,98%,"Get it straight buster - I'm not here to say please, I'm her...",Win (1 of 4)
134.,2016-10-29 08:54:46,112.60,93%,"There was me, that is Alex, and my three droogs, that is Pet...",Win (1 of 2)
133.,2016-10-29 08:52:27,120.13,90%,"The stuff we call ""software"" is not like anything that human...",Win (1 of 2)
132.,2016-10-24 02:47:33,139.22,99%,Who is Keyser Soze? He is supposed to be Turkish. Some say h...,Win (1 of 2)
131.,2016-10-24 02:46:17,146.45,99%,"I often see racers, particularly at the back of the pack in ...",Win (1 of 2)
130.,2016-10-24 02:45:01,144.46,96%,Is that what your little note says? It must be hard living y...,Win (1 of 2)
129.,2016-10-24 02:44:12,102.18,88%,If humans one day become extinct from a catastrophic collisi...,No win (2 of 2)
128.,2016-09-29 06:18:26,129.80,97%,I can and do say that nothing human beings have ever before ...,No win (2 of 5)
127.,2016-09-29 06:17:40,136.55,98%,We all know people who are very bright but who do not always...,Win (1 of 3)
126.,2016-09-29 06:12:13,127.93,99%,"Brick Top: ""After you got six pieces, you gotta get rid of '...",Win (1 of 2)
125.,2016-09-29 06:10:51,136.14,93%,"Never give up, no matter how far behind you are, no matter h...",Win (1 of 2)
124.,2016-09-29 06:08:53,129.70,97%,"But older than me now, more constant, more real, and the fur...",Win (1 of 2)
123.,2016-09-29 06:07:55,129.05,97%,"And as we let our own light shine, we unconsciously give oth...",Win (1 of 2)
122.,2016-09-29 06:07:04,163.63,100%,"Whether they use the title or not, many lyrics have evocativ...",Win (1 of 2)
121.,2016-09-29 06:06:13,118.41,90%,The pathology of setting a deadline to the earliest articula...,Win (1 of 2)
120.,2016-09-29 06:04:45,109.88,87%,I have quit three jobs and been fired from all the rest. Get...,No win (2 of 2)
119.,2016-09-29 06:03:47,99.44,86%,A freedom fighter learns the hard way that it is the oppress...,No win (2 of 2)
118.,2016-09-12 01:34:45,102.37,86%,I distrust a close-mouthed man. He generally picks the wrong...,Win (1 of 3)
117.,2016-09-12 01:33:58,126.51,93%,"But you know that when the truth is told, you can get what y...",Win (1 of 2)
116.,2016-09-12 01:33:20,120.15,93%,Some have a positive vocation for breaking open safes: from ...,No win (3 of 3)
115.,2016-09-12 01:31:46,96.59,89%,The pickpockets' profession demands extraordinary nimbleness...,No win (2 of 2)
114.,2016-09-11 06:45:18,116.93,90%,San Francisco in the middle sixties was a very special time ...,Win (1 of 4)
113.,2016-09-11 06:44:31,100.43,88%,Supermarket aisles are the perfect place to practice your gl...,Win (1 of 5)
112.,2016-09-11 06:43:35,144.54,99%,"The sooner your kids appreciate the value of work, the more ...",Win (1 of 2)
111.,2016-09-11 06:42:52,113.26,97%,My entire life had been on a predictable trajectory dominate...,No win (2 of 3)
110.,2016-09-11 06:04:02,102.37,88%,I'm waking up to ash and dust. I wipe my brow and I sweat my...,Win (1 of 3)
109.,2016-09-11 01:51:27,124.62,91%,"Throughout my academic career, I'd given some pretty good ta...",No win (2 of 2)
108.,2016-09-11 01:50:42,102.99,94%,"""Look, you hassle me, you see what happens,"" Tyrone makes to...",No win (3 of 4)
107.,2016-09-11 01:49:23,133.67,94%,"If you know the enemy and know yourself, you need not fear t...",Win (1 of 3)
106.,2016-09-11 01:48:40,141.44,98%,The truth of the matter is that there are a lot of available...,Win (1 of 4)
105.,2016-09-11 01:43:44,118.23,99%,"So, I'm tending bar there at Ecklund & Swedlin's last Tu...",No win (3 of 3)
104.,2016-09-11 01:42:44,137.17,99%,I walked into the store. After the buzzing and booming of th...,Win (1 of 2)
