459.,2015-10-02 07:35:11,122.41,99%,"If you think that you are going to love something, give it a...",Win (1 of 2)
458.,2015-10-02 07:33:26,96.47,90%,You're going in the drink and I am going to make a cup of te...,No win (2 of 3)
457.,2015-10-02 07:32:02,107.49,95%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",No win (3 of 4)
456.,2015-10-02 07:31:34,107.12,96%,Writing is hard work. A clear sentence is no accident. Very ...,No win (3 of 5)
455.,2015-10-02 07:30:49,100.68,95%,"Common knowledge has bicyclists always riding into the wind,...",Win (1 of 5)
454.,2015-10-02 07:29:45,107.14,95%,Rhymes trap you into saying things you don't want to say. A ...,Win (1 of 3)
453.,2015-10-02 07:27:09,105.97,93%,"It's a blue savanna song: somewhere cross the desert, someti...",No win (3 of 3)
452.,2014-05-20 09:28:48,102.39,90%,"When she returns to the forum page, her post is there. It is...",Win (1 of 2)
451.,2014-05-20 09:26:25,106.76,91%,One thing I've learned in the last seven years: in every gam...,No win (2 of 4)
450.,2014-05-20 09:22:26,102.03,93%,"The time I waited seemed endless, and I felt doubts and fear...",No win (2 of 3)
449.,2014-03-12 11:06:57,119.05,98%,Focus your attention on the Now and tell me what problem you...,No win (2 of 5)
448.,2014-03-12 10:58:57,107.29,91%,I have quit three jobs and been fired from all the rest. Get...,Win (1 of 4)
447.,2014-03-12 10:58:00,107.71,91%,It's the possibility of having a dream come true that makes ...,No win (2 of 3)
446.,2014-03-12 10:56:03,105.40,93%,I don't know why he saved my life. Maybe in those last momen...,No win (2 of 3)
445.,2014-03-12 10:53:05,117.72,97%,Language is one of the keys to being human. It allows us to ...,No win (2 of 2)
444.,2014-03-11 08:48:26,113.36,96%,It is possible that I already had some presentiment of my fu...,Win (1 of 2)
443.,2014-03-11 08:45:46,109.61,96%,I don't know why he saved my life. Maybe in those last momen...,No win (2 of 3)
442.,2014-03-07 06:55:53,118.42,96%,Everything we hold dear likewise resolves into its original ...,Win (1 of 2)
441.,2014-03-07 06:54:29,109.68,96%,Popularity is only partially about individual attractiveness...,Win (1 of 4)
440.,2014-03-07 06:52:49,116.90,98%,Humans need to practice what they are learning a good deal b...,Win (1 of 2)
439.,2014-03-04 07:58:38,118.74,97%,"Throughout my academic career, I'd given some pretty good ta...",Win (1 of 3)
438.,2014-03-04 07:52:07,117.58,97%,I don't believe in painted roses or bleeding hearts while bu...,No win (2 of 3)
437.,2014-03-04 07:50:43,110.17,92%,It doesn't mean much to be able to filter out most present-d...,Win (1 of 4)
436.,2013-11-09 15:34:29,121.37,98%,A glooming peace this morning with it brings. The sun for so...,Win (1 of 4)
435.,2013-11-09 15:32:56,111.99,96%,The time has come for man to set himself a goal. The time ha...,No win (2 of 2)
434.,2013-11-09 15:28:16,116.65,97%,"After removal from the oven, the pizza is sliced and plated ...",No win (2 of 2)
433.,2013-11-09 15:26:31,117.60,97%,Is it sweeter to exist only in the mind or to exist both in ...,No win (1 of 1)
432.,2013-11-08 04:57:45,110.25,97%,Let's face it: there are tons of things in your home and lif...,Win (1 of 2)
431.,2013-11-08 04:54:52,93.75,89%,"You could substitute raspberries or any other fruit, but 99....",No win (2 of 2)
430.,2013-11-08 04:51:56,104.79,95%,"Comfortable, Mullet? It seems sadly ironic that it's that ti...",Win (1 of 3)
429.,2013-11-08 04:50:33,113.97,96%,Rhymes trap you into saying things you don't want to say. A ...,Win (1 of 2)
428.,2013-11-06 11:46:04,120.43,98%,It is possible that I already had some presentiment of my fu...,Win (1 of 3)
427.,2013-11-06 11:42:45,109.40,98%,Do you know what they call a Quarter-pounder with cheese in ...,Win (1 of 4)
426.,2013-10-22 05:55:54,125.88,98%,San Francisco in the middle sixties was a very special time ...,No win (3 of 4)
425.,2013-10-20 18:36:21,117.94,96%,I must not fear. Fear is the mind killer. Fear is the little...,No win (2 of 3)
424.,2013-10-20 18:35:37,115.19,98%,"I went to the woods because I wished to live deliberately, t...",No win (2 of 4)
423.,2013-10-20 18:33:35,118.48,96%,"If we all go for the blonde and block each other, not a sing...",No win (3 of 5)
422.,2013-10-20 18:29:24,117.86,97%,From compositional considerations the tomato layer would be ...,No win (3 of 3)
421.,2013-10-20 18:25:56,124.77,96%,I've been looking so long at these pictures of you that I al...,No win (4 of 4)
420.,2013-10-20 18:24:15,115.87,93%,"Whether they use the title or not, many lyrics have evocativ...",No win (2 of 3)
419.,2013-10-18 05:56:04,111.32,95%,Is it really necessary to send that email? The more emails y...,No win (2 of 5)
418.,2013-10-18 05:53:46,128.66,99%,"Never give up, no matter how far behind you are, no matter h...",Win (1 of 2)
417.,2013-10-18 05:51:28,116.99,99%,It is greatly to America's advantage that it is a congenial ...,Win (1 of 2)
416.,2013-10-17 17:34:02,109.51,98%,If you're working out in front of a mirror and watching your...,No win (2 of 3)
415.,2013-10-17 12:34:22,117.59,96%,A glooming peace this morning with it brings. The sun for so...,No win (2 of 5)
414.,2013-10-17 12:33:34,115.36,97%,"And you know it's time to go, through the sleet and driving ...",No win (2 of 5)
413.,2013-10-15 16:43:19,112.43,98%,So what's in this for you? Should you rush out in search of ...,Win (1 of 4)
412.,2013-10-15 16:40:11,110.19,97%,We've known each other for many years but this is the first ...,Win (1 of 4)
411.,2013-10-15 16:37:22,110.59,97%,"And you know it's time to go, through the sleet and driving ...",No win (3 of 4)
410.,2013-10-15 16:36:33,116.70,98%,The treatment of atoms with more than one electron requires ...,Win (1 of 4)
409.,2013-10-14 08:46:23,108.23,95%,You've got a way to keep me on your side. You give me cause ...,Win (1 of 2)
408.,2013-10-13 18:52:42,109.22,96%,"Imagine a vast sheet of paper on which straight Lines, Trian...",Win (1 of 4)
