179.,2016-08-26 13:56:19,108.28,95%,"Very well, gentlemen. This, and maybe other similar things, ...",No win (3 of 5)
178.,2016-07-16 16:03:58,108.64,91%,You could choke a dozen donkeys on that! And you're haggling...,No win (2 of 5)
177.,2016-07-16 16:01:26,118.41,91%,"Many people limit themselves to leading boring, dull lives b...",Win (1 of 2)
176.,2016-07-16 16:00:33,119.01,91%,I just want to tell you how I'm feeling. Gotta make you unde...,Win (1 of 2)
175.,2016-07-15 12:20:41,107.61,89%,"A little boy went out to play. When he opened his door, he s...",No win (2 of 2)
174.,2016-07-15 10:53:04,146.25,99%,"Let me get this straight. You think that your client, one of...",Win (1 of 2)
173.,2016-07-15 10:51:06,117.18,89%,"If you think that you are going to love something, give it a...",Win (1 of 3)
172.,2016-07-15 10:50:42,124.26,90%,I've been looking so long at these pictures of you that I al...,Win (1 of 4)
171.,2016-07-15 10:49:15,125.97,97%,When we got to the Mint I parked on the street in front of t...,Win (1 of 4)
170.,2016-07-15 10:46:49,131.71,91%,"She's got a smile that, it seems to me, reminds me of childh...",Win (1 of 4)
169.,2016-07-15 10:45:48,113.07,88%,If there is one thing the history of evolution has taught us...,No win (2 of 3)
168.,2016-07-15 10:44:56,139.52,94%,The most precious treasures we have in life are the images w...,Win (1 of 2)
167.,2016-07-11 09:51:09,111.50,88%,"Ultimately, this is not about solving your problems. It's ab...",Win (1 of 3)
166.,2016-07-11 09:50:22,124.81,92%,Punishment and negative reinforcement are opposites. Punishm...,No win (2 of 5)
165.,2016-07-11 09:49:36,107.57,85%,The unknown future rolls toward us. I face it for the first ...,No win (2 of 3)
164.,2016-07-10 15:56:52,105.47,100%,The quick brown fox jumps over the lazy dog.,No win (4 of 5)
163.,2016-07-06 17:17:15,110.80,86%,Lucid but wholly false recollections can easily be induced b...,Win (1 of 3)
162.,2016-07-05 15:21:45,105.95,85%,"Don't tell me what's in, don't tell me how to write, don't t...",Win (1 of 2)
161.,2016-07-05 15:12:19,137.24,100%,"Ever since I was a child, folks have thought they had me peg...",Win (1 of 4)
160.,2016-07-05 15:11:06,119.03,89%,The ultimate way to compose is to be able to keyboard as fas...,Win (1 of 4)
159.,2016-07-05 15:09:16,131.02,95%,"Whether they use the title or not, many lyrics have evocativ...",Win (1 of 4)
