880.,2016-09-30 11:46:52,64.06,92%,"Hi, and welcome to the future. San Dimas, California, 2688. ...",No win (2 of 5)
879.,2016-09-30 11:45:17,62.67,91%,"Now that I know that I'm breaking to pieces, I'll pull out m...",No win (4 of 5)
878.,2016-09-30 09:32:22,85.92,98%,We were the people who were not in the papers. We lived in t...,Win (1 of 5)
877.,2016-09-30 09:30:51,69.03,92%,"This planet has, or rather had, a problem, which was this: m...",No win (2 of 4)
876.,2016-09-29 11:42:14,68.45,93%,"A zealot might be, for instance, an individual with a person...",No win (3 of 5)
875.,2016-09-28 15:27:44,53.05,88%,"She looked terrific. I said to myself, ""Maybe she's going to...",Win (1 of 3)
874.,2016-09-28 15:25:21,69.42,94%,"As the netted bag says, this potato was grown in Idaho, that...",No win (2 of 5)
873.,2016-09-27 11:41:06,75.71,93%,"I also thought about my wife, the most important person in m...",No win (3 of 5)
872.,2016-09-26 15:06:42,66.22,88%,Gardeners know how to grow top-notch crops. They determine w...,No win (2 of 4)
871.,2016-09-26 15:05:28,74.62,95%,Don't take anything personally - nothing others do is becaus...,No win (3 of 5)
870.,2016-09-26 15:04:26,68.07,89%,"This is what we call love. When you are loved, you can do an...",No win (2 of 5)
869.,2013-05-09 09:19:02,74.05,96%,It's the possibility of having a dream come true that makes ...,No win (2 of 3)
868.,2013-05-05 21:54:36,73.36,93%,Yet the web of thought has no such creases and is more like ...,No win (2 of 3)
867.,2013-05-05 21:53:41,61.57,91%,"To some, the rules of etiquette may seem outdated, stuffy an...",No win (3 of 5)
866.,2013-05-02 17:53:47,76.40,93%,All that year the animals worked like slaves. But they were ...,No win (3 of 5)
865.,2013-05-02 17:48:33,74.91,97%,The beginner writes just twenty pieces. The professional wri...,No win (2 of 5)
864.,2013-05-02 17:47:29,70.42,90%,I've seen things you people wouldn't believe. Attack ships o...,No win (4 of 5)
863.,2013-05-02 17:45:50,61.24,90%,"First, the layer of dough bakes into bread, a low-water-cont...",No win (4 of 4)
862.,2013-05-02 17:44:11,77.16,95%,Many rivers to cross but I can't seem to find my way over. W...,No win (2 of 5)
861.,2013-05-02 17:41:19,78.38,99%,"In May 1980, Fidel Castro opened the harbor at Mariel, Cuba ...",Win (1 of 2)
860.,2013-05-02 17:39:56,85.66,97%,"Ticking away the moments that make up a dull day, you fritte...",No win (2 of 5)
859.,2013-05-02 17:39:07,67.38,93%,Is this the real life? Is this just fantasy? Caught in a lan...,Win (1 of 4)
858.,2013-05-02 17:35:19,74.04,94%,Commas and periods always go inside quotation marks. Colons ...,Win (1 of 5)
857.,2013-05-02 17:33:38,66.43,89%,"I don't want tickets, I need you to find me a painting, a cl...",Win (1 of 3)
856.,2013-05-02 17:32:13,65.90,94%,Let's face it: there are tons of things in your home and lif...,No win (2 of 5)
855.,2013-04-08 17:07:51,67.25,93%,Let me tell you why you're here. You're here because you kno...,No win (2 of 3)
854.,2013-04-08 17:05:30,52.02,86%,"She looked terrific. I said to myself, ""Maybe she's going to...",No win (3 of 4)
853.,2013-04-08 17:02:33,62.21,90%,"To evaluate an option from the other side's point of view, c...",No win (2 of 5)
852.,2012-12-19 20:36:03,62.79,91%,Convection also plays a minor role because of the relative t...,No win (2 of 5)
851.,2012-05-18 19:04:25,70.69,96%,We live in a charmed world. If we have money we can buy lite...,Win (1 of 3)
850.,2012-05-18 19:01:55,69.22,93%,"Today, you people are no longer maggots. Today, you are Mari...",No win (2 of 4)
849.,2012-05-18 19:00:01,66.09,93%,"The brain can be a tool. It can recall phone numbers, solve ...",No win (4 of 5)
848.,2012-05-13 10:41:30,56.65,91%,I remember when we used to sit in the government yard in Tre...,No win (4 of 4)
847.,2012-05-13 10:40:12,65.54,95%,The basis of the Aztecs' success in creating a great state a...,Win (1 of 2)
846.,2012-05-13 10:38:11,60.18,93%,"With forty-six Chinese, fourteen Japanese, eighteen Mexican,...",No win (2 of 4)
845.,2012-05-13 10:36:53,65.18,91%,"Common knowledge has bicyclists always riding into the wind,...",Win (1 of 5)
844.,2012-05-13 10:32:41,67.98,95%,I suddenly had the impression that I had been left all alone...,No win (2 of 4)
843.,2012-05-13 10:30:14,68.85,94%,The only message I got was from the company that holds my st...,Win (1 of 5)
842.,2012-05-13 10:27:39,66.78,94%,"Double, double, toil and trouble; fire burn, and cauldron bu...",No win (2 of 5)
841.,2012-01-07 22:12:33,55.31,91%,"Milt, with the excellent timing of a master comedy writer, w...",No win (3 of 4)
840.,2012-01-05 16:31:46,63.78,92%,"The creation ends in South Georgia, at the very edge of the ...",Win (1 of 2)
839.,2012-01-05 16:30:05,63.20,91%,We were all in our late twenties or early-to-middle thirties...,No win (2 of 5)
