451.,2018-01-16 19:46:32,139.61,97%,Maybe someday we can talk about our past and we can talk abo...,Win (1 of 2)
450.,2018-01-16 19:45:45,104.00,96%,"We generally concur that ""men"" such as a cow, a turkey, a fr...",Win (1 of 2)
449.,2018-01-16 19:43:34,107.12,96%,Nothing drives people to the church faster than the thought ...,Win (1 of 2)
448.,2018-01-16 19:42:23,121.59,95%,"Noontime, and I'm still pushing myself along the road, the d...",Win (1 of 2)
447.,2018-01-16 19:41:16,110.15,96%,I wanted to be a hero. I wanted to be the center of attentio...,Win (1 of 2)
446.,2018-01-16 19:39:57,119.07,97%,"In general, many of these targets are easier marks if you ar...",Win (1 of 2)
445.,2018-01-12 15:17:23,122.43,97%,"Look, I understand too little too late. I realize there are ...",Win (1 of 5)
444.,2018-01-10 23:28:15,132.70,99%,"Bach's income, if we take into consideration the value of mo...",Win (1 of 3)
443.,2018-01-08 23:00:46,135.92,99%,"I think you're the kindest, sweetest, prettiest person I've ...",Win (1 of 3)
442.,2018-01-08 22:59:58,118.79,98%,In Newton's time it was possible for an educated person to h...,Win (1 of 4)
441.,2018-01-08 22:59:04,110.19,97%,It takes more than a calorie of fossil fuel energy to produc...,Win (1 of 2)
440.,2018-01-08 22:57:52,130.04,99%,"He spoke and rose to full height, sword in air, then cleft t...",No win (2 of 3)
439.,2017-12-31 17:48:09,134.75,97%,If all these dreams might find their way into my day to day ...,Win (1 of 4)
438.,2017-12-31 17:44:50,134.39,98%,"I'm so glad you came, I'm so glad you remembered, to see how...",Win (1 of 5)
437.,2017-12-31 17:44:17,106.97,97%,"Brother, you really are somethin'. You sit here, vote guilty...",No win (2 of 5)
436.,2017-12-31 17:43:17,126.94,98%,"Once there were two moons in the sky, but one wandered too c...",No win (2 of 5)
435.,2017-12-31 17:42:30,117.84,97%,I wish that strife would vanish away from among gods and mor...,Win (1 of 4)
434.,2017-12-31 17:39:54,122.58,98%,"Everyone's creeping up to the money god, putting tongues whe...",Win (1 of 4)
433.,2017-10-12 17:27:36,111.79,97%,Let me go! I'm not fit to be a senator! I'm not fit to live!...,Win (1 of 3)
432.,2017-06-04 18:03:13,116.11,98%,Tatum used a special device to elongate his descending penta...,Win (1 of 5)
431.,2017-06-04 18:02:10,121.29,98%,Whence all this passion towards conformity anyway? Diversity...,Win (1 of 4)
430.,2017-04-06 15:35:28,108.46,89%,"Where I come from, there's a terrible drought. We saw pictur...",Win (1 of 5)
429.,2017-04-06 15:34:55,122.34,92%,It was about this time I conceived the bold and arduous proj...,Win (1 of 4)
428.,2017-03-29 17:37:33,124.76,95%,"Growing to hate decisive moments, the only thing within a br...",Win (1 of 5)
427.,2017-03-22 17:01:06,110.15,79%,You have to accept that sometimes that's how things happen i...,No win (2 of 2)
426.,2017-03-22 17:00:05,108.10,82%,"I'm a hopeless dancer, but this looks like you just screw in...",Win (1 of 3)
425.,2017-03-22 16:59:00,120.30,97%,A freedom fighter learns the hard way that it is the oppress...,Win (1 of 2)
424.,2017-03-22 16:52:23,106.45,84%,"Your face has fallen sad now, for you know the time is nigh....",Win (1 of 3)
423.,2017-03-22 16:51:13,90.32,79%,"Listen up, maggots. You are not special. You are not a beaut...",Win (1 of 4)
