199.,2017-06-19 20:54:00,39.49,96%,We were playing checkers. I used to kid her once in a while ...,No win (1 of 1)
198.,2017-06-19 20:45:09,39.74,96%,Quality humor doesn't just deliver one gag and then tax the ...,Win (1 of 2)
197.,2017-06-19 20:41:49,32.24,92%,Quality humor doesn't just deliver one gag and then tax the ...,Win (1 of 2)
196.,2017-06-06 14:51:38,45.59,96%,"I'd pull your eyes out of your head, and put them in my own ...",No win (1 of 1)
195.,2017-05-27 15:12:26,37.16,85%,"I have moments like that a lot, when my brain falls asleep o...",No win (1 of 1)
194.,2017-05-27 15:00:15,35.01,78%,"Ticking away the moments that make up a dull day, you fritte...",No win (1 of 1)
193.,2017-04-12 21:46:29,37.55,86%,"I can remember everything. That's my curse, young man. It's ...",No win (1 of 1)
192.,2017-04-12 21:36:57,24.05,70%,You gotta relax and stay calm in there. The cage is your hom...,No win (1 of 1)
191.,2017-04-12 21:30:03,37.22,88%,"So I was sitting in my cubicle today, and I realized, ever s...",No win (1 of 1)
190.,2017-02-25 23:20:33,31.21,91%,"Me? I'm dishonest, and a dishonest man you can always trust ...",No win (1 of 1)
189.,2017-02-25 23:18:53,31.69,83%,"I know what ""exacerbate"" means. There is not a word or a sen...",Win (1 of 2)
188.,2017-02-25 23:16:36,26.22,92%,"I know what ""exacerbate"" means. There is not a word or a sen...",No win (1 of 1)
187.,2017-02-16 22:31:55,25.40,72%,"Hanging by threads of palest silver, I could have stayed tha...",No win (1 of 1)
186.,2017-02-16 22:28:52,25.48,76%,A glooming peace this morning with it brings. The sun for so...,No win (1 of 1)
185.,2017-02-16 22:22:01,26.63,79%,Most popular song lyrics have two sections - a verse and a b...,No win (1 of 1)
184.,2017-02-16 22:18:22,33.57,84%,"It's so easy to hate your brother, it should be hard. It's s...",No win (1 of 1)
183.,2017-01-16 19:27:06,37.57,86%,"Yes, it was her he was looking at, and there was meaning in ...",No win (2 of 2)
182.,2017-01-16 19:26:00,40.77,93%,"Yes, it was her he was looking at, and there was meaning in ...",No win (1 of 1)
181.,2017-01-16 19:23:47,32.37,72%,You have two choices: you can keep running and hiding and bl...,No win (2 of 2)
180.,2017-01-16 19:22:30,33.05,89%,You have two choices: you can keep running and hiding and bl...,No win (1 of 1)
179.,2017-01-16 19:21:11,30.13,82%,Space is big. Really big. You just won't believe how vastly ...,Win (1 of 2)
178.,2017-01-16 19:19:21,23.06,86%,Space is big. Really big. You just won't believe how vastly ...,No win (1 of 1)
177.,2016-12-15 21:07:11,20.28,77%,That person tried to send poison to you and if you take it p...,No win (1 of 1)
176.,2016-12-15 21:02:53,26.30,85%,It's not when you realize that nothing can help you - religi...,No win (1 of 1)
175.,2016-12-10 15:02:50,26.84,83%,There is nothing more admirable than when two people who see...,Win (1 of 2)
174.,2016-12-10 15:01:11,18.16,68%,There is nothing more admirable than when two people who see...,No win (1 of 1)
173.,2016-12-08 08:05:04,15.09,61%,"His long black hair crackled, and crazy energies flashed out...",No win (1 of 1)
172.,2016-12-02 07:54:54,26.15,83%,I am the happiest creature in the world. Perhaps other peopl...,Win (1 of 2)
171.,2016-12-02 07:49:24,19.12,80%,I am the happiest creature in the world. Perhaps other peopl...,No win (1 of 1)
170.,2016-11-30 08:11:28,27.76,92%,She laughed when there was no joke. She danced when there wa...,Win (1 of 2)
169.,2016-11-30 08:10:07,20.25,82%,She laughed when there was no joke. She danced when there wa...,No win (1 of 1)
168.,2016-11-30 08:08:32,11.67,60%,Sparkling wines are wines that contain carbon dioxide bubble...,No win (1 of 1)
167.,2016-11-25 09:30:27,25.40,98%,"His long black hair crackled, and crazy energies flashed out...",Win (1 of 2)
166.,2016-11-25 09:27:32,13.46,66%,"His long black hair crackled, and crazy energies flashed out...",No win (1 of 1)
165.,2016-11-25 09:25:49,24.47,82%,Remember that humor is written backwards. That means you fir...,Win (1 of 2)
164.,2016-11-25 09:21:49,18.67,77%,Remember that humor is written backwards. That means you fir...,No win (1 of 1)
163.,2016-11-24 08:41:27,22.88,82%,"Good games stay within, but at the outer edge, of the player...",Win (1 of 2)
162.,2016-11-24 08:38:14,15.40,73%,"Good games stay within, but at the outer edge, of the player...",Win (1 of 2)
161.,2016-11-23 07:45:20,19.89,76%,"The melted mozzarella layer, which we shall designate MML, i...",Win (1 of 2)
160.,2016-11-19 16:54:22,29.46,98%,Human life is but a series of footnotes to a vast obscure un...,Win (1 of 2)
159.,2016-11-19 16:51:21,15.32,68%,Human life is but a series of footnotes to a vast obscure un...,No win (1 of 1)
158.,2016-11-19 16:47:15,16.25,65%,"So ya, thought ya might like to go to the show. To feel the ...",No win (1 of 1)
157.,2016-11-17 20:05:23,27.47,80%,"As if that blind rage had washed me clean, rid me of hope; f...",Win (1 of 2)
156.,2016-11-17 20:03:40,21.12,77%,"As if that blind rage had washed me clean, rid me of hope; f...",No win (1 of 1)
155.,2016-11-17 20:01:17,22.80,83%,"Gentlemen: You have undertaken to cheat me. I won't sue you,...",Win (1 of 2)
154.,2016-11-17 08:07:11,21.55,83%,Desktop publishing revolutionized the creation of printed do...,Win (1 of 2)
153.,2016-11-17 08:02:38,15.30,77%,Desktop publishing revolutionized the creation of printed do...,No win (1 of 1)
152.,2016-11-16 22:22:42,19.09,70%,"I know what ""exacerbate"" means. There is not a word or a sen...",Win (1 of 2)
151.,2016-11-16 22:19:41,17.35,81%,"I know what ""exacerbate"" means. There is not a word or a sen...",No win (1 of 1)
150.,2016-11-16 22:13:54,12.61,62%,"It was a long and gloomy night that gathered on me, haunted ...",No win (1 of 1)
149.,2016-11-16 22:10:58,30.57,99%,You are the most important thing to me now. The most importa...,No win (1 of 1)
148.,2016-11-16 21:40:49,18.26,77%,"The point is that if you are a little different, or a little...",No win (1 of 1)
147.,2016-11-16 21:38:47,34.40,92%,We could love that tractor then as we have loved this land w...,Win (1 of 2)
146.,2016-11-16 21:38:07,21.51,70%,We could love that tractor then as we have loved this land w...,No win (1 of 1)
145.,2016-11-11 08:04:39,17.97,76%,This here is Daisy Domergue. She's wanted dead or alive for ...,No win (2 of 2)
144.,2016-11-11 08:01:27,13.76,81%,This here is Daisy Domergue. She's wanted dead or alive for ...,No win (1 of 1)
143.,2016-11-10 19:20:48,29.31,93%,While there are few problems in today's world that the Unite...,Win (1 of 2)
142.,2016-11-10 19:18:31,15.66,66%,While there are few problems in today's world that the Unite...,No win (1 of 1)
141.,2016-11-10 19:16:19,27.37,86%,"So don't be afraid; your heart is in me, and it's racing so ...",Win (1 of 2)
140.,2016-11-10 19:11:43,13.56,64%,"So don't be afraid; your heart is in me, and it's racing so ...",No win (1 of 1)
139.,2016-11-09 21:44:28,24.15,87%,"There are two kinds of fibers in our muscles, red and white....",Win (1 of 2)
138.,2016-11-09 21:33:50,15.32,69%,"There are two kinds of fibers in our muscles, red and white....",No win (1 of 1)
137.,2016-11-09 19:24:35,26.15,91%,"Can I be like everyone, pretending that there's nothing wron...",Win (1 of 2)
136.,2016-11-09 19:20:42,15.81,64%,"Can I be like everyone, pretending that there's nothing wron...",No win (1 of 1)
135.,2016-11-08 21:15:41,20.59,85%,God help the man who ever really loves you. You'd break his ...,Win (1 of 2)
134.,2016-11-08 21:11:05,11.32,57%,God help the man who ever really loves you. You'd break his ...,No win (1 of 1)
133.,2016-11-08 07:43:33,21.72,87%,"When you are typing on a typewriter, your input appears dire...",Win (1 of 2)
