516.,2017-10-30 12:58:29,134.65,100%,"The world is indeed full of peril, and in it there are many ...",No win (2 of 5)
515.,2017-10-30 11:01:52,133.44,99%,It became very clear to me sitting out there today that ever...,Win (1 of 3)
514.,2017-10-30 10:58:18,122.01,99%,They had their faces twisted toward their haunches and found...,Win (1 of 5)
513.,2017-10-30 10:57:42,119.97,98%,Love can touch us one time and last for a lifetime and never...,No win (2 of 5)
512.,2017-10-30 10:56:57,139.03,99%,Just because there are things I don't remember doesn't make ...,Win (1 of 4)
511.,2017-10-29 13:53:53,132.72,100%,Lucid but wholly false recollections can easily be induced b...,Win (1 of 5)
510.,2017-10-29 13:52:50,120.71,97%,If only all the contradictory voices shouting inside my head...,No win (2 of 5)
509.,2017-10-29 13:52:24,128.69,98%,And he told us of his life in the land of submarines.,No win (2 of 5)
508.,2017-10-29 13:49:35,124.86,99%,"They had taken it all away from him now, they had turned awa...",No win (3 of 4)
507.,2017-10-29 13:47:08,126.79,99%,"I'm wearying to escape into that glorious world, and to be a...",Win (1 of 5)
506.,2017-10-29 13:45:48,116.82,99%,"Why, if I had half a chance, I could make an entire movie us...",Win (1 of 4)
505.,2017-10-29 13:44:26,114.40,99%,You've undoubtedly noticed how some authors go to so much tr...,No win (3 of 5)
504.,2017-10-26 15:13:03,119.23,99%,I maintain that inversion is the effect of neither a prenata...,No win (2 of 5)
503.,2017-10-26 15:07:39,117.87,98%,What would you think if I sang out of tune? Would you stand ...,Win (1 of 5)
502.,2017-10-26 14:37:42,118.41,99%,"I must wait for the sunrise, I must think of a new life and ...",No win (2 of 5)
501.,2017-10-25 11:03:17,126.88,98%,"All my friends are heathens, take it slow. Wait for them to ...",No win (2 of 5)
500.,2017-10-25 11:02:15,134.77,99%,"Salvation must grow out of understanding, total understandin...",Win (1 of 2)
499.,2017-10-25 11:01:38,113.57,98%,"Gentlemen: You have undertaken to cheat me. I won't sue you,...",No win (2 of 2)
498.,2017-10-25 11:00:08,147.40,100%,History is not merely a linear collection of points that we ...,Win (1 of 4)
497.,2017-10-25 10:56:47,140.05,99%,"One day you're in a funk about things, telling a friend that...",Win (1 of 2)
496.,2017-10-25 10:10:52,117.02,98%,"I was once like you are now, and I know that it's not easy t...",Win (1 of 2)
495.,2017-10-23 12:25:03,125.04,99%,"You are the true master of death, because the true master do...",No win (2 of 3)
494.,2017-10-23 12:23:55,127.79,98%,"You know no one and no one knows you, and at the same time y...",Win (1 of 5)
493.,2017-10-23 12:20:33,129.28,99%,One way to combat the horizon effect is to continue search w...,Win (1 of 4)
492.,2017-10-17 16:17:50,139.39,100%,Once you free your mind about a concept of harmony and music...,Win (1 of 5)
491.,2017-10-17 16:14:02,127.70,96%,Your bill is ready. You take it over there and you introduce...,Win (1 of 4)
490.,2017-10-17 16:12:41,130.03,98%,"Me? I'm dishonest, and a dishonest man you can always trust ...",Win (1 of 4)
489.,2017-10-17 16:11:21,136.18,99%,There are many things that I would like to say to you but I ...,No win (2 of 5)
488.,2017-10-17 15:35:32,130.14,99%,Your bill is ready. You take it over there and you introduce...,No win (2 of 4)
487.,2017-10-10 16:46:22,112.85,99%,"We sometimes encounter people, even perfect strangers, who b...",Win (1 of 5)
486.,2017-10-10 16:09:32,115.19,99%,"I take care of my body above all else. Diet, exercise, suppl...",Win (1 of 3)
485.,2017-10-10 16:08:33,127.99,99%,"For string theory to make sense, the universe should have ni...",No win (2 of 5)
484.,2017-10-10 16:08:01,133.52,100%,To the extent that experience is the sum of our memories and...,No win (2 of 3)
483.,2017-10-10 14:32:49,120.28,99%,Informal manufacturing activities often have strong domestic...,No win (3 of 3)
482.,2017-10-10 14:30:37,102.88,97%,"For as long as I can remember, I have always found it easier...",Win (1 of 4)
481.,2017-10-04 12:03:41,129.92,99%,"You know, you're very beautiful. You're also very quiet. And...",No win (2 of 5)
480.,2017-10-04 12:00:37,113.81,98%,For it is not enough to have a good mind; the main thing is ...,No win (3 of 5)
479.,2017-10-04 11:58:25,142.86,99%,He could not be mistaken. There were no other eyes like thos...,No win (2 of 4)
478.,2017-10-04 11:57:53,112.34,98%,I hope I cut myself shaving tomorrow. I hope it bleeds all d...,Win (1 of 2)
477.,2017-10-04 11:57:00,128.91,98%,"Well, the way they make shows is, they make one show. That s...",No win (3 of 5)
476.,2017-10-04 11:56:03,92.77,97%,Excessive intake of alcohol as we know kills brain cells. Bu...,No win (2 of 2)
475.,2017-10-04 11:51:56,132.76,99%,"I think human beings must have faith or must look for faith,...",No win (2 of 5)
474.,2017-10-04 11:50:34,120.56,98%,"Comfortable, Mullet? It seems sadly ironic that it's that ti...",Win (1 of 3)
473.,2017-10-04 11:49:40,140.24,100%,"Well, gentlemen, the way I see it, if this hot weather conti...",Win (1 of 5)
472.,2017-10-04 11:49:04,109.88,98%,I don't do lost causes or tilt at windmills. I don't perform...,No win (2 of 5)
471.,2017-09-30 11:46:48,131.28,100%,The scientists were always hanging cores on me to regulate m...,Win (1 of 3)
470.,2017-09-30 11:44:24,122.15,98%,"You know when I was your age, I went out to fishing with all...",Win (1 of 4)
469.,2017-09-30 11:43:21,127.96,98%,There's a piece of Maria in every song that I sing. And the ...,Win (1 of 3)
468.,2017-09-30 11:40:49,119.20,98%,The light and the dark the big and the small. Just keep in m...,No win (2 of 5)
467.,2017-09-30 11:39:17,129.32,99%,I had considered how the things that never happen are often ...,No win (3 of 4)
466.,2017-09-30 11:36:22,132.94,99%,I don't know where you're going and I don't know why but lis...,No win (2 of 3)
465.,2017-09-30 11:35:13,126.51,99%,We were the people who were not in the papers. We lived in t...,No win (3 of 3)
464.,2017-09-30 11:34:35,119.35,98%,"Oh, you think darkness is your ally. But you merely adopted ...",No win (2 of 5)
463.,2017-09-30 11:33:46,108.57,99%,And I will look down and see my murmuring bones and the deep...,No win (2 of 5)
462.,2017-09-30 11:32:28,123.22,98%,Achieving top performance in a programming contest or any ot...,Win (1 of 3)
461.,2017-09-30 11:30:35,115.83,99%,"Yes, it was her he was looking at, and there was meaning in ...",No win (3 of 3)
460.,2017-09-30 11:30:09,103.33,99%,Plato is always concerned to advocate views that will make p...,No win (2 of 3)
459.,2017-09-30 11:28:22,119.44,98%,"We turn away to face the cold, enduring chill, as the day be...",No win (2 of 3)
458.,2017-09-30 11:27:08,125.74,99%,I feel that way all the time. Like I'm from some other plane...,Win (1 of 5)
457.,2017-09-30 11:24:46,105.39,97%,"The problem is, Willie, is that Charles and yourself are not...",No win (2 of 4)
456.,2017-09-29 18:46:52,130.03,99%,"It's been a hard day's night, and I'd been working like a do...",No win (2 of 4)
455.,2017-09-26 17:35:32,130.92,99%,Music finds a comfortable parallel with that of human langua...,Win (1 of 5)
454.,2017-09-26 17:34:58,108.60,98%,"You don't get to choose if you get hurt in this world, but y...",Win (1 of 2)
453.,2017-09-26 17:28:33,119.16,98%,I still want to smack him. Or remind him that the last trans...,No win (2 of 4)
452.,2017-09-26 17:25:52,133.70,100%,A good plan today is better than a perfect plan tomorrow.,Win (1 of 4)
451.,2017-09-26 17:14:27,122.02,98%,I've always wondered about this coat business. When I'm in a...,Win (1 of 5)
450.,2017-09-26 17:12:11,119.34,97%,I'm on the top of the world looking down on creation and the...,Win (1 of 3)
449.,2017-09-26 17:03:46,141.00,100%,I only lose my fear when I run. I won't lose a tear when I r...,Win (1 of 5)
448.,2017-09-25 12:49:51,149.88,100%,"I'm so glad you came, I'm so glad you remembered, the walkin...",Win (1 of 3)
447.,2017-09-25 12:47:25,139.04,100%,A choice tells the world what is most important to a human b...,Win (1 of 5)
446.,2017-09-25 12:46:53,113.75,99%,As I walk through the valley where I harvest my grain I take...,Win (1 of 3)
445.,2017-09-25 12:45:15,116.63,99%,Since every piece of matter in the Universe is in some way a...,Win (1 of 5)
444.,2017-09-25 12:42:22,115.94,98%,When we got to the Mint I parked on the street in front of t...,No win (2 of 3)
443.,2017-09-25 12:31:20,136.94,100%,"This tree is our symbol. Our affirmation of life, and everyo...",Win (1 of 3)
442.,2017-09-25 12:00:49,136.21,100%,"You know when I was your age, I went out to fishing with all...",Win (1 of 5)
441.,2017-09-23 15:01:41,124.31,99%,I find it wholesome to be alone the greater part of the time...,Win (1 of 5)
440.,2017-09-23 15:00:00,133.51,99%,"I know you're into banks and Wall Street, but everyone knows...",Win (1 of 3)
439.,2017-09-23 14:56:23,105.15,98%,"Lonely people tend, rather, to be lonely because they declin...",No win (3 of 4)
438.,2017-09-23 14:55:46,122.24,100%,Always do your best - your best is going to change from mome...,Win (1 of 4)
437.,2017-09-23 14:54:50,121.88,99%,This island of merchants is home to many valuable goods. Whi...,Win (1 of 4)
436.,2017-09-23 14:51:22,113.55,98%,"Life can get pretty crazy at times. It can be hectic, confus...",Win (1 of 3)
435.,2017-09-20 12:29:59,138.19,100%,"With people like us, you should hang out, get to know what t...",No win (2 of 5)
434.,2017-09-20 12:23:45,123.87,98%,"This tree is our symbol. Our affirmation of life, and everyo...",Win (1 of 3)
433.,2017-09-20 12:16:27,120.58,98%,"They say that right after God created man, he took a rib fro...",No win (2 of 5)
432.,2017-09-20 12:15:51,119.31,98%,"Formerly, when I would feel a desire to understand someone, ...",No win (3 of 3)
431.,2017-09-20 12:15:15,132.58,99%,"I know you're coming in the night like a thief, but I've had...",No win (2 of 3)
430.,2017-09-20 12:14:07,122.87,98%,There are many things that I would like to say to you but I ...,No win (2 of 5)
429.,2017-09-20 12:13:45,120.84,100%,Yes. Everyone at Harvard's inventing something. Harvard unde...,Win (1 of 5)
428.,2017-09-20 12:13:09,122.18,99%,I'm waking up to ash and dust. I wipe my brow and I sweat my...,No win (3 of 3)
427.,2017-09-20 12:12:33,129.07,99%,I kissed her cheek as she turned it to me. I think I would h...,No win (2 of 5)
426.,2017-09-20 12:09:27,138.34,100%,You know what nobody's mentioned? Is that this is supposed t...,Win (1 of 4)
425.,2017-09-20 12:08:41,136.21,99%,There's a hole in the world like a great black pit. And the ...,Win (1 of 5)
424.,2017-09-20 12:05:00,118.09,98%,Commas and periods always go inside quotation marks. Colons ...,No win (3 of 5)
423.,2017-09-20 12:04:16,134.73,99%,"Every time that I think I'm alone, and I can't find a word o...",Win (1 of 5)
422.,2017-09-20 12:03:10,106.77,97%,Once in a lifetime there comes a motion picture which change...,No win (2 of 5)
421.,2017-09-20 11:27:23,123.04,98%,"By love you mean big lightning bolts to the heart, where you...",Win (1 of 3)
420.,2017-09-20 11:26:44,128.84,99%,The math is compelling. Most of the people in the world are ...,Win (1 of 4)
419.,2017-09-20 11:24:49,135.50,100%,The only preventive thing I do is wash clothes after buying ...,Win (1 of 5)
418.,2017-09-20 11:23:25,120.93,99%,"And so it went, night after night, year after year. In fact,...",Win (1 of 5)
417.,2017-09-20 11:22:50,112.79,99%,Now the scandal and the light are to be distributed differen...,Win (1 of 4)
416.,2017-09-20 11:20:16,90.51,97%,William Shakespeare did not exist. His plays were mastermind...,No win (4 of 5)
415.,2017-09-19 16:22:15,127.98,99%,"There's a sort of evil out there. Something very, very stran...",Win (1 of 4)
414.,2017-09-19 16:19:42,110.00,98%,"Meet me in the crowd, people. Throw your love around, love m...",No win (2 of 5)
413.,2017-09-19 16:17:57,132.73,100%,For it is not enough to have a good mind; the main thing is ...,Win (1 of 4)
412.,2017-09-19 16:15:36,90.20,96%,Surveys show that the #1 fear of Americans is public speakin...,No win (3 of 5)
411.,2017-09-19 16:14:16,124.98,99%,One way to combat the horizon effect is to continue search w...,Win (1 of 5)
410.,2017-09-19 16:13:10,119.28,99%,"Waving colored flags, we won't surrender, there's no standin...",No win (2 of 3)
409.,2017-09-18 13:41:46,133.86,100%,Sometimes you are too ashamed to leave. That was true now. A...,Win (1 of 5)
408.,2017-09-15 10:47:24,123.93,99%,"Ever since I was a child, folks have thought they had me peg...",Win (1 of 5)
407.,2017-09-15 10:46:30,117.78,99%,"If we all go for the blonde and block each other, not a sing...",No win (2 of 5)
406.,2017-09-15 10:43:11,120.85,99%,I still want to smack him. Or remind him that the last trans...,No win (2 of 3)
405.,2017-09-15 10:42:23,135.39,100%,"Look, there's only one thing worse than being a loser. It's ...",Win (1 of 4)
404.,2017-09-15 10:34:43,125.02,99%,The idea behind each one was we took a film that we like and...,Win (1 of 4)
403.,2017-09-15 10:29:43,119.85,99%,"I love the ground under his feet, and the air over his head,...",Win (1 of 3)
402.,2017-09-14 18:37:21,127.35,99%,Although reflection mapping can be used to produce a number ...,Win (1 of 2)
401.,2017-09-14 18:33:54,125.73,99%,There was a long hard time when I kept far from me the remem...,Win (1 of 4)
400.,2017-09-14 18:32:10,123.27,99%,You can tie up a lot of resources by keeping a bugged phone ...,No win (2 of 3)
399.,2017-09-14 18:31:31,119.16,99%,Sometimes you are too ashamed to leave. That was true now. A...,No win (2 of 3)
398.,2017-09-14 18:28:32,110.17,99%,"No man is an island, entire of itself; every man is a piece ...",No win (2 of 3)
397.,2017-09-14 18:27:18,151.16,99%,The mark of the immature man is that he wants to die nobly f...,Win (1 of 5)
396.,2017-09-14 18:25:16,149.89,100%,She was feeling the pressure of the world outside and she wa...,No win (2 of 3)
395.,2017-09-14 18:24:48,128.67,100%,What incensed him the most was the blatant jokes of the ones...,No win (2 of 3)
394.,2017-09-14 18:23:59,115.40,99%,I still want to smack him. Or remind him that the last trans...,No win (2 of 4)
393.,2017-09-14 18:22:47,125.15,99%,"Mother used to say that however miserable one is, there's al...",Win (1 of 5)
392.,2017-09-14 18:22:05,130.47,99%,"It's been a hard day's night, and I'd been working like a do...",No win (2 of 5)
391.,2017-09-14 18:21:10,130.71,99%,Out in California they're gonna have some warm weather tomor...,Win (1 of 3)
390.,2017-09-14 18:18:20,129.38,100%,"And you know it's time to go, through the sleet and driving ...",Win (1 of 4)
389.,2017-09-14 18:16:31,132.84,100%,"We feel that to reveal embarrassing or private things, we ha...",Win (1 of 5)
388.,2017-09-14 18:14:20,119.77,99%,"It was a marvelous night, the sort of night one only experie...",Win (1 of 2)
387.,2017-09-14 18:05:02,133.23,100%,"But it is important to know this, to know your roots. To kno...",Win (1 of 4)
386.,2017-09-14 18:03:55,134.23,99%,"Well, gentlemen, the way I see it, if this hot weather conti...",Win (1 of 4)
385.,2017-09-14 13:11:37,139.72,99%,I had considered how the things that never happen are often ...,Win (1 of 5)
384.,2017-09-14 13:08:22,122.93,99%,"They had taken it all away from him now, they had turned awa...",No win (2 of 4)
383.,2017-09-14 13:06:28,125.78,99%,I've paid my dues time after time. I've done my sentence but...,Win (1 of 2)
382.,2017-09-14 13:04:00,149.83,100%,"I had been right, I was still right, I was always right. I h...",Win (1 of 3)
381.,2017-09-14 13:03:11,141.85,99%,"Well, gentlemen, the way I see it, if this hot weather conti...",Win (1 of 3)
380.,2017-09-14 13:02:11,128.84,99%,"It is something to be able to paint a particular picture, or...",Win (1 of 5)
379.,2017-09-14 13:01:28,137.28,97%,They're talking about things of which they don't have the sl...,Win (1 of 5)
378.,2017-09-14 12:59:11,140.97,99%,"And the hardest part was letting go, not taking part was the...",Win (1 of 5)
377.,2017-09-14 12:57:36,124.95,99%,"Still, we will let all this be a thing of the past, though i...",Win (1 of 2)
376.,2017-09-14 12:56:55,122.77,99%,So it's all come back round to breaking apart again. Breakin...,Win (1 of 2)
375.,2017-09-13 13:04:49,127.63,99%,A freedom fighter learns the hard way that it is the oppress...,No win (2 of 4)
374.,2017-09-13 13:04:07,118.94,98%,Now I want you to think and stop being a smart aleck. A man'...,Win (1 of 5)
373.,2017-09-13 13:02:30,118.25,99%,I have something here for you. Your father wanted you to hav...,Win (1 of 3)
372.,2017-09-13 13:00:03,126.25,99%,There's an old voice in my head that's holding me back. Well...,No win (2 of 5)
371.,2017-09-13 12:55:22,126.83,99%,"The first time I made coffee for just myself, I made too muc...",Win (1 of 2)
370.,2017-09-13 12:53:48,110.98,98%,"The less you do with the controls, the less chance of error....",No win (2 of 5)
369.,2017-09-12 21:02:25,139.44,99%,"Open to everything happy and sad, seeing the good when it's ...",No win (4 of 5)
368.,2017-09-09 14:04:22,133.93,100%,"Everyone gets everything he wants. I wanted a mission, and f...",Win (1 of 3)
367.,2017-09-09 14:02:36,111.99,99%,"Scratch the surface of any champion in any individual sport,...",No win (2 of 2)
366.,2017-09-09 14:01:27,112.06,97%,"There are places I'll remember all my life, though some have...",No win (3 of 5)
365.,2017-09-09 14:00:38,123.07,99%,Is that what your little note says? It must be hard living y...,Win (1 of 5)
364.,2017-09-09 13:58:34,122.28,99%,"When the shoes first fell from the sky, he remembered thinki...",Win (1 of 3)
363.,2017-09-09 13:57:54,127.35,99%,Demons run when a good man goes to war. Night will fall and ...,No win (4 of 4)
362.,2017-09-07 14:19:59,143.78,100%,"You are the true master of death, because the true master do...",Win (1 of 2)
361.,2017-09-07 14:18:32,120.11,98%,You know what nobody's mentioned? Is that this is supposed t...,Win (1 of 4)
360.,2017-09-07 14:16:36,120.59,99%,"You, me, or nobody is gonna hit as hard as life. But it ain'...",Win (1 of 2)
359.,2017-09-07 14:14:51,124.63,99%,Music finds a comfortable parallel with that of human langua...,No win (2 of 5)
358.,2017-09-07 14:13:47,126.55,99%,"On recovering my senses, I hastened to quit a place where I ...",Win (1 of 5)
357.,2017-09-07 14:12:59,123.26,99%,Many think that probabilities do not exist in real life. Nev...,Win (1 of 5)
356.,2017-09-07 14:11:39,119.66,97%,"Patience, he thought. So much of this was patience - waiting...",No win (2 of 2)
355.,2017-09-07 14:10:59,131.47,100%,"You're born alone and you die alone, and this world just dro...",Win (1 of 5)
354.,2017-09-07 14:09:59,127.58,99%,I feel that way all the time. Like I'm from some other plane...,Win (1 of 5)
353.,2017-09-07 14:09:22,132.20,99%,I want to leave my footprints in the sands of time. Know the...,Win (1 of 5)
352.,2017-09-07 14:08:30,110.75,97%,Sometimes I wondered if I was seeing the same things through...,No win (2 of 2)
351.,2017-09-07 14:06:01,139.13,100%,Well we've never done a day's work in our life and our recor...,Win (1 of 3)
350.,2017-09-07 13:43:02,127.18,100%,Ah how shameless - the way these mortals blame the gods. Fro...,Win (1 of 5)
349.,2017-09-07 13:41:36,134.98,100%,Remembering you running soft through the night. You were big...,No win (2 of 3)
348.,2017-09-07 13:37:26,112.63,98%,We were the people who were not in the papers. We lived in t...,Win (1 of 4)
347.,2017-09-07 13:36:28,123.03,100%,"There are places I'll remember all my life, though some have...",Win (1 of 5)
346.,2017-09-07 13:33:27,113.75,99%,"I only see my goals, I don't believe in failure 'cause I kno...",Win (1 of 5)
345.,2017-09-07 13:28:51,113.09,97%,I feel sorry for you. What it must feel like to want to pull...,No win (2 of 2)
344.,2017-09-07 13:06:45,114.50,99%,"And it says to you love when you can, cry when you have to, ...",Win (1 of 4)
343.,2017-09-07 12:57:01,133.96,99%,Remember that humor is written backwards. That means you fir...,Win (1 of 3)
342.,2017-09-07 12:55:46,120.85,99%,"Dreams are not to be converted into reality, that we know; w...",No win (2 of 4)
341.,2017-09-06 20:47:55,131.94,99%,"I see trees of green, red roses too, I see them bloom for me...",No win (2 of 3)
340.,2017-09-06 20:44:33,116.19,99%,I've paid my dues time after time. I've done my sentence but...,No win (2 of 4)
339.,2017-09-06 20:41:17,121.87,99%,"I never wanted to become someone like him. So secure, conten...",Win (1 of 5)
338.,2017-09-06 20:40:21,117.01,98%,I'm on the top of the world looking down on creation and the...,No win (2 of 4)
337.,2017-09-06 20:39:42,117.12,99%,Once you free your mind about a concept of harmony and music...,Win (1 of 5)
