488.,2017-05-10 01:17:59,114.77,93%,I had a friend who was a heavy drinker. If somebody asked hi...,Win (1 of 3)
487.,2017-05-10 01:15:48,106.18,93%,"One respondent said ""For women - a lot of games are crap - t...",Win (1 of 2)
486.,2017-01-26 00:36:36,115.01,96%,"Salvation must grow out of understanding, total understandin...",No win (2 of 4)
485.,2017-01-26 00:35:57,120.65,97%,On other wavelengths there would probably be a lot still to ...,Win (1 of 3)
484.,2016-03-27 23:35:53,116.92,91%,Good games offer players a set of challenging problems and t...,No win (2 of 5)
483.,2016-03-27 23:35:28,123.06,97%,It doesn't mean much to be able to filter out most present-d...,Win (1 of 4)
482.,2016-03-27 23:34:57,108.23,89%,At first they had tried to keep the finding quiet. After all...,Win (1 of 4)
481.,2016-03-27 23:34:03,141.82,98%,There is something about yourself that you don't know. Somet...,Win (1 of 5)
480.,2016-03-27 23:33:22,107.65,92%,Aztec rule was based upon a system of tribute and fear over ...,No win (2 of 3)
479.,2016-03-27 23:32:25,127.13,96%,"When I was a kid, you never saw radicchio in the produce sec...",No win (2 of 3)
478.,2016-03-27 23:31:39,92.10,92%,"Because they're at the bottom of the scale, nerds are a safe...",No win (4 of 5)
477.,2016-02-10 02:20:42,130.56,98%,Chance and chance alone has a message for us. Everything tha...,Win (1 of 3)
476.,2015-09-18 03:45:31,134.90,99%,I remember when we used to sit in the government yard in Tre...,Win (1 of 2)
475.,2014-11-15 00:11:46,95.70,97%,The alternative to binge travel - the mini retirement - enta...,Win (1 of 2)
474.,2014-11-15 00:10:49,121.24,97%,The ultimate way to compose is to be able to keyboard as fas...,No win (2 of 2)
473.,2014-06-09 05:46:13,137.36,100%,"No matter how bad things are, you can always make things wor...",Win (1 of 2)
472.,2014-06-06 22:44:42,97.36,83%,He had spent enormous amounts of time at the great libraries...,Win (1 of 2)
471.,2014-06-06 22:43:15,122.11,99%,"Historian James C. Cobb has described southern identity as ""...",Win (1 of 2)
470.,2014-06-06 22:41:56,136.11,98%,A few light taps upon the pane made him turn to the window. ...,Win (1 of 2)
469.,2014-06-06 22:40:55,127.68,94%,All the blue light reflections that color my mind when I sle...,Win (1 of 2)
468.,2014-06-06 01:03:00,131.62,96%,The good news is that your child has a natural desire to do ...,Win (1 of 2)
467.,2014-06-06 01:01:43,122.63,99%,The inner surface of the cell wall touches the cytoplasmic m...,Win (1 of 2)
466.,2014-06-06 01:00:31,130.36,95%,How many times have you seen the leader of a race have a mec...,Win (1 of 2)
465.,2014-06-06 00:59:24,154.01,100%,Don't make assumptions - find the courage to ask questions a...,Win (1 of 2)
464.,2014-06-06 00:57:56,135.60,99%,"If you really want to hear about it, the first thing you'll ...",Win (1 of 2)
463.,2014-06-06 00:56:43,138.08,95%,"Thing is Butch, right now you got ability. But painful as it...",Win (1 of 2)
462.,2014-06-06 00:19:12,143.95,97%,Step out the front door like a ghost into the fog where no o...,Win (1 of 2)
461.,2014-06-06 00:17:17,147.85,100%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",Win (1 of 2)
460.,2014-06-06 00:15:39,132.51,96%,"The Earth is a world, the world is a ball, a ball in a game ...",Win (1 of 2)
459.,2014-06-02 23:49:07,119.76,92%,"Keying text quickly is important, but it is more important t...",Win (1 of 2)
458.,2014-06-02 23:47:55,124.95,99%,"Air-conditioned, odorless, illuminated by buzzing fluorescen...",Win (1 of 2)
457.,2014-06-02 23:46:26,125.93,96%,Since the 1980s virtually all the sodas and most of the frui...,Win (1 of 2)
456.,2014-06-02 23:44:59,131.22,97%,"O clear intelligence, force beyond all measure! Gentlemen, I...",Win (1 of 2)
455.,2014-06-02 23:44:02,116.00,89%,"Because they're at the bottom of the scale, nerds are a safe...",Win (1 of 2)
454.,2014-06-02 23:42:32,144.73,97%,Step out the front door like a ghost into the fog where no o...,Win (1 of 2)
453.,2014-06-02 23:41:03,132.03,97%,"As customers of all races, nationalities, and cultures visit...",Win (1 of 2)
452.,2014-06-02 23:39:47,129.35,96%,Do I really look like a guy with a plan? You know what I am?...,Win (1 of 2)
451.,2014-06-02 23:38:14,134.89,99%,Few smart kids can spare the attention that popularity requi...,Win (1 of 2)
450.,2014-06-02 23:36:54,138.45,97%,With the coming of Dean Moriarty began the part of my life y...,Win (1 of 2)
449.,2014-06-02 05:32:14,128.75,98%,"Every craft and every investigation, and likewise every acti...",Win (1 of 2)
448.,2014-06-02 05:30:42,132.01,99%,"Do you smell that? Napalm, son. Nothing else in the world sm...",Win (1 of 2)
447.,2014-06-02 05:29:48,108.43,90%,"Well, the way they make shows is, they make one show. That s...",Win (1 of 2)
446.,2014-06-02 05:28:15,91.78,91%,"Historian James C. Cobb has described southern identity as ""...",Win (1 of 2)
