902.,2014-06-09 20:56:00,126.29,99%,"Well, it just so happens, this hacienda comes with its very ...",No win (1 of 1)
901.,2014-06-09 20:55:22,123.97,99%,Any finite number divided by infinity is as near to nothing ...,Win (1 of 4)
900.,2014-06-09 20:54:29,112.80,95%,Your faith was strong but you needed proof. You saw her bath...,Win (1 of 3)
899.,2014-06-09 20:53:54,97.88,94%,"Anyway, like I was saying, shrimp is the fruit of the sea. Y...",Win (1 of 5)
898.,2014-06-09 20:53:17,121.44,98%,He canceled all his commitments and pulled together the most...,Win (1 of 4)
897.,2014-06-09 20:52:36,122.57,96%,The most precious treasures we have in life are the images w...,No win (2 of 3)
896.,2014-06-09 20:51:58,116.61,95%,"When the light of life has gone, no change for the meter. Th...",Win (1 of 3)
895.,2014-06-09 20:51:21,110.05,96%,We began to recognize in them a strange obsession. After all...,No win (2 of 4)
894.,2014-06-09 20:50:35,114.40,96%,A giant inverted steel pyramid is perfectly balanced on its ...,Win (1 of 2)
893.,2014-06-09 20:49:48,121.11,98%,"There are perhaps twenty regular posters on the forum, and s...",Win (1 of 4)
892.,2014-06-09 20:48:58,103.46,94%,"I'm so glad you came, I'm so glad you remembered, to see how...",No win (4 of 5)
891.,2014-06-09 20:48:26,118.99,97%,But the two men were not lonely at all. At home they were co...,Win (1 of 3)
890.,2014-06-09 20:47:44,128.20,100%,One thing I've learned in the last seven years: in every gam...,Win (1 of 4)
889.,2014-06-09 20:47:12,113.80,95%,The chemistry of an element is determined by the manner in w...,Win (1 of 3)
888.,2014-06-09 20:45:57,117.61,96%,A giant inverted steel pyramid is perfectly balanced on its ...,Win (1 of 5)
887.,2014-06-09 20:45:09,130.82,100%,Don't take anything personally - nothing others do is becaus...,Win (1 of 5)
886.,2014-06-09 20:44:34,115.11,98%,Even the best-designed chair won't make up for bad posture. ...,Win (1 of 4)
885.,2014-06-09 20:43:59,111.84,97%,Danger is a topic you're often asked about as a sprinter. Th...,Win (1 of 2)
884.,2014-06-09 20:42:59,118.58,95%,"She's got a smile that, it seems to me, reminds me of childh...",No win (2 of 5)
883.,2014-06-09 20:42:19,114.84,96%,"When you are typing on a typewriter, your input appears dire...",No win (2 of 5)
882.,2014-06-09 20:41:45,106.77,95%,The Inca believed that if one did not give thanks and obedie...,Win (1 of 3)
881.,2014-06-09 20:40:55,111.87,97%,Quality humor doesn't just deliver one gag and then tax the ...,Win (1 of 2)
880.,2014-06-09 20:40:14,116.58,94%,I thought climbing the Devil's Thumb would fix all that was ...,No win (2 of 4)
879.,2014-06-09 20:39:16,116.89,98%,The unknown future rolls toward us. I face it for the first ...,No win (3 of 5)
878.,2014-06-09 20:38:42,120.17,99%,Few smart kids can spare the attention that popularity requi...,Win (1 of 3)
877.,2014-06-09 20:37:53,118.57,96%,"People get ready, there's a train coming. You don't need no ...",Win (1 of 4)
876.,2014-06-09 20:37:20,118.69,98%,The example of painting can teach us not only how to manage ...,Win (1 of 5)
