464.,2017-02-03 23:52:04,110.38,96%,"Give not thyself up, then, to fire, lest it invert thee, dea...",Win (1 of 4)
463.,2016-11-16 11:17:33,84.18,81%,"We can experience nothing but the present moment, live in no...",No win (4 of 4)
462.,2016-11-16 11:16:36,142.23,99%,I've been looking so long at these pictures of you that I al...,Win (1 of 3)
461.,2015-09-26 23:16:35,100.53,94%,It is greatly to America's advantage that it is a congenial ...,Win (1 of 5)
460.,2015-08-19 18:46:38,111.78,95%,Vigorous writing is concise. A sentence should contain no un...,Win (1 of 2)
459.,2015-08-19 18:45:10,122.81,94%,"When the light of life has gone, no change for the meter. Th...",Win (1 of 2)
458.,2015-08-19 18:42:10,124.62,98%,I just want to tell you how I'm feeling. Gotta make you unde...,Win (1 of 4)
457.,2015-01-11 12:36:35,99.35,88%,If I'm curt with you it's because time is a factor. I think ...,No win (2 of 2)
456.,2015-01-11 12:31:07,121.50,99%,I've always wondered about this coat business. When I'm in a...,No win (2 of 5)
455.,2015-01-11 12:30:24,128.48,98%,San Francisco in the middle sixties was a very special time ...,Win (1 of 5)
454.,2015-01-11 12:29:43,120.78,95%,"But older than me now, more constant, more real, and the fur...",Win (1 of 4)
453.,2014-05-01 23:38:57,102.30,94%,"The boy has not a real choice, has he? Self-interest, the fe...",Win (1 of 3)
452.,2014-05-01 23:38:17,107.04,95%,"Tis but thy name that is my enemy. Thou art thyself, though ...",No win (3 of 3)
451.,2014-05-01 23:37:13,116.85,95%,"The creation ends in South Georgia, at the very edge of the ...",Win (1 of 3)
450.,2014-05-01 23:36:06,124.46,99%,Always do your best - your best is going to change from mome...,Win (1 of 3)
449.,2014-05-01 23:35:28,112.29,95%,I think you're gonna find - when all this stuff is over and ...,No win (3 of 3)
448.,2013-02-02 22:22:23,119.28,94%,"The less you do with the controls, the less chance of error....",Win (1 of 2)
447.,2013-01-24 12:20:00,117.22,98%,"And today, Lady Liberty is under attack from the cable chann...",Win (1 of 3)
446.,2013-01-22 22:38:52,109.37,96%,The great edifice of variety and choice that is an American ...,Win (1 of 3)
445.,2013-01-22 22:38:07,108.88,93%,"Races are not won in the first corner; however, they are oft...",No win (2 of 3)
444.,2013-01-22 22:37:07,107.78,97%,"Because they're at the bottom of the scale, nerds are a safe...",Win (1 of 3)
443.,2013-01-22 22:36:19,100.81,94%,I had the impression of being abandoned by everyone when the...,Win (1 of 4)
442.,2013-01-15 22:35:33,108.01,95%,Always do your best - your best is going to change from mome...,Win (1 of 2)
441.,2013-01-15 22:34:35,123.40,93%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 4)
440.,2012-09-26 19:47:40,115.68,96%,The basic concept is simple: a satellite in geosynchronous o...,Win (1 of 4)
439.,2012-08-28 18:56:51,123.10,94%,"Right, I am going to tell you how this works. You're going i...",Win (1 of 2)
438.,2012-08-22 21:35:14,119.66,96%,"Combat for a naval aviator is fought in short, violent burst...",No win (2 of 3)
