539.,2016-12-05 12:47:35,110.86,97%,Many wines have more than 14 percent alcohol because the win...,Win (1 of 4)
538.,2016-12-05 12:45:58,114.49,96%,Language is one of the keys to being human. It allows us to ...,Win (1 of 3)
537.,2016-12-05 12:44:43,111.69,99%,"For tonight's final illusion, we have the incredible sack of...",Win (1 of 4)
536.,2016-12-05 12:41:24,125.89,98%,"We turn away to face the cold, enduring chill, as the day be...",Win (1 of 4)
535.,2016-12-05 12:38:30,122.38,97%,There are usually three types of people I deal with when sel...,Win (1 of 3)
534.,2016-12-05 12:34:39,134.25,97%,"Everyone gets everything he wants. I wanted a mission, and f...",Win (1 of 5)
533.,2016-12-05 12:33:51,103.03,97%,Plato is always concerned to advocate views that will make p...,No win (2 of 5)
532.,2016-12-02 10:31:06,106.01,97%,"It was too big to be called a sword. Massive, thick, heavy, ...",No win (2 of 2)
531.,2016-12-02 10:21:06,109.57,95%,"I had a job, I had a girl. I had something going, mister, in...",No win (2 of 3)
530.,2016-12-02 10:19:06,116.65,95%,"After others have talked about themselves, a point will be r...",Win (1 of 3)
529.,2016-12-02 10:18:20,113.39,95%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 5)
528.,2016-12-02 10:17:17,109.53,97%,There are still some places where you can get all you can ea...,Win (1 of 4)
527.,2016-12-02 10:13:22,125.17,97%,You can know the name of a bird in all the languages of the ...,Win (1 of 4)
526.,2016-12-02 10:09:31,116.27,98%,I don't think we'd have any alternatives. There isn't a sing...,No win (2 of 5)
525.,2016-12-02 10:08:36,110.63,97%,There was a stage and a PA up in western Massachusetts and t...,Win (1 of 2)
524.,2016-12-02 10:06:36,104.54,93%,"A little boy went out to play. When he opened his door, he s...",No win (3 of 4)
523.,2016-12-02 10:03:44,94.17,93%,Overhead the albatross hangs motionless upon the air and dee...,Win (1 of 3)
522.,2016-12-02 10:00:09,115.33,95%,"A little boy went out to play. When he opened his door, he s...",Win (1 of 5)
521.,2016-12-02 09:59:11,113.93,93%,The example of painting can teach us not only how to manage ...,No win (2 of 3)
520.,2016-12-02 09:57:03,110.59,95%,"Above all, don't lie to yourself. The man who lies to himsel...",Win (1 of 4)
519.,2016-12-02 09:56:02,104.14,94%,I remember when we used to sit in the government yard in Tre...,Win (1 of 5)
518.,2016-08-04 09:27:00,100.43,93%,"Right, I am going to tell you how this works. You're going i...",No win (2 of 5)
517.,2016-08-04 09:25:49,95.46,90%,Don't bother trying to explain your emotions. Live everythin...,Win (1 of 4)
516.,2016-08-04 09:24:22,102.01,95%,The only message I got was from the company that holds my st...,No win (2 of 3)
515.,2016-08-04 09:21:47,102.88,95%,Is it sweeter to exist only in the mind or to exist both in ...,No win (2 of 3)
514.,2016-08-04 09:20:57,109.25,94%,"Whether they use the title or not, many lyrics have evocativ...",No win (2 of 2)
513.,2016-08-04 09:19:40,104.59,97%,Few smart kids can spare the attention that popularity requi...,Win (1 of 4)
512.,2016-08-04 08:52:36,102.59,98%,"A little boy went out to play. When he opened his door, he s...",No win (3 of 4)
511.,2016-08-04 08:51:37,106.75,95%,Well I woke in mid-afternoon cause that's when it all hurts ...,Win (1 of 3)
510.,2016-08-04 08:49:08,106.74,94%,"Never give up, no matter how far behind you are, no matter h...",No win (2 of 2)
509.,2016-08-04 08:46:40,110.79,96%,Be impeccable with your word - speak with integrity. Say onl...,Win (1 of 5)
508.,2016-08-04 08:42:53,92.06,88%,"You know, sweetheart, if there's one thing I've learned, it'...",No win (3 of 3)
507.,2016-08-04 08:42:20,99.17,92%,In the beginning there was only a small amount of injustice ...,Win (1 of 5)
506.,2016-08-04 08:37:43,113.90,96%,"For centuries, the battle of morality was fought between tho...",No win (2 of 3)
505.,2016-08-04 08:35:52,104.70,94%,I've been thinking lots about my life and how quick I'd wash...,Win (1 of 5)
504.,2016-08-04 08:35:12,115.65,92%,"Don't tell me what's in, don't tell me how to write, don't t...",No win (3 of 5)
503.,2016-08-04 08:34:33,120.69,97%,There's a hole in the world like a great black pit. And the ...,Win (1 of 4)
502.,2016-08-04 08:31:47,112.08,96%,"I had a dream. There was our world, and the world was dark b...",No win (2 of 3)
501.,2016-08-04 08:30:53,97.83,92%,"Look, you should admit to yourself that Microsoft will miss ...",No win (2 of 2)
500.,2016-08-04 08:30:05,110.00,93%,You have two choices: you can keep running and hiding and bl...,No win (2 of 2)
499.,2016-02-25 15:18:57,104.21,93%,In the beginning there was only a small amount of injustice ...,No win (2 of 4)
498.,2016-02-25 15:18:16,120.91,97%,You can know the name of a bird in all the languages of the ...,Win (1 of 3)
497.,2016-02-25 15:16:51,102.51,94%,There's sometimes a buggy. How many drivers does a buggy hav...,No win (2 of 3)
496.,2016-02-25 15:15:56,101.37,96%,I've seen things you people wouldn't believe. Attack ships o...,No win (2 of 4)
495.,2016-02-25 15:15:16,94.55,95%,"Whether you're a student, secretary, office administrator, m...",Win (1 of 5)
494.,2016-02-25 15:13:18,115.79,96%,I've been looking so long at these pictures of you that I al...,Win (1 of 5)
493.,2016-02-25 15:12:30,118.37,96%,I can already hear your tune calling me across the room. Whe...,Win (1 of 3)
492.,2016-02-25 15:09:32,132.18,100%,You're not like the others. I've seen a few; I know. When I ...,No win (2 of 5)
491.,2016-02-25 15:07:39,97.95,99%,"In short order, Carter then proceeded to kill any chance he ...",Win (1 of 2)
490.,2016-02-25 15:05:37,108.35,97%,We're no strangers to love. You know the rules and so do I. ...,No win (3 of 4)
489.,2015-10-25 10:56:38,116.57,99%,"After others have talked about themselves, a point will be r...",Win (1 of 5)
488.,2015-10-25 10:54:19,111.53,99%,Popularity is only partially about individual attractiveness...,Win (1 of 3)
487.,2015-10-14 14:36:53,113.09,96%,As much money and life as you could want! The two things mos...,No win (2 of 5)
486.,2015-10-14 14:33:45,119.08,99%,She's got eyes of the bluest skies as if they thought of rai...,No win (3 of 5)
485.,2015-10-14 14:32:35,94.51,93%,So it's all come back round to breaking apart again. Breakin...,No win (2 of 3)
484.,2015-10-14 14:30:32,97.31,95%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",No win (2 of 2)
483.,2015-10-14 14:27:41,95.96,92%,I said that I would see you because I had heard that you wer...,No win (2 of 3)
482.,2015-10-14 07:54:53,101.53,96%,"In the casino, the cardinal rule is to keep them playing and...",No win (4 of 4)
481.,2015-10-14 07:53:55,113.00,99%,"When she returns to the forum page, her post is there. It is...",Win (1 of 3)
480.,2015-10-14 07:49:27,100.62,93%,"My friend, I shall be pedagogic, and say you ought to start ...",No win (2 of 3)
479.,2015-10-14 07:48:40,110.94,98%,We all know people who are very bright but who do not always...,Win (1 of 4)
478.,2015-10-14 07:46:36,101.44,95%,We're no strangers to love. You know the rules and so do I. ...,Win (1 of 2)
477.,2015-10-14 07:46:04,100.55,97%,"Even though there may be a deceiver of some sort, very power...",Win (1 of 2)
476.,2015-10-14 07:43:54,101.58,93%,"Hanging by threads of palest silver, I could have stayed tha...",Win (1 of 4)
475.,2015-10-14 07:42:06,112.63,96%,"So I was sitting in my cubicle today, and I realized, ever s...",Win (1 of 4)
474.,2015-10-14 07:41:15,100.61,94%,"Time is tricky. You have whole months, even years, when noth...",No win (3 of 3)
473.,2015-10-13 15:08:45,106.21,93%,Rhymes trap you into saying things you don't want to say. A ...,No win (2 of 5)
472.,2015-10-13 14:59:53,117.42,97%,"The Earth is a world, the world is a ball, a ball in a game ...",Win (1 of 3)
471.,2015-10-13 14:59:19,87.96,94%,Unlike the other four senses located in the logical regions ...,Win (1 of 2)
470.,2015-10-13 14:53:17,87.89,91%,It doesn't mean much to be able to filter out most present-d...,No win (2 of 3)
469.,2015-08-02 08:06:46,113.30,98%,"I don't believe in an interventionist God, but I know, darli...",No win (2 of 3)
