650.,2017-11-05 20:09:48,117.01,99%,"Let me tell you the story of right hand, left hand. It's a t...",No win (2 of 4)
649.,2017-11-05 20:01:25,123.48,98%,"Social scientists sometimes talk about the concept of ""ident...",Win (1 of 3)
648.,2017-11-05 02:56:37,120.74,98%,"The world's changing out there, there are a lot of new, exci...",No win (2 of 3)
647.,2017-11-03 03:01:31,119.04,100%,"Good games stay within, but at the outer edge, of the player...",Win (1 of 4)
646.,2017-11-03 02:51:23,123.46,99%,"Tonight I'm making deals with the devil, and I know it's gon...",Win (1 of 5)
645.,2017-11-03 02:50:55,118.50,98%,"When you type faster than usual, it forces you to start look...",Win (1 of 5)
644.,2017-11-03 02:48:35,122.21,99%,"Well, let me tell you something, Caveman. You are here on ac...",No win (2 of 5)
643.,2017-11-03 02:43:12,120.79,98%,"Only, we must allow time. But our demands as far as time is ...",Win (1 of 4)
642.,2017-11-03 02:41:17,118.84,100%,We all have such fateful objects - it may be a recurrent lan...,Win (1 of 5)
641.,2017-11-03 02:40:12,128.06,99%,These memories lose their meaning when I think of love as so...,No win (4 of 4)
640.,2017-11-03 02:39:40,120.51,98%,Society is commonly too cheap. We meet at very short interva...,No win (2 of 5)
639.,2017-11-03 02:39:00,119.66,99%,We don't understand what really causes events to happen. His...,No win (4 of 4)
638.,2017-11-03 02:38:15,133.68,99%,You can know the name of a bird in all the languages of the ...,Win (1 of 4)
637.,2017-11-03 02:37:10,111.03,98%,This is H.V. Kaltenborn speaking. Half of official Washingto...,Win (1 of 2)
636.,2017-11-03 02:36:02,111.57,97%,As the United States assumed greater status as a power in wo...,Win (1 of 5)
635.,2017-11-03 02:35:28,113.88,98%,"What I want you to be - I don't mean physically but morally,...",Win (1 of 3)
634.,2017-11-03 02:34:30,121.58,99%,A place where there isn't any trouble. Do you suppose there ...,Win (1 of 3)
633.,2017-11-03 02:33:53,89.90,98%,"Miss Wormwood, I protest this ""C"" grade! That's saying I onl...",No win (1 of 1)
632.,2017-11-03 02:32:50,102.50,97%,"This was the most delicious meal he'd had in recent years, a...",No win (2 of 5)
631.,2017-11-03 02:32:03,117.36,98%,"She can kill with a smile, she can wound with her eyes, she ...",Win (1 of 5)
630.,2017-11-03 02:31:25,120.64,99%,"Today, you people are no longer maggots. Today, you are Mari...",Win (1 of 4)
629.,2017-10-11 23:21:50,104.01,98%,Monsters are closing in! Throw your pack against them and pu...,No win (2 of 2)
628.,2017-10-11 23:21:02,105.78,98%,Few of us make any serious effort to remember what we read. ...,No win (2 of 4)
627.,2017-10-11 23:18:07,106.56,98%,The boy had been working for the crystal merchant for almost...,No win (4 of 4)
626.,2017-10-11 23:17:23,103.77,98%,No one has ever witnessed the complete evolution of any star...,No win (2 of 5)
625.,2017-10-11 23:16:28,107.51,98%,You are too generous to trifle with me. If your feelings are...,Win (1 of 4)
624.,2017-10-11 23:15:42,115.23,98%,So can we be friends sweetly before the mystery ends? I love...,Win (1 of 2)
623.,2017-10-11 23:15:07,101.93,98%,Manuel... my wife informs me that you're... depressed. Let m...,No win (5 of 5)
622.,2017-10-11 23:14:26,114.62,98%,"After removal from the oven, the pizza is sliced and plated ...",No win (3 of 4)
621.,2017-10-11 23:13:35,126.99,99%,"Only, we must allow time. But our demands as far as time is ...",No win (2 of 4)
620.,2017-10-11 23:12:21,114.72,99%,The Canadians were glad to keep mum. The scheme would boost ...,Win (1 of 3)
619.,2017-10-11 23:11:46,107.32,98%,Underneath the bridge the tarp has sprung a leak and the ani...,No win (3 of 3)
618.,2017-10-11 23:11:06,113.73,98%,"""Sophomore sensation credits her agility and quick first ste...",Win (1 of 5)
617.,2017-10-11 23:10:15,135.07,100%,"And you can fly high as a kite if you want to, faster than l...",Win (1 of 5)
