380.,2016-11-12 10:01:53,132.40,98%,"Living men are bound by time... Thus, their lives have an ur...",Win (1 of 3)
379.,2016-11-12 10:00:56,112.74,93%,"The higher a man stands on the social ladder, the greater th...",Win (1 of 3)
378.,2016-11-12 10:00:14,125.20,95%,The child is brought up in a culture where he or she simply ...,No win (2 of 3)
377.,2016-10-14 17:25:54,128.81,99%,I can and do say that nothing human beings have ever before ...,Win (1 of 2)
376.,2016-10-14 17:25:10,107.06,98%,The inner surface of the cell wall touches the cytoplasmic m...,No win (3 of 3)
375.,2016-04-28 14:57:14,116.95,98%,"Now you might ask yourself, if by yourself you mean me, ""Ste...",No win (2 of 3)
374.,2016-04-28 14:56:28,127.42,97%,"It's a funny thing, but people mostly have it backward. They...",Win (1 of 3)
373.,2016-03-27 10:14:56,130.52,99%,"I went to the woods because I wished to live deliberately, t...",Win (1 of 3)
372.,2016-03-27 10:14:11,110.70,95%,We might begin by asking why the pregnant man image has been...,Win (1 of 3)
371.,2016-03-19 12:21:56,140.01,99%,"Take care where you're going, doing all the things you do. E...",Win (1 of 5)
370.,2016-03-12 10:58:48,139.54,99%,I see in your eyes the same fear that would take the heart o...,Win (1 of 3)
369.,2016-03-12 08:53:35,132.71,97%,At first they had tried to keep the finding quiet. After all...,Win (1 of 3)
368.,2016-03-12 08:52:46,126.64,98%,This business is filled to the brim with unrealistic people ...,Win (1 of 2)
367.,2016-03-12 08:51:51,126.44,98%,The beginner writes just twenty pieces. The professional wri...,Win (1 of 3)
366.,2016-03-12 08:51:01,117.24,97%,"When I was a kid, you never saw radicchio in the produce sec...",Win (1 of 2)
365.,2016-03-12 08:49:18,136.91,99%,As much money and life as you could want! The two things mos...,No win (2 of 2)
364.,2016-03-12 08:48:45,117.02,97%,"Dear Mr. Vernon, We accept the fact that we had to sacrifice...",Win (1 of 5)
363.,2016-03-12 08:47:44,127.90,98%,A glooming peace this morning with it brings. The sun for so...,Win (1 of 3)
362.,2016-03-12 08:45:15,130.06,98%,"The Earth is a world, the world is a ball, a ball in a game ...",Win (1 of 3)
