643.,2017-11-06 11:56:40,99.35,96%,"I wish I was like you, easily amused. Find my nest of salt. ...",No win (2 of 5)
642.,2017-11-06 11:16:39,129.97,99%,Although some men who were easy with their words said that i...,No win (2 of 5)
641.,2017-07-07 20:56:46,121.01,98%,"What you need to learn, children, is the difference between ...",Win (1 of 4)
640.,2017-07-07 20:56:05,113.60,97%,As a manager you will also be able to control gravity. Sir I...,Win (1 of 2)
639.,2017-07-07 20:54:59,117.78,98%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",Win (1 of 3)
638.,2017-07-07 20:54:00,101.12,97%,Whatsoever I've feared has come to life. Whatsoever I've fou...,Win (1 of 2)
637.,2015-06-19 05:21:38,117.03,90%,"Don't tell me what's in, don't tell me how to write, don't t...",No win (2 of 4)
636.,2015-06-19 05:21:04,120.16,91%,Now I want you to think and stop being a smart aleck. A man'...,Win (1 of 3)
635.,2015-06-19 05:20:13,133.96,97%,Punishment and negative reinforcement are opposites. Punishm...,Win (1 of 3)
634.,2014-09-07 19:34:00,108.79,90%,Aztec rule was based upon a system of tribute and fear over ...,Win (1 of 3)
633.,2014-09-07 19:32:55,154.90,97%,"Time is tricky. You have whole months, even years, when noth...",Win (1 of 3)
632.,2014-09-07 19:31:50,148.85,98%,"Whether they use the title or not, many lyrics have evocativ...",Win (1 of 2)
631.,2014-09-07 19:31:07,136.70,96%,Instead of hiring workers during the peak hog kill in the wi...,Win (1 of 4)
630.,2014-09-07 19:30:03,122.72,91%,"Now you might ask yourself, if by yourself you mean me, ""Ste...",No win (2 of 3)
629.,2014-09-07 19:28:58,139.11,97%,"I did my best, it wasn't much. I couldn't feel, so I tried t...",Win (1 of 2)
628.,2014-09-07 19:28:16,110.55,91%,"After the grapes are crushed, yeasts (tiny one-celled organi...",Win (1 of 3)
627.,2014-09-07 19:27:27,148.64,99%,"People get ready, there's a train coming. You don't need no ...",Win (1 of 2)
626.,2013-03-07 03:50:59,132.44,97%,"I'd been walking for hours and, as usual, I'd lost track of ...",Win (1 of 3)
625.,2012-04-23 00:47:52,118.93,92%,The treatment of atoms with more than one electron requires ...,No win (2 of 3)
624.,2012-04-23 00:46:15,122.32,93%,I said that I would see you because I had heard that you wer...,No win (2 of 3)
623.,2012-04-23 00:44:43,122.55,95%,The streets were cleared by a Critical Mass bike ride and we...,Win (1 of 5)
622.,2011-08-01 02:15:25,130.59,96%,"Combat for a naval aviator is fought in short, violent burst...",Win (1 of 2)
621.,2011-08-01 02:14:35,120.83,96%,"Historically, most wines contained less than 14 percent alco...",Win (1 of 3)
620.,2010-05-06 16:39:19,171.97,100%,Although his voice was also broken by uncertainty and his ha...,Win (1 of 3)
619.,2010-03-18 23:46:08,152.78,100%,"Ticking away the moments that make up a dull day, you fritte...",No win (1 of 1)
618.,2010-03-03 00:03:21,135.35,100%,We began to recognize in them a strange obsession. After all...,Win (1 of 3)
617.,2010-03-03 00:02:17,141.39,100%,"The melted mozzarella layer, which we shall designate MML, i...",Win (1 of 3)
616.,2010-03-03 00:01:26,121.06,100%,"Hey Mr. Tambourine Man, play a song for me, I'm not sleepy a...",Win (1 of 5)
615.,2010-02-22 20:32:39,156.29,100%,"No matter how bad things are, you can always make things wor...",Win (1 of 3)
614.,2010-02-22 20:31:32,143.71,100%,Popularity is only partially about individual attractiveness...,Win (1 of 3)
613.,2010-02-22 20:30:47,137.85,100%,"When you are typing on a typewriter, your input appears dire...",Win (1 of 3)
612.,2010-02-22 00:00:08,138.98,100%,Popularity is only partially about individual attractiveness...,Win (1 of 3)
611.,2010-02-21 23:58:18,135.49,100%,Although his voice was also broken by uncertainty and his ha...,Win (1 of 2)
610.,2010-02-12 22:31:49,138.69,100%,"Thirdly, however, these wars could now be waged with the new...",Win (1 of 3)
609.,2010-02-12 22:30:16,135.39,100%,"Double, double, toil and trouble; fire burn, and cauldron bu...",Win (1 of 4)
608.,2010-02-12 22:29:11,142.52,100%,But speculations on the structure of the universe also move ...,Win (1 of 3)
607.,2010-01-14 00:23:35,137.52,100%,"After removal from the oven, the pizza is sliced and plated ...",Win (1 of 3)
606.,2010-01-14 00:22:33,139.84,100%,Stab a sorry heart with your favorite finger. Paint the whol...,Win (1 of 3)
605.,2009-11-27 17:19:58,137.76,100%,"If you don't get what you want, you suffer; if you get what ...",Win (1 of 4)
604.,2009-11-20 21:18:09,128.55,100%,He had spent enormous amounts of time at the great libraries...,Win (1 of 2)
603.,2009-11-17 19:49:03,125.24,100%,"Wilkinson County was a recipient of one of the new ""separate...",Win (1 of 2)
602.,2009-11-17 19:48:03,130.17,100%,"Keying text quickly is important, but it is more important t...",Win (1 of 3)
601.,2009-11-12 00:16:00,131.04,100%,"Hey Mr. Tambourine Man, play a song for me, I'm not sleepy a...",Win (1 of 3)
