904.,2017-01-02 18:02:09,64.54,90%,All the girls in the world were divided into two classes: on...,No win (4 of 4)
903.,2017-01-02 18:00:57,65.44,93%,In 1873 the Sholes & Glidden Type Writer became the firs...,No win (3 of 5)
902.,2017-01-02 17:59:34,65.74,91%,"You think cooking is a cute job, huh? Like mommy in the kitc...",No win (3 of 5)
901.,2017-01-02 17:58:17,68.35,92%,And I will look down and see my murmuring bones and the deep...,No win (4 of 5)
900.,2017-01-02 17:57:28,72.19,95%,Vowels were something else. He didn't like them and they did...,No win (2 of 4)
899.,2016-04-02 17:14:08,59.06,91%,"To be fair, English is full of booby traps for the unwary fo...",No win (3 of 4)
898.,2016-04-02 17:13:04,73.64,94%,We sit silently and watch the world around us. This has take...,No win (4 of 5)
897.,2016-03-28 20:08:13,69.98,93%,"The goal of the true seeker is to become a sage, or superior...",No win (2 of 5)
896.,2016-03-28 20:07:00,48.43,89%,"Tyrone: ""I don't want that dog dribbling on my seats."" Vinny...",Win (1 of 2)
895.,2016-03-28 20:05:56,62.38,89%,Once you get into the processed foods you have to be a fairl...,No win (3 of 4)
894.,2016-03-28 20:04:46,69.10,91%,"What good's a reward if you ain't around to use it? Besides,...",Win (1 of 5)
893.,2016-03-28 20:03:34,74.67,95%,This business is filled to the brim with unrealistic people ...,Win (1 of 4)
892.,2013-04-14 14:59:19,66.89,91%,The theory of music emphasizes the elements from which music...,Win (1 of 4)
891.,2013-04-14 14:57:37,58.21,92%,"The result has been the emergence of what some call the ""win...",No win (5 of 5)
890.,2013-04-14 14:56:12,62.40,92%,I sincerely believe that if women study male lessons on conc...,Win (1 of 3)
889.,2013-04-14 14:54:20,62.67,90%,"And in the world a heart of darkness, a firezone, where poet...",No win (2 of 3)
888.,2013-04-14 14:53:13,62.06,93%,"Run to the bedroom, in the suitcase on the left, you'll find...",No win (2 of 5)
887.,2012-12-02 11:56:21,61.75,91%,But speculations on the structure of the universe also move ...,No win (4 of 4)
886.,2012-12-02 11:54:50,65.20,91%,"I had a dream. There was our world, and the world was dark b...",No win (4 of 4)
885.,2012-12-02 11:53:36,61.22,92%,Corn is what feeds the steer that becomes the steak. Corn fe...,No win (2 of 3)
884.,2012-12-02 11:51:40,73.67,94%,Remembering you running soft through the night. You were big...,Win (1 of 5)
883.,2012-11-18 13:42:05,69.45,92%,"Samatha is a state in which the mind is brought to rest, foc...",No win (2 of 5)
882.,2012-11-18 13:41:08,66.22,91%,The alternative to binge travel - the mini retirement - enta...,No win (2 of 3)
881.,2012-11-18 13:39:57,62.10,91%,"I can feel the heat closing in, feel them out there making t...",No win (2 of 2)
880.,2012-11-18 13:38:47,71.21,95%,I've been thinking lots about my life and how quick I'd wash...,Win (1 of 2)
879.,2012-11-18 13:37:47,72.10,94%,"Ultimately, this is not about solving your problems. It's ab...",No win (2 of 4)
