134.,2012-10-13 22:02:11,138.60,94%,"You found paradise in America. You had a good trade, made a ...",Win (1 of 2)
133.,2012-10-13 22:01:23,131.61,93%,So what's in this for you? Should you rush out in search of ...,Win (1 of 2)
132.,2012-03-07 00:02:15,109.07,92%,Ideology: the process of making ideas. The work was generall...,No win (1 of 1)
131.,2012-03-07 00:01:15,131.24,96%,San Francisco in the middle sixties was a very special time ...,Win (1 of 5)
130.,2012-03-07 00:00:42,104.74,90%,I thought climbing the Devil's Thumb would fix all that was ...,Win (1 of 2)
129.,2012-03-07 00:00:00,124.54,95%,"All Ninja are men of peace, and must always remain so or los...",Win (1 of 3)
128.,2012-03-06 23:59:12,117.98,96%,So I'm two inches away from her. Her luscious lips part. Jus...,Win (1 of 4)
127.,2012-03-06 23:58:38,143.56,97%,"Let me get this straight. You think that your client, one of...",Win (1 of 4)
126.,2012-03-06 23:58:02,117.10,94%,"It's a blue savanna song: somewhere cross the desert, someti...",No win (2 of 3)
125.,2012-03-06 23:57:26,121.63,94%,I don't believe in painted roses or bleeding hearts while bu...,Win (1 of 3)
124.,2012-03-06 23:56:51,128.57,95%,It is possible that I already had some presentiment of my fu...,Win (1 of 4)
123.,2012-03-06 23:56:17,137.70,98%,Gardeners know how to grow top-notch crops. They determine w...,Win (1 of 4)
122.,2012-03-06 23:55:38,111.04,94%,Since every piece of matter in the Universe is in some way a...,Win (1 of 4)
121.,2012-03-06 23:54:48,117.26,94%,The ultimate way to compose is to be able to keyboard as fas...,Win (1 of 3)
120.,2012-03-06 23:54:01,125.52,96%,I don't believe in painted roses or bleeding hearts while bu...,Win (1 of 5)
119.,2012-03-06 23:53:29,115.08,93%,"When I was a kid, you never saw radicchio in the produce sec...",Win (1 of 2)
118.,2012-03-06 23:52:32,130.62,96%,In order to face down the danger that is stalking us and mov...,Win (1 of 2)
117.,2012-03-06 23:51:43,85.41,85%,"That's Tommy. He tells people he was named after a gun, but ...",No win (2 of 3)
116.,2012-03-06 23:50:58,112.05,90%,We've known each other for many years but this is the first ...,Win (1 of 4)
115.,2012-03-06 23:50:10,120.25,91%,"If you really want to hear about it, the first thing you'll ...",No win (2 of 5)
114.,2012-03-06 23:49:22,135.59,94%,One essential rule: make sure the joke is the last possible ...,Win (1 of 4)
113.,2012-03-06 23:48:47,129.22,95%,To an outsider's ear it sounds absurdly wild and ridiculous ...,Win (1 of 5)
112.,2012-03-06 23:48:19,122.27,92%,Who is Keyser Soze? He is supposed to be Turkish. Some say h...,Win (1 of 3)
111.,2012-03-06 23:47:20,108.50,90%,"Whether you're a student, secretary, office administrator, m...",No win (2 of 2)
110.,2012-03-06 23:46:16,126.30,93%,And I don't believe in the existence of angels but looking a...,No win (2 of 3)
109.,2012-03-06 23:45:18,135.03,96%,"In the English language, swearing is essential to effective ...",Win (1 of 3)
108.,2012-03-06 23:44:36,115.29,91%,Few smart kids can spare the attention that popularity requi...,Win (1 of 2)
107.,2012-03-06 23:42:46,132.06,92%,"When I was your age, television was called books. And this i...",Win (1 of 5)
106.,2012-03-06 23:42:11,134.59,95%,"Your face has fallen sad now, for you know the time is nigh....",Win (1 of 4)
105.,2012-03-06 23:41:34,97.14,91%,"Ergonomics is a term that combines the Greek word ergon, mea...",No win (2 of 3)
104.,2012-03-06 23:04:58,128.72,94%,This business is filled to the brim with unrealistic people ...,Win (1 of 2)
103.,2012-03-06 23:04:06,139.23,95%,"I'm so glad you came, I'm so glad you remembered, the walkin...",Win (1 of 4)
102.,2012-03-06 23:03:23,136.83,96%,Danger is a topic you're often asked about as a sprinter. Th...,Win (1 of 4)
101.,2012-03-06 23:02:37,134.27,95%,We were playing checkers. I used to kid her once in a while ...,Win (1 of 3)
100.,2012-03-06 23:01:32,126.32,94%,"I know that the idea of raising well-rounded, smarter kids c...",Win (1 of 4)
99.,2012-03-06 23:00:48,163.01,99%,"Your face has fallen sad now, for you know the time is nigh....",Win (1 of 2)
98.,2012-03-06 23:00:12,119.48,91%,If I'm curt with you it's because time is a factor. I think ...,Win (1 of 2)
97.,2012-03-06 22:59:37,153.18,96%,Is it really necessary to send that email? The more emails y...,Win (1 of 3)
96.,2012-03-06 22:58:51,118.20,93%,"It's a blue savanna song: somewhere cross the desert, someti...",Win (1 of 2)
95.,2012-03-06 22:58:14,120.70,93%,To drive out of the Central Valley of California on a hot da...,Win (1 of 2)
94.,2012-03-06 22:57:02,141.37,95%,Mac knew the score even if Aunt Ella didn't. Shot through th...,No win (2 of 2)
93.,2012-03-06 22:56:12,125.81,92%,"If you want to drive a race car well, whether to win an Indy...",No win (2 of 2)
92.,2012-03-06 22:55:11,122.42,96%,"Historian James C. Cobb has described southern identity as ""...",No win (2 of 2)
91.,2012-03-06 22:54:22,127.62,96%,"My friend, I shall be pedagogic, and say you ought to start ...",Win (1 of 3)
90.,2012-03-06 22:53:47,132.38,97%,"Whether you're a student, secretary, office administrator, m...",No win (2 of 2)
89.,2012-03-06 22:53:06,120.13,92%,"I've heard there was a secret chord that David played, and i...",No win (2 of 2)
88.,2012-03-06 22:52:26,143.40,97%,Paper as we know it today was invented in China in around 10...,No win (2 of 3)
