636.,2014-02-08 21:12:57,124.66,93%,The alternative to binge travel - the mini retirement - enta...,No win (2 of 4)
635.,2014-02-08 21:12:17,116.87,89%,"I rejected those answers; instead, I chose something differe...",Win (1 of 4)
634.,2014-02-08 21:09:54,106.16,89%,What? A swallow carrying a coconut? It's not a question of w...,Win (1 of 3)
633.,2014-02-08 21:08:56,126.99,92%,"And though my journeys did take me to a great many states, a...",Win (1 of 4)
632.,2014-02-08 21:08:13,138.15,96%,And I don't believe in the existence of angels but looking a...,Win (1 of 5)
631.,2014-02-08 21:07:33,114.45,96%,"After the grapes are crushed, yeasts (tiny one-celled organi...",Win (1 of 3)
630.,2014-02-08 21:07:00,120.06,96%,He canceled all his commitments and pulled together the most...,Win (1 of 4)
629.,2014-02-08 21:06:21,135.45,92%,There is a theory which states that if anybody ever discover...,Win (1 of 3)
628.,2014-02-08 21:05:41,116.56,93%,"One respondent said ""For women - a lot of games are crap - t...",Win (1 of 2)
627.,2014-02-08 21:04:37,133.61,93%,I never said I would stay to the end - I knew I would leave ...,Win (1 of 5)
626.,2014-02-08 21:03:53,122.61,94%,"And I said, I don't care if they lay me off either, because ...",Win (1 of 3)
625.,2014-02-08 21:03:01,130.42,100%,"One respondent said ""For women - a lot of games are crap - t...",Win (1 of 5)
624.,2014-02-08 21:02:28,108.17,80%,"There is no pain, you are receding. A distant ship smoke on ...",No win (2 of 4)
623.,2014-02-08 21:01:36,149.62,98%,A glooming peace this morning with it brings. The sun for so...,Win (1 of 5)
622.,2014-02-08 21:00:52,113.36,87%,"After removal from the oven, the pizza is sliced and plated ...",Win (1 of 2)
621.,2014-02-08 20:59:57,118.68,91%,Many wines have more than 14 percent alcohol because the win...,Win (1 of 3)
620.,2014-02-08 20:58:50,104.83,79%,Had dreams. Two of 'em. Both had my father. It's peculiar. I...,Win (1 of 3)
619.,2014-02-08 20:57:32,111.09,85%,"The brain can be a tool. It can recall phone numbers, solve ...",Win (1 of 3)
618.,2014-02-08 20:55:00,126.21,97%,"Imagine this: Here we are, a plane full of grown human being...",Win (1 of 5)
617.,2014-02-08 20:53:28,119.05,94%,Typing competitions provided another test of the Qwerty keyb...,No win (2 of 3)
616.,2014-02-08 20:52:38,119.28,96%,"Two households, both alike in dignity (in fair Verona, where...",Win (1 of 4)
615.,2014-02-08 20:51:47,125.01,93%,We were playing checkers. I used to kid her once in a while ...,Win (1 of 5)
614.,2014-02-08 20:50:47,113.78,88%,Is it sweeter to exist only in the mind or to exist both in ...,No win (3 of 5)
