671.,2015-07-21 03:38:01,112.14,92%,"After others have talked about themselves, a point will be r...",Win (1 of 2)
670.,2015-07-21 03:36:59,100.58,92%,"But older than me now, more constant, more real, and the fur...",Win (1 of 3)
669.,2015-07-21 03:33:34,107.39,95%,"I did my best, it wasn't much. I couldn't feel, so I tried t...",Win (1 of 3)
668.,2015-07-21 03:31:21,104.21,99%,"Very well, gentlemen. This, and maybe other similar things, ...",Win (1 of 5)
667.,2013-11-17 19:40:28,91.47,85%,Few smart kids can spare the attention that popularity requi...,No win (3 of 4)
666.,2013-11-17 19:38:34,112.43,93%,"If you are given too many choices, if you are forced to cons...",No win (2 of 5)
665.,2013-11-10 15:33:09,111.76,96%,"Well, the way they make shows is, they make one show. That s...",Win (1 of 3)
664.,2013-11-10 15:31:45,105.53,92%,Humans need to practice what they are learning a good deal b...,Win (1 of 2)
663.,2013-11-10 15:30:03,101.14,94%,"Ever since I was a child, folks have thought they had me peg...",No win (2 of 5)
662.,2013-11-10 15:25:34,100.91,98%,"Yeah, you just take Soupy-Sales to prom 'cause I can think o...",Win (1 of 5)
661.,2013-11-10 15:23:07,126.76,100%,Good games offer players a set of challenging problems and t...,Win (1 of 3)
660.,2013-10-28 17:03:03,107.11,94%,Always do your best - your best is going to change from mome...,No win (2 of 5)
659.,2013-10-24 17:04:37,100.90,91%,And when he rode past I seen he was carryin' fire in a horn ...,Win (1 of 3)
658.,2013-08-17 06:44:18,97.09,89%,"Never give up, no matter how far behind you are, no matter h...",No win (2 of 3)
657.,2013-08-17 06:42:40,120.41,96%,You've got a way to keep me on your side. You give me cause ...,Win (1 of 4)
656.,2013-08-17 06:41:41,104.82,95%,"Yet one fine day, in a fit of euphoria, after he had picked ...",Win (1 of 5)
655.,2013-08-17 06:39:02,93.08,95%,"Prior to the 1970's, because the United States had long been...",Win (1 of 4)
654.,2013-08-17 06:36:34,105.16,94%,"The goal of the true seeker is to become a sage, or superior...",Win (1 of 2)
653.,2013-08-02 17:36:10,109.49,98%,Typing competitions provided another test of the Qwerty keyb...,No win (1 of 1)
652.,2013-07-30 08:01:31,92.01,87%,"Often, we assume that a familiar situation will be but a rep...",No win (2 of 4)
651.,2013-05-24 10:13:05,99.84,96%,To an outsider's ear it sounds absurdly wild and ridiculous ...,Win (1 of 3)
650.,2013-05-24 10:11:11,120.81,94%,"I'm so glad you came, I'm so glad you remembered, the walkin...",Win (1 of 3)
649.,2013-05-21 16:27:39,101.16,96%,"Imagine a vast sheet of paper on which straight Lines, Trian...",Win (1 of 3)
648.,2013-05-21 16:26:34,89.80,92%,"But older than me now, more constant, more real, and the fur...",No win (3 of 5)
647.,2013-05-21 16:25:31,111.99,98%,What should have been swift revenge turned into an all out w...,Win (1 of 5)
646.,2013-05-21 15:30:34,101.97,96%,In order to become an elf I filled out ten pages' worth of f...,Win (1 of 5)
645.,2013-05-21 15:29:43,90.96,92%,Data is by definition easy to copy. And the Internet makes c...,No win (2 of 5)
644.,2013-05-21 15:28:37,98.35,94%,Imagine for a moment if we once again knew these few unremar...,No win (2 of 4)
643.,2013-05-21 15:27:32,91.41,95%,"The day dawned bleak and chill, a moving wall of gray light ...",Win (1 of 3)
642.,2013-05-16 10:27:27,93.92,91%,The great edifice of variety and choice that is an American ...,Win (1 of 4)
641.,2013-05-16 10:23:03,99.68,93%,Had dreams. Two of 'em. Both had my father. It's peculiar. I...,Win (1 of 5)
640.,2013-05-16 10:22:00,95.73,93%,"All Ninja are men of peace, and must always remain so or los...",Win (1 of 3)
639.,2013-05-16 10:20:59,105.39,97%,With the coming of Dean Moriarty began the part of my life y...,Win (1 of 4)
638.,2013-05-16 10:19:33,89.74,91%,Instead of hiring workers during the peak hog kill in the wi...,Win (1 of 4)
637.,2013-02-03 14:35:17,113.66,96%,Don't make assumptions - find the courage to ask questions a...,Win (1 of 4)
636.,2013-02-03 14:33:49,82.26,81%,The beginner writes just twenty pieces. The professional wri...,Win (1 of 3)
635.,2013-02-03 14:32:04,91.79,90%,"Common knowledge has bicyclists always riding into the wind,...",Win (1 of 4)
634.,2013-02-03 14:30:02,95.85,89%,"I know that the idea of raising well-rounded, smarter kids c...",Win (1 of 4)
633.,2013-02-03 14:28:02,104.71,94%,Lucid but wholly false recollections can easily be induced b...,Win (1 of 3)
632.,2013-02-03 14:23:48,90.10,91%,Data is by definition easy to copy. And the Internet makes c...,Win (1 of 3)
631.,2013-02-03 14:21:36,102.13,90%,I don't know why he saved my life. Maybe in those last momen...,Win (1 of 2)
630.,2013-02-03 14:20:04,110.32,97%,But the two men were not lonely at all. At home they were co...,Win (1 of 2)
629.,2013-02-03 14:18:28,100.20,89%,"Good games stay within, but at the outer edge, of the player...",Win (1 of 2)
628.,2012-11-22 07:53:38,98.33,88%,Your inner child will be happy to know that when it comes to...,No win (2 of 4)
627.,2012-11-22 07:49:07,98.25,88%,The ultimate way to compose is to be able to keyboard as fas...,Win (1 of 3)
626.,2012-11-22 07:48:07,94.67,92%,Many wines have more than 14 percent alcohol because the win...,Win (1 of 3)
625.,2012-11-22 07:46:21,93.84,92%,"I often see racers, particularly at the back of the pack in ...",No win (1 of 1)
624.,2012-11-22 07:45:05,96.29,87%,With the coming of Dean Moriarty began the part of my life y...,Win (1 of 5)
623.,2012-11-22 07:44:06,101.20,94%,He rode past me and kept on goin'. Never said nothin' goin' ...,No win (1 of 1)
622.,2012-11-22 07:42:49,90.65,92%,"According to the popular story, the keyboard invented by Aug...",Win (1 of 3)
621.,2012-11-22 07:41:19,91.09,91%,I had the impression of being abandoned by everyone when the...,No win (2 of 5)
620.,2012-11-22 07:40:02,99.03,96%,We don't need no education. We don't need no thought control...,Win (1 of 4)
619.,2012-11-21 14:18:32,95.86,95%,You have to wonder: how do the machines know what Tasty Whea...,No win (1 of 1)
618.,2012-11-21 14:17:34,95.97,90%,"When Betty and Billy fell asleep, he walked down to the kitc...",Win (1 of 5)
617.,2012-11-21 14:16:03,110.90,98%,Remember that humor is written backwards. That means you fir...,Win (1 of 4)
616.,2012-11-21 14:15:31,101.46,94%,"He was rough around the edges. He'd been to school, but neve...",Win (1 of 5)
615.,2012-11-21 14:14:24,88.93,90%,"I know that the idea of raising well-rounded, smarter kids c...",No win (2 of 5)
614.,2012-11-21 14:13:22,101.72,97%,Do you know what they call a Quarter-pounder with cheese in ...,No win (2 of 5)
613.,2012-11-21 14:12:45,95.12,93%,"The creation ends in South Georgia, at the very edge of the ...",No win (2 of 4)
612.,2012-11-21 14:10:27,99.17,94%,"I went to the woods because I wished to live deliberately, t...",Win (1 of 5)
611.,2012-11-21 14:09:29,97.24,95%,"This was the most delicious meal he'd had in recent years, a...",No win (3 of 5)
610.,2012-10-22 01:24:38,99.76,94%,She's got eyes of the bluest skies as if they thought of rai...,No win (3 of 4)
609.,2012-10-19 08:32:13,85.37,91%,Three changes occur while the stacked disk structure equilib...,No win (1 of 1)
608.,2012-10-19 08:30:57,97.39,93%,"When we pulled out into the winter night and the real snow, ...",Win (1 of 5)
607.,2012-10-19 08:29:39,94.17,92%,It was one of those days when it's a minute away from snowin...,No win (4 of 5)
606.,2012-10-19 08:28:38,91.98,93%,"The goal of the true seeker is to become a sage, or superior...",Win (1 of 5)
605.,2012-10-19 08:27:38,99.50,95%,Once you get into the processed foods you have to be a fairl...,No win (2 of 3)
604.,2012-10-19 08:26:47,99.19,91%,His soul swooned slowly as he heard the snow falling faintly...,Win (1 of 5)
603.,2012-09-27 05:44:19,97.16,94%,The evidence in the standard history of Qwerty versus Dvorak...,Win (1 of 2)
602.,2012-09-27 05:42:15,101.22,91%,There is something about yourself that you don't know. Somet...,Win (1 of 4)
601.,2012-09-27 05:41:25,92.12,88%,"When she returns to the forum page, her post is there. It is...",Win (1 of 3)
600.,2012-09-27 05:40:20,102.63,94%,But speculations on the structure of the universe also move ...,Win (1 of 4)
599.,2012-09-27 05:39:12,95.69,94%,"Hey Mr. Tambourine Man, play a song for me, I'm not sleepy a...",Win (1 of 2)
598.,2012-09-27 05:38:28,96.51,94%,Paper as we know it today was invented in China in around 10...,No win (3 of 4)
597.,2012-09-27 05:37:35,92.13,93%,The evidence in the standard history of Qwerty versus Dvorak...,No win (2 of 2)
596.,2012-08-26 15:56:10,94.33,86%,"When we conceive of the sweetest being ever, we are conceivi...",No win (3 of 4)
595.,2012-08-26 15:55:22,106.68,97%,I will need my spectacles and a clear head. Today I broke my...,Win (1 of 5)
594.,2012-08-26 15:54:47,81.27,86%,The recipe for turning fruit into wine goes something like t...,Win (1 of 4)
593.,2012-08-26 15:53:05,88.95,86%,"If you are given too many choices, if you are forced to cons...",Win (1 of 5)
592.,2012-08-26 15:52:10,98.03,94%,Danger is a topic you're often asked about as a sprinter. Th...,No win (3 of 5)
591.,2012-08-26 15:51:04,87.11,87%,"That day, for no particular reason, I decided to go for a li...",No win (2 of 4)
590.,2012-08-24 13:42:15,100.74,89%,"And you know it's time to go, through the sleet and driving ...",Win (1 of 2)
589.,2012-08-23 04:29:51,96.12,87%,San Francisco in the middle sixties was a very special time ...,Win (1 of 4)
588.,2012-08-23 04:29:00,86.51,92%,Lucid but wholly false recollections can easily be induced b...,No win (2 of 3)
587.,2012-07-28 05:32:04,84.77,86%,"It's a sunny, woodsy day in Lumberton, so get those chainsaw...",Win (1 of 2)
586.,2012-07-28 05:30:43,96.83,90%,Most popular song lyrics have two sections - a verse and a b...,Win (1 of 5)
585.,2012-07-28 05:29:52,93.83,83%,A glooming peace this morning with it brings. The sun for so...,Win (1 of 4)
584.,2012-07-28 05:28:51,85.33,95%,"In the English language, swearing is essential to effective ...",No win (2 of 5)
583.,2012-07-28 05:28:01,92.70,89%,"In the witch trials, it was nearly impossible to provide com...",Win (1 of 4)
582.,2012-07-28 05:26:00,90.69,85%,The invention of the wheel represented a major turning point...,Win (1 of 2)
581.,2012-07-28 05:24:03,101.76,97%,Stab a sorry heart with your favorite finger. Paint the whol...,Win (1 of 4)
580.,2012-07-28 05:22:41,93.72,92%,"It was an effect of light: quick sunlight dappling, yellow l...",Win (1 of 2)
579.,2012-07-27 08:46:32,92.63,86%,Let me tell you why you're here. You're here because you kno...,No win (4 of 4)
578.,2012-07-27 08:45:28,93.96,86%,Always do your best - your best is going to change from mome...,No win (2 of 4)
577.,2012-07-27 08:44:36,90.79,91%,"Historically, most wines contained less than 14 percent alco...",Win (1 of 2)
576.,2012-07-27 08:42:23,103.89,89%,"When we conceive of the sweetest being ever, we are conceivi...",No win (2 of 4)
575.,2012-07-08 13:35:13,90.43,93%,The inner surface of the cell wall touches the cytoplasmic m...,Win (1 of 2)
574.,2012-07-08 13:10:06,97.71,93%,The Inca believed that if one did not give thanks and obedie...,No win (1 of 1)
573.,2012-07-06 08:02:25,92.45,90%,"There are perhaps twenty regular posters on the forum, and s...",Win (1 of 3)
572.,2012-07-06 08:00:37,93.90,94%,"If you want to drive a race car well, whether to win an Indy...",No win (2 of 3)
571.,2012-07-06 07:59:18,89.05,87%,"And I said, I don't care if they lay me off either, because ...",Win (1 of 5)
570.,2012-06-30 23:38:57,118.43,100%,Good games offer players a set of challenging problems and t...,Win (1 of 5)
569.,2012-06-30 10:58:18,85.43,81%,"When she returns to the forum page, her post is there. It is...",No win (3 of 3)
568.,2012-06-30 10:55:12,90.77,85%,"Other keyboard layouts have been created since, and some are...",Win (1 of 2)
567.,2012-06-29 13:32:23,104.19,93%,"Often, we assume that a familiar situation will be but a rep...",Win (1 of 3)
566.,2012-06-29 13:30:43,66.45,78%,"Excellent. He's enterprising, aggressive, outgoing, young, b...",Win (1 of 3)
565.,2012-06-29 13:29:09,96.95,92%,It's the possibility of having a dream come true that makes ...,Win (1 of 2)
564.,2012-06-29 13:27:17,93.27,93%,Because of their scouting skills and peripheral kinesthetic ...,Win (1 of 3)
563.,2012-06-29 06:13:36,90.66,95%,"The term ""barbarian"" was created by the Greeks; it was origi...",Win (1 of 2)
562.,2012-06-23 14:37:54,85.92,95%,Instead of hiring workers during the peak hog kill in the wi...,No win (3 of 4)
561.,2012-06-23 14:36:44,96.66,97%,"After the grapes are crushed, yeasts (tiny one-celled organi...",Win (1 of 2)
560.,2012-06-23 11:26:27,87.23,89%,I can already hear your tune calling me across the room. Whe...,No win (2 of 3)
559.,2012-06-23 11:25:15,91.12,86%,Many rivers to cross but I can't seem to find my way over. W...,No win (2 of 5)
558.,2012-06-23 11:24:29,82.19,89%,"Thirdly, however, these wars could now be waged with the new...",No win (3 of 5)
557.,2012-06-23 11:23:35,87.95,88%,"A little boy went out to play. When he opened his door, he s...",Win (1 of 4)
556.,2012-06-23 11:23:01,96.26,92%,Remember that humor is written backwards. That means you fir...,No win (3 of 4)
555.,2012-06-23 11:22:37,84.92,88%,Some have a positive vocation for breaking open safes: from ...,No win (2 of 5)
554.,2012-06-23 11:21:45,100.66,92%,"Ever since I was a child, folks have thought they had me peg...",No win (2 of 4)
553.,2012-06-23 11:20:30,86.08,85%,Even the best-designed chair won't make up for bad posture. ...,No win (3 of 3)
552.,2012-06-23 11:19:18,97.45,97%,"The creation ends in South Georgia, at the very edge of the ...",Win (1 of 3)
551.,2012-06-23 11:16:51,93.56,88%,"A computer needs a manager to administer its operations, jus...",No win (4 of 5)
550.,2012-06-23 11:16:05,98.22,94%,"But, pray how could that which I spoke so many years ago, an...",Win (1 of 3)
549.,2012-06-23 11:15:01,106.13,95%,I must not fear. Fear is the mind killer. Fear is the little...,Win (1 of 2)
548.,2012-06-23 11:11:42,123.29,97%,All time is all time. It does not change. It does not lend i...,No win (2 of 3)
547.,2012-06-22 13:55:44,85.10,88%,Supermarket aisles are the perfect place to practice your gl...,Win (1 of 5)
546.,2012-06-18 16:46:40,91.55,88%,"Tis but thy name that is my enemy. Thou art thyself, though ...",No win (3 of 4)
545.,2012-06-17 14:48:05,103.21,95%,The beginner writes just twenty pieces. The professional wri...,Win (1 of 2)
544.,2012-06-17 14:44:12,84.40,84%,One essential rule: make sure the joke is the last possible ...,Win (1 of 2)
543.,2012-06-17 14:42:08,100.04,89%,"And you know it's time to go, through the sleet and driving ...",No win (2 of 3)
542.,2012-06-17 14:37:18,93.76,89%,So it's all come back round to breaking apart again. Breakin...,Win (1 of 5)
541.,2012-06-17 14:36:21,95.40,93%,"Time is tricky. You have whole months, even years, when noth...",Win (1 of 2)
