647.,2014-08-28 01:55:31,136.88,100%,"Your face has fallen sad now, for you know the time is nigh....",Win (1 of 3)
646.,2014-08-28 01:51:45,107.03,93%,Too often writers believe that they can emphasize words by p...,Win (1 of 3)
645.,2014-08-28 01:49:57,128.08,97%,"And you know it's time to go, through the sleet and driving ...",Win (1 of 2)
644.,2014-08-28 01:48:46,113.25,96%,"Whenever you watch the mind, you withdraw consciousness from...",Win (1 of 3)
643.,2014-08-28 01:47:30,111.90,98%,"I was shaking like a leaf, so without thinking I lit up a ci...",Win (1 of 3)
642.,2014-08-28 01:45:42,124.38,99%,"When I really worry about something, I don't just fool aroun...",Win (1 of 3)
641.,2014-08-28 01:44:39,117.11,99%,Your faith was strong but you needed proof. You saw her bath...,Win (1 of 3)
640.,2014-08-28 01:43:43,109.85,98%,"It is a period of civil war. Rebel spaceships, striking from...",Win (1 of 5)
639.,2014-08-28 01:41:54,80.62,92%,I know that you weren't bored that day because there was a l...,No win (3 of 3)
638.,2014-08-28 01:40:19,121.40,99%,Lucid but wholly false recollections can easily be induced b...,Win (1 of 4)
637.,2014-08-28 01:39:09,106.41,97%,"Imagine this: Here we are, a plane full of grown human being...",Win (1 of 2)
636.,2014-08-28 01:37:51,105.68,96%,"That fear had been inside him for many years, it had lived w...",Win (1 of 3)
635.,2013-10-23 22:12:42,129.19,99%,The ultimate way to compose is to be able to keyboard as fas...,Win (1 of 2)
634.,2013-10-23 22:10:54,134.56,99%,"The brain can be a tool. It can recall phone numbers, solve ...",Win (1 of 3)
633.,2013-10-23 22:09:07,139.32,99%,It was hard to toss things I had once thought were valuable ...,Win (1 of 2)
632.,2013-10-23 22:08:15,124.13,100%,"A long time ago, I was in Burma, my friends and I were worki...",Win (1 of 3)
631.,2013-10-23 22:07:12,109.04,98%,"As customers of all races, nationalities, and cultures visit...",Win (1 of 5)
630.,2013-10-23 22:05:34,127.49,99%,"Hi, and welcome to the future. San Dimas, California, 2688. ...",No win (2 of 5)
629.,2013-10-23 22:04:50,124.27,98%,Groups of illegal miners smuggle themselves down in freight ...,Win (1 of 3)
628.,2013-10-23 22:04:10,111.45,96%,Three changes occur while the stacked disk structure equilib...,Win (1 of 4)
627.,2013-10-23 22:02:31,114.06,100%,Too often writers believe that they can emphasize words by p...,Win (1 of 4)
626.,2013-10-23 22:01:04,131.62,99%,"If you really want to hear about it, the first thing you'll ...",Win (1 of 2)
625.,2013-10-23 22:00:11,121.67,96%,"I went to the woods because I wished to live deliberately, t...",Win (1 of 3)
624.,2013-10-23 21:58:21,128.03,99%,He canceled all his commitments and pulled together the most...,Win (1 of 3)
623.,2013-10-23 21:55:51,133.54,99%,Data is by definition easy to copy. And the Internet makes c...,Win (1 of 3)
622.,2013-10-23 21:54:07,142.65,100%,If I'm curt with you it's because time is a factor. I think ...,Win (1 of 3)
621.,2013-10-23 21:52:46,111.92,96%,"My name is Turkish. Funny name for an Englishman, I know. My...",Win (1 of 2)
620.,2013-10-23 21:51:35,125.67,100%,There's a hole in the world like a great black pit. And the ...,Win (1 of 2)
619.,2013-10-23 21:50:35,118.06,98%,"Let me get this straight. You think that your client, one of...",Win (1 of 2)
618.,2013-10-08 20:36:47,106.80,96%,"Whenever you watch the mind, you withdraw consciousness from...",No win (3 of 5)
617.,2013-10-08 20:35:42,131.96,100%,I think you're gonna find - when all this stuff is over and ...,Win (1 of 3)
616.,2013-09-28 18:09:26,115.34,93%,Quality humor doesn't just deliver one gag and then tax the ...,No win (2 of 5)
615.,2013-09-28 18:08:07,130.85,99%,What should have been swift revenge turned into an all out w...,Win (1 of 5)
614.,2013-09-28 18:07:31,120.30,97%,"You needn't take it any further, sir. You've proved to me th...",Win (1 of 3)
613.,2013-09-28 18:05:56,110.23,95%,There's a hole in the world like a great black pit. And the ...,No win (4 of 4)
612.,2013-09-28 18:05:28,129.79,98%,"My friend, I shall be pedagogic, and say you ought to start ...",Win (1 of 5)
611.,2013-09-28 18:04:58,136.56,99%,"In the casino, the cardinal rule is to keep them playing and...",Win (1 of 3)
610.,2013-09-28 18:04:02,127.14,100%,"So, I'm tending bar there at Ecklund & Swedlin's last Tu...",Win (1 of 5)
609.,2013-09-28 18:03:18,118.93,98%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",No win (2 of 3)
608.,2013-09-28 18:02:18,128.00,98%,"The problem is, Willie, is that Charles and yourself are not...",No win (2 of 5)
607.,2013-09-28 18:01:20,143.13,100%,I've been looking so long at these pictures of you that I al...,Win (1 of 5)
606.,2013-09-28 18:00:15,131.00,99%,And then he calls me a jerk and says the last guy who though...,Win (1 of 3)
605.,2013-09-28 17:59:21,138.03,100%,"When you are typing on a typewriter, your input appears dire...",Win (1 of 2)
604.,2013-09-28 17:58:48,111.20,95%,"I've heard there was a secret chord that David played, and i...",No win (2 of 5)
603.,2013-09-28 17:57:59,114.85,96%,Some have a positive vocation for breaking open safes: from ...,Win (1 of 4)
602.,2013-09-28 17:57:06,132.97,98%,The beginner writes just twenty pieces. The professional wri...,Win (1 of 4)
601.,2013-09-28 17:55:57,141.94,99%,Consider this: Is the pious being loved by the gods because ...,Win (1 of 3)
600.,2013-09-28 17:55:04,123.36,98%,The great edifice of variety and choice that is an American ...,Win (1 of 2)
599.,2013-09-28 17:54:19,122.42,99%,"Let's sort the buyers from the spiers, the needy from the gr...",No win (3 of 3)
598.,2013-09-28 17:53:17,138.63,99%,"The Orient was almost a European invention, and had been sin...",Win (1 of 4)
597.,2013-09-28 17:51:17,134.80,98%,Good games offer players a set of challenging problems and t...,No win (2 of 3)
596.,2013-09-28 17:50:51,136.66,98%,"No matter how bad things are, you can always make things wor...",No win (2 of 2)
595.,2013-09-28 17:50:06,137.65,99%,"If you want to drive a race car well, whether to win an Indy...",No win (2 of 3)
594.,2013-09-28 17:49:15,137.78,98%,"Combat for a naval aviator is fought in short, violent burst...",No win (2 of 3)
593.,2013-09-28 17:47:42,115.93,96%,These contests provided ample opportunity to demonstrate the...,No win (2 of 2)
592.,2013-09-28 17:46:56,107.44,94%,We've arranged a global civilization in which most crucial e...,No win (2 of 4)
591.,2013-09-28 17:45:22,132.78,98%,"When we pulled out into the winter night and the real snow, ...",Win (1 of 2)
590.,2013-09-28 17:44:27,120.12,94%,I've seen things you people wouldn't believe. Attack ships o...,No win (2 of 2)
589.,2013-09-28 17:43:33,132.76,99%,We all know people who are very bright but who do not always...,Win (1 of 3)
588.,2013-09-28 17:42:44,126.20,99%,"Around midafternoon, the snow thinned into sleet, and some u...",No win (2 of 3)
587.,2013-09-28 17:41:51,124.74,95%,Humans need to practice what they are learning a good deal b...,No win (2 of 3)
586.,2013-09-28 17:41:03,114.74,97%,The Inca believed that if one did not give thanks and obedie...,Win (1 of 2)
585.,2013-09-28 15:39:40,121.65,99%,"The term ""barbarian"" was created by the Greeks; it was origi...",No win (2 of 4)
584.,2013-09-28 15:38:35,132.71,98%,"A computer needs a manager to administer its operations, jus...",No win (2 of 3)
583.,2013-09-28 15:36:54,118.58,98%,"This was the most delicious meal he'd had in recent years, a...",Win (1 of 5)
582.,2013-09-28 15:34:40,127.68,100%,"If you are given too many choices, if you are forced to cons...",Win (1 of 4)
581.,2013-09-28 15:33:58,118.12,97%,I've been thinking lots about my life and how quick I'd wash...,Win (1 of 3)
580.,2013-09-28 15:33:14,108.85,96%,The basis of the Aztecs' success in creating a great state a...,No win (2 of 5)
579.,2011-07-25 16:22:32,114.80,98%,"Let me get this straight. You think that your client, one of...",Win (1 of 2)
578.,2011-07-25 16:21:30,110.61,97%,"A little boy went out to play. When he opened his door, he s...",Win (1 of 3)
577.,2011-05-11 19:12:35,113.75,96%,"I'm so glad you came, I'm so glad you remembered, to see how...",Win (1 of 3)
576.,2010-09-01 02:00:55,105.77,100%,"But no matter how effective the lesson was, I never really u...",Win (1 of 3)
575.,2010-09-01 02:00:13,116.91,100%,You've got a way to keep me on your side. You give me cause ...,Win (1 of 3)
574.,2010-09-01 01:59:36,111.57,100%,The place to improve the world is first in one's own heart a...,No win (2 of 3)
573.,2010-09-01 01:58:32,116.43,100%,Rhymes trap you into saying things you don't want to say. A ...,No win (1 of 1)
572.,2010-09-01 01:57:49,86.97,100%,"People get ready, there's a train coming. You don't need no ...",No win (1 of 1)
571.,2010-02-13 23:24:01,88.20,100%,"Excellent. He's enterprising, aggressive, outgoing, young, b...",No win (3 of 3)
570.,2010-02-13 23:21:16,121.66,100%,"Keying text quickly is important, but it is more important t...",Win (1 of 2)
569.,2009-10-28 23:16:26,127.72,100%,"You found paradise in America. You had a good trade, made a ...",Win (1 of 3)
568.,2009-10-28 23:15:29,103.06,100%,He had spent enormous amounts of time at the great libraries...,Win (1 of 2)
567.,2009-10-28 23:14:35,115.46,100%,Jay made up for the lack of glamour in his assignment by hav...,Win (1 of 4)
566.,2009-10-28 23:13:39,112.72,100%,"Geometry sets out from certain conceptions such as ""plane,"" ...",Win (1 of 4)
565.,2009-10-28 23:12:31,120.40,100%,The ultimate way to compose is to be able to keyboard as fas...,Win (1 of 5)
564.,2009-10-28 23:10:46,130.70,100%,Since every piece of matter in the Universe is in some way a...,Win (1 of 3)
563.,2009-10-28 23:09:52,116.52,100%,There are two places on Earth that serve as canaries in the ...,Win (1 of 3)
562.,2009-10-18 09:24:32,122.95,100%,"Hi, and welcome to the future. San Dimas, California, 2688. ...",Win (1 of 3)
561.,2009-09-24 15:52:36,137.76,100%,"The terminator wouldn't stop, it would never leave him. It w...",Win (1 of 3)
560.,2009-09-24 15:50:59,138.48,100%,"We speak of something carried and something carrying, of som...",Win (1 of 4)
559.,2009-09-24 15:50:09,107.24,100%,"Often, we assume that a familiar situation will be but a rep...",No win (2 of 4)
558.,2009-03-28 17:10:43,117.38,100%,Is this the real life? Is this just fantasy? Caught in a lan...,Win (1 of 2)
557.,2009-03-28 17:09:58,93.24,100%,Supermarket aisles are the perfect place to practice your gl...,Win (1 of 4)
556.,2009-03-28 17:08:43,128.68,100%,"What good's a reward if you ain't around to use it? Besides,...",Win (1 of 5)
555.,2009-03-28 17:08:14,107.53,100%,Popularity is only partially about individual attractiveness...,Win (1 of 3)
554.,2009-03-25 17:45:24,120.15,100%,Any finite number divided by infinity is as near to nothing ...,Win (1 of 5)
553.,2009-03-25 17:44:14,115.39,100%,"Kid, I've flown from one side of this galaxy to the other, a...",Win (1 of 5)
552.,2009-03-25 17:43:31,114.26,100%,"My name is Turkish. Funny name for an Englishman, I know. My...",Win (1 of 5)
551.,2009-03-08 01:13:55,129.76,100%,San Francisco in the middle sixties was a very special time ...,Win (1 of 5)
550.,2009-03-08 01:12:55,108.06,100%,"Hello, hello, hello, is there anybody in there? Just nod if ...",No win (2 of 3)
549.,2009-03-08 01:11:04,128.80,100%,"The problem is, Willie, is that Charles and yourself are not...",Win (1 of 3)
548.,2009-03-08 01:10:36,127.04,100%,It doesn't mean much to be able to filter out most present-d...,Win (1 of 3)
547.,2009-03-08 01:09:24,133.57,100%,"Time is tricky. You have whole months, even years, when noth...",Win (1 of 5)
546.,2009-03-08 01:08:41,112.53,100%,In order to become an elf I filled out ten pages' worth of f...,Win (1 of 3)
545.,2009-03-08 01:07:56,117.23,100%,"When we pulled out into the winter night and the real snow, ...",Win (1 of 3)
544.,2009-03-08 01:07:02,126.08,100%,Since every piece of matter in the Universe is in some way a...,Win (1 of 2)
