111.,2016-07-06 08:10:15,153.69,94%,I see in your eyes the same fear that would take the heart o...,Win (1 of 2)
110.,2016-07-05 09:21:00,136.67,96%,Gardeners know how to grow top-notch crops. They determine w...,Win (1 of 2)
109.,2016-07-05 09:20:20,132.06,93%,One thing I've learned in the last seven years: in every gam...,No win (2 of 5)
108.,2016-07-05 07:18:13,136.65,96%,I just want to tell you how I'm feeling. Gotta make you unde...,Win (1 of 3)
107.,2016-07-05 07:11:10,145.56,99%,"A lot of people, especially this one psychoanalyst guy they ...",Win (1 of 4)
106.,2016-07-04 14:09:00,159.55,98%,The time has come for man to set himself a goal. The time ha...,Win (1 of 3)
105.,2016-07-04 13:59:01,145.73,95%,We go waiting for the stars to come showering down. From Mos...,Win (1 of 5)
104.,2016-07-04 13:29:54,157.22,98%,A glooming peace this morning with it brings. The sun for so...,Win (1 of 3)
103.,2016-07-04 13:29:09,147.81,94%,"If you are given too many choices, if you are forced to cons...",Win (1 of 2)
102.,2016-07-04 13:26:22,132.30,96%,"When I was a kid, you never saw radicchio in the produce sec...",No win (2 of 3)
101.,2016-07-04 13:25:28,143.13,99%,"All Ninja are men of peace, and must always remain so or los...",No win (2 of 2)
100.,2016-07-04 12:56:15,140.14,96%,We've arranged a global civilization in which most crucial e...,Win (1 of 4)
99.,2016-07-04 12:40:48,135.66,98%,"No man is an island, entire of itself; every man is a piece ...",Win (1 of 3)
98.,2016-07-04 12:27:08,160.84,100%,We all know people who are very bright but who do not always...,Win (1 of 3)
97.,2016-07-04 12:13:50,144.81,98%,I know that you weren't bored that day because there was a l...,Win (1 of 4)
96.,2016-07-04 12:13:09,146.04,98%,"Gentlemen: You have undertaken to cheat me. I won't sue you,...",Win (1 of 2)
95.,2016-07-04 12:12:37,158.26,98%,"For centuries, the battle of morality was fought between tho...",Win (1 of 5)
94.,2016-07-04 11:51:56,148.62,99%,"Burning my bridges and smashing my mirrors, turning to see i...",Win (1 of 2)
93.,2016-07-04 11:51:10,147.36,98%,We live in an age when people do more writing than they have...,Win (1 of 4)
92.,2016-07-04 11:49:06,151.06,99%,Even the best-designed chair won't make up for bad posture. ...,Win (1 of 3)
91.,2016-07-04 11:26:53,141.16,97%,In 1969 four computers located around the country were in co...,Win (1 of 2)
90.,2016-07-04 11:17:22,143.83,95%,"Hello, babies. Welcome to Earth. It's hot in the summer and ...",Win (1 of 2)
89.,2016-07-04 11:00:40,155.55,100%,"I've heard there was a secret chord that David played, and i...",No win (1 of 1)
88.,2016-07-04 09:45:35,148.97,96%,"Let's sort the buyers from the spiers, the needy from the gr...",Win (1 of 2)
87.,2016-07-04 09:44:22,129.78,98%,Mac knew the score even if Aunt Ella didn't. Shot through th...,Win (1 of 3)
86.,2016-07-04 09:36:01,124.84,91%,In 1969 four computers located around the country were in co...,Win (1 of 3)
85.,2016-07-04 09:35:10,138.00,95%,And then he calls me a jerk and says the last guy who though...,Win (1 of 5)
84.,2016-07-04 09:30:52,155.18,98%,The ultimate way to compose is to be able to keyboard as fas...,Win (1 of 3)
83.,2016-07-04 09:26:44,149.89,98%,Some have a positive vocation for breaking open safes: from ...,Win (1 of 5)
82.,2016-07-04 09:26:05,159.03,97%,But the two men were not lonely at all. At home they were co...,Win (1 of 5)
81.,2016-07-04 08:07:28,124.32,83%,I was having this awful nightmare that I was 32. And then I ...,No win (3 of 3)
80.,2016-07-04 08:05:22,137.22,96%,Overhead the albatross hangs motionless upon the air and dee...,Win (1 of 4)
79.,2016-07-04 07:28:07,138.61,96%,"Good evening, London. Allow me first to apologize for this i...",No win (2 of 3)
78.,2016-07-04 07:23:20,168.45,100%,"If you think that you are going to love something, give it a...",Win (1 of 2)
77.,2016-07-04 07:22:41,142.99,96%,The number one challenge I've seen with myself and with othe...,Win (1 of 2)
76.,2016-07-01 14:01:29,155.04,93%,Let's face it: there are tons of things in your home and lif...,Win (1 of 5)
75.,2016-07-01 14:00:41,154.16,97%,There comes a point when you just love someone. Not because ...,Win (1 of 3)
74.,2016-07-01 13:59:45,138.84,92%,We've known each other for many years but this is the first ...,Win (1 of 5)
73.,2016-07-01 13:49:44,128.45,95%,"Milt, with the excellent timing of a master comedy writer, w...",No win (2 of 2)
72.,2016-07-01 13:40:53,137.48,90%,There is a theory which states that if anybody ever discover...,No win (2 of 4)
71.,2016-07-01 10:33:23,131.50,91%,I've always wondered about this coat business. When I'm in a...,Win (1 of 2)
70.,2016-07-01 10:32:31,155.32,97%,Let's face it: there are tons of things in your home and lif...,Win (1 of 2)
69.,2016-07-01 10:31:50,137.36,92%,I am fundamentally an optimist. Whether that comes from natu...,Win (1 of 3)
68.,2016-07-01 10:31:00,168.60,100%,Paranoia is a survival trait when you run in my circles. It ...,Win (1 of 3)
67.,2016-07-01 09:15:25,158.95,95%,God help the man who ever really loves you. You'd break his ...,Win (1 of 3)
66.,2016-07-01 09:14:26,153.90,97%,The ultimate way to compose is to be able to keyboard as fas...,Win (1 of 4)
65.,2016-07-01 09:13:47,114.00,78%,I must not fear. Fear is the mind killer. Fear is the little...,No win (3 of 5)
64.,2016-07-01 09:12:32,152.96,98%,One thing I've learned in the last seven years: in every gam...,Win (1 of 2)
