546.,2018-01-09 13:22:07,50.01,95%,"Mature affection, homage, devotion, does not easily express ...",No win (4 of 5)
545.,2018-01-09 13:20:51,66.65,97%,"My dog barks some. Mentally you picture my dog, but I have n...",No win (3 of 5)
544.,2018-01-09 13:19:27,63.50,97%,I want to play a game. Let's play hide and seek. Those were ...,No win (3 of 4)
543.,2018-01-09 13:18:07,67.42,98%,"I'm going to improvise. Listen, there's something you should...",No win (3 of 5)
542.,2018-01-09 13:16:13,84.05,98%,I am the happiest creature in the world. Perhaps other peopl...,No win (4 of 5)
541.,2018-01-09 13:13:03,79.68,98%,You'll never have that kind of relationship in a world where...,Win (1 of 5)
540.,2018-01-09 13:12:09,75.18,99%,"By the time I was ten, playing baseball got to be like eatin...",Win (1 of 5)
539.,2017-12-21 13:36:52,70.91,95%,"Look, I understand too little too late. I realize there are ...",Win (1 of 4)
538.,2017-12-21 13:35:44,67.83,97%,"I like them, I like them! I liked them first! Before I even ...",No win (4 of 5)
537.,2017-12-21 13:34:54,73.66,98%,Danger is a topic you're often asked about as a sprinter. Th...,No win (2 of 3)
536.,2017-12-21 13:33:25,50.13,94%,"You know, Michael; now that you're so respectable, I think y...",No win (2 of 5)
535.,2017-12-21 13:29:30,82.19,97%,"For the first time, he heard something that he knew to be mu...",Win (1 of 5)
534.,2017-12-21 13:27:24,75.72,97%,"You see, I'm moving on fast. Finally got the pass, gonna lea...",Win (1 of 5)
533.,2017-12-21 13:26:43,77.62,97%,"According to all known laws of aviation, there is no way tha...",No win (2 of 5)
532.,2017-12-21 13:25:40,75.38,98%,Yesterday all my troubles seemed so far away. Now it looks a...,Win (1 of 5)
531.,2017-12-21 13:24:26,55.57,95%,"That day, for no particular reason, I decided to go for a li...",No win (5 of 5)
530.,2017-12-21 13:23:00,61.17,96%,So they stood at the edge of the woods while all the other k...,No win (4 of 5)
529.,2017-12-21 13:22:15,53.83,93%,When beetles fight these battles in a bottle with their padd...,No win (4 of 4)
528.,2017-12-21 13:20:54,75.04,97%,Sometimes you concentrate more on racing the cars around you...,No win (4 of 5)
