226.,2017-07-20 17:09:47,206.34,96%,Oh... and how is education supposed to make me feel smarter?...,Win (1 of 4)
225.,2017-07-20 17:07:09,180.71,98%,Ideology: the process of making ideas. The work was generall...,Win (1 of 4)
224.,2017-07-20 17:05:58,194.47,97%,"There is more to color than a swatch in a book, or a pull do...",Win (1 of 4)
223.,2017-07-20 17:02:55,207.59,98%,"Well, let me tell you something, Caveman. You are here on ac...",Win (1 of 3)
222.,2017-07-20 17:02:18,170.22,94%,I find it wholesome to be alone the greater part of the time...,Win (1 of 4)
221.,2017-07-20 16:57:23,191.52,94%,"Growing to hate decisive moments, the only thing within a br...",Win (1 of 2)
220.,2017-07-20 16:56:38,208.81,97%,All I have to do is divine from what I know of you: are you ...,Win (1 of 3)
219.,2017-07-20 16:55:39,219.20,96%,I was oppressed with a sense of vague discontent and dissati...,Win (1 of 3)
218.,2017-07-20 16:54:08,190.84,95%,I'm happy to put this all behind us and get back to work. Af...,Win (1 of 3)
217.,2017-07-20 16:52:20,256.69,98%,Is this the real life? Is this just fantasy? Caught in a lan...,Win (1 of 3)
216.,2017-07-20 16:51:51,144.79,96%,The observed brightness of a Lambertian surface may be writt...,Win (1 of 3)
215.,2017-07-20 16:50:48,193.72,99%,"We are being watched. The government has a secret system, a ...",Win (1 of 3)
214.,2017-07-20 16:49:56,152.75,90%,At the time Galileo was becoming famous for his telescopic o...,Win (1 of 3)
213.,2016-10-17 15:28:26,200.08,93%,The math is compelling. Most of the people in the world are ...,Win (1 of 3)
212.,2016-10-17 15:27:26,169.54,83%,"I was shaking like a leaf, so without thinking I lit up a ci...",Win (1 of 4)
211.,2016-10-17 15:26:18,187.14,95%,"Imagine considering ""if"" as a two-finger movement instead of...",Win (1 of 4)
210.,2016-10-17 15:25:13,218.90,95%,"What really knocks me out is a book that, when you're all do...",Win (1 of 3)
209.,2016-10-17 15:24:13,183.54,85%,Unlike the other four senses located in the logical regions ...,Win (1 of 3)
208.,2016-10-17 15:22:56,223.49,90%,And I don't believe in the existence of angels but looking a...,Win (1 of 3)
207.,2016-10-17 15:19:05,232.72,89%,Step out the front door like a ghost into the fog where no o...,Win (1 of 3)
206.,2016-10-17 15:18:14,195.40,96%,"Finally, gentlemen, there are people with an hereditary anim...",No win (1 of 1)
205.,2016-10-17 15:15:46,222.57,94%,We've known each other for many years but this is the first ...,Win (1 of 3)
204.,2016-10-17 15:15:13,184.51,86%,A freedom fighter learns the hard way that it is the oppress...,Win (1 of 3)
203.,2016-10-17 15:14:37,150.60,97%,"Now listen up! Back in my day, we didn't have fancy tanks! W...",Win (1 of 3)
202.,2016-10-17 15:13:54,113.55,83%,"The car has stopped. Vinny: ""What have you stopped here for?...",No win (2 of 4)
201.,2016-10-17 15:12:32,199.44,89%,It was one of those days when it's a minute away from snowin...,Win (1 of 3)
