87981.,2018-03-07 11:18:19,126.97,98%,Topology is generally considered to be one of the three linc...,Win (1 of 3)
87980.,2018-03-07 11:16:00,119.37,96%,The problem we now face is that this thin layer of atmospher...,Win (1 of 5)
87979.,2018-03-07 11:15:10,120.40,97%,I hate all the rules and organization and teams and ranks in...,Win (1 of 3)
87978.,2018-03-07 11:13:58,124.52,99%,Other kids' games are all such a bore! They've got to have r...,Win (1 of 3)
87977.,2018-03-07 11:13:20,130.81,99%,"Drainage! Drainage, Eli, you boy. Drained dry. I'm so sorry....",Win (1 of 3)
87976.,2018-03-07 11:12:41,126.16,98%,"The bunk house was a long, rectangular building. Inside, the...",No win (2 of 4)
87975.,2018-03-07 11:10:50,121.55,97%,"It's a thousand pages, give or take a few. I'll be writing m...",No win (2 of 5)
87974.,2018-03-07 11:09:20,117.78,98%,"There are all sorts of dream interpretations, Freud's being ...",No win (3 of 3)
87973.,2018-03-07 11:08:28,151.81,99%,"Love is a command, not just a feeling. Somehow, in the roman...",No win (2 of 5)
87972.,2018-03-07 11:07:49,119.42,96%,Your problem is you spent your whole life thinking there are...,Win (1 of 4)
87971.,2018-03-07 11:06:11,136.38,99%,Thus they went on living in a reality that was slipping away...,Win (1 of 5)
87970.,2018-03-07 11:05:01,107.28,97%,The others standing round felt a thrill of horror at this di...,No win (3 of 3)
87969.,2018-03-07 11:03:22,154.69,99%,I don't know what it is that makes me love you so. I only kn...,Win (1 of 4)
87968.,2018-03-07 11:02:26,134.27,98%,"One day you're in a funk about things, telling a friend that...",No win (3 of 5)
87967.,2018-03-07 11:01:38,108.34,97%,Zolner shook a Lucky Strike out of the pack. Antipov struck ...,Win (1 of 3)
87966.,2018-03-07 11:00:41,113.54,98%,Always seems to me you only see what people want you to see....,No win (3 of 5)
87965.,2018-03-07 11:00:15,127.10,99%,"Luke, you do not yet realize your importance. You have only ...",No win (2 of 3)
87964.,2018-03-07 10:59:39,123.02,98%,"If there's a bustle in your hedgerow, don't be alarmed now, ...",No win (2 of 5)
87963.,2018-03-07 10:43:59,112.76,95%,For this dark and lonely room projects a shadow cast in gloo...,No win (2 of 2)
87962.,2018-03-06 20:14:26,118.95,98%,A sentence's verb phrase may contain a verb with many possib...,Win (1 of 4)
87961.,2018-03-06 20:13:19,131.81,98%,"When you have children, you always have family. They will al...",Win (1 of 2)
87960.,2018-03-06 20:12:40,107.90,97%,"If there were to be something non-empty, there would then be...",No win (2 of 4)
87959.,2018-03-06 20:11:59,134.02,98%,It's the questions we can't answer that teach us the most. T...,Win (1 of 2)
87958.,2018-03-06 20:11:27,132.60,99%,A survey of the 101 top-grossing G-rated movies from 1990 to...,Win (1 of 2)
87957.,2018-03-06 20:10:21,158.00,99%,"Time is tricky. You have whole months, even years, when noth...",Win (1 of 2)
87956.,2018-03-06 20:09:39,142.82,99%,That guy was hurting me. If you hadn't come out when you did...,Win (1 of 4)
87955.,2018-03-06 20:08:35,123.09,97%,Welcome to the room of people who have rooms of people that ...,Win (1 of 4)
87954.,2018-03-06 20:07:58,130.92,98%,"See, we had this assignment to make this ceramic elephant, a...",Win (1 of 2)
87953.,2018-03-06 20:06:57,143.52,98%,"When she returns to the forum page, her post is there. It is...",Win (1 of 4)
87952.,2018-03-06 20:06:24,137.95,100%,"Now Lina, you've been reading all those fan magazines again!...",Win (1 of 4)
87951.,2018-03-06 20:05:16,130.73,98%,"In 1966, Andy Dufresne escaped from Shawshank prison. All th...",Win (1 of 2)
87950.,2018-03-06 20:04:35,138.95,98%,"Well, that's their own stupidity, I should have been there. ...",Win (1 of 3)
87949.,2018-03-06 20:03:32,152.23,98%,It's not about changing the world. It's about doing our best...,Win (1 of 2)
87948.,2018-03-06 20:03:04,110.99,97%,"First it was butter then it was sugar and white flour, bacon...",No win (1 of 1)
87947.,2018-03-06 20:02:24,129.14,97%,"To protect you both from the Emperor, you were hidden from y...",Win (1 of 4)
87946.,2018-03-06 20:01:54,132.73,97%,"Perhaps love is like a window, perhaps an open door. It invi...",Win (1 of 5)
87945.,2018-03-06 20:01:23,132.48,98%,"Both ways set out from the senses and particulars, and rest ...",Win (1 of 3)
87944.,2018-03-06 20:00:29,127.96,98%,My life's work is teaching. And I believed that if you boys ...,Win (1 of 4)
87943.,2018-03-06 19:59:17,124.88,97%,It has been estimated that there are about four thousand spe...,Win (1 of 4)
87942.,2018-03-06 19:58:27,111.87,95%,Men are so quick to blame the gods: they say that we devise ...,No win (2 of 2)
87941.,2018-03-06 19:57:54,139.09,98%,No man's life can be encompassed in one telling. There is no...,No win (2 of 5)
87940.,2018-03-06 19:57:15,129.17,99%,Waldo Jeffers had reached his limit. It was now Mid-August w...,Win (1 of 3)
87939.,2018-03-06 19:55:56,155.43,99%,"I walk a mile with a smile and I don't know, I don't care wh...",Win (1 of 4)
87938.,2018-03-06 19:55:12,134.79,98%,A giant inverted steel pyramid is perfectly balanced on its ...,Win (1 of 2)
87937.,2018-03-06 19:54:07,126.40,98%,The number of servings per day that is right for you depends...,Win (1 of 2)
87936.,2018-03-06 19:51:20,122.97,98%,"Noontime, and I'm still pushing myself along the road, the d...",No win (2 of 2)
87935.,2018-03-06 19:50:30,127.92,98%,"My name is Turkish. Funny name for an Englishman, I know. My...",Win (1 of 5)
87934.,2018-03-06 19:48:12,120.91,97%,Your father's light saber. This is the weapon of a Jedi Knig...,Win (1 of 3)
87933.,2018-03-06 15:57:22,109.63,96%,"Well, that's all the time we had for our movie. We hope you ...",No win (2 of 3)
87932.,2018-03-06 15:55:50,122.97,98%,"I made ""Jesus Walks"" I'm never going to hell. Couture level ...",Win (1 of 5)
