671.,2012-01-14 00:15:18,134.67,99%,"You have a class of young strong men and women, and they wan...",No win (3 of 5)
670.,2012-01-14 00:14:02,115.83,97%,"There was me, that is Alex, and my three droogs, that is Pet...",No win (2 of 4)
669.,2012-01-13 03:30:36,130.79,96%,Don't make assumptions - find the courage to ask questions a...,Win (1 of 3)
668.,2012-01-13 03:29:29,105.49,93%,"The sooner your kids appreciate the value of work, the more ...",No win (2 of 4)
667.,2012-01-13 03:28:39,115.68,96%,I don't believe in painted roses or bleeding hearts while bu...,Win (1 of 2)
666.,2012-01-13 03:27:53,114.04,95%,Images of broken light which dance before me like a million ...,No win (2 of 3)
665.,2012-01-11 05:23:56,122.69,99%,We've known each other for many years but this is the first ...,Win (1 of 4)
664.,2012-01-11 05:23:04,103.80,96%,I had a friend who was a heavy drinker. If somebody asked hi...,No win (2 of 2)
663.,2012-01-11 05:22:00,103.64,96%,"Excellent. He's enterprising, aggressive, outgoing, young, b...",No win (2 of 3)
662.,2011-10-18 03:14:34,106.74,91%,Remember that humor is written backwards. That means you fir...,No win (3 of 4)
661.,2011-10-18 03:13:51,115.23,96%,I've flown seven million miles. And I've been waiting on peo...,Win (1 of 2)
660.,2011-10-17 04:36:35,111.33,96%,"That fear had been inside him for many years, it had lived w...",Win (1 of 3)
659.,2011-10-17 04:35:48,103.92,94%,Popularity is only partially about individual attractiveness...,Win (1 of 2)
658.,2011-10-17 04:33:01,112.62,96%,"Many people limit themselves to leading boring, dull lives b...",Win (1 of 3)
657.,2011-10-17 04:31:56,125.27,98%,"We turn away to face the cold, enduring chill, as the day be...",Win (1 of 5)
656.,2011-10-17 04:30:44,117.05,97%,It doesn't mean much to be able to filter out most present-d...,Win (1 of 4)
655.,2011-10-17 04:29:58,107.60,93%,Quality humor doesn't just deliver one gag and then tax the ...,Win (1 of 2)
654.,2011-10-17 04:28:58,129.93,98%,"Keying text quickly is important, but it is more important t...",Win (1 of 3)
