398.,2018-03-02 06:58:31,110.25,97%,Bringing to the table our capitalized reputation. Proactivel...,Win (1 of 4)
397.,2018-03-02 06:57:36,150.81,99%,Now the years are rolling by me. They are rocking evenly. An...,Win (1 of 5)
396.,2018-01-23 02:55:42,158.17,99%,Although reflection mapping can be used to produce a number ...,Win (1 of 4)
395.,2017-09-19 13:40:12,134.32,96%,"It is not our part to master all the tides of the world, but...",No win (3 of 4)
394.,2017-09-14 05:49:07,151.15,99%,Be impeccable with your word - speak with integrity. Say onl...,Win (1 of 3)
393.,2017-09-02 05:59:50,136.73,99%,"Vincent, Mr. Joe Zasa now owns what used to be the Corleone ...",Win (1 of 4)
392.,2017-08-26 11:26:13,145.71,98%,The one place where a man ought to get a square deal is in a...,Win (1 of 3)
391.,2017-08-21 03:07:46,131.78,97%,"In the witch trials, it was nearly impossible to provide com...",Win (1 of 2)
390.,2017-08-16 02:05:05,170.89,97%,I don't know where you're going and I don't know why but lis...,Win (1 of 4)
389.,2017-08-16 01:52:17,140.84,97%,If only all the contradictory voices shouting inside my head...,Win (1 of 3)
388.,2017-08-15 00:54:56,136.32,98%,I don't believe in painted roses or bleeding hearts while bu...,No win (2 of 5)
387.,2017-08-14 23:32:38,122.76,97%,"Gentlemen: You have undertaken to cheat me. I won't sue you,...",Win (1 of 3)
386.,2017-08-13 22:32:03,146.69,98%,If we burn our wings flying too close to the sun; if the mom...,Win (1 of 3)
385.,2017-08-13 22:29:40,134.50,99%,We just don't recognize life's most significant moments whil...,Win (1 of 2)
384.,2017-08-09 07:32:32,144.10,99%,"Anything that happens, happens. Anything that, in happening,...",Win (1 of 5)
383.,2017-08-09 06:16:41,168.95,100%,You know I work all day to get you money to buy you things. ...,Win (1 of 2)
382.,2017-08-09 03:24:29,169.00,99%,"No matter how bad things are, you can always make things wor...",Win (1 of 3)
381.,2017-08-05 21:53:39,140.34,98%,The life pods are launching. We should hurry. The Covenant a...,Win (1 of 2)
380.,2017-08-01 21:38:58,115.23,97%,"Our world, with its rules of causality, has trained us to be...",No win (2 of 2)
379.,2017-08-01 14:11:50,170.68,99%,"Now that you're on someone else's shoulders, the winter wind...",Win (1 of 2)
378.,2017-07-27 21:33:53,155.87,100%,"It's the wanting you, never getting you. Keeps me wanting yo...",Win (1 of 4)
377.,2017-07-19 14:43:09,134.76,98%,"You know, this is precisely why I loathed being a teacher! Y...",Win (1 of 4)
376.,2017-07-18 23:55:03,139.36,97%,"Dreams are not to be converted into reality, that we know; w...",No win (3 of 5)
