265.,2017-04-01 01:40:37,76.45,93%,"Look, I understand too little too late. I realize there are ...",Win (1 of 4)
264.,2017-04-01 01:39:36,89.47,100%,For it is the nature of a log or stone to remain motionless ...,Win (1 of 3)
263.,2017-03-31 00:09:39,53.62,88%,Your inner child will be happy to know that when it comes to...,No win (4 of 5)
262.,2017-03-30 23:38:15,66.96,89%,There's an old voice in my head that's holding me back. Well...,No win (2 of 5)
261.,2017-03-30 23:35:56,59.93,86%,There was this kid I grew up with; he was younger than me. S...,No win (3 of 5)
260.,2017-03-30 23:34:32,67.85,91%,Is this the real life? Is this just fantasy? Caught in a lan...,No win (2 of 4)
259.,2017-03-30 23:33:30,62.84,87%,"There are few people whom I really love, and still fewer of ...",Win (1 of 4)
258.,2017-03-30 23:32:14,76.57,95%,A few light taps upon the pane made him turn to the window. ...,Win (1 of 3)
257.,2017-03-30 23:29:50,70.29,93%,Remember before when I was talking about smelly garbage stan...,Win (1 of 5)
256.,2017-03-30 23:28:47,57.94,86%,Haven't you ever happened to come across in a book some vagu...,No win (4 of 4)
255.,2017-03-27 00:53:07,65.41,90%,"It's the wanting you, never getting you. Keeps me wanting yo...",Win (1 of 4)
254.,2017-03-27 00:51:58,67.76,90%,How do I live without the ones I love? Time still turns the ...,Win (1 of 5)
253.,2017-02-28 14:56:41,54.86,89%,"Real mod, pea pod, buff bod, hot rod. Obtuse, rubber goose, ...",No win (4 of 4)
252.,2017-02-28 14:55:40,78.21,98%,"Look, you should admit to yourself that Microsoft will miss ...",No win (2 of 5)
251.,2017-02-28 14:54:50,59.14,88%,And now for a brief public service announcement: alligators....,No win (2 of 5)
250.,2017-01-25 14:22:09,60.62,90%,"Even though there may be a deceiver of some sort, very power...",No win (4 of 4)
249.,2017-01-25 14:20:31,64.68,92%,Thousands of groups exist to influence government. Among the...,No win (2 of 5)
248.,2017-01-22 15:11:15,64.78,90%,"Noontime, and I'm still pushing myself along the road, the d...",Win (1 of 2)
247.,2017-01-22 15:09:21,72.16,87%,"Being in a minority, even in a minority of one, did not make...",Win (1 of 2)
246.,2017-01-22 04:08:56,76.70,94%,"He did not know how long it took, but later he looked back o...",Win (1 of 5)
245.,2017-01-22 04:07:40,69.22,91%,We were playing checkers. I used to kid her once in a while ...,No win (3 of 4)
244.,2017-01-21 23:59:21,69.65,91%,As much money and life as you could want! The two things mos...,No win (2 of 4)
243.,2017-01-17 19:45:14,68.34,91%,I declare after all there is no enjoyment like reading! How ...,No win (2 of 5)
242.,2017-01-17 19:43:51,65.04,89%,"If someone gives you an opinion and says, ""Hey, you look so ...",No win (3 of 5)
241.,2017-01-17 13:50:27,64.80,93%,The treatment of atoms with more than one electron requires ...,Win (1 of 4)
240.,2017-01-17 13:47:40,68.30,93%,Thousands of groups exist to influence government. Among the...,No win (3 of 5)
239.,2017-01-17 13:42:41,63.14,89%,"It led me by the hand, as if to fill the niches in the memor...",No win (3 of 4)
238.,2017-01-17 13:41:34,68.45,93%,I don't want to live someone else's idea of how to live. Don...,No win (3 of 5)
237.,2017-01-16 17:14:48,71.35,93%,"Dreams are not to be converted into reality, that we know; w...",No win (2 of 5)
236.,2017-01-16 16:45:56,64.00,89%,I've seen things you people wouldn't believe. Attack ships o...,No win (5 of 5)
235.,2017-01-15 15:12:58,66.98,92%,A man on a thousand mile walk has to forget his goal and say...,No win (3 of 4)
234.,2017-01-15 15:12:16,72.12,91%,"The rest of my attention is back at the offices of Facebook,...",No win (2 of 4)
233.,2017-01-15 15:11:26,63.96,88%,"Not too many days from this day, not too many hours from thi...",No win (4 of 5)
232.,2017-01-15 15:10:34,82.13,97%,It's the possibility of having a dream come true that makes ...,Win (1 of 3)
231.,2017-01-15 15:09:31,63.69,89%,"Races are not won in the first corner; however, they are oft...",No win (2 of 5)
230.,2017-01-15 15:06:57,66.84,89%,"Don't tell me what's in, don't tell me how to write, don't t...",No win (4 of 5)
229.,2017-01-15 15:06:02,76.07,91%,I do not deny that what happened to us is a thing worth laug...,Win (1 of 5)
228.,2017-01-15 15:05:18,59.19,87%,"Look, you should admit to yourself that Microsoft will miss ...",No win (3 of 5)
227.,2017-01-15 15:03:33,53.40,82%,For one who contradicts emptiness there would be nothing tha...,No win (3 of 5)
226.,2017-01-15 15:02:13,69.47,87%,Although some men who were easy with their words said that i...,Win (1 of 4)
225.,2017-01-15 15:01:08,72.58,93%,"There was only one catch and that was Catch-22, which specif...",No win (2 of 5)
224.,2017-01-15 14:59:04,59.73,92%,He was perfectly astonished with the historical account gave...,Win (1 of 5)
223.,2017-01-15 14:16:29,65.26,90%,I am fundamentally an optimist. Whether that comes from natu...,Win (1 of 4)
222.,2017-01-15 14:14:41,69.90,90%,I wish we'll end up this crazy way before we burn our steam....,Win (1 of 5)
221.,2017-01-15 13:31:25,84.61,98%,"When I really worry about something, I don't just fool aroun...",Win (1 of 5)
220.,2017-01-14 04:13:28,60.72,91%,"Heaven knows we need never be ashamed of our tears, for they...",Win (1 of 4)
219.,2017-01-14 04:12:23,59.03,89%,"By that point, entire sectors of my cerebral cortex seemed t...",No win (3 of 5)
218.,2017-01-14 04:11:25,73.16,94%,Suppose you suggest to your husband that subsidized llama fa...,Win (1 of 5)
217.,2017-01-14 04:10:02,61.53,90%,I feel that way all the time. Like I'm from some other plane...,No win (3 of 4)
216.,2017-01-11 21:49:37,57.19,87%,You gotta relax and stay calm in there. The cage is your hom...,No win (4 of 4)
215.,2017-01-11 21:48:39,66.25,89%,It is possible that I already had some presentiment of my fu...,No win (3 of 3)
214.,2017-01-10 00:11:28,64.22,90%,"Hanging by threads of palest silver, I could have stayed tha...",No win (2 of 3)
213.,2017-01-10 00:10:25,54.71,85%,"Good games stay within, but at the outer edge, of the player...",No win (3 of 5)
212.,2017-01-09 22:31:24,62.63,89%,"This was the most delicious meal he'd had in recent years, a...",No win (2 of 2)
211.,2017-01-09 18:59:54,67.80,91%,The shearers' hut had bark walls and a tin roof. The floors ...,No win (2 of 4)
210.,2017-01-09 18:57:20,57.83,93%,"Not so happy, yet much happier. Thou shalt get kings, though...",No win (3 of 4)
209.,2017-01-09 18:56:52,66.06,90%,"We all have life storms, and when we get the rough times and...",No win (3 of 5)
208.,2017-01-09 18:55:57,68.62,91%,A vector is a quantity that has both magnitude and direction...,Win (1 of 4)
207.,2017-01-09 18:54:50,74.77,94%,"For centuries, human society has taken the gifts of nature f...",No win (2 of 5)
206.,2017-01-09 18:53:37,71.50,92%,The example of painting can teach us not only how to manage ...,Win (1 of 3)
205.,2017-01-09 18:52:32,85.25,95%,And he told us of his life in the land of submarines.,No win (2 of 5)
204.,2017-01-09 15:22:24,55.54,87%,"Every life is in many days, day after day. We walk through o...",No win (2 of 4)
203.,2017-01-08 23:25:42,63.11,91%,"Keying text quickly is important, but it is more important t...",No win (2 of 5)
202.,2017-01-08 23:24:59,60.84,88%,"People get ready, there's a train coming. You don't need no ...",No win (4 of 5)
201.,2017-01-08 23:23:51,67.36,92%,If there is one thing the history of evolution has taught us...,Win (1 of 5)
200.,2017-01-08 23:22:55,72.38,94%,"Warmer water increases the moisture content of storms, and w...",Win (1 of 5)
199.,2017-01-08 23:21:53,64.26,86%,"In America, circus folk ride through town, while bands play ...",No win (3 of 5)
198.,2017-01-08 23:20:57,70.77,93%,"If no one is around you, say I love you if you ain't runnin'...",No win (3 of 5)
197.,2017-01-08 23:20:35,63.54,91%,"The seeds of life - fiery is their force, divine their birth...",No win (2 of 5)
196.,2017-01-08 23:19:04,58.32,89%,"Now listen up! Back in my day, we didn't have fancy tanks! W...",No win (4 of 5)
195.,2017-01-08 23:18:04,78.71,92%,She was feeling the pressure of the world outside and she wa...,No win (4 of 5)
