964.,2017-04-09 01:16:38,147.14,99%,"And though it's always been with me, I must tear down the wa...",Win (1 of 4)
963.,2017-04-09 01:16:05,128.37,97%,"My friend, I shall be pedagogic, and say you ought to start ...",No win (1 of 1)
962.,2017-04-09 01:15:29,137.40,96%,"Because some men aren't looking for anything logical, like m...",Win (1 of 3)
961.,2017-04-07 22:51:39,129.74,96%,"And now the end is near, and so I face the final curtain. My...",No win (2 of 5)
960.,2017-02-15 03:44:54,151.63,99%,I felt good and all washed clean of sin for the first time I...,Win (1 of 2)
959.,2017-02-06 23:23:42,139.09,93%,You must know that there is nothing higher and stronger and ...,Win (1 of 4)
958.,2017-02-06 23:22:51,130.46,93%,"When you go into the ER, one of the first things they ask yo...",Win (1 of 4)
957.,2017-02-06 23:21:34,150.41,98%,"We are going to die, and that makes us the lucky ones. Most ...",Win (1 of 5)
956.,2017-02-06 23:19:58,134.12,96%,Individual science fiction stories may seem as trivial as ev...,No win (2 of 3)
955.,2017-02-06 23:18:52,154.76,99%,"I love the ground under his feet, and the air over his head,...",Win (1 of 3)
954.,2017-01-28 19:17:40,122.64,98%,"Titanium is extracted from ores, such as rutile, where the f...",Win (1 of 4)
953.,2017-01-28 19:17:02,135.43,98%,"I mind how once we lay such a transparent summer morning, ho...",Win (1 of 3)
952.,2017-01-28 19:16:10,139.10,99%,Each day means a new twenty-four hours. Each day means every...,Win (1 of 3)
951.,2016-12-16 00:12:49,130.76,98%,"Warmer water increases the moisture content of storms, and w...",Win (1 of 2)
950.,2016-12-16 00:12:00,139.17,97%,The time has come for man to set himself a goal. The time ha...,Win (1 of 3)
949.,2016-12-16 00:11:04,126.75,92%,The most precious treasures we have in life are the images w...,Win (1 of 4)
948.,2016-12-16 00:10:13,147.42,100%,The day is made up of 24 hours and an infinite number of mom...,Win (1 of 4)
947.,2016-12-09 21:46:42,137.88,99%,There was a stage and a PA up in western Massachusetts and t...,Win (1 of 3)
946.,2016-12-09 21:46:05,136.98,97%,The number one challenge I've seen with myself and with othe...,Win (1 of 3)
945.,2016-12-03 23:56:15,133.15,95%,"In short, our gentleman became so caught up in reading that ...",No win (2 of 5)
944.,2016-12-03 23:55:35,145.67,100%,"It may seem quite novelistic to you, and I am willing to agr...",Win (1 of 2)
943.,2016-12-03 23:54:40,132.99,95%,"I also thought about my wife, the most important person in m...",No win (2 of 3)
942.,2016-12-03 23:54:00,144.85,97%,"I took her hand in mine, and we went out of the ruined place...",Win (1 of 3)
941.,2015-11-12 03:30:57,135.01,97%,Let me tell you why you're here. You're here because you kno...,Win (1 of 2)
940.,2015-11-12 03:30:10,123.74,93%,Imagine for a moment if we once again knew these few unremar...,No win (2 of 3)
939.,2015-10-06 14:00:29,136.36,98%,The Inca believed that if one did not give thanks and obedie...,Win (1 of 3)
938.,2015-10-06 13:59:38,141.14,100%,"After the grapes are crushed, yeasts (tiny one-celled organi...",Win (1 of 2)
937.,2015-10-06 13:59:03,117.52,94%,Glancing through the 1977 Atlanta Yellow Pages reveals a cit...,Win (1 of 3)
936.,2015-10-05 17:50:59,127.69,96%,"Yeah, you just take Soupy-Sales to prom 'cause I can think o...",Win (1 of 3)
935.,2015-04-16 06:49:24,133.07,98%,"In fact, the mere act of opening the box will determine the ...",Win (1 of 5)
934.,2015-04-16 06:48:54,139.45,96%,The place to improve the world is first in one's own heart a...,Win (1 of 3)
933.,2015-04-16 06:48:16,131.19,98%,"It's a funny thing, but people mostly have it backward. They...",Win (1 of 3)
932.,2015-04-16 06:47:12,120.98,97%,"That's Tommy. He tells people he was named after a gun, but ...",Win (1 of 2)
931.,2015-04-16 06:46:00,137.08,98%,I have quit three jobs and been fired from all the rest. Get...,No win (2 of 2)
930.,2015-04-02 00:47:22,131.88,99%,"Alfred Hitchcock once said, ""Drama is life with the dull bit...",No win (2 of 4)
929.,2015-04-02 00:46:26,127.62,99%,"Imagine this: Here we are, a plane full of grown human being...",Win (1 of 2)
928.,2015-04-02 00:45:34,141.63,100%,"You found paradise in America. You had a good trade, made a ...",Win (1 of 2)
927.,2015-04-02 00:44:55,131.91,98%,The basic concept is simple: a satellite in geosynchronous o...,Win (1 of 3)
926.,2015-04-02 00:43:23,130.37,99%,"Radiation could be precisely determined, in principle, if we...",Win (1 of 2)
925.,2015-04-02 00:42:31,138.86,99%,Everything we hold dear likewise resolves into its original ...,Win (1 of 2)
924.,2015-04-02 00:41:29,139.23,100%,"Life is not suffering; it's just that you will suffer it, ra...",Win (1 of 2)
923.,2015-04-02 00:40:57,134.30,99%,"Finally, gentlemen, there are people with an hereditary anim...",Win (1 of 2)
922.,2015-04-02 00:39:55,146.36,99%,Being able to quit things that don't work is integral to bei...,Win (1 of 4)
921.,2015-04-02 00:39:11,136.79,98%,I drew the blankets over my head and tried to think of Chris...,Win (1 of 4)
920.,2015-04-02 00:38:22,138.56,100%,We don't need no education. We don't need no thought control...,Win (1 of 3)
919.,2015-04-02 00:37:43,141.73,100%,"They knew they were privileged to have these choices, but th...",Win (1 of 3)
918.,2015-04-02 00:37:03,135.12,99%,But speculations on the structure of the universe also move ...,Win (1 of 3)
917.,2015-04-02 00:36:11,142.83,99%,"Time is tricky. You have whole months, even years, when noth...",Win (1 of 3)
916.,2015-04-02 00:34:31,131.30,97%,"The sooner your kids appreciate the value of work, the more ...",Win (1 of 3)
915.,2015-04-02 00:33:40,140.86,99%,"Thirdly, however, these wars could now be waged with the new...",Win (1 of 3)
914.,2015-04-02 00:32:54,124.93,98%,"An essential characteristic of the superhero mythology is, t...",Win (1 of 4)
913.,2015-04-02 00:31:50,138.43,99%,With the coming of Dean Moriarty began the part of my life y...,Win (1 of 3)
912.,2015-04-01 07:12:14,145.64,100%,Remember that humor is written backwards. That means you fir...,Win (1 of 3)
911.,2015-04-01 07:10:35,139.10,100%,I think you're gonna find - when all this stuff is over and ...,Win (1 of 3)
910.,2015-04-01 07:04:00,135.41,100%,"I'm so glad you came, I'm so glad you remembered, to see how...",Win (1 of 3)
909.,2015-04-01 07:01:42,134.64,99%,I drew the blankets over my head and tried to think of Chris...,Win (1 of 3)
908.,2015-04-01 07:00:52,132.57,100%,"We turn away to face the cold, enduring chill, as the day be...",Win (1 of 2)
907.,2015-04-01 06:57:35,137.91,100%,There is a theory which states that if anybody ever discover...,Win (1 of 2)
906.,2015-04-01 06:55:17,127.25,96%,With the coming of Dean Moriarty began the part of my life y...,Win (1 of 4)
905.,2015-04-01 06:54:38,134.67,98%,The odds are that you will generally meet the worst of them....,Win (1 of 3)
904.,2015-04-01 06:53:10,141.73,99%,A few light taps upon the pane made him turn to the window. ...,Win (1 of 3)
903.,2015-04-01 06:50:06,130.12,100%,Quality humor doesn't just deliver one gag and then tax the ...,Win (1 of 3)
902.,2015-04-01 06:48:12,135.63,100%,Space is big. Really big. You just won't believe how vastly ...,Win (1 of 3)
901.,2015-04-01 06:45:41,125.57,96%,All time is all time. It does not change. It does not lend i...,Win (1 of 3)
900.,2015-04-01 06:45:08,138.60,99%,Is it really necessary to send that email? The more emails y...,Win (1 of 2)
