222.,2017-09-30 13:08:59,96.14,98%,"Hello, babies. Welcome to Earth. It's hot in the summer and ...",No win (2 of 2)
221.,2017-09-30 13:08:06,94.73,98%,Never give up on everything if one thing is too hard. Never ...,No win (2 of 2)
220.,2017-09-30 13:06:46,98.29,97%,Wrongfully imprisoned action heroes rarely have the time to ...,No win (2 of 2)
219.,2017-09-30 13:05:35,83.57,96%,"At a fundamental level, running is about travel. And travel ...",No win (2 of 2)
218.,2017-09-30 13:04:07,87.81,98%,When beetles fight these battles in a bottle with their padd...,No win (2 of 2)
217.,2017-09-30 13:02:57,100.84,97%,"I walk a mile with a smile and I don't know, I don't care wh...",No win (2 of 2)
216.,2017-09-30 13:01:44,94.07,98%,I cannot define what I mean by 'intuition'. It is simply wha...,No win (2 of 2)
215.,2017-09-30 13:00:18,99.82,98%,Ah how shameless - the way these mortals blame the gods. Fro...,No win (2 of 2)
214.,2017-09-30 12:59:16,94.37,97%,Only those who know the supremacy of the intellectual life -...,No win (2 of 2)
213.,2017-09-30 12:57:48,86.50,96%,While there are few problems in today's world that the Unite...,No win (2 of 2)
212.,2017-09-30 12:56:23,86.78,97%,It is possible that I already had some presentiment of my fu...,No win (2 of 2)
211.,2017-09-30 12:55:09,93.76,97%,The largest piece of our nutrition puzzle belongs to carbohy...,No win (2 of 2)
210.,2017-09-30 12:54:08,88.62,97%,I've never really had much of an imagination. But still I wo...,No win (2 of 2)
209.,2017-09-30 12:53:16,98.90,98%,"Suffering has been stronger than all other teaching, and has...",No win (2 of 2)
208.,2017-09-30 12:52:28,88.80,97%,"It's been a long day without you, my friend, and I'll tell y...",No win (2 of 2)
207.,2017-09-30 12:51:40,105.38,97%,"For string theory to make sense, the universe should have ni...",No win (2 of 2)
206.,2017-02-23 15:50:49,92.75,91%,"He started ripping the bark, using his fingernails at first,...",No win (3 of 4)
205.,2015-04-11 08:15:00,89.23,90%,"At first we were silent, but finally we considered ourselves...",No win (2 of 2)
204.,2015-04-11 08:13:47,98.87,91%,"A little boy went out to play. When he opened his door, he s...",No win (2 of 3)
203.,2015-04-11 08:12:54,79.64,86%,"As civilizations grew, humans spread out across the face of ...",No win (3 of 4)
