446.,2013-12-01 01:50:22,128.33,96%,A glooming peace this morning with it brings. The sun for so...,Win (1 of 2)
445.,2013-12-01 01:49:12,116.22,98%,"Two households, both alike in dignity (in fair Verona, where...",Win (1 of 2)
444.,2013-12-01 01:47:54,123.47,98%,"Burning my bridges and smashing my mirrors, turning to see i...",Win (1 of 2)
443.,2013-11-29 15:20:34,123.09,99%,"Good games stay within, but at the outer edge, of the player...",No win (2 of 5)
442.,2013-11-29 15:18:06,136.67,98%,"Well, it just so happens, this hacienda comes with its very ...",Win (1 of 5)
441.,2013-11-29 15:15:47,124.85,99%,"The only people for me are the mad ones, the ones who are ma...",No win (2 of 4)
440.,2013-11-29 15:14:41,120.43,96%,"The brain can be a tool. It can recall phone numbers, solve ...",Win (1 of 5)
439.,2013-11-29 15:13:09,130.94,100%,"When you are typing on a typewriter, your input appears dire...",Win (1 of 4)
438.,2013-11-29 15:12:34,111.94,98%,"Hey Mr. Tambourine Man, play a song for me, I'm not sleepy a...",Win (1 of 3)
437.,2013-04-08 01:29:33,121.95,96%,Remembering you running soft through the night. You were big...,Win (1 of 3)
436.,2013-04-08 01:28:37,119.56,98%,Now I want you to think and stop being a smart aleck. A man'...,No win (2 of 4)
435.,2013-04-08 01:27:16,131.13,100%,I must not fear. Fear is the mind killer. Fear is the little...,Win (1 of 3)
434.,2013-04-08 01:25:52,113.70,98%,We live in a charmed world. If we have money we can buy lite...,Win (1 of 2)
433.,2013-04-08 01:22:42,114.58,99%,The beginner writes just twenty pieces. The professional wri...,Win (1 of 3)
432.,2013-01-13 14:56:30,128.19,98%,Step out the front door like a ghost into the fog where no o...,No win (2 of 2)
431.,2013-01-13 14:55:47,112.50,98%,From compositional considerations the tomato layer would be ...,No win (2 of 3)
430.,2013-01-01 23:09:34,125.42,98%,Consider this: Is the pious being loved by the gods because ...,Win (1 of 2)
429.,2013-01-01 23:07:40,129.55,100%,"Look and think as far ahead as possible. Often, a driver's n...",Win (1 of 3)
428.,2013-01-01 23:06:05,121.50,99%,Remembering you running soft through the night. You were big...,Win (1 of 4)
427.,2013-01-01 23:04:56,118.94,99%,I don't believe in painted roses or bleeding hearts while bu...,Win (1 of 5)
426.,2012-12-29 19:28:54,128.40,100%,The ultimate way to compose is to be able to keyboard as fas...,Win (1 of 4)
425.,2012-12-08 03:34:30,121.59,98%,He rode past me and kept on goin'. Never said nothin' goin' ...,No win (2 of 5)
424.,2012-12-05 23:12:48,119.83,99%,"If you are given too many choices, if you are forced to cons...",No win (2 of 2)
423.,2012-12-05 23:06:42,116.68,97%,"He started running, up and up, until he hurled himself into ...",No win (2 of 3)
422.,2012-12-05 23:05:36,131.00,98%,I must not fear. Fear is the mind killer. Fear is the little...,Win (1 of 4)
421.,2012-12-05 23:03:54,117.88,99%,Chance and chance alone has a message for us. Everything tha...,No win (2 of 3)
420.,2012-12-05 23:01:23,115.66,97%,"Your face has fallen sad now, for you know the time is nigh....",Win (1 of 4)
419.,2012-12-03 19:22:27,116.03,97%,"There are perhaps twenty regular posters on the forum, and s...",No win (2 of 3)
