300.,2012-11-25 05:20:54,86.50,96%,At first they had tried to keep the finding quiet. After all...,No win (3 of 5)
299.,2012-11-25 05:19:58,96.62,97%,The theory of music emphasizes the elements from which music...,Win (1 of 3)
298.,2012-11-25 05:19:07,103.87,99%,"There is no physical separation after the slicing, so that e...",Win (1 of 2)
297.,2012-11-23 03:37:59,92.56,97%,Too often writers believe that they can emphasize words by p...,No win (3 of 5)
296.,2012-11-23 03:36:57,84.25,97%,"That day, for no particular reason, I decided to go for a li...",Win (1 of 5)
295.,2012-11-22 18:17:43,106.33,99%,Images of broken light which dance before me like a million ...,No win (3 of 4)
294.,2012-11-22 18:17:06,81.12,96%,"A computer needs a manager to administer its operations, jus...",No win (4 of 5)
293.,2012-11-22 18:16:29,112.88,100%,"It was a marvelous night, the sort of night one only experie...",Win (1 of 4)
292.,2012-11-22 18:15:49,94.80,95%,"When the light of life has gone, no change for the meter. Th...",No win (2 of 3)
291.,2012-11-22 18:15:05,85.39,93%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",No win (2 of 2)
290.,2012-11-22 18:14:22,100.31,97%,"King, eh? Very nice. And how'd you get that, eh? By exploiti...",No win (2 of 3)
289.,2012-11-12 19:46:43,98.58,96%,"I don't believe in an interventionist God, but I know, darli...",Win (1 of 3)
288.,2012-09-04 19:14:28,107.62,97%,With the coming of Dean Moriarty began the part of my life y...,Win (1 of 3)
287.,2012-09-04 19:13:30,101.49,98%,"Well, it just so happens, this hacienda comes with its very ...",Win (1 of 3)
286.,2012-08-18 15:28:53,77.42,95%,"Disillusion is the greatest gift I can give you. But, becaus...",No win (2 of 3)
285.,2012-08-18 15:27:48,73.12,93%,"What about Tony? You know, Bullet Tooth Tony. He'll find you...",No win (2 of 3)
284.,2012-08-18 15:23:57,98.97,97%,"Has it been five years? Six? It seems like a lifetime, the k...",Win (1 of 4)
283.,2012-08-18 15:10:43,94.27,98%,Aztec rule was based upon a system of tribute and fear over ...,No win (2 of 3)
282.,2012-08-18 15:09:42,101.24,98%,"Well, the way they make shows is, they make one show. That s...",No win (3 of 4)
281.,2012-08-18 15:08:45,80.70,91%,"As customers of all races, nationalities, and cultures visit...",Win (1 of 2)
280.,2012-08-17 17:37:09,97.81,98%,So my heart goes out to them. Figuratively. I would never ac...,Win (1 of 2)
279.,2012-08-17 17:36:15,102.96,96%,"Often, we assume that a familiar situation will be but a rep...",No win (3 of 4)
278.,2012-08-17 17:35:33,89.85,90%,You're going in the drink and I am going to make a cup of te...,No win (2 of 5)
277.,2012-07-11 11:03:59,107.72,98%,"You ask Raymond what he does for a living and he says, ""I br...",Win (1 of 2)
276.,2012-07-11 11:02:57,84.31,93%,"My name is Turkish. Funny name for an Englishman, I know. My...",No win (4 of 5)
275.,2012-07-11 11:01:31,113.84,100%,The unknown future rolls toward us. I face it for the first ...,Win (1 of 4)
274.,2012-05-20 01:30:28,91.66,97%,"An essential characteristic of the superhero mythology is, t...",Win (1 of 3)
273.,2012-05-20 01:29:20,102.44,98%,Mac knew the score even if Aunt Ella didn't. Shot through th...,Win (1 of 2)
272.,2012-05-20 01:28:06,97.60,97%,"In the witch trials, it was nearly impossible to provide com...",No win (2 of 3)
271.,2012-05-20 01:26:54,96.98,97%,"A lot of people, especially this one psychoanalyst guy they ...",Win (1 of 3)
270.,2012-05-20 01:25:50,98.21,98%,I am learning about twenty new Italian words a day. Where am...,No win (2 of 3)
269.,2012-05-20 01:24:30,96.18,96%,All time is all time. It does not change. It does not lend i...,Win (1 of 2)
268.,2012-05-18 00:23:49,100.96,97%,"They knew they were privileged to have these choices, but th...",Win (1 of 4)
267.,2012-05-18 00:22:50,111.74,99%,"Races are not won in the first corner; however, they are oft...",Win (1 of 2)
266.,2012-05-18 00:22:01,97.36,97%,"Listen, strange women lyin' in ponds distributin' swords is ...",Win (1 of 4)
265.,2012-03-17 20:37:15,92.05,96%,"When we conceive of the sweetest being ever, we are conceivi...",No win (3 of 3)
264.,2012-03-17 17:13:55,86.16,92%,"I don't believe in an interventionist God, but I know, darli...",Win (1 of 4)
263.,2012-03-17 17:11:40,104.06,95%,"When the light of life has gone, no change for the meter. Th...",Win (1 of 5)
262.,2012-03-17 01:16:17,88.13,97%,"I'll miss the sea, but a person needs new experiences. They ...",Win (1 of 4)
261.,2012-03-17 01:12:07,80.56,94%,"One respondent said ""For women - a lot of games are crap - t...",No win (2 of 4)
260.,2012-03-11 23:00:52,95.38,92%,Instead of hiring workers during the peak hog kill in the wi...,Win (1 of 4)
259.,2012-03-11 22:58:54,81.89,95%,Few smart kids can spare the attention that popularity requi...,No win (2 of 3)
258.,2012-03-11 14:49:01,88.14,95%,"Because most of the 150,000 tons of gold ever mined is still...",No win (2 of 4)
257.,2012-03-09 17:08:41,85.16,91%,I suddenly had the impression that I had been left all alone...,No win (2 of 3)
256.,2012-03-09 17:07:49,98.39,96%,"The creation ends in South Georgia, at the very edge of the ...",No win (2 of 3)
255.,2012-03-09 17:06:39,105.26,95%,Space is big. Really big. You just won't believe how vastly ...,No win (2 of 5)
254.,2012-03-09 17:06:01,106.33,96%,There are very few things I wish I could change about those ...,Win (1 of 2)
253.,2012-03-09 17:04:31,93.29,95%,"However, let us leave aside the philosophical, social, and e...",Win (1 of 3)
