320.,2018-03-19 13:15:20,98.51,99%,I know I should be angry. I should be furious. What a way to...,Win (1 of 2)
319.,2018-02-25 20:59:55,99.55,99%,"When you type faster than usual, it forces you to start look...",No win (3 of 5)
318.,2018-02-25 20:56:56,117.04,100%,And he told us of his life in the land of submarines.,Win (1 of 4)
317.,2018-02-25 20:56:13,94.21,98%,"I see trees of green, red roses too, I see them bloom for me...",No win (2 of 4)
316.,2017-12-30 19:59:21,110.41,99%,All time is all time. It does not change. It does not lend i...,No win (2 of 5)
315.,2017-11-19 18:08:22,96.95,98%,I don't hate anybody. The Winklevii aren't suing me for inte...,Win (1 of 4)
314.,2017-11-19 18:06:42,99.82,99%,If you spend too much time trying to find out what is good o...,Win (1 of 4)
313.,2017-11-19 18:05:37,92.29,99%,"When a man's an empty kettle, he should be on his mettle, an...",No win (2 of 5)
312.,2017-11-19 18:03:30,91.77,98%,It's a sad communication with little reason to believe when ...,No win (2 of 3)
311.,2017-11-19 18:00:40,87.85,98%,"Burning my bridges and smashing my mirrors, turning to see i...",Win (1 of 5)
310.,2017-11-19 17:58:37,93.59,98%,"We are the bright new stars born of a screaming black hole, ...",Win (1 of 3)
309.,2017-11-18 23:52:34,107.76,99%,"The hills are alive with the sound of music, with songs they...",No win (2 of 4)
308.,2017-11-18 23:47:01,96.86,99%,You are too generous to trifle with me. If your feelings are...,No win (3 of 4)
307.,2017-11-18 23:38:06,98.07,100%,"People say I'm crazy doing what I'm doing. Well, they give m...",No win (2 of 4)
306.,2017-11-18 23:33:58,95.40,98%,"By love you mean big lightning bolts to the heart, where you...",No win (2 of 3)
305.,2017-11-18 23:33:09,97.07,98%,"Man, I did love this game. I'd have played for food money. I...",No win (2 of 5)
304.,2017-11-18 23:32:33,92.53,98%,Today I don't feel like doing anything. I just wanna lay in ...,No win (3 of 5)
303.,2017-11-18 23:29:21,93.30,98%,While the simple act of putting one foot in front of the oth...,No win (3 of 4)
302.,2017-11-18 19:09:33,96.10,98%,"Every breath you take and every move you make, every bond yo...",Win (1 of 5)
301.,2017-11-18 19:05:46,95.96,98%,Sometimes I wondered if I was seeing the same things through...,No win (2 of 5)
300.,2017-11-18 19:05:09,103.13,98%,"And I have one of those very loud, stupid laughs. I mean if ...",No win (2 of 4)
299.,2017-11-18 19:04:00,88.69,98%,"But no matter how effective the lesson was, I never really u...",No win (2 of 5)
298.,2017-11-18 19:01:55,98.67,98%,"Though I never knew you at all, you had the grace to hold yo...",Win (1 of 5)
297.,2017-11-15 18:12:39,97.34,98%,"You have a class of young strong men and women, and they wan...",No win (2 of 4)
296.,2017-11-13 22:40:52,102.12,100%,I've been thinking lots about my life and how quick I'd wash...,No win (2 of 4)
295.,2017-11-13 22:35:05,93.30,98%,Here's what I think happened: the old man heard the fight be...,No win (3 of 5)
294.,2017-10-27 00:18:21,93.34,98%,The boy had been working for the crystal merchant for almost...,No win (2 of 4)
293.,2017-10-06 16:43:12,101.02,98%,The unknown future rolls toward us. I face it for the first ...,No win (2 of 5)
292.,2017-10-06 16:42:27,104.66,98%,"I walk a mile with a smile and I don't know, I don't care wh...",No win (2 of 3)
291.,2017-10-06 16:40:29,98.06,98%,There is no way that this winter is ever going to end as lon...,Win (1 of 5)
290.,2017-09-30 23:01:23,101.33,100%,"There are times when all the world's asleep, the questions r...",No win (2 of 5)
289.,2017-09-30 22:58:17,92.84,99%,"There's a fire starting in my heart reaching a fever pitch, ...",No win (2 of 5)
288.,2017-09-27 00:43:09,99.58,98%,She sits in a corner by the door. There must be more I can t...,No win (2 of 5)
287.,2017-09-27 00:41:50,110.96,100%,You are the most important thing to me now. The most importa...,No win (4 of 5)
286.,2017-09-27 00:38:03,89.03,97%,"And as we wind on down the road, our shadows taller than our...",No win (4 of 5)
285.,2017-09-27 00:36:45,92.37,99%,Life is short. From here to that old car you know so well th...,No win (2 of 2)
284.,2017-09-27 00:34:51,94.12,99%,"I got that sunshine in my pocket, got that good soul in my f...",Win (1 of 2)
283.,2017-09-27 00:33:05,87.03,98%,"How much longer is this going to go on, do you think? Do you...",Win (1 of 2)
282.,2017-09-27 00:31:07,91.06,97%,"They say that right after God created man, he took a rib fro...",No win (2 of 5)
281.,2017-09-27 00:30:21,90.03,98%,The whole point was to find a way to practice nuclear war wi...,Win (1 of 3)
280.,2017-09-27 00:29:32,88.52,97%,"On rainy afternoons, embroidering with a group of friends on...",No win (2 of 5)
279.,2017-09-27 00:28:36,95.84,99%,"It's too late to articulate it, that empty feeling. You shar...",No win (4 of 4)
278.,2017-09-27 00:27:09,99.90,99%,"No matter how bad things are, you can always make things wor...",No win (4 of 5)
277.,2017-09-27 00:25:42,98.45,99%,Many folk like to know beforehand what is to be set on the t...,Win (1 of 4)
276.,2017-09-27 00:24:33,97.55,99%,It's a pity that folk as talk about fighting the Enemy can't...,No win (2 of 5)
275.,2017-09-27 00:23:42,88.19,98%,Sometimes you concentrate more on racing the cars around you...,No win (3 of 5)
274.,2017-09-27 00:14:51,88.24,98%,"We acquire a taste for salt. By consuming less salt, we can ...",No win (2 of 4)
273.,2017-09-06 20:04:04,101.36,98%,The man who lies to himself and listens to his own lie comes...,No win (2 of 5)
272.,2017-09-06 20:03:01,98.32,98%,"Why is it that when one man builds a wall, the next man imme...",No win (3 of 4)
271.,2017-09-06 20:02:30,99.44,99%,Although some men who were easy with their words said that i...,No win (3 of 5)
270.,2017-09-06 19:59:03,105.03,99%,"Well, the real reason that you've been sent over here is bec...",No win (3 of 5)
269.,2017-09-06 19:57:28,105.99,100%,I feel his presence. But he can also feel mine. He's come fo...,No win (2 of 5)
268.,2017-09-06 19:56:20,90.67,97%,A year has passed since I wrote my note but I should have kn...,No win (3 of 5)
267.,2017-09-06 19:55:33,97.55,98%,I must not fear. Fear is the mind killer. Fear is the little...,No win (2 of 5)
266.,2017-09-06 19:53:10,89.18,97%,"There is nothing in the world more difficult than candor, an...",No win (2 of 5)
265.,2017-09-03 14:46:39,100.61,99%,And the mind that has conceived a plan of living must never ...,No win (4 of 5)
264.,2017-09-03 14:43:14,92.59,97%,I can see you. Your brown skin shining in the sun. You got t...,No win (4 of 5)
263.,2017-09-03 14:40:05,106.33,99%,"Look, there's only one thing worse than being a loser. It's ...",No win (2 of 5)
262.,2017-08-15 20:07:27,98.43,99%,"I'd pull your eyes out of your head, and put them in my own ...",No win (4 of 5)
261.,2017-08-15 20:06:51,87.38,98%,"I also thought about my wife, the most important person in m...",No win (5 of 5)
260.,2017-08-15 20:04:46,86.72,98%,"Fernanda, on the other hand, looked for it in vain along the...",No win (4 of 5)
259.,2017-08-15 20:03:57,104.18,100%,"Say, go through the darkest of days. Heaven's a heartbreak a...",No win (2 of 5)
258.,2017-08-11 17:47:05,96.00,98%,Persons attempting to find a motive in this narrative will b...,Win (1 of 5)
257.,2017-08-11 17:44:42,89.74,98%,"The terminator wouldn't stop, it would never leave him. It w...",No win (3 of 3)
256.,2017-08-11 17:43:12,95.41,99%,I met him down near the border. Said he wanted me to work wi...,No win (2 of 5)
255.,2017-08-11 17:40:58,87.34,97%,"The first time I made coffee for just myself, I made too muc...",Win (1 of 3)
254.,2017-06-21 16:44:27,107.85,100%,It was one of those March days when the sun shines hot and t...,No win (2 of 4)
253.,2017-06-21 16:41:34,102.13,100%,"Fernanda, on the other hand, looked for it in vain along the...",No win (4 of 5)
252.,2017-06-21 16:31:41,105.04,99%,We look not at the things which are what you would call seen...,No win (3 of 5)
251.,2017-06-21 16:28:25,101.90,99%,If he stayed at home and carried on with his normal life he ...,No win (2 of 5)
250.,2017-06-21 16:16:49,93.88,98%,"Never forget what you are, for surely the world will not. Ma...",Win (1 of 4)
249.,2017-06-21 16:15:04,101.69,98%,I am the happiest creature in the world. Perhaps other peopl...,Win (1 of 5)
248.,2017-06-21 16:08:49,102.84,99%,"Yes, it was her he was looking at, and there was meaning in ...",No win (4 of 5)
247.,2017-06-11 14:29:14,102.91,99%,But I really believe that there are more good people on this...,No win (2 of 3)
246.,2017-06-11 14:20:28,95.47,98%,Good games offer players a set of challenging problems and t...,No win (5 of 5)
245.,2017-06-11 14:13:33,95.38,99%,"It's sometimes quite astonishing that a single, average life...",Win (1 of 5)
244.,2017-06-11 14:09:07,98.11,97%,"My mother had to abandon her quest, but managed to extract f...",Win (1 of 5)
243.,2017-06-11 14:08:08,100.04,99%,Wherever they might be they always remember that the past wa...,No win (3 of 4)
242.,2017-06-11 14:04:23,101.65,98%,He could not be mistaken. There were no other eyes like thos...,No win (3 of 5)
241.,2017-06-11 13:59:10,95.58,98%,"I had been right, I was still right, I was always right. I h...",Win (1 of 3)
240.,2017-06-10 00:40:27,102.25,98%,"Take a drink, my friend, and say what you have in your heart...",No win (3 of 5)
239.,2017-06-10 00:38:10,103.84,99%,The mark of the immature man is that he wants to die nobly f...,No win (2 of 4)
238.,2017-06-10 00:35:27,91.34,98%,"What you need to learn, children, is the difference between ...",No win (3 of 5)
237.,2017-06-10 00:31:49,89.47,97%,"And you know it's time to go, through the sleet and driving ...",No win (5 of 5)
236.,2017-06-10 00:28:00,88.26,98%,I thought climbing the Devil's Thumb would fix all that was ...,No win (4 of 5)
235.,2017-06-10 00:22:30,95.30,99%,The number one challenge I've seen with myself and with othe...,No win (2 of 5)
234.,2017-06-10 00:10:11,89.50,98%,The man who passes the sentence should swing the sword. If y...,Win (1 of 2)
233.,2017-06-10 00:05:39,93.50,100%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",No win (5 of 5)
232.,2017-05-09 14:49:08,101.39,99%,And so with the sunshine and the great bursts of leaves grow...,No win (2 of 5)
231.,2017-05-09 14:48:28,84.99,92%,"To pass beyond is what I seek, I fear that I may be too weak...",Win (1 of 5)
230.,2017-05-09 14:39:15,98.99,94%,"No matter where you stand on the long path, right now, try v...",No win (2 of 3)
229.,2017-05-05 17:37:32,90.01,97%,Now the years are rolling by me. They are rocking evenly. An...,No win (3 of 5)
228.,2017-05-05 17:34:41,86.01,94%,"Yes, they think we're dumb. They call us the common people. ...",Win (1 of 5)
227.,2017-05-05 17:33:42,85.47,92%,If only all the contradictory voices shouting inside my head...,No win (2 of 3)
