202.,2018-02-19 05:59:48,115.12,98%,"This is where it all began, gentlemen. The birthplace of Hoo...",Win (1 of 3)
201.,2018-02-19 05:58:30,98.98,99%,"In short order, Carter then proceeded to kill any chance he ...",No win (4 of 5)
200.,2018-02-08 23:37:53,120.05,98%,Here I am a record on a jukebox. A little piece of plastic w...,No win (2 of 2)
199.,2018-02-08 23:36:17,105.99,98%,"My tea's gone cold, I'm wondering why I got out of bed at al...",Win (1 of 2)
198.,2018-02-08 23:33:16,127.28,98%,I believe that you are sincere and good at heart. If you do ...,Win (1 of 2)
197.,2018-02-08 23:30:10,141.54,99%,"Ah, the lengthening hours in the refinery, belching fire int...",Win (1 of 3)
196.,2018-02-08 23:28:12,134.73,98%,You can know the name of a bird in all the languages of the ...,Win (1 of 3)
195.,2018-02-08 22:40:26,147.01,99%,The mother was gravely injured. Her only choice was to entru...,Win (1 of 2)
194.,2018-02-08 22:39:24,140.42,98%,Although his voice was also broken by uncertainty and his ha...,Win (1 of 2)
193.,2018-01-26 09:22:21,118.59,97%,I hated this movie. Hated hated hated hated hated this movie...,Win (1 of 2)
192.,2018-01-26 09:20:20,119.21,98%,"I was shaking like a leaf, so without thinking I lit up a ci...",Win (1 of 2)
191.,2018-01-26 09:18:34,151.70,100%,We were the people who were not in the papers. We lived in t...,Win (1 of 2)
190.,2018-01-26 09:11:36,117.64,97%,"If teachers taught, why didn't preachers praught? Why is a b...",Win (1 of 2)
189.,2018-01-26 09:05:15,140.13,99%,Don't you ever talk that way to me. Never! Never! What we've...,Win (1 of 2)
188.,2018-01-26 09:03:54,115.23,97%,"The work force is disgusted, downs tools, and walks. Innocen...",Win (1 of 2)
187.,2018-01-26 09:01:57,130.90,98%,"It rasped her, though, to have stirring about in her this br...",Win (1 of 2)
186.,2018-01-26 08:59:54,155.31,99%,Jay made up for the lack of glamour in his assignment by hav...,Win (1 of 2)
185.,2018-01-24 06:58:46,106.49,97%,When I was 9 years old I had kind of a rough time. A lot of ...,Win (1 of 3)
184.,2018-01-24 06:57:55,117.47,97%,And then I hear the best thing to do is feed 'em to pigs. Yo...,Win (1 of 2)
183.,2018-01-24 06:56:26,115.91,97%,"If you talk to these extraordinary people, you find that the...",No win (3 of 5)
182.,2018-01-24 06:55:26,115.78,98%,The great ideas of Xerox PARC which were turned into a great...,No win (2 of 3)
181.,2018-01-24 06:54:48,116.65,98%,"Rimmer: Kryten, you're forgetting about Space Corps Directiv...",Win (1 of 4)
180.,2018-01-22 07:32:15,119.87,99%,"Sutler can no longer trust you, can he, Mr. Creedy? And we b...",Win (1 of 2)
179.,2018-01-22 07:30:43,112.13,98%,Each day means a new twenty-four hours. Each day means every...,Win (1 of 2)
178.,2018-01-22 07:21:23,115.76,97%,Then Annie got the crazy idea that she could talk me into bu...,Win (1 of 2)
177.,2018-01-22 07:19:09,113.20,98%,"Our mission was called ""a successful failure,"" in that we re...",Win (1 of 2)
176.,2018-01-22 07:17:42,137.19,99%,Beauty is in the eye of the beholder. Yet there are those wh...,Win (1 of 2)
175.,2018-01-22 07:16:21,121.23,99%,"Now Lina, you've been reading all those fan magazines again!...",Win (1 of 2)
174.,2018-01-22 07:14:28,59.71,97%,"Good evening, sportsmen evewywhere... 'Fwesh-Fwied, Fwesh-Fw...",Win (1 of 2)
173.,2018-01-22 07:12:13,137.34,99%,I thought I had the whole world in my mouth. I thought I cou...,Win (1 of 2)
172.,2018-01-22 07:10:38,109.54,97%,Yesterday all my troubles seemed so far away. Now it looks a...,Win (1 of 2)
171.,2018-01-22 07:09:11,95.18,97%,"The fact is that gossip, rumors, mythmaking, and news storie...",Win (1 of 2)
170.,2018-01-22 07:08:01,130.72,99%,"I ran out of tears when I was 18, so nobody made me but the ...",Win (1 of 2)
169.,2018-01-15 10:47:37,133.57,99%,"When you decide to be something, you can be it. That's what ...",Win (1 of 2)
168.,2018-01-15 10:46:35,103.18,99%,Remember that humor is written backwards. That means you fir...,No win (3 of 5)
167.,2017-12-05 15:43:52,123.48,99%,"Doesn't matter what he says. It's 4:07, and if you don't let...",Win (1 of 5)
166.,2017-12-03 07:33:20,109.20,96%,"There is nothing in the world more difficult than candor, an...",Win (1 of 4)
165.,2017-12-03 07:31:31,137.14,99%,"Ergonomics is a term that combines the Greek word ergon, mea...",Win (1 of 3)
164.,2017-12-03 07:30:58,124.43,99%,"In 12th-century Pisa, Italy, the construction firm of Morrel...",Win (1 of 3)
163.,2017-12-03 07:30:23,113.82,96%,Typing competitions provided another test of the Qwerty keyb...,No win (2 of 2)
162.,2017-12-03 07:29:31,77.71,96%,"To pass beyond is what I seek, I fear that I may be too weak...",No win (3 of 3)
161.,2017-12-03 07:28:43,117.41,98%,There are two places on Earth that serve as canaries in the ...,Win (1 of 4)
160.,2017-11-28 23:46:00,119.63,97%,The streets were cleared by a Critical Mass bike ride and we...,Win (1 of 5)
159.,2017-11-27 22:19:54,119.03,98%,"Three Rings for the Elven-kings under the sky, Seven for the...",Win (1 of 4)
158.,2017-11-27 22:19:06,81.10,97%,Lieutenant Dan got me invested in some kind of fruit company...,No win (2 of 3)
157.,2017-11-27 22:18:17,117.47,97%,"My friend was an enthusiastic musician, being himself not on...",No win (1 of 1)
156.,2017-11-27 22:17:18,120.33,98%,"With people like us, you should hang out, get to know what t...",No win (2 of 3)
155.,2017-11-27 22:16:39,106.70,96%,I'm the most terrific liar you ever saw in your life. It's a...,No win (2 of 5)
154.,2017-11-27 22:16:02,133.97,99%,"These mist-covered mountains are a home now for me, but my h...",No win (2 of 4)
153.,2017-11-27 22:15:31,112.17,98%,When the night has come and the land is dark and the moon is...,No win (2 of 3)
152.,2017-11-27 22:14:59,119.86,96%,"Every second he breathed, the smell of the grass, the cool a...",No win (3 of 4)
151.,2017-11-27 22:14:26,112.94,98%,Lucid but wholly false recollections can easily be induced b...,Win (1 of 4)
150.,2017-11-27 17:03:04,125.80,98%,The road is long with many a winding turn that leads us to w...,Win (1 of 5)
149.,2017-11-26 19:11:18,74.25,96%,Because some roads you shouldn't go down. Because maps used ...,No win (4 of 5)
148.,2017-11-26 19:04:12,118.87,97%,"We lose direction, no stone unturned, no tears to damn you w...",Win (1 of 5)
147.,2017-11-26 19:03:32,105.72,97%,"He didn't teach you how to win, he taught you how not to los...",Win (1 of 4)
146.,2017-11-26 19:01:10,137.61,98%,I don't know if I will have the time to write any more lette...,Win (1 of 4)
145.,2017-11-26 19:00:12,116.10,98%,Looking back I know of one opportunity where an engineer cam...,No win (2 of 4)
144.,2017-11-26 18:47:12,123.34,98%,Well all I can say Gerry is that some marches are for things...,Win (1 of 3)
143.,2017-11-26 18:45:16,132.07,98%,Shoot the dictator and prevent the war? But the dictator is ...,Win (1 of 3)
142.,2017-11-26 18:42:58,127.46,98%,"There are three reasons, Mr. Brown, why I will not dance wit...",Win (1 of 2)
141.,2017-11-26 18:40:54,139.08,98%,"In order to return the power to repel evil to your sword, yo...",Win (1 of 2)
