328.,2012-12-13 13:14:53,134.97,99%,It is possible that I already had some presentiment of my fu...,Win (1 of 2)
327.,2012-12-12 13:06:37,117.17,96%,"Whenever you watch the mind, you withdraw consciousness from...",Win (1 of 5)
326.,2012-12-12 13:04:47,126.50,97%,Having endured the racial turmoil of the Civil Rights Moveme...,Win (1 of 2)
325.,2012-12-12 13:03:24,124.21,96%,A giant inverted steel pyramid is perfectly balanced on its ...,Win (1 of 3)
324.,2012-12-11 20:58:48,120.73,97%,I don't know why he saved my life. Maybe in those last momen...,No win (2 of 2)
323.,2012-12-11 20:29:26,133.85,98%,For it is not enough to have a good mind; the main thing is ...,Win (1 of 3)
322.,2012-12-11 20:24:58,123.64,95%,"I had a job, I had a girl. I had something going, mister, in...",Win (1 of 4)
321.,2012-12-11 19:21:31,122.78,96%,"Good games stay within, but at the outer edge, of the player...",Win (1 of 5)
320.,2012-12-11 19:19:41,126.74,97%,Focus your attention on the Now and tell me what problem you...,Win (1 of 4)
319.,2012-12-11 19:15:27,144.05,97%,"In the casino, the cardinal rule is to keep them playing and...",Win (1 of 3)
318.,2012-12-11 19:13:37,141.93,99%,"In the casino, the cardinal rule is to keep them playing and...",Win (1 of 2)
317.,2012-12-11 19:12:09,120.20,96%,"I went to the woods because I wished to live deliberately, t...",No win (3 of 3)
316.,2012-12-11 19:10:42,123.15,96%,"When I really worry about something, I don't just fool aroun...",Win (1 of 5)
315.,2012-12-11 19:06:19,127.56,99%,"I often see racers, particularly at the back of the pack in ...",Win (1 of 3)
314.,2012-12-11 19:04:27,142.53,98%,To an outsider's ear it sounds absurdly wild and ridiculous ...,Win (1 of 5)
313.,2012-12-11 19:03:25,132.00,98%,If you're working out in front of a mirror and watching your...,No win (3 of 4)
312.,2012-12-11 19:02:28,131.36,100%,I drew the blankets over my head and tried to think of Chris...,Win (1 of 3)
311.,2012-12-10 08:45:56,131.07,95%,I have quit three jobs and been fired from all the rest. Get...,Win (1 of 3)
310.,2012-12-10 08:44:53,129.46,96%,It was one of those days when it's a minute away from snowin...,No win (2 of 2)
309.,2012-12-10 08:43:37,141.80,97%,Come sail your ships around me and burn your bridges down. W...,Win (1 of 5)
308.,2012-12-10 08:40:02,124.63,99%,"Don't practice too much at first, or you're likely to develo...",No win (2 of 2)
307.,2012-12-09 05:31:23,145.89,99%,I must not fear. Fear is the mind killer. Fear is the little...,Win (1 of 3)
306.,2012-12-09 05:30:13,128.61,99%,Convection also plays a minor role because of the relative t...,Win (1 of 3)
305.,2012-12-09 05:27:53,117.27,97%,It is by will alone I set my mind in motion. It is by the ju...,Win (1 of 3)
304.,2012-12-09 05:26:23,126.13,97%,"It was a marvelous night, the sort of night one only experie...",Win (1 of 2)
303.,2012-12-08 19:49:21,141.00,100%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",Win (1 of 4)
302.,2012-12-08 19:48:46,126.85,95%,"Comfortable, Mullet? It seems sadly ironic that it's that ti...",Win (1 of 5)
301.,2012-12-08 19:47:56,129.55,98%,"Contrary to the feminist cant, there are many things we can ...",Win (1 of 2)
300.,2012-12-08 19:46:49,116.91,98%,Remembering you running soft through the night. You were big...,Win (1 of 3)
299.,2012-12-08 19:46:10,126.75,98%,Is it sweeter to exist only in the mind or to exist both in ...,Win (1 of 3)
