156.,2016-10-14 12:09:29,121.90,98%,I have quit three jobs and been fired from all the rest. Get...,Win (1 of 5)
155.,2016-08-17 14:04:44,124.36,99%,"With no map to navigate one's life, some of us have stood st...",Win (1 of 2)
154.,2016-08-17 14:03:59,121.42,97%,For it is not enough to have a good mind; the main thing is ...,Win (1 of 4)
153.,2016-08-17 14:03:12,88.70,94%,Suppose you suggest to your husband that subsidized llama fa...,No win (2 of 5)
152.,2016-05-11 17:01:02,120.09,98%,I still see things that are not here. I just choose not to a...,Win (1 of 2)
151.,2016-05-11 17:00:02,119.54,94%,I suddenly had the impression that I had been left all alone...,Win (1 of 2)
150.,2016-05-11 16:59:04,96.14,92%,The inner surface of the cell wall touches the cytoplasmic m...,No win (2 of 2)
149.,2016-05-11 16:57:56,70.49,99%,"It turned out that the sweet-talking, tattoo-sporting pikey ...",Win (1 of 2)
148.,2016-04-06 16:52:02,128.48,97%,"Thirdly, however, these wars could now be waged with the new...",Win (1 of 3)
147.,2016-04-06 16:51:21,115.54,96%,"Ezekiel twenty-five, seventeen: The path of the righteous ma...",Win (1 of 2)
146.,2016-04-06 16:50:34,122.99,97%,Do you know what they call a Quarter-pounder with cheese in ...,Win (1 of 4)
145.,2016-04-06 16:49:58,126.19,99%,If you're working out in front of a mirror and watching your...,Win (1 of 3)
144.,2016-04-06 16:49:22,111.31,100%,"So, I'm tending bar there at Ecklund & Swedlin's last Tu...",Win (1 of 2)
143.,2016-04-06 16:48:30,120.95,100%,I thought climbing the Devil's Thumb would fix all that was ...,Win (1 of 2)
142.,2016-03-28 16:12:31,133.12,97%,"Hope you're feeling better now, hope you got my letter, how ...",No win (2 of 3)
141.,2016-03-28 16:11:51,113.31,86%,"My mom, especially, challenged us on everything. She'd use w...",No win (2 of 2)
140.,2016-03-28 16:10:58,109.62,94%,The streets were cleared by a Critical Mass bike ride and we...,Win (1 of 3)
139.,2016-03-28 16:10:18,113.49,95%,We've arranged a global civilization in which most crucial e...,Win (1 of 5)
138.,2016-03-28 16:09:30,126.11,95%,The truth of the matter is that there are a lot of available...,Win (1 of 4)
137.,2016-03-28 16:08:51,138.25,100%,Even the best-designed chair won't make up for bad posture. ...,Win (1 of 3)
136.,2016-03-28 16:08:15,132.85,96%,"The problem is, Willie, is that Charles and yourself are not...",Win (1 of 5)
135.,2016-03-28 16:07:47,105.73,89%,We might begin by asking why the pregnant man image has been...,Win (1 of 3)
134.,2016-03-28 16:06:51,145.29,99%,Space is big. Really big. You just won't believe how vastly ...,Win (1 of 5)
133.,2016-03-11 11:49:12,122.16,95%,Focus your attention on the Now and tell me what problem you...,Win (1 of 3)
132.,2016-03-11 11:45:45,134.09,99%,I can and do say that nothing human beings have ever before ...,Win (1 of 5)
131.,2016-03-11 11:44:53,121.49,97%,I had the impression of being abandoned by everyone when the...,Win (1 of 4)
130.,2016-03-11 11:42:11,119.57,96%,The theory of music emphasizes the elements from which music...,Win (1 of 3)
129.,2016-03-11 11:41:20,124.39,98%,"My name is Turkish. Funny name for an Englishman, I know. My...",Win (1 of 2)
128.,2016-03-11 11:40:29,132.27,96%,I don't believe in painted roses or bleeding hearts while bu...,Win (1 of 5)
127.,2016-03-11 11:39:54,124.21,97%,God help the man who ever really loves you. You'd break his ...,Win (1 of 5)
126.,2016-03-09 23:15:12,97.47,86%,"Whether you're a student, secretary, office administrator, m...",No win (2 of 2)
125.,2016-03-09 23:14:13,99.75,91%,"When we pulled out into the winter night and the real snow, ...",No win (2 of 3)
124.,2016-03-09 23:13:05,117.17,92%,The one place where a man ought to get a square deal is in a...,No win (2 of 4)
123.,2016-03-09 23:11:19,126.94,96%,I've been looking so long at these pictures of you that I al...,Win (1 of 2)
122.,2016-03-09 23:10:11,115.34,97%,Who is Keyser Soze? He is supposed to be Turkish. Some say h...,No win (2 of 3)
121.,2016-03-09 23:08:44,123.82,97%,"If you don't get what you want, you suffer; if you get what ...",Win (1 of 2)
120.,2016-03-09 23:07:47,116.79,99%,Parisian French is different from Provincial French and Germ...,Win (1 of 4)
119.,2016-03-09 16:30:00,131.72,98%,We began to recognize in them a strange obsession. After all...,No win (2 of 5)
118.,2016-03-07 15:01:00,120.26,96%,Having endured the racial turmoil of the Civil Rights Moveme...,Win (1 of 2)
117.,2016-03-07 15:00:11,111.59,94%,"""This man right here,"" McGuinness said, pointing at Kenna, ""...",Win (1 of 2)
116.,2016-03-07 14:59:08,130.62,99%,Overhead the albatross hangs motionless upon the air and dee...,Win (1 of 2)
115.,2016-03-07 14:57:54,121.47,97%,"The goal of the true seeker is to become a sage, or superior...",Win (1 of 3)
114.,2016-03-02 17:14:01,121.08,97%,And then I hear the best thing to do is feed 'em to pigs. Yo...,Win (1 of 4)
113.,2016-03-02 17:12:34,121.07,99%,Overhead the albatross hangs motionless upon the air and dee...,Win (1 of 4)
112.,2016-03-02 17:11:57,135.64,98%,There are very few things I wish I could change about those ...,Win (1 of 5)
111.,2016-03-02 17:11:10,132.45,99%,We don't read and write poetry because it's cute. We read an...,Win (1 of 4)
110.,2016-03-02 17:10:29,116.68,96%,"Padre, these are subtleties! We are not concerned with motiv...",No win (2 of 3)
109.,2016-03-02 17:09:31,132.50,98%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 4)
108.,2016-03-01 17:15:25,123.82,99%,"You found paradise in America. You had a good trade, made a ...",Win (1 of 5)
107.,2016-03-01 17:14:39,125.07,97%,"If I leave here tomorrow, would you still remember me? For I...",Win (1 of 3)
106.,2016-03-01 17:13:47,126.74,100%,"Do you smell that? Napalm, son. Nothing else in the world sm...",Win (1 of 5)
105.,2016-03-01 17:13:09,133.90,97%,Is it really necessary to send that email? The more emails y...,Win (1 of 3)
104.,2016-03-01 17:12:19,104.94,93%,"Take my love, take my land, take me where I cannot stand. I ...",Win (1 of 3)
103.,2016-03-01 17:11:41,129.97,98%,"Time is tricky. You have whole months, even years, when noth...",Win (1 of 4)
102.,2016-03-01 17:10:53,113.41,97%,It is by will alone I set my mind in motion. It is by the ju...,No win (2 of 3)
101.,2016-03-01 17:10:09,131.22,100%,"I'm so glad you came, I'm so glad you remembered, to see how...",Win (1 of 5)
100.,2016-03-01 17:09:32,118.92,99%,We might begin by asking why the pregnant man image has been...,Win (1 of 5)
99.,2016-03-01 17:08:39,121.66,98%,"I've heard there was a secret chord that David played, and i...",Win (1 of 4)
98.,2016-03-01 17:08:03,66.36,89%,When is a legend a legend? Why is a myth a myth? How old and...,No win (3 of 4)
97.,2016-03-01 17:07:06,107.36,99%,"Bullet Tooth Tony: ""A bookie's got blagged last night."" Avi:...",Win (1 of 3)
96.,2015-09-18 00:00:52,110.14,93%,The day is made up of 24 hours and an infinite number of mom...,No win (3 of 4)
95.,2015-09-17 23:57:14,113.86,99%,I thought climbing the Devil's Thumb would fix all that was ...,Win (1 of 4)
94.,2015-09-17 23:56:32,92.41,95%,"Some pilots like the excitement of our missions, knowing tha...",No win (3 of 3)
93.,2015-09-17 23:55:14,117.53,97%,"Throughout my academic career, I'd given some pretty good ta...",Win (1 of 2)
92.,2015-07-22 15:09:43,110.96,98%,But if in efficient causes it is possible to go on to infini...,Win (1 of 2)
91.,2015-06-12 15:18:48,116.38,98%,"No man is an island, entire of itself; every man is a piece ...",Win (1 of 5)
90.,2015-06-12 15:17:42,121.05,99%,Many wines have more than 14 percent alcohol because the win...,Win (1 of 4)
89.,2015-06-12 15:10:37,129.82,98%,Music finds a comfortable parallel with that of human langua...,Win (1 of 4)
88.,2015-02-13 11:05:54,128.86,96%,"Right, I am going to tell you how this works. You're going i...",Win (1 of 3)
87.,2015-02-10 13:40:07,90.24,97%,We all know people who are very bright but who do not always...,Win (1 of 2)
86.,2015-02-05 14:53:58,130.34,100%,San Francisco in the middle sixties was a very special time ...,Win (1 of 4)
85.,2015-02-05 14:53:21,113.26,97%,Sholes consulted with an educator who helped him analyze the...,Win (1 of 5)
84.,2015-02-03 16:10:05,135.73,99%,How many roads must a man walk down before you call him a ma...,Win (1 of 3)
83.,2015-02-03 16:04:27,125.04,97%,It was one of those days when it's a minute away from snowin...,Win (1 of 3)
82.,2015-02-03 16:03:39,99.94,94%,"A little boy went out to play. When he opened his door, he s...",No win (2 of 4)
81.,2015-02-03 16:02:40,122.74,95%,I suddenly had the impression that I had been left all alone...,Win (1 of 3)
80.,2013-06-12 11:27:26,141.06,98%,I have quit three jobs and been fired from all the rest. Get...,Win (1 of 3)
79.,2013-06-12 11:26:34,113.08,97%,Buddhism addresses two major types of meditation. Vipassana ...,Win (1 of 4)
78.,2013-06-12 11:25:48,112.74,95%,"As if that blind rage had washed me clean, rid me of hope; f...",Win (1 of 3)
77.,2013-06-12 11:25:05,101.01,95%,Glancing through the 1977 Atlanta Yellow Pages reveals a cit...,No win (1 of 1)
76.,2013-06-12 11:24:18,108.07,93%,It takes more than a calorie of fossil fuel energy to produc...,No win (2 of 3)
75.,2013-06-05 15:18:38,122.42,98%,A giant inverted steel pyramid is perfectly balanced on its ...,No win (2 of 3)
74.,2013-06-05 15:17:52,114.68,97%,The recipe for turning fruit into wine goes something like t...,Win (1 of 3)
73.,2013-06-05 15:16:49,107.90,92%,"Ticking away the moments that make up a dull day, you fritte...",No win (4 of 5)
72.,2013-06-04 16:20:06,140.01,100%,Don't make assumptions - find the courage to ask questions a...,Win (1 of 4)
71.,2013-06-04 16:19:27,132.62,97%,"Ever since I was a child, folks have thought they had me peg...",Win (1 of 5)
70.,2013-06-04 16:19:03,101.27,89%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",Win (1 of 3)
69.,2013-05-28 20:22:19,107.89,97%,"They had been given a sign - a powerful, lucid sign - that u...",Win (1 of 5)
68.,2013-05-28 20:21:22,120.02,98%,"I can feel the heat closing in, feel them out there making t...",Win (1 of 3)
67.,2013-05-28 20:20:44,106.18,93%,"Burning my bridges and smashing my mirrors, turning to see i...",Win (1 of 2)
66.,2013-05-28 20:19:52,115.01,97%,We often believe the more we practice a skill or technique -...,Win (1 of 3)
65.,2013-05-28 20:18:55,143.72,100%,Being able to quit things that don't work is integral to bei...,Win (1 of 3)
64.,2013-05-24 12:14:07,144.73,100%,One thing I've learned in the last seven years: in every gam...,Win (1 of 2)
63.,2013-05-21 16:01:53,130.63,98%,I've been looking so long at these pictures of you that I al...,Win (1 of 3)
62.,2013-05-21 16:01:22,105.15,97%,"That's Tommy. He tells people he was named after a gun, but ...",Win (1 of 2)
61.,2013-05-14 10:38:31,113.58,96%,Since every piece of matter in the Universe is in some way a...,Win (1 of 2)
60.,2013-05-14 10:37:41,130.58,97%,"It's a blue savanna song: somewhere cross the desert, someti...",Win (1 of 3)
59.,2013-05-09 14:40:50,111.05,90%,Sometimes you concentrate more on racing the cars around you...,Win (1 of 4)
58.,2013-05-09 11:14:43,131.97,99%,The chemistry of an element is determined by the manner in w...,Win (1 of 2)
57.,2013-05-09 11:14:06,119.08,95%,"Let's sort the buyers from the spiers, the needy from the gr...",Win (1 of 2)
56.,2013-05-09 11:13:24,124.76,98%,"Today, computers have taken this ancient art out of the craf...",Win (1 of 4)
55.,2013-05-03 14:14:44,113.70,98%,"And today, Lady Liberty is under attack from the cable chann...",Win (1 of 2)
