131.,2018-01-19 15:26:18,108.36,98%,"The Guru of Time gave me this sapling, but is there any plac...",No win (2 of 5)
130.,2018-01-19 15:24:57,134.23,99%,Looking back I know of one opportunity where an engineer cam...,Win (1 of 5)
129.,2018-01-19 15:23:44,98.06,97%,My name is Percy Jackson. I'm twelve years old. Until a few ...,Win (1 of 3)
128.,2017-12-19 14:54:39,133.53,99%,"I hate nice girls. If they so much as say hello, it stays on...",No win (2 of 4)
127.,2017-12-19 14:53:25,111.82,99%,"And now, as I close my task, subduing my desire to linger ye...",No win (2 of 4)
126.,2017-12-19 14:52:46,126.53,99%,"The point is that if you are a little different, or a little...",No win (4 of 5)
125.,2017-08-07 14:24:26,125.01,99%,"Like I said, my uncle used to drive his truck and drink Old ...",Win (1 of 2)
124.,2017-08-07 14:23:40,117.86,97%,"There will be no more retribution, so you better not waste y...",No win (2 of 3)
123.,2017-08-07 14:23:07,104.10,98%,"I don't care what he is. If it wasn't for him, your impartia...",No win (2 of 2)
122.,2017-04-06 15:15:42,122.08,94%,"May your hands always be busy, may your feet always be swift...",Win (1 of 4)
121.,2017-04-06 15:14:49,115.16,95%,Since every piece of matter in the Universe is in some way a...,Win (1 of 5)
120.,2017-04-06 15:14:06,92.99,88%,He had spent enormous amounts of time at the great libraries...,Win (1 of 4)
119.,2017-02-27 16:45:16,117.92,95%,"I see something of God each hour of the twenty-four, and eac...",No win (2 of 5)
118.,2017-02-27 16:44:33,96.70,88%,I don't believe in painted roses or bleeding hearts while bu...,Win (1 of 2)
117.,2017-02-27 16:43:32,115.01,94%,"Yeah, you just take Soupy-Sales to prom 'cause I can think o...",Win (1 of 3)
116.,2017-02-21 16:49:24,120.94,93%,The key goals in user-interface design are increase in speed...,Win (1 of 4)
115.,2017-02-21 16:45:34,137.73,97%,Imagine for a moment if we once again knew these few unremar...,Win (1 of 2)
114.,2017-02-21 16:44:30,151.08,99%,You can know the name of a bird in all the languages of the ...,Win (1 of 3)
113.,2017-02-21 16:43:48,85.06,81%,Remembering you running soft through the night. You were big...,Win (1 of 2)
112.,2017-02-21 16:42:57,109.24,94%,"An essential characteristic of the superhero mythology is, t...",Win (1 of 4)
111.,2016-12-12 16:35:04,124.97,94%,Is it really necessary to send that email? The more emails y...,Win (1 of 4)
110.,2016-12-12 16:34:12,116.04,92%,"Despair comes slowly, crawling its way up inside you until i...",No win (2 of 5)
109.,2016-12-05 15:30:15,114.66,93%,"Above all, don't lie to yourself. The man who lies to himsel...",No win (2 of 5)
108.,2016-12-04 14:59:33,122.33,97%,The wine list looks so imposing that you finally give up lab...,Win (1 of 4)
107.,2016-11-21 15:14:44,111.96,91%,The number one challenge I've seen with myself and with othe...,No win (4 of 4)
106.,2016-11-21 15:14:05,108.81,93%,"Now you might ask yourself, if by yourself you mean me, ""Ste...",Win (1 of 3)
105.,2016-11-21 15:13:08,142.90,99%,For it is not enough to have a good mind; the main thing is ...,Win (1 of 2)
104.,2016-11-16 18:10:47,113.14,92%,"By that point, entire sectors of my cerebral cortex seemed t...",No win (3 of 3)
103.,2016-11-16 18:09:42,121.34,98%,And then what did he do? Did he train you? Did he rehearse y...,Win (1 of 3)
102.,2016-11-16 18:09:03,113.57,96%,Daddy's flown across the ocean. Leaving just a memory. A sna...,No win (2 of 5)
101.,2016-11-16 18:08:22,134.48,97%,Step out the front door like a ghost into the fog where no o...,Win (1 of 4)
100.,2016-11-16 18:07:44,120.17,97%,I would never want to forfeit my genders. Along with Aunt Au...,Win (1 of 3)
99.,2016-11-11 11:57:14,101.56,93%,Lucid but wholly false recollections can easily be induced b...,No win (3 of 3)
98.,2016-11-11 11:56:35,105.37,89%,Is it really necessary to send that email? The more emails y...,Win (1 of 2)
97.,2016-11-11 11:55:06,132.25,98%,"I had a dream. There was our world, and the world was dark b...",Win (1 of 4)
96.,2016-11-01 16:50:02,133.40,97%,There are but two types of men who desire war: those who hav...,No win (2 of 4)
95.,2016-11-01 16:48:47,128.17,97%,"Imagine considering ""if"" as a two-finger movement instead of...",Win (1 of 4)
94.,2016-11-01 16:47:29,108.37,93%,It is not difficult to wield a sword in one hand; the way to...,No win (2 of 4)
93.,2016-11-01 16:46:54,129.96,98%,"And in the world a heart of darkness, a firezone, where poet...",Win (1 of 3)
92.,2016-10-27 16:56:09,124.34,96%,"Very well, gentlemen. This, and maybe other similar things, ...",No win (2 of 3)
91.,2016-10-27 16:55:03,127.89,97%,We sit silently and watch the world around us. This has take...,Win (1 of 3)
90.,2016-10-07 16:46:59,117.19,95%,"But pure, unadulterated feelings are dangerous in their own ...",Win (1 of 2)
89.,2016-10-07 15:51:50,158.53,100%,You are what you are and you are where you are because of wh...,Win (1 of 4)
88.,2016-10-07 15:51:04,115.49,93%,"Hello, hello, hello, is there anybody in there? Just nod if ...",Win (1 of 4)
87.,2016-10-05 19:31:45,126.61,97%,"There are perhaps twenty regular posters on the forum, and s...",Win (1 of 2)
86.,2016-10-05 19:30:42,133.23,98%,"If someone gives you an opinion and says, ""Hey, you look so ...",No win (1 of 1)
85.,2016-10-05 19:29:56,112.13,96%,"Look Dave, I can see you're really upset about this. I hones...",Win (1 of 2)
84.,2016-10-05 19:29:10,94.81,90%,Don't take anything personally - nothing others do is becaus...,No win (3 of 3)
83.,2016-08-30 22:00:38,110.25,94%,"There is no physical separation after the slicing, so that e...",Win (1 of 2)
82.,2016-08-30 21:59:40,104.45,91%,"It's a blue savanna song: somewhere cross the desert, someti...",No win (2 of 4)
81.,2016-08-30 21:59:00,110.54,94%,"A zealot might be, for instance, an individual with a person...",No win (2 of 5)
80.,2016-08-30 21:58:04,126.46,97%,"Races are not won in the first corner; however, they are oft...",No win (2 of 5)
79.,2016-08-22 16:12:04,114.05,98%,All time is all time. It does not change. It does not lend i...,No win (2 of 3)
78.,2016-08-22 16:11:08,133.25,98%,Come sail your ships around me and burn your bridges down. W...,Win (1 of 5)
77.,2016-08-22 16:10:20,134.03,99%,The truth of the matter is that there are a lot of available...,Win (1 of 4)
76.,2016-08-22 16:09:45,115.32,95%,And then he calls me a jerk and says the last guy who though...,Win (1 of 5)
75.,2016-08-22 16:09:06,137.05,98%,"So I was sitting in my cubicle today, and I realized, ever s...",Win (1 of 3)
74.,2016-08-11 16:33:53,98.12,91%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",Win (1 of 2)
73.,2016-08-10 14:44:14,96.08,89%,The theory of music emphasizes the elements from which music...,No win (4 of 5)
72.,2016-08-09 18:54:29,89.47,86%,The inner surface of the cell wall touches the cytoplasmic m...,No win (3 of 4)
71.,2016-08-09 18:53:12,116.38,97%,Few smart kids can spare the attention that popularity requi...,No win (3 of 3)
70.,2016-08-09 18:52:14,109.72,93%,I will need my spectacles and a clear head. Today I broke my...,No win (2 of 2)
69.,2016-08-09 18:51:41,111.44,96%,I must not fear. Fear is the mind killer. Fear is the little...,No win (2 of 2)
68.,2016-08-09 18:50:58,124.15,96%,I used to dread getting older because I thought I would not ...,Win (1 of 2)
67.,2016-08-09 18:50:23,115.69,95%,Do I really look like a guy with a plan? You know what I am?...,Win (1 of 3)
66.,2016-08-09 18:49:26,104.42,95%,"Trudging slowly over wet sand, back to the bench where your ...",No win (2 of 4)
65.,2016-08-09 18:48:58,95.78,88%,Chance and chance alone has a message for us. Everything tha...,No win (3 of 3)
