120.,2017-01-10 00:06:25,115.93,99%,"Yes, it was her he was looking at, and there was meaning in ...",Win (1 of 2)
119.,2017-01-10 00:03:16,114.26,99%,Men always believe that. With a law degree you're taking on ...,Win (1 of 2)
118.,2017-01-09 23:57:59,94.55,93%,And I will strike down upon thee with great vengeance and fu...,Win (1 of 2)
117.,2017-01-09 23:30:16,133.11,100%,We were the people who were not in the papers. We lived in t...,Win (1 of 2)
116.,2016-12-28 15:01:50,126.34,100%,It is at this point in our story that along comes a spider.,No win (3 of 5)
115.,2016-12-28 15:01:13,105.76,96%,I still see things that are not here. I just choose not to a...,No win (3 of 5)
114.,2016-12-27 12:28:14,128.90,100%,"When I really worry about something, I don't just fool aroun...",Win (1 of 3)
113.,2016-12-26 15:20:16,114.77,100%,"Come, Friend, you too must die. Why moan about it so? Even P...",Win (1 of 2)
112.,2016-12-26 15:10:59,126.25,99%,Don't take anything personally - nothing others do is becaus...,No win (2 of 5)
111.,2016-12-22 10:42:04,141.21,100%,"You have a class of young strong men and women, and they wan...",No win (2 of 5)
110.,2016-12-22 10:41:16,131.95,100%,Humans need to practice what they are learning a good deal b...,Win (1 of 5)
109.,2016-12-22 10:32:53,125.44,99%,What incensed him the most was the blatant jokes of the ones...,Win (1 of 5)
108.,2016-12-22 10:27:19,116.36,97%,"After others have talked about themselves, a point will be r...",Win (1 of 2)
107.,2016-12-22 10:21:15,101.50,97%,"In the late 1960s, a growing number of people became concern...",Win (1 of 2)
106.,2016-12-20 13:44:45,127.01,99%,"And in the world a heart of darkness, a firezone, where poet...",Win (1 of 2)
105.,2016-12-20 13:35:46,135.28,100%,There's a hole in the world like a great black pit. And the ...,Win (1 of 3)
104.,2016-12-20 13:34:38,123.70,99%,"Translating from one language to another, unless it is from ...",Win (1 of 2)
103.,2016-12-19 10:16:48,129.53,100%,"But older than me now, more constant, more real, and the fur...",No win (2 of 3)
102.,2016-12-19 10:15:07,123.13,100%,"I'll tell you a riddle. You're waiting for a train, a train ...",Win (1 of 5)
101.,2016-12-18 13:20:02,134.88,100%,What incensed him the most was the blatant jokes of the ones...,Win (1 of 2)
100.,2016-12-18 13:16:28,130.81,99%,"You have a class of young strong men and women, and they wan...",No win (2 of 3)
99.,2016-12-18 13:13:36,125.58,98%,If you're working out in front of a mirror and watching your...,Win (1 of 2)
98.,2016-12-18 13:12:11,129.63,100%,"In the town where I was born, lived a man who sailed to sea....",No win (2 of 3)
97.,2016-12-18 13:09:10,121.05,99%,There are two places on Earth that serve as canaries in the ...,Win (1 of 4)
96.,2016-12-16 16:21:50,114.62,98%,I've met another man. He's the best man I've ever met. He's ...,Win (1 of 4)
95.,2016-12-15 17:06:28,120.77,97%,"Suffering has been stronger than all other teaching, and has...",Win (1 of 5)
94.,2016-12-15 17:03:25,123.91,96%,A father may have a child who is ugly and lacking in all the...,Win (1 of 4)
93.,2016-12-15 16:57:49,137.64,100%,There's sometimes a buggy. How many drivers does a buggy hav...,No win (2 of 5)
92.,2016-12-15 16:56:27,123.45,99%,Come sail your ships around me and burn your bridges down. W...,No win (3 of 4)
91.,2016-12-15 16:54:33,123.47,100%,Any finite number divided by infinity is as near to nothing ...,Win (1 of 5)
90.,2016-12-15 16:46:10,135.97,100%,You are what you are and you are where you are because of wh...,No win (3 of 5)
89.,2016-12-15 16:43:33,118.30,100%,"I won't say another word - not one. I know I talk too much, ...",No win (2 of 3)
88.,2016-12-15 16:41:12,122.52,98%,I used to dread getting older because I thought I would not ...,No win (2 of 3)
87.,2016-12-15 16:36:43,132.31,100%,I have waited lifetimes to find you. Now that you're here I ...,No win (2 of 4)
86.,2016-12-15 16:25:16,115.69,98%,The boy had been working for the crystal merchant for almost...,No win (2 of 5)
85.,2016-12-15 11:28:31,117.07,97%,The most precious treasures we have in life are the images w...,Win (1 of 5)
84.,2016-12-15 11:26:49,120.93,99%,"When I close my eyes, I am at the center of the sun. And I c...",Win (1 of 3)
