728.,2017-02-23 15:35:45,118.00,88%,"When I really worry about something, I don't just fool aroun...",No win (2 of 3)
727.,2017-02-23 15:23:48,155.50,97%,"Out of my thoughts! You are part of my existence, part of my...",Win (1 of 3)
726.,2017-02-23 15:22:34,153.85,95%,"In general, many of these targets are easier marks if you ar...",Win (1 of 3)
725.,2017-02-23 15:21:06,128.94,87%,"But you know that when the truth is told, you can get what y...",Win (1 of 3)
724.,2017-02-23 15:20:17,142.68,92%,Directories contain elements that describe objects in the wo...,Win (1 of 3)
723.,2017-02-23 15:19:04,149.37,95%,The term First Contact applies to the moment when we employ ...,Win (1 of 2)
722.,2017-02-23 15:17:18,130.12,92%,If you define terrorism as extreme physical or physiological...,Win (1 of 3)
721.,2017-02-16 15:05:26,134.24,92%,They had their faces twisted toward their haunches and found...,Win (1 of 2)
720.,2017-02-16 15:04:00,139.62,97%,The streets were cleared by a Critical Mass bike ride and we...,Win (1 of 2)
719.,2016-06-30 12:11:32,174.72,98%,"OK, let me get something straight: this is a journal, not a ...",Win (1 of 4)
718.,2016-06-30 11:55:51,157.88,96%,Since the 1980s virtually all the sodas and most of the frui...,Win (1 of 3)
717.,2015-11-06 13:26:21,142.82,90%,It's the possibility of having a dream come true that makes ...,Win (1 of 3)
716.,2015-10-27 11:50:28,151.60,97%,"Your primary objective should be to touch-type; that is, to ...",Win (1 of 2)
715.,2015-10-27 11:49:54,147.17,94%,Who has a safety deposit box full of money and six passports...,No win (2 of 2)
714.,2015-10-27 11:48:41,157.01,91%,Question marks and exclamation points go inside quotation ma...,No win (2 of 2)
713.,2015-10-27 11:48:02,146.33,96%,"While you were sleeping, you tossed, you turned. You rolled ...",Win (1 of 2)
712.,2015-10-24 11:54:48,159.27,96%,Too often writers believe that they can emphasize words by p...,Win (1 of 3)
711.,2015-10-24 11:53:48,151.92,91%,Your faith was strong but you needed proof. You saw her bath...,Win (1 of 5)
710.,2015-10-24 11:53:23,141.62,90%,We go waiting for the stars to come showering down. From Mos...,Win (1 of 2)
709.,2015-10-24 11:52:28,162.30,96%,The number one challenge I've seen with myself and with othe...,Win (1 of 2)
708.,2015-10-24 11:52:00,144.73,96%,And I will strike down upon thee with great vengeance and fu...,Win (1 of 2)
707.,2015-10-24 11:51:30,139.00,94%,"Finally, there are those languages, such as Turkish, Finnish...",Win (1 of 2)
706.,2015-10-22 11:26:33,151.32,97%,"Trudging slowly over wet sand, back to the bench where your ...",Win (1 of 2)
705.,2015-10-22 11:24:28,152.42,94%,We often believe the more we practice a skill or technique -...,Win (1 of 2)
704.,2015-10-22 11:07:44,199.73,99%,Let's face it: there are tons of things in your home and lif...,Win (1 of 4)
703.,2015-10-22 11:05:57,153.26,95%,"What good's a reward if you ain't around to use it? Besides,...",Win (1 of 3)
702.,2015-10-22 09:56:14,146.87,94%,"No man is an island, entire of itself; every man is a piece ...",Win (1 of 3)
701.,2015-10-21 15:39:14,183.03,98%,"Tim and the Princess lounge in the castle garden, laughing t...",Win (1 of 2)
700.,2015-10-21 15:36:28,169.89,96%,"Take care where you're going, doing all the things you do. E...",Win (1 of 2)
