663.,2018-02-07 20:12:20,193.06,99%,Reading is not a natural process; the habits necessary for e...,Win (1 of 2)
662.,2018-02-07 20:11:35,175.22,98%,"Lonely people tend, rather, to be lonely because they declin...",Win (1 of 2)
661.,2018-02-07 20:10:55,140.94,99%,Beautiful railway bridge of the silv'ry Tay. Alas! I am very...,No win (2 of 2)
660.,2018-02-07 20:10:12,167.59,99%,"Open to everything happy and sad, seeing the good when it's ...",Win (1 of 2)
659.,2018-02-07 20:09:16,163.33,99%,You can't quit until you try. You can't live until you die. ...,Win (1 of 2)
658.,2018-02-07 20:08:10,190.54,100%,The journey to greatness starts with looking inside ourselve...,Win (1 of 2)
657.,2018-02-07 20:07:13,168.59,99%,Out on the road today I saw a Deadhead sticker on a Cadillac...,Win (1 of 2)
656.,2018-02-07 20:06:20,149.02,98%,"A computer needs a manager to administer its operations, jus...",Win (1 of 2)
655.,2018-02-07 20:05:27,178.13,99%,You forget everything. The hours slip by. You travel in your...,Win (1 of 2)
654.,2018-02-07 20:04:24,173.04,99%,I still see things that are not here. I just choose not to a...,Win (1 of 2)
653.,2018-02-07 20:03:14,152.05,98%,Yet the border between the United States and Mexico not only...,Win (1 of 2)
652.,2018-02-07 20:02:18,156.23,98%,"I'm taking over my body. Back in control, no more shotty. I ...",Win (1 of 2)
651.,2018-02-07 20:00:32,126.95,98%,"""Happy Days"" is my favorite theme song. I can sure kick your...",Win (1 of 2)
650.,2018-02-07 19:59:44,170.66,99%,"I know that I am mortal by nature and ephemeral, but when I ...",Win (1 of 2)
649.,2018-02-07 19:59:00,160.43,99%,The shearers' hut had bark walls and a tin roof. The floors ...,No win (2 of 2)
648.,2018-01-27 17:20:13,166.61,99%,"For thirty years, I've sailed the seas and seen good and bad...",Win (1 of 3)
647.,2018-01-27 16:01:26,158.81,99%,I think human consciousness is a tragic misstep in evolution...,Win (1 of 3)
646.,2018-01-27 15:59:37,153.94,99%,"Good news, kiddies! Time for another exclusive WBBY ""Waterga...",Win (1 of 3)
645.,2018-01-27 15:58:46,159.25,97%,"We are the world, we are the children. We are the ones who m...",No win (2 of 4)
644.,2018-01-27 15:57:53,176.79,98%,If you're working out in front of a mirror and watching your...,Win (1 of 2)
643.,2018-01-27 15:56:58,199.25,100%,"I see trees of green, red roses too, I see them bloom for me...",Win (1 of 3)
642.,2018-01-27 15:55:54,175.24,99%,And I don't believe in the existence of angels but looking a...,Win (1 of 2)
641.,2018-01-27 15:54:47,162.89,98%,It wasn't dark beyond the cave door - darkness would be some...,Win (1 of 4)
640.,2018-01-27 15:54:17,139.45,98%,Stanley spent more time pushing the wheelbarrow than digging...,No win (2 of 3)
639.,2018-01-27 15:53:30,160.37,99%,"My friend was an enthusiastic musician, being himself not on...",No win (2 of 3)
638.,2018-01-27 15:52:23,177.24,99%,"Time is tricky. You have whole months, even years, when noth...",Win (1 of 2)
637.,2018-01-27 15:51:10,154.89,98%,"If we can simply determine whether Johnson was ""conservative...",Win (1 of 4)
636.,2018-01-27 15:49:30,159.75,99%,"At the bottom of her heart, however, she was waiting for som...",Win (1 of 3)
635.,2018-01-27 15:48:25,180.38,99%,"No, get out of town. My mom thinks I'm going camping with th...",Win (1 of 4)
634.,2018-01-27 15:47:37,172.50,99%,Colonel! Can you possibly imagine what is going to happen to...,Win (1 of 3)
633.,2018-01-27 15:46:48,168.88,98%,Tables. Tables are made so a person can sit down and do some...,Win (1 of 2)
632.,2018-01-27 15:45:46,189.79,99%,"Luke, you do not yet realize your importance. You have only ...",Win (1 of 3)
631.,2018-01-27 15:42:11,197.67,100%,"Well, you've cracked the sky, scrapers fill the air, but wil...",Win (1 of 3)
630.,2018-01-27 15:41:29,136.65,97%,"I didn't know the girl, but I knew her family. All their liv...",No win (2 of 3)
629.,2018-01-27 15:40:44,189.51,100%,"Just a cast away an island lost at sea. Another lonely day, ...",No win (2 of 2)
628.,2018-01-27 15:39:24,206.35,100%,"This is the end, beautiful friend. This is the end, my only ...",Win (1 of 4)
627.,2018-01-27 15:38:11,175.02,99%,You once told me you never lied to me and you never will. So...,Win (1 of 3)
626.,2018-01-27 15:36:55,197.82,100%,"Now as to you poor devils? So as I see it, when it comes to ...",Win (1 of 5)
625.,2018-01-27 15:35:56,179.03,99%,"It's a human sign when things go wrong, when the scent of he...",Win (1 of 3)
624.,2018-01-27 15:35:24,200.10,99%,Sometimes we get sad about things and we don't like to tell ...,Win (1 of 3)
623.,2018-01-27 15:33:48,205.04,100%,Be impeccable with your word - speak with integrity. Say onl...,Win (1 of 3)
622.,2018-01-27 15:33:06,159.80,99%,You only think I guessed wrong! That's what's so funny! I sw...,Win (1 of 2)
621.,2018-01-27 15:31:29,176.11,100%,"I'm Rex, founder of the Rex Kwon Do self-defense system! Aft...",Win (1 of 3)
620.,2018-01-27 15:30:46,167.54,99%,"O beautiful for spacious skies, but now those skies are thre...",Win (1 of 3)
619.,2018-01-27 15:29:58,165.37,99%,"I cast my vote, perchance, as I think right; but I am not vi...",No win (2 of 3)
618.,2018-01-26 22:31:30,160.37,98%,We're all taught from a young age that there are only two ch...,Win (1 of 5)
617.,2018-01-26 22:28:10,169.78,99%,So now the sadness comes - the revelation. There is a depres...,Win (1 of 3)
616.,2018-01-26 22:26:45,188.14,99%,You may tell a tale that takes up residence in someone's sou...,Win (1 of 3)
615.,2018-01-26 22:25:54,175.15,98%,"Yes, they think we're dumb. They call us the common people. ...",Win (1 of 4)
614.,2018-01-26 22:25:03,170.79,99%,It's one thing to know it but another to admit we're the wor...,Win (1 of 3)
613.,2018-01-26 20:30:23,196.82,97%,"I cannot fix on the hour, or the spot, or the look or the wo...",Win (1 of 2)
612.,2018-01-26 20:29:28,166.83,99%,"An essential characteristic of the superhero mythology is, t...",Win (1 of 2)
611.,2018-01-26 20:28:17,183.23,98%,I'm alive in a city in a country of the world. And I want to...,Win (1 of 2)
610.,2018-01-26 20:27:09,150.82,98%,It is still early morning as I pass Denver on the I-70 and b...,Win (1 of 2)
609.,2018-01-26 20:25:46,167.69,98%,Paper as we know it today was invented in China in around 10...,Win (1 of 4)
608.,2018-01-26 20:24:26,155.38,99%,"Ladies and gentlemen, boys and girls, contrary to what you'v...",Win (1 of 3)
