167.,2016-08-10 14:46:12,141.99,98%,You can know the name of a bird in all the languages of the ...,Win (1 of 4)
166.,2016-08-10 14:45:28,116.61,93%,Quality humor doesn't just deliver one gag and then tax the ...,No win (2 of 5)
165.,2016-08-10 14:44:44,101.12,96%,"So, I'm tending bar there at Ecklund & Swedlin's last Tu...",No win (2 of 4)
164.,2016-08-10 14:43:43,147.01,98%,Don't bother trying to explain your emotions. Live everythin...,Win (1 of 4)
163.,2016-08-10 14:43:05,128.04,95%,"Races are not won in the first corner; however, they are oft...",No win (2 of 5)
162.,2016-08-10 14:39:27,117.07,95%,"You just couldn't let me go, could you? This is what happens...",Win (1 of 5)
161.,2016-08-10 14:36:39,135.49,97%,It's the possibility of having a dream come true that makes ...,Win (1 of 3)
160.,2016-08-10 14:35:36,111.60,91%,A glooming peace this morning with it brings. The sun for so...,No win (3 of 5)
159.,2016-08-10 14:34:55,135.32,96%,"The goal of the true seeker is to become a sage, or superior...",Win (1 of 5)
158.,2016-08-10 14:34:08,128.53,96%,Gardeners know how to grow top-notch crops. They determine w...,Win (1 of 3)
157.,2016-03-22 22:34:06,138.36,99%,Do I really look like a guy with a plan? You know what I am?...,Win (1 of 2)
156.,2016-03-22 22:33:07,129.61,93%,Remembering you running soft through the night. You were big...,No win (2 of 2)
155.,2016-03-22 22:31:08,131.22,95%,Sometimes you concentrate more on racing the cars around you...,Win (1 of 2)
154.,2016-03-22 22:29:59,126.92,95%,There was a time not that long ago when many drivers thought...,No win (2 of 3)
153.,2016-03-22 22:28:42,139.23,98%,But speculations on the structure of the universe also move ...,Win (1 of 3)
152.,2016-03-22 22:27:29,142.14,99%,"OK, let me get something straight: this is a journal, not a ...",Win (1 of 3)
151.,2016-03-22 22:26:11,126.73,98%,"Get it straight buster - I'm not here to say please, I'm her...",Win (1 of 2)
150.,2016-03-22 22:23:29,136.82,97%,"All at sea again, and now my hurricanes, have brought down t...",Win (1 of 2)
149.,2016-03-22 22:21:35,131.25,97%,It takes more than a calorie of fossil fuel energy to produc...,Win (1 of 2)
148.,2016-03-22 22:20:10,123.00,94%,"Common knowledge has bicyclists always riding into the wind,...",Win (1 of 2)
147.,2016-03-21 20:08:31,129.00,96%,"Look Dave, I can see you're really upset about this. I hones...",No win (2 of 5)
146.,2016-03-21 20:07:49,122.69,97%,"He was rough around the edges. He'd been to school, but neve...",Win (1 of 3)
145.,2016-03-21 20:06:47,133.07,97%,"That fear had been inside him for many years, it had lived w...",Win (1 of 2)
144.,2016-03-21 20:06:08,88.46,88%,God help the man who ever really loves you. You'd break his ...,No win (2 of 2)
143.,2016-03-21 20:05:26,116.10,95%,"Now that I know that I'm breaking to pieces, I'll pull out m...",Win (1 of 3)
142.,2016-03-21 20:04:29,110.96,93%,"Despair comes slowly, crawling its way up inside you until i...",No win (2 of 2)
141.,2016-03-21 20:03:47,142.43,99%,Don't take anything personally - nothing others do is becaus...,No win (2 of 2)
140.,2016-03-21 20:03:12,116.62,94%,"And though my journeys did take me to a great many states, a...",No win (3 of 3)
139.,2016-03-21 20:02:29,143.74,99%,Let's face it: there are tons of things in your home and lif...,Win (1 of 3)
138.,2016-03-21 20:01:04,121.01,94%,Imagine for a moment if we once again knew these few unremar...,No win (3 of 4)
137.,2016-03-21 20:00:13,134.97,96%,Remember that humor is written backwards. That means you fir...,No win (2 of 2)
136.,2016-03-21 19:59:17,114.78,90%,The quick brown fox jumps over the lazy dog.,Win (1 of 2)
135.,2016-03-21 19:58:59,146.64,99%,Don't bother trying to explain your emotions. Live everythin...,Win (1 of 2)
134.,2016-03-21 19:58:26,130.88,96%,Be impeccable with your word - speak with integrity. Say onl...,Win (1 of 3)
133.,2016-03-21 19:57:42,110.01,93%,"Hi, and welcome to the future. San Dimas, California, 2688. ...",No win (2 of 3)
132.,2016-03-21 19:56:58,102.76,95%,"Anyway, like I was saying, shrimp is the fruit of the sea. Y...",No win (2 of 2)
131.,2016-03-21 19:56:21,123.34,95%,In order to become an elf I filled out ten pages' worth of f...,No win (2 of 2)
130.,2016-03-21 19:55:40,112.93,93%,How many roads must a man walk down before you call him a ma...,No win (2 of 2)
