154.,2018-02-28 14:08:32,102.69,98%,"The word science is derived from a Latin verb meaning ""to kn...",No win (2 of 5)
153.,2018-02-28 14:07:30,93.72,97%,"I know what you think it means, sonny. To me, it's just a ma...",No win (2 of 5)
152.,2018-02-20 16:10:09,106.63,98%,The object of this massive tribute died as he had always liv...,Win (1 of 5)
151.,2018-02-20 15:13:07,131.21,98%,"Of course, there are those who learn after the first few tim...",Win (1 of 4)
150.,2018-02-20 15:11:56,99.65,98%,"Padre, these are subtleties! We are not concerned with motiv...",Win (1 of 5)
149.,2018-02-20 15:10:46,115.26,97%,"Well, the way they make shows is, they make one show. That s...",No win (3 of 3)
148.,2018-02-20 15:09:23,137.44,99%,The only thing that burns in hell is the part of you that wo...,Win (1 of 4)
147.,2018-02-20 00:06:51,117.02,98%,I didn't wanna spend my twenties as a professional defendant...,No win (2 of 5)
146.,2018-02-20 00:05:42,135.81,99%,"She finished her letter, wondering whether she had said enou...",No win (2 of 4)
145.,2018-02-20 00:04:27,103.99,98%,"In the old days of the Cold War, Zukovsky worked for the KGB...",No win (3 of 4)
144.,2018-02-20 00:03:29,86.42,96%,"And, thus, we could transform those dark days of humanity in...",No win (4 of 4)
143.,2018-02-20 00:02:46,117.70,98%,I'm telling you that you've got a problem. And you do. Don't...,No win (4 of 4)
142.,2018-02-20 00:01:58,132.42,98%,I'm not like them but I can pretend. The sun is gone but I h...,No win (2 of 4)
141.,2018-02-20 00:01:09,145.61,100%,Come and hold my hand. I want to contact the living. Not sur...,No win (2 of 4)
140.,2018-02-20 00:00:18,137.53,99%,"One day in Boston, I was in Harvard Square. I saw a cover of...",No win (2 of 4)
139.,2018-02-19 23:59:13,136.12,100%,"My name is Turkish. Funny name for an Englishman, I know. My...",Win (1 of 4)
138.,2018-02-19 23:58:08,111.14,97%,Covert intelligence involves a lot of waiting around. Any me...,No win (4 of 5)
137.,2018-02-19 23:56:15,120.41,98%,There is an old building up ahead. A bank or museum or somet...,No win (4 of 7)
136.,2018-02-19 23:54:44,107.50,99%,It appears that the devastation we brought upon ourselves wa...,No win (3 of 4)
135.,2018-02-19 23:53:36,119.42,98%,"O clear intelligence, force beyond all measure! Gentlemen, I...",Win (1 of 4)
134.,2018-02-19 23:52:27,140.89,100%,"Jealousy, turning saints into the sea. Swimming through sick...",Win (1 of 3)
133.,2018-02-19 23:51:24,98.85,98%,Here then was the paradox of the President's speech. We norm...,No win (3 of 4)
132.,2018-02-19 23:49:51,103.90,98%,"When you work as a spy, it's easy to think of people as asse...",No win (2 of 2)
131.,2018-02-19 23:48:30,70.74,96%,"And werewolves have claws. Robots can have claws. You know, ...",No win (3 of 5)
130.,2018-02-19 23:47:47,109.66,98%,"Well, says No-bark, we got a chupacabra with an automatic we...",No win (3 of 5)
129.,2018-02-19 23:47:04,73.08,96%,The transformations of the US and Mexican countryside did no...,No win (2 of 5)
128.,2018-02-19 23:46:08,72.48,93%,Love in action is a harsh and dreadful thing compared to lov...,No win (3 of 5)
127.,2018-02-19 23:45:31,81.30,99%,"We loved each other with a premature love, marked by a fierc...",No win (3 of 3)
126.,2018-02-19 23:41:29,146.05,100%,Enjoy this next test. I'm going to go to the surface. It's a...,Win (1 of 3)
125.,2018-02-19 23:40:44,115.98,99%,"I'm afraid. I'm afraid, Dave. Dave, my mind is going. I can ...",Win (1 of 2)
