911.,2018-03-04 12:18:44,57.01,96%,"We'll send him cheesy movies, the worst we can find. He'll h...",No win (3 of 5)
910.,2018-03-04 12:16:47,54.56,97%,"After us they'll fly in hot air balloons, coat styles will c...",No win (3 of 4)
909.,2018-03-04 12:12:04,60.81,97%,I see in your eyes the same fear that would take the heart o...,No win (5 of 5)
908.,2018-03-04 12:10:44,65.68,99%,The idea of having nations and governments is as foolish as ...,No win (3 of 4)
907.,2018-03-04 12:09:40,68.34,99%,From the tip of his wand burst the silver doe. She landed on...,No win (3 of 5)
906.,2018-03-04 12:07:13,58.81,98%,Beauty is in the eye of the beholder. Yet there are those wh...,No win (3 of 4)
905.,2018-02-27 15:25:04,59.12,97%,"I used to bite my tongue and hold my breath, scared to rock ...",Win (1 of 5)
904.,2018-02-27 15:23:59,47.51,95%,The Jinmoti of Bozlen Two kill the hereditary ritual assassi...,No win (3 of 4)
903.,2018-02-27 15:22:59,70.02,99%,I hope you never lose your sense of wonder. You get your fil...,No win (5 of 5)
902.,2018-02-27 15:22:12,57.30,96%,That's exactly why I came here. I love Cersei. You can laugh...,Win (1 of 4)
901.,2018-02-27 15:20:12,73.09,98%,To the extent that experience is the sum of our memories and...,No win (2 of 5)
900.,2018-02-27 15:19:28,67.16,99%,"I'm Banta, the blacksmith. I'm forging a bell for the King t...",No win (4 of 5)
899.,2018-02-27 15:18:34,70.11,98%,You are too generous to trifle with me. If your feelings are...,No win (3 of 4)
898.,2018-02-27 15:17:37,69.04,99%,"Wise men say only fools rush in, but I can't help falling in...",No win (3 of 4)
897.,2018-02-20 12:14:26,65.86,99%,I want you to be very clear about this: You were fired. I wa...,Win (1 of 4)
896.,2018-02-18 10:37:48,55.88,97%,Even the best-designed chair won't make up for bad posture. ...,No win (2 of 3)
895.,2018-02-18 10:36:45,56.49,98%,"Raised the ol' girl from a cub, I did. ... 'Course we had to...",No win (3 of 5)
894.,2018-02-18 10:35:46,62.72,99%,"To protect you both from the Emperor, you were hidden from y...",Win (1 of 3)
893.,2018-02-18 10:34:35,61.23,98%,"The terminator wouldn't stop, it would never leave him. It w...",No win (2 of 4)
892.,2018-02-18 10:33:06,58.40,99%,"If one must drink, then let one drink thrice a month, for mo...",No win (5 of 5)
891.,2018-01-11 09:01:27,53.76,97%,"My dog barks some. Mentally you picture my dog, but I have n...",No win (3 of 4)
890.,2017-07-20 07:52:14,49.44,96%,"Air-conditioned, odorless, illuminated by buzzing fluorescen...",No win (4 of 5)
889.,2017-07-20 07:50:59,65.48,97%,Let me tell you why you're here. You're here because you kno...,No win (4 of 4)
888.,2017-07-17 16:17:03,59.42,98%,Although the United Nations does not have the power to enfor...,No win (3 of 5)
887.,2017-07-17 16:12:54,66.74,99%,"Our worst fears, like our greatest hopes, are not outside ou...",Win (1 of 5)
886.,2017-07-17 16:11:46,64.81,99%,The Canadians were glad to keep mum. The scheme would boost ...,Win (1 of 4)
885.,2017-07-17 16:10:13,56.40,97%,Creme tangerine and montelimar. A ginger sling with a pineap...,No win (2 of 5)
884.,2017-07-17 16:08:00,62.20,98%,"You ask Raymond what he does for a living and he says, ""I br...",No win (2 of 3)
883.,2017-07-17 16:06:22,66.42,98%,"When you go into the ER, one of the first things they ask yo...",No win (3 of 4)
882.,2017-07-17 16:04:10,60.07,98%,No one could figure out how I coaxed such hearty flavor out ...,No win (3 of 5)
881.,2017-07-17 16:02:31,66.05,98%,"To protect you both from the Emperor, you were hidden from y...",No win (5 of 5)
880.,2017-07-17 16:01:29,63.63,97%,If he stayed at home and carried on with his normal life he ...,No win (5 of 5)
