589.,2017-12-24 23:45:03,77.52,98%,"If only you'd attached my legs, I wouldn't be in this ridicu...",Win (1 of 2)
588.,2017-10-31 06:30:36,88.45,97%,Here's what I think happened: the old man heard the fight be...,No win (3 of 4)
587.,2017-10-31 06:29:30,91.32,98%,"Using the laser guide, you can steer your rocket past the gu...",No win (3 of 5)
586.,2017-10-31 06:28:40,99.66,98%,Teachers never die. They live in your memory forever. They w...,No win (2 of 5)
585.,2017-10-31 06:27:46,85.65,98%,Welcome to Twin Peaks. My name is Margaret Lanterman. I live...,No win (2 of 2)
584.,2017-10-31 06:26:35,98.59,98%,You truly love each other and so you might have been truly h...,No win (2 of 5)
583.,2017-10-31 06:25:54,77.05,97%,"All I'm trying to say, Tommy, is that if you could just prov...",No win (3 of 3)
582.,2017-10-31 06:24:44,85.47,98%,"Hi, and welcome to the future. San Dimas, California, 2688. ...",No win (2 of 4)
581.,2017-10-31 06:23:48,92.68,98%,Chance and chance alone has a message for us. Everything tha...,No win (3 of 5)
580.,2017-10-31 06:22:59,110.10,99%,You have two choices: you can keep running and hiding and bl...,No win (2 of 5)
579.,2017-10-31 06:22:26,95.75,98%,"The presence of a noble nature, generous in its wishes, arde...",No win (2 of 5)
578.,2017-10-31 06:21:45,93.06,97%,"The old man told us to go back to other parts of the yard, b...",No win (5 of 5)
577.,2017-10-31 06:21:00,90.21,97%,I've a rich understanding of my finest defenses. I proclaim ...,No win (2 of 5)
576.,2017-10-31 06:20:15,85.78,97%,Don't worry. That suit represents the latest advances in pol...,No win (2 of 4)
575.,2017-10-31 06:19:32,95.28,99%,He canceled all his commitments and pulled together the most...,No win (2 of 5)
574.,2017-10-31 06:18:50,97.77,99%,"The rooster stared back at me, his power and confidence almo...",No win (2 of 5)
573.,2017-10-31 06:18:07,105.50,98%,I'm on the top of the world looking down on creation and the...,No win (3 of 4)
572.,2017-10-31 06:17:30,91.03,99%,"Well, gentlemen, in my opinion, if we send him back to Pendl...",No win (3 of 4)
571.,2017-10-31 06:16:45,91.86,99%,"If only you'd attached my legs, I wouldn't be in this ridicu...",Win (1 of 4)
570.,2017-10-31 06:16:09,93.87,97%,What's the use you learning to do right when it's troublesom...,No win (2 of 5)
569.,2017-10-31 06:15:36,85.67,98%,"I wonder about things, like, if they call an orange an ""oran...",No win (3 of 5)
568.,2017-10-31 06:14:59,104.25,100%,Lucid but wholly false recollections can easily be induced b...,Win (1 of 4)
567.,2017-10-31 06:14:20,98.22,99%,The reason that most people don't possess these extraordinar...,Win (1 of 5)
566.,2017-10-31 06:13:32,87.20,99%,Buddhism addresses two major types of meditation. Vipassana ...,No win (2 of 3)
565.,2017-10-31 06:12:38,81.55,97%,"She, who always seems so happy in a crowd, whose eyes can be...",Win (1 of 5)
564.,2017-10-31 06:11:52,89.78,99%,"Sometimes ideas, like men, jump up and say 'hello'. They int...",Win (1 of 5)
563.,2017-10-31 06:10:52,83.63,98%,"First it was butter then it was sugar and white flour, bacon...",No win (3 of 5)
562.,2017-10-25 07:08:57,99.09,99%,I had the same room which Finny and I had shared during the ...,Win (1 of 4)
561.,2017-10-25 07:08:02,94.26,99%,"There are few people whom I really love, and still fewer of ...",Win (1 of 5)
560.,2017-10-25 07:07:07,81.32,98%,"Whether you're a student, secretary, office administrator, m...",No win (2 of 5)
559.,2017-10-25 07:06:26,85.19,97%,"I was once like you are now, and I know that it's not easy t...",No win (3 of 5)
558.,2017-10-25 07:05:38,76.67,97%,"Now that you're on someone else's shoulders, the winter wind...",No win (4 of 4)
557.,2017-10-25 07:04:53,85.26,98%,"It was a dark and stormy night; the rain fell in torrents, e...",No win (3 of 5)
556.,2017-10-25 07:03:51,83.68,97%,Within some disciplines prediction and practical application...,No win (2 of 4)
555.,2017-10-25 07:02:50,81.62,98%,Titanium was discovered in 1790 but not purified until the e...,No win (2 of 4)
554.,2017-10-25 07:01:57,75.27,96%,The moments that define lives aren't always obvious. They do...,No win (2 of 3)
553.,2017-10-25 07:00:38,80.95,96%,"It also occurred to him that throughout history, humankind h...",No win (2 of 5)
552.,2017-10-25 06:59:48,82.83,98%,"Two households, both alike in dignity (in fair Verona, where...",No win (2 of 2)
551.,2017-10-25 06:58:43,99.26,99%,Even a few people leaving would reverberate through the enti...,Win (1 of 3)
550.,2017-10-25 06:57:54,98.81,100%,"We want a good life with a nose for things, the fresh wind a...",Win (1 of 4)
549.,2017-10-25 06:57:16,72.37,96%,Now look at this picture. Look at it hard. Then turn the pag...,Win (1 of 5)
548.,2017-10-25 06:53:28,88.55,96%,Being able to quit things that don't work is integral to bei...,Win (1 of 2)
547.,2017-10-25 06:52:42,76.61,96%,"Say to all of you, I have been treated this day with no resp...",Win (1 of 4)
546.,2017-10-25 06:51:45,83.90,97%,A fellow will remember a lot of things you wouldn't think he...,Win (1 of 3)
545.,2017-10-25 06:50:33,99.66,98%,"At that time, I often thought that if I had had to live in t...",Win (1 of 5)
544.,2017-10-25 06:49:56,84.24,97%,I distrust a close-mouthed man. He generally picks the wrong...,No win (3 of 3)
543.,2017-10-25 06:48:57,78.63,97%,"He said we came here solely on my account, that I was to hav...",Win (1 of 4)
542.,2017-10-25 06:47:18,74.88,96%,Supermarket aisles are the perfect place to practice your gl...,No win (5 of 5)
541.,2017-10-25 06:46:15,95.72,97%,"And certainly, the mistakes that we male and female mortals ...",No win (2 of 5)
540.,2017-10-25 06:45:46,84.61,97%,It is still early morning as I pass Denver on the I-70 and b...,Win (1 of 2)
539.,2017-10-25 06:44:47,82.10,96%,Subdivisions in the high school halls. In the shopping malls...,Win (1 of 2)
538.,2017-10-25 06:43:55,73.23,96%,Sergeant O'Leary is walkin' the beat. At night he becomes a ...,Win (1 of 2)
537.,2017-10-25 06:42:50,67.10,96%,And then what did he do? Did he train you? Did he rehearse y...,No win (3 of 4)
536.,2017-10-25 06:41:57,88.60,98%,"I give it to you not that you may remember time, but that yo...",No win (3 of 5)
535.,2017-10-25 06:41:01,88.02,98%,And Aunt Zelda all the women looked like you and Uncle Bob a...,No win (3 of 4)
534.,2017-10-25 06:39:57,95.90,98%,"Your political future? Why, I bought it for you. I gave it t...",Win (1 of 5)
533.,2017-10-25 06:39:14,93.45,98%,Now this is a story all about how my life got flipped-turned...,Win (1 of 5)
532.,2017-10-25 06:38:36,83.47,98%,"Oh, you think darkness is your ally. But you merely adopted ...",No win (2 of 5)
531.,2017-10-25 06:37:53,87.06,97%,"Years ago, I was an angry young man. And I'd pretend that I ...",No win (2 of 5)
530.,2017-10-25 06:37:17,88.16,99%,We're no strangers to love. You know the rules and so do I. ...,Win (1 of 3)
529.,2017-10-25 06:36:14,70.78,96%,"Oh, I'm sorry, did I break your concentration? I didn't mean...",No win (2 of 5)
528.,2017-10-25 06:34:51,77.97,95%,It is very seldom that mere ordinary people like John and my...,No win (3 of 3)
527.,2017-10-25 06:33:35,84.21,97%,"A little boy went out to play. When he opened his door, he s...",Win (1 of 4)
526.,2017-10-25 06:32:57,87.62,99%,"Oxygen gets you high. In a catastrophic emergency, you're ta...",Win (1 of 3)
525.,2017-10-25 06:32:12,92.10,98%,"It also occurred to him that throughout history, humankind h...",No win (2 of 3)
524.,2017-10-25 06:31:28,90.74,97%,"Keep off the path, beware of the gate, watch out for signs t...",No win (3 of 3)
523.,2017-10-25 06:30:50,95.99,98%,"That we don't even care as restless as we are, we feel the p...",No win (4 of 4)
522.,2017-10-25 06:30:11,85.89,98%,"My darling, you have to be standing up in order to be able t...",Win (1 of 5)
521.,2017-10-25 06:29:26,79.53,96%,It is very seldom that mere ordinary people like John and my...,No win (3 of 5)
520.,2017-10-25 06:28:11,88.46,98%,I'm always worried maybe people aren't going to like me when...,No win (3 of 3)
519.,2017-10-25 06:27:16,97.84,99%,With the money they earn they'll be able to buy more police ...,No win (2 of 4)
518.,2017-10-25 06:26:38,83.57,96%,Do you know I've been sitting here thinking to myself: that ...,Win (1 of 4)
517.,2017-10-25 06:25:35,90.86,98%,The term First Contact applies to the moment when we employ ...,No win (2 of 4)
516.,2017-10-25 06:24:22,93.65,98%,"Years ago, I was an angry young man. And I'd pretend that I ...",Win (1 of 4)
515.,2017-10-25 06:23:52,99.65,99%,"If you know the enemy and know yourself, you need not fear t...",Win (1 of 5)
514.,2017-10-25 06:23:01,79.59,97%,"Once you fall, Septimus repeated to himself, human nature is...",Win (1 of 3)
513.,2017-10-25 06:22:11,88.84,98%,"How many winners were losers, successes failures, rich men p...",Win (1 of 4)
512.,2017-10-25 06:20:48,81.47,97%,The third great crucible of African-derived religion in the ...,Win (1 of 2)
511.,2017-10-25 06:19:21,81.67,96%,"Samatha is a state in which the mind is brought to rest, foc...",No win (2 of 4)
510.,2017-10-25 06:18:34,87.21,98%,"For more than a year, ominous rumors had been privately circ...",No win (2 of 3)
