636.,2013-09-03 13:03:39,122.61,99%,With the coming of Dean Moriarty began the part of my life y...,Win (1 of 5)
635.,2013-09-03 13:02:36,94.36,95%,"Tis but thy name that is my enemy. Thou art thyself, though ...",No win (2 of 5)
634.,2013-09-03 13:01:10,88.22,91%,Three changes occur while the stacked disk structure equilib...,No win (2 of 5)
633.,2013-09-03 12:59:39,106.52,95%,"There was me, that is Alex, and my three droogs, that is Pet...",Win (1 of 5)
632.,2013-09-03 12:58:36,106.87,98%,The only message I got was from the company that holds my st...,No win (2 of 4)
631.,2013-02-24 14:43:04,117.74,99%,Many rivers to cross but I can't seem to find my way over. W...,No win (3 of 3)
630.,2013-02-24 14:42:19,109.07,96%,"Alfred Hitchcock once said, ""Drama is life with the dull bit...",Win (1 of 2)
629.,2013-02-24 14:40:50,109.60,97%,"The National Rifle Association says that, ""Guns don't kill p...",No win (2 of 4)
628.,2013-02-24 14:39:41,97.91,93%,If there is one thing the history of evolution has taught us...,No win (2 of 4)
627.,2013-02-08 21:25:20,112.85,95%,What should have been swift revenge turned into an all out w...,Win (1 of 3)
626.,2013-02-08 21:24:02,98.43,89%,There's sometimes a buggy. How many drivers does a buggy hav...,No win (2 of 3)
625.,2013-02-05 15:38:05,115.63,94%,He rode past me and kept on goin'. Never said nothin' goin' ...,Win (1 of 3)
624.,2013-02-05 15:35:53,132.93,99%,"The terminator wouldn't stop, it would never leave him. It w...",Win (1 of 5)
623.,2013-02-05 15:34:44,124.69,97%,"The problem is, Willie, is that Charles and yourself are not...",Win (1 of 2)
622.,2013-02-05 15:32:28,128.69,100%,We all know people who are very bright but who do not always...,Win (1 of 5)
621.,2013-02-04 18:56:00,136.36,100%,"Many people limit themselves to leading boring, dull lives b...",Win (1 of 4)
620.,2012-12-12 12:05:34,120.95,97%,"In general, many of these targets are easier marks if you ar...",Win (1 of 3)
619.,2012-12-12 12:04:04,116.25,93%,"Thirdly, however, these wars could now be waged with the new...",No win (2 of 5)
618.,2012-12-11 00:01:00,112.40,99%,"A computer needs a manager to administer its operations, jus...",Win (1 of 5)
617.,2012-09-19 21:25:53,131.81,96%,I suddenly had the impression that I had been left all alone...,Win (1 of 5)
616.,2012-09-19 21:25:07,104.63,93%,Many wines have more than 14 percent alcohol because the win...,Win (1 of 2)
615.,2012-09-19 21:23:51,116.13,93%,Humans need to practice what they are learning a good deal b...,No win (2 of 2)
614.,2012-09-19 21:23:05,110.69,98%,I suddenly had the impression that I had been left all alone...,No win (2 of 3)
613.,2012-09-01 22:45:16,106.25,97%,We began to recognize in them a strange obsession. After all...,No win (2 of 5)
612.,2012-09-01 22:44:14,103.38,95%,The problem we now face is that this thin layer of atmospher...,Win (1 of 4)
611.,2012-09-01 22:42:57,90.93,94%,I sincerely believe that if women study male lessons on conc...,No win (3 of 5)
610.,2012-03-30 20:30:11,117.08,97%,"Disillusion is the greatest gift I can give you. But, becaus...",No win (1 of 1)
609.,2012-03-30 20:28:39,126.33,100%,All the blue light reflections that color my mind when I sle...,Win (1 of 2)
608.,2011-09-08 12:53:48,129.06,98%,Chance and chance alone has a message for us. Everything tha...,Win (1 of 4)
607.,2011-09-08 12:53:04,128.54,96%,Consider this: Is the pious being loved by the gods because ...,No win (1 of 1)
606.,2011-09-08 12:51:58,123.61,92%,"Has it been five years? Six? It seems like a lifetime, the k...",No win (2 of 3)
605.,2011-08-28 10:36:02,147.65,100%,We all know people who are very bright but who do not always...,Win (1 of 3)
604.,2011-03-28 23:16:37,117.52,100%,A giant inverted steel pyramid is perfectly balanced on its ...,Win (1 of 5)
603.,2011-03-28 23:15:24,109.10,100%,"My darling, you have to be standing up in order to be able t...",No win (2 of 4)
602.,2011-03-28 23:14:40,89.61,100%,"Alfred Hitchcock once said, ""Drama is life with the dull bit...",No win (2 of 3)
601.,2011-03-28 22:41:21,112.89,100%,"And though my journeys did take me to a great many states, a...",No win (2 of 3)
600.,2011-03-14 11:57:09,124.92,100%,"Time is tricky. You have whole months, even years, when noth...",Win (1 of 4)
599.,2011-03-14 11:56:23,103.75,100%,"They say that right after God created man, he took a rib fro...",No win (2 of 2)
598.,2011-03-14 11:55:19,107.97,100%,Although the United Nations does not have the power to enfor...,Win (1 of 2)
597.,2011-02-28 14:09:32,114.39,100%,Indonesia is a nation of islands - more than seventeen thous...,No win (2 of 3)
596.,2011-02-26 11:45:52,129.57,100%,"Whether you're a student, secretary, office administrator, m...",Win (1 of 3)
595.,2011-02-25 21:15:11,136.24,100%,It was one of those days when it's a minute away from snowin...,No win (2 of 4)
594.,2011-02-25 21:13:59,113.79,100%,"In short order, Carter then proceeded to kill any chance he ...",Win (1 of 3)
