128.,2017-02-21 14:26:00,93.27,97%,The procedure for dealing with rigid body kinetics problems ...,Win (1 of 4)
127.,2017-02-20 20:53:21,108.39,97%,The main thing to do is pay attention. Pay close attention t...,No win (2 of 4)
126.,2017-02-16 23:34:17,102.99,98%,"The world says: ""You have needs - satisfy them. You have as ...",No win (2 of 2)
125.,2017-02-16 19:05:24,91.72,94%,You don't care about anything except you. You just want to p...,No win (4 of 5)
124.,2017-02-16 15:56:08,96.53,94%,"In my opinion, if, as the result of certain combinations, Ke...",No win (2 of 4)
123.,2017-02-16 15:54:21,105.29,96%,We don't read and write poetry because it's cute. We read an...,No win (2 of 3)
122.,2017-02-16 15:53:16,85.57,92%,In 1969 four computers located around the country were in co...,Win (1 of 3)
121.,2017-02-16 15:52:06,109.90,97%,She's got eyes of the bluest skies as if they thought of rai...,Win (1 of 5)
120.,2017-02-16 15:51:14,95.81,88%,Alchemy: the science of understanding the structure of matte...,No win (2 of 5)
119.,2017-02-16 15:48:54,108.24,97%,"In the witch trials, it was nearly impossible to provide com...",Win (1 of 4)
118.,2017-02-16 15:47:54,104.90,97%,Abnormally rapid speculative enhancement of prices for exist...,Win (1 of 4)
117.,2017-02-16 15:47:14,96.29,93%,The unknown future rolls toward us. I face it for the first ...,Win (1 of 5)
116.,2017-02-16 15:46:31,114.69,96%,I was assailed by memories of a life that wasn't mine anymor...,Win (1 of 5)
115.,2017-02-16 15:45:40,118.65,99%,"Anna spoke not only naturally and intelligently, but intelli...",Win (1 of 5)
114.,2017-02-16 15:45:04,98.04,95%,With the money they earn they'll be able to buy more police ...,No win (3 of 5)
113.,2017-02-16 15:43:54,118.65,99%,"With people like us, you should hang out, get to know what t...",Win (1 of 4)
112.,2017-02-16 14:34:54,89.49,94%,I made a very important discovery at Camp Currie. Happiness ...,No win (3 of 3)
111.,2017-02-16 14:33:56,102.07,95%,"We've had vicious kings and we've had idiot kings, but I don...",No win (2 of 3)
110.,2017-02-16 14:22:34,122.75,99%,If there is one thing the history of evolution has taught us...,No win (3 of 5)
109.,2017-02-16 14:13:31,127.95,99%,"Now that I look back, I don't know why I was so stressed abo...",No win (2 of 5)
108.,2017-02-16 14:11:56,91.82,94%,Rotating components such as jet-engine blades and gas turbin...,Win (1 of 4)
107.,2017-02-16 13:22:13,117.41,100%,One way to combat the horizon effect is to continue search w...,Win (1 of 5)
106.,2017-02-16 13:20:08,95.23,93%,What's cool about really little kids is that they don't say ...,No win (2 of 5)
105.,2017-02-16 13:01:26,103.40,97%,"On a Saturday, long Saturday night - how I lied when I said ...",Win (1 of 2)
104.,2017-02-16 12:59:52,114.03,97%,Communication with others takes place when they understand w...,Win (1 of 2)
103.,2017-02-16 12:58:30,101.58,96%,I believe that you are sincere and good at heart. If you do ...,No win (3 of 5)
102.,2017-02-16 12:57:12,113.66,96%,Most people find that the biggest change they make in their ...,No win (2 of 3)
101.,2017-02-14 14:54:42,91.00,94%,Is this the real life? Is this just fantasy? Caught in a lan...,Win (1 of 5)
