552.,2018-03-12 06:58:36,115.47,95%,Studies suggest that the influence of parents is due to two ...,No win (2 of 5)
551.,2018-03-12 06:57:24,159.15,99%,"You know, this necklace makes me think of this totally rando...",Win (1 of 5)
550.,2018-01-10 09:15:54,104.41,98%,"Within their world, games afford respect and sustenance and ...",Win (1 of 2)
549.,2018-01-10 09:14:54,128.47,98%,There is only one wish on my mind: when this day is through ...,No win (2 of 2)
548.,2018-01-10 09:14:06,128.66,98%,"Here it is at last, the first 150-minute trailer. ""Armageddo...",Win (1 of 2)
547.,2018-01-10 09:13:08,117.72,97%,You're gonna stay here if I have to go inside and call your ...,No win (2 of 2)
546.,2018-01-10 09:11:47,131.14,98%,We all know people who are very bright but who do not always...,Win (1 of 2)
545.,2018-01-10 09:10:59,107.43,96%,"That's right, and the one who wins gets a prize, only there ...",No win (2 of 2)
544.,2018-01-06 20:49:14,134.18,98%,"She didn't know I was in the room, and when I asked her in a...",Win (1 of 3)
543.,2018-01-02 06:50:37,129.23,97%,"It is always important, I think, to be clear about what deli...",No win (2 of 5)
542.,2018-01-02 06:50:10,125.07,97%,"It was a long and gloomy night that gathered on me, haunted ...",Win (1 of 5)
541.,2018-01-02 06:49:45,118.55,97%,And then I hear the best thing to do is feed 'em to pigs. Yo...,Win (1 of 3)
540.,2018-01-02 06:48:14,145.24,99%,Chance and chance alone has a message for us. Everything tha...,Win (1 of 4)
539.,2017-12-29 01:52:43,96.53,96%,William Shakespeare did not exist. His plays were mastermind...,Win (1 of 3)
538.,2017-12-24 18:51:06,123.69,97%,Ah how shameless - the way these mortals blame the gods. Fro...,No win (3 of 5)
537.,2017-12-24 18:50:34,120.78,97%,You are too generous to trifle with me. If your feelings are...,Win (1 of 5)
536.,2017-12-24 18:49:57,130.16,99%,Through error you come to the truth! I am a man because I er...,No win (2 of 5)
535.,2017-12-24 18:49:31,119.52,97%,The most precious treasures we have in life are the images w...,No win (2 of 4)
534.,2017-12-24 18:48:53,139.81,98%,You know I work all day to get you money to buy you things. ...,Win (1 of 5)
533.,2017-12-24 18:48:26,125.89,97%,Demons do not cry. Are these the tears of a long dead child?...,No win (3 of 4)
532.,2017-12-24 04:50:17,135.45,99%,"I tried several times to call her, but after the first call,...",Win (1 of 5)
531.,2017-12-24 04:49:39,118.74,98%,"Fear is a strange soil. Mainly it grows obedience like corn,...",Win (1 of 4)
530.,2017-12-22 20:57:15,124.13,97%,"Say to all of you, I have been treated this day with no resp...",Win (1 of 3)
529.,2017-12-22 20:52:51,142.52,98%,His gaze is from the passing of bars so exhausted that it do...,Win (1 of 3)
528.,2017-12-20 19:07:29,102.31,95%,"There is more to color than a swatch in a book, or a pull do...",No win (2 of 4)
527.,2017-12-20 19:06:50,108.81,96%,The arts are not a way to make a living. They are a very hum...,No win (2 of 3)
526.,2017-12-20 19:05:17,150.59,99%,I felt good and all washed clean of sin for the first time I...,Win (1 of 3)
525.,2017-12-16 22:38:16,100.53,95%,"All I want to do is graduate from high school, go to Europe,...",No win (2 of 2)
524.,2017-12-16 22:37:18,134.41,98%,"He is in great fear, not knowing what mighty one may suddenl...",No win (2 of 2)
523.,2017-12-16 22:36:17,119.01,97%,No matter how a program twists and turns to get out of itsel...,No win (2 of 2)
522.,2017-12-16 22:35:19,112.68,98%,It is very seldom that mere ordinary people like John and my...,No win (2 of 2)
521.,2017-12-16 22:34:02,109.54,96%,"Now, my three friends could hardly fail to notice that I dis...",No win (2 of 2)
520.,2017-12-16 22:32:56,115.30,95%,"Now, my three friends could hardly fail to notice that I dis...",Win (1 of 2)
519.,2017-12-03 05:18:50,92.25,95%,"Yes, the newspapers were right: snow was general all over Ir...",No win (3 of 5)
518.,2017-12-03 05:18:06,131.21,98%,I hope you will love your baby. I hope it will be a boy. Tha...,Win (1 of 4)
517.,2017-12-01 20:05:48,96.94,96%,"We generally concur that ""men"" such as a cow, a turkey, a fr...",No win (2 of 2)
516.,2017-12-01 20:04:18,116.44,96%,"It's so easy to hate your brother, it should be hard. It's s...",No win (2 of 2)
515.,2017-12-01 20:03:23,116.94,98%,What else do I get with it? - You get a gold-plated Rolls Ro...,Win (1 of 2)
