196.,2013-10-26 18:10:53,133.24,92%,The time has come for man to set himself a goal. The time ha...,Win (1 of 2)
195.,2013-10-26 18:09:17,131.04,92%,The truth of the matter is that there are a lot of available...,No win (2 of 3)
194.,2013-10-26 17:58:47,126.34,92%,"The melted mozzarella layer, which we shall designate MML, i...",Win (1 of 3)
193.,2012-11-15 15:09:24,128.18,93%,"No matter how bad things are, you can always make things wor...",Win (1 of 2)
192.,2012-11-15 15:07:51,106.33,91%,Had dreams. Two of 'em. Both had my father. It's peculiar. I...,No win (1 of 1)
191.,2012-11-15 15:06:21,117.26,94%,"Ticking away the moments that make up a dull day, you fritte...",No win (2 of 4)
190.,2012-10-25 06:07:56,130.36,96%,"But older than me now, more constant, more real, and the fur...",Win (1 of 2)
189.,2012-10-25 06:06:33,138.00,94%,She's got eyes of the bluest skies as if they thought of rai...,Win (1 of 2)
188.,2012-07-05 09:30:58,133.25,94%,"If you really want to hear about it, the first thing you'll ...",Win (1 of 3)
187.,2011-07-12 03:03:08,130.17,96%,Any finite number divided by infinity is as near to nothing ...,Win (1 of 3)
186.,2011-07-12 03:01:34,146.80,97%,The odds are that you will generally meet the worst of them....,Win (1 of 3)
185.,2011-07-12 02:59:46,131.40,93%,"Often, we assume that a familiar situation will be but a rep...",Win (1 of 3)
184.,2011-07-12 02:58:13,127.98,92%,Well I woke in mid-afternoon cause that's when it all hurts ...,Win (1 of 5)
183.,2011-07-12 02:56:59,149.60,97%,"But older than me now, more constant, more real, and the fur...",Win (1 of 4)
182.,2011-07-12 02:55:26,151.82,95%,San Francisco in the middle sixties was a very special time ...,Win (1 of 5)
181.,2011-07-12 02:52:45,126.14,98%,"Picking up the pieces, half alive in a nine 'til five, vacan...",Win (1 of 3)
180.,2011-07-12 02:49:25,97.06,84%,Who is Keyser Soze? He is supposed to be Turkish. Some say h...,Win (1 of 3)
179.,2011-07-11 19:11:01,138.51,95%,"I don't want tickets, I need you to find me a painting, a cl...",Win (1 of 4)
178.,2011-07-11 19:09:01,139.61,96%,Facts can be thought of as objective or subjective. Things a...,Win (1 of 5)
177.,2011-07-11 19:07:50,130.46,97%,Mac knew the score even if Aunt Ella didn't. Shot through th...,Win (1 of 2)
176.,2011-07-11 02:19:36,136.54,96%,Do I really look like a guy with a plan? You know what I am?...,Win (1 of 3)
175.,2011-07-11 02:18:44,128.90,95%,I sincerely believe that if women study male lessons on conc...,No win (2 of 3)
174.,2011-07-11 02:17:43,159.90,99%,"And in the world a heart of darkness, a firezone, where poet...",Win (1 of 3)
173.,2011-07-11 02:16:49,128.87,95%,"Some pilots like the excitement of our missions, knowing tha...",Win (1 of 3)
172.,2011-07-11 02:13:22,150.51,98%,Groups of illegal miners smuggle themselves down in freight ...,Win (1 of 3)
171.,2011-07-11 02:11:42,160.39,100%,We live in a charmed world. If we have money we can buy lite...,Win (1 of 4)
170.,2011-07-11 02:10:32,150.83,98%,"And in the world a heart of darkness, a firezone, where poet...",Win (1 of 3)
169.,2011-07-11 02:09:07,117.97,92%,"They knew they were privileged to have these choices, but th...",Win (1 of 3)
168.,2011-07-11 02:08:22,142.81,95%,"Let's sort the buyers from the spiers, the needy from the gr...",Win (1 of 5)
167.,2011-07-11 02:07:33,147.48,98%,"It is a period of civil war. Rebel spaceships, striking from...",Win (1 of 3)
166.,2011-07-11 02:06:43,126.28,95%,"Everyone said I was daft to build a castle on a swamp, but I...",No win (1 of 1)
165.,2011-07-11 02:05:19,153.96,98%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 4)
164.,2011-07-11 02:04:20,146.60,98%,There are two places on Earth that serve as canaries in the ...,Win (1 of 2)
163.,2011-07-11 02:03:27,113.28,93%,"Yeah, you just take Soupy-Sales to prom 'cause I can think o...",Win (1 of 2)
162.,2011-07-11 02:02:40,78.08,85%,So I'm two inches away from her. Her luscious lips part. Jus...,No win (1 of 1)
161.,2011-07-07 18:53:00,164.08,100%,"The brain can be a tool. It can recall phone numbers, solve ...",Win (1 of 3)
160.,2011-07-07 18:50:38,138.95,97%,"Yet one fine day, in a fit of euphoria, after he had picked ...",Win (1 of 3)
159.,2011-07-07 18:49:19,128.42,92%,This business is filled to the brim with unrealistic people ...,Win (1 of 2)
158.,2011-07-07 18:46:04,159.58,98%,If you're working out in front of a mirror and watching your...,Win (1 of 3)
157.,2011-07-07 18:45:18,140.51,98%,"Double, double, toil and trouble; fire burn, and cauldron bu...",Win (1 of 3)
156.,2011-07-07 18:43:44,150.34,100%,A glooming peace this morning with it brings. The sun for so...,Win (1 of 4)
155.,2011-07-07 18:42:21,165.89,100%,"O clear intelligence, force beyond all measure! Gentlemen, I...",Win (1 of 3)
154.,2011-07-07 18:41:44,140.57,97%,"Common knowledge has bicyclists always riding into the wind,...",No win (1 of 1)
153.,2011-07-07 18:40:54,127.34,94%,Having endured the racial turmoil of the Civil Rights Moveme...,Win (1 of 4)
152.,2011-07-07 18:39:55,151.96,97%,Now I want you to think and stop being a smart aleck. A man'...,Win (1 of 3)
151.,2011-07-07 18:39:23,116.97,94%,"Keying text quickly is important, but it is more important t...",Win (1 of 4)
150.,2011-07-07 18:38:58,131.11,98%,"There was me, that is Alex, and my three droogs, that is Pet...",Win (1 of 3)
149.,2011-07-07 18:38:25,142.54,98%,"I went to the woods because I wished to live deliberately, t...",Win (1 of 2)
148.,2011-07-07 18:37:54,135.82,96%,"I don't want tickets, I need you to find me a painting, a cl...",Win (1 of 4)
147.,2011-07-07 18:37:16,131.37,98%,We all know people who are very bright but who do not always...,Win (1 of 2)
146.,2011-07-07 18:35:45,164.80,100%,"It was a marvelous night, the sort of night one only experie...",Win (1 of 2)
145.,2011-07-07 18:34:28,148.54,99%,Always do your best - your best is going to change from mome...,Win (1 of 3)
144.,2011-07-07 18:29:11,153.59,99%,"This planet has, or rather had, a problem, which was this: m...",Win (1 of 3)
143.,2011-07-07 18:28:13,121.53,95%,"Yes, the newspapers were right: snow was general all over Ir...",Win (1 of 3)
142.,2011-07-07 18:27:24,105.88,94%,"Hey Mr. Tambourine Man, play a song for me, I'm not sleepy a...",Win (1 of 5)
141.,2011-07-07 18:26:46,125.01,91%,San Francisco in the middle sixties was a very special time ...,No win (2 of 4)
140.,2011-07-07 18:26:03,108.49,91%,Glancing through the 1977 Atlanta Yellow Pages reveals a cit...,Win (1 of 4)
139.,2011-07-07 18:25:08,141.31,96%,"But no matter how effective the lesson was, I never really u...",Win (1 of 4)
138.,2011-07-07 18:24:29,151.23,97%,"To evaluate an option from the other side's point of view, c...",Win (1 of 4)
137.,2011-01-03 23:35:10,139.11,100%,"A long time ago, I was in Burma, my friends and I were worki...",Win (1 of 2)
136.,2011-01-01 04:55:22,107.82,100%,"The Orient was almost a European invention, and had been sin...",Win (1 of 2)
135.,2010-12-31 07:54:45,149.16,100%,Sholes consulted with an educator who helped him analyze the...,Win (1 of 3)
134.,2010-12-31 07:53:46,107.00,100%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",No win (3 of 3)
133.,2010-12-31 07:53:09,134.70,100%,"They knew they were privileged to have these choices, but th...",Win (1 of 2)
132.,2010-12-31 07:52:19,132.65,100%,If I'm curt with you it's because time is a factor. I think ...,Win (1 of 4)
131.,2010-12-31 07:51:50,142.53,100%,Although his voice was also broken by uncertainty and his ha...,Win (1 of 2)
130.,2010-12-31 07:51:13,122.39,100%,Supermarket aisles are the perfect place to practice your gl...,Win (1 of 3)
129.,2010-12-31 07:50:16,167.70,100%,She's got eyes of the bluest skies as if they thought of rai...,Win (1 of 4)
128.,2010-12-31 07:49:34,147.81,100%,Let me tell you why you're here. You're here because you kno...,Win (1 of 2)
127.,2010-12-31 07:48:48,139.76,100%,Jay made up for the lack of glamour in his assignment by hav...,Win (1 of 3)
126.,2010-12-31 07:47:52,109.59,100%,"Listen, strange women lyin' in ponds distributin' swords is ...",No win (2 of 3)
125.,2010-12-31 07:47:06,166.21,100%,"Your face has fallen sad now, for you know the time is nigh....",Win (1 of 3)
124.,2010-12-31 07:45:48,118.94,100%,"A zealot might be, for instance, an individual with a person...",No win (2 of 2)
123.,2010-12-31 07:45:01,121.32,100%,Typing competitions provided another test of the Qwerty keyb...,Win (1 of 2)
122.,2010-12-31 07:44:14,123.73,100%,"As if that blind rage had washed me clean, rid me of hope; f...",Win (1 of 2)
121.,2010-12-31 07:43:32,119.74,100%,"Get it straight buster - I'm not here to say please, I'm her...",Win (1 of 2)
120.,2010-12-31 07:42:54,121.49,100%,"Good evening, London. Allow me first to apologize for this i...",Win (1 of 3)
119.,2010-12-31 07:41:04,138.90,100%,"Imagine a vast sheet of paper on which straight Lines, Trian...",Win (1 of 3)
118.,2010-12-31 07:40:06,153.57,100%,"Well, it just so happens, this hacienda comes with its very ...",Win (1 of 3)
117.,2010-12-31 07:39:24,151.28,100%,"Well, it just so happens, this hacienda comes with its very ...",Win (1 of 3)
116.,2010-12-31 07:38:42,169.66,100%,Humans need to practice what they are learning a good deal b...,Win (1 of 3)
115.,2010-12-31 07:37:12,128.82,100%,"What about Tony? You know, Bullet Tooth Tony. He'll find you...",No win (2 of 3)
114.,2010-12-31 07:36:28,150.78,100%,It takes more than a calorie of fossil fuel energy to produc...,Win (1 of 3)
113.,2010-12-31 07:35:26,120.97,100%,"Historically, most wines contained less than 14 percent alco...",No win (2 of 3)
112.,2010-12-31 07:34:38,140.24,100%,The odds are that you will generally meet the worst of them....,Win (1 of 3)
111.,2010-12-31 07:33:51,124.31,100%,"A zealot might be, for instance, an individual with a person...",Win (1 of 3)
110.,2010-12-31 07:18:27,136.54,100%,"Now you might ask yourself, if by yourself you mean me, ""Ste...",Win (1 of 3)
109.,2010-12-31 07:03:21,118.71,100%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",Win (1 of 3)
108.,2010-12-31 07:02:36,134.24,100%,Had dreams. Two of 'em. Both had my father. It's peculiar. I...,Win (1 of 3)
107.,2010-12-31 07:01:31,129.46,100%,It was hard to toss things I had once thought were valuable ...,Win (1 of 3)
106.,2010-12-31 07:00:30,106.16,100%,"Let me get this straight. You think that your client, one of...",No win (2 of 3)
105.,2010-12-31 06:59:33,150.23,100%,"In the witch trials, it was nearly impossible to provide com...",Win (1 of 3)
104.,2010-12-31 06:58:08,172.22,100%,The alternative to binge travel - the mini retirement - enta...,Win (1 of 3)
103.,2010-12-31 06:57:06,129.42,100%,Having endured the racial turmoil of the Civil Rights Moveme...,Win (1 of 3)
102.,2010-12-31 06:43:19,125.94,100%,"Excellent. He's enterprising, aggressive, outgoing, young, b...",No win (3 of 3)
101.,2010-12-31 06:41:51,157.79,100%,Imagine for a moment if we once again knew these few unremar...,Win (1 of 5)
100.,2010-12-31 06:38:52,143.84,100%,"Milt, with the excellent timing of a master comedy writer, w...",Win (1 of 3)
99.,2010-12-31 06:37:49,167.12,100%,"That's Tommy. He tells people he was named after a gun, but ...",Win (1 of 3)
98.,2010-12-31 06:37:15,129.19,100%,"Combat for a naval aviator is fought in short, violent burst...",Win (1 of 2)
97.,2010-12-31 06:36:23,136.12,100%,"Some pilots like the excitement of our missions, knowing tha...",Win (1 of 3)
96.,2010-12-31 06:35:18,132.71,100%,The recipe for turning fruit into wine goes something like t...,No win (1 of 1)
95.,2010-12-31 06:34:18,134.77,100%,"You needn't take it any further, sir. You've proved to me th...",Win (1 of 4)
94.,2010-12-31 06:33:21,131.25,100%,Involuntarily I glanced seaward - and distinguished nothing ...,Win (1 of 3)
93.,2010-12-31 06:32:25,121.92,100%,"Yet one fine day, in a fit of euphoria, after he had picked ...",No win (2 of 3)
92.,2010-12-31 06:30:54,128.81,100%,"Hello, hello, hello, is there anybody in there? Just nod if ...",Win (1 of 2)
91.,2010-12-31 06:27:40,138.27,100%,"They say that right after God created man, he took a rib fro...",Win (1 of 3)
90.,2010-12-31 06:26:43,136.92,100%,I've seen things you people wouldn't believe. Attack ships o...,Win (1 of 3)
89.,2010-12-31 06:25:37,106.99,100%,"Alfred Hitchcock once said, ""Drama is life with the dull bit...",Win (1 of 3)
88.,2010-12-29 20:36:49,140.85,100%,"After removal from the oven, the pizza is sliced and plated ...",Win (1 of 3)
87.,2010-12-29 20:28:36,153.87,100%,I have quit three jobs and been fired from all the rest. Get...,Win (1 of 3)
86.,2010-12-29 20:23:30,128.69,100%,I had a friend who was a heavy drinker. If somebody asked hi...,Win (1 of 2)
85.,2010-12-29 06:36:55,142.50,100%,Who is Keyser Soze? He is supposed to be Turkish. Some say h...,Win (1 of 3)
84.,2010-12-29 06:35:05,119.92,100%,"""This man right here,"" McGuinness said, pointing at Kenna, ""...",Win (1 of 2)
83.,2010-12-29 06:32:59,131.68,100%,Typing competitions provided another test of the Qwerty keyb...,Win (1 of 3)
82.,2010-12-29 06:31:29,138.24,100%,Every time I think of you I feel shot right through with a b...,Win (1 of 3)
81.,2010-12-29 06:29:55,131.80,100%,If you're working out in front of a mirror and watching your...,Win (1 of 2)
80.,2010-12-29 06:28:29,136.53,100%,"My name is Turkish. Funny name for an Englishman, I know. My...",Win (1 of 4)
79.,2010-12-29 06:27:20,132.40,100%,Even the best-designed chair won't make up for bad posture. ...,Win (1 of 4)
78.,2010-12-29 06:26:23,155.83,100%,The alternative to binge travel - the mini retirement - enta...,Win (1 of 4)
77.,2010-12-29 06:25:05,127.45,100%,"Now that I know that I'm breaking to pieces, I'll pull out m...",Win (1 of 5)
76.,2010-12-29 06:23:44,146.80,100%,We don't need no education. We don't need no thought control...,Win (1 of 4)
75.,2010-12-29 06:22:21,134.70,100%,"Let's sort the buyers from the spiers, the needy from the gr...",Win (1 of 4)
74.,2010-12-29 06:21:14,141.19,100%,With the coming of Dean Moriarty began the part of my life y...,Win (1 of 4)
73.,2010-12-29 06:19:59,128.64,100%,We sit silently and watch the world around us. This has take...,Win (1 of 4)
72.,2010-12-29 06:18:33,123.21,100%,"A lot of people, especially this one psychoanalyst guy they ...",Win (1 of 4)
71.,2010-12-29 06:17:12,143.86,100%,I don't know why he saved my life. Maybe in those last momen...,Win (1 of 4)
70.,2010-12-29 06:16:04,149.29,100%,"My name is Turkish. Funny name for an Englishman, I know. My...",Win (1 of 4)
69.,2010-12-29 06:14:48,126.56,100%,"Hi, and welcome to the future. San Dimas, California, 2688. ...",Win (1 of 4)
68.,2010-12-29 06:13:47,128.48,100%,"But older than me now, more constant, more real, and the fur...",Win (1 of 3)
67.,2010-12-29 06:12:15,136.86,100%,We were playing checkers. I used to kid her once in a while ...,Win (1 of 4)
