193.,2016-01-10 20:51:18,128.50,90%,"May your hands always be busy, may your feet always be swift...",Win (1 of 3)
192.,2016-01-10 20:50:17,137.45,96%,Instead of hiring workers during the peak hog kill in the wi...,Win (1 of 2)
191.,2016-01-10 20:48:50,144.56,95%,Step out the front door like a ghost into the fog where no o...,Win (1 of 4)
190.,2016-01-10 20:48:09,129.14,94%,"Look, you should admit to yourself that Microsoft will miss ...",Win (1 of 2)
189.,2016-01-10 20:46:27,103.43,88%,The pickpockets' profession demands extraordinary nimbleness...,No win (2 of 5)
188.,2016-01-10 20:45:53,114.01,84%,"Many people limit themselves to leading boring, dull lives b...",No win (2 of 3)
187.,2016-01-10 20:45:05,142.68,98%,"He's got a two day head start on you, which is more than he ...",Win (1 of 5)
186.,2016-01-10 20:44:34,152.54,95%,"If you really want to hear about it, the first thing you'll ...",No win (2 of 4)
185.,2016-01-10 20:44:02,125.77,91%,I don't know why he saved my life. Maybe in those last momen...,Win (1 of 5)
184.,2016-01-10 20:43:21,110.73,86%,So what's in this for you? Should you rush out in search of ...,Win (1 of 5)
183.,2016-01-10 20:42:38,131.18,92%,Corn is what feeds the steer that becomes the steak. Corn fe...,Win (1 of 3)
182.,2016-01-10 20:41:41,137.51,99%,Do you know what they call a Quarter-pounder with cheese in ...,Win (1 of 3)
181.,2016-01-10 20:41:09,135.37,97%,Let's face it: there are tons of things in your home and lif...,No win (2 of 5)
180.,2016-01-10 20:40:36,130.06,96%,"To some, the rules of etiquette may seem outdated, stuffy an...",Win (1 of 3)
179.,2016-01-10 20:39:54,143.20,90%,"Hanging by threads of palest silver, I could have stayed tha...",Win (1 of 5)
178.,2016-01-10 20:39:22,144.86,97%,"This was the most delicious meal he'd had in recent years, a...",Win (1 of 3)
177.,2015-11-13 09:36:39,134.68,86%,"Comfortable, Mullet? It seems sadly ironic that it's that ti...",Win (1 of 4)
176.,2015-11-13 09:36:10,150.19,100%,"People get ready, there's a train coming. You don't need no ...",Win (1 of 4)
175.,2015-11-13 09:35:34,138.65,94%,"Ultimately, this is not about solving your problems. It's ab...",Win (1 of 4)
174.,2015-11-13 09:34:56,130.25,95%,"As customers of all races, nationalities, and cultures visit...",Win (1 of 3)
173.,2015-11-13 09:33:02,124.06,91%,"Yes, the newspapers were right: snow was general all over Ir...",Win (1 of 3)
172.,2015-11-13 09:32:19,121.51,92%,I've always wondered about this coat business. When I'm in a...,Win (1 of 4)
171.,2015-11-13 09:31:37,129.55,87%,"Let me get this straight. You think that your client, one of...",Win (1 of 4)
170.,2015-11-13 09:30:48,130.15,98%,So my heart goes out to them. Figuratively. I would never ac...,Win (1 of 5)
169.,2015-11-13 09:29:59,144.16,95%,Groups of illegal miners smuggle themselves down in freight ...,Win (1 of 3)
168.,2015-11-13 09:29:25,144.44,98%,If there is one thing the history of evolution has taught us...,Win (1 of 2)
167.,2015-11-13 09:28:38,145.10,96%,"Well, the way they make shows is, they make one show. That s...",Win (1 of 3)
166.,2015-11-13 09:27:55,147.27,96%,I'd just like to point out that you were given every opportu...,Win (1 of 2)
165.,2015-11-13 09:27:08,118.92,90%,"The Earth is a world, the world is a ball, a ball in a game ...",Win (1 of 5)
164.,2015-11-13 09:26:29,150.02,98%,"No matter how bad things are, you can always make things wor...",Win (1 of 4)
163.,2015-11-13 09:25:58,118.71,96%,"In the English language, swearing is essential to effective ...",Win (1 of 4)
162.,2015-11-13 06:33:28,122.85,91%,"He started running, up and up, until he hurled himself into ...",No win (2 of 4)
161.,2015-11-13 06:32:29,139.26,92%,A problem in communication is that people don't smile enough...,Win (1 of 5)
160.,2015-11-13 06:31:21,109.17,87%,If I'm curt with you it's because time is a factor. I think ...,Win (1 of 4)
159.,2015-11-13 06:30:04,145.73,83%,To an outsider's ear it sounds absurdly wild and ridiculous ...,Win (1 of 2)
158.,2015-11-13 06:29:10,128.17,92%,All that year the animals worked like slaves. But they were ...,Win (1 of 5)
