344.,2018-01-14 00:11:57,59.89,96%,"And as we let our own light shine, we unconsciously give oth...",No win (3 of 5)
343.,2018-01-14 00:11:06,62.16,96%,Popularity is only partially about individual attractiveness...,No win (4 of 5)
342.,2018-01-14 00:10:00,57.17,95%,"At first, I was astonished by the vehemence - and candor - w...",No win (5 of 5)
341.,2018-01-14 00:08:45,68.72,97%,English factories make the cloth that makes our poverty. All...,No win (3 of 4)
340.,2018-01-14 00:07:29,59.07,97%,"Now Lina, you've been reading all those fan magazines again!...",Win (1 of 5)
339.,2017-05-25 21:41:24,62.20,93%,Wrongfully imprisoned action heroes rarely have the time to ...,No win (2 of 5)
338.,2017-05-25 21:40:10,59.86,89%,"I didn't know the girl, but I knew her family. All their liv...",No win (3 of 5)
337.,2017-02-25 15:31:19,63.48,91%,"When you have eaten enough to meet your needs, your digestiv...",Win (1 of 4)
336.,2017-02-07 23:37:38,66.40,92%,"Just as there are painters and musicians among the poets, so...",No win (2 of 5)
335.,2017-02-05 22:40:28,63.49,91%,"In the past, all a King had to do was look respectable in un...",No win (2 of 4)
334.,2017-02-01 15:34:13,61.00,92%,People don't want their lives fixed. Nobody wants their prob...,No win (2 of 5)
333.,2017-01-31 10:25:08,65.30,91%,"My brother, your father, he and I. Opposites. But I never do...",No win (4 of 5)
332.,2017-01-30 23:49:23,59.79,92%,"The equipment needed for stir-frying, sauteing and braising ...",No win (2 of 2)
331.,2017-01-30 07:21:20,68.08,96%,Now look at this picture. Look at it hard. Then turn the pag...,No win (4 of 5)
330.,2017-01-30 07:20:19,69.28,93%,You are too generous to trifle with me. If your feelings are...,No win (3 of 4)
329.,2017-01-29 21:11:08,72.48,93%,You can know the name of a bird in all the languages of the ...,No win (4 of 4)
328.,2017-01-29 21:09:42,73.89,96%,"I'm going to improvise. Listen, there's something you should...",Win (1 of 2)
327.,2017-01-29 21:07:41,63.12,93%,When in the Course of human events it becomes necessary for ...,No win (3 of 5)
326.,2017-01-29 21:05:08,69.64,94%,"I won't say another word - not one. I know I talk too much, ...",No win (2 of 5)
325.,2017-01-29 21:03:09,72.55,93%,Humans need to practice what they are learning a good deal b...,No win (4 of 5)
324.,2017-01-29 17:57:43,62.16,91%,"Now, imagine a universe in which the laws of physics are as ...",No win (2 of 4)
323.,2017-01-29 17:55:52,87.96,98%,"You must love your work, and not be always looking over the ...",Win (1 of 4)
322.,2017-01-29 17:54:45,72.43,92%,"Ticking away the moments that make up a dull day, you fritte...",No win (3 of 5)
321.,2017-01-21 13:05:15,82.34,97%,You know I work all day to get you money to buy you things. ...,Win (1 of 5)
320.,2017-01-21 09:49:12,63.84,93%,"Well, it just so happens, this hacienda comes with its very ...",No win (5 of 5)
319.,2017-01-20 16:01:02,64.76,93%,God help the man who ever really loves you. You'd break his ...,No win (2 of 5)
318.,2017-01-20 15:38:46,66.99,96%,Sometimes our thinking about an object is conditioned by vie...,Win (1 of 5)
317.,2017-01-20 15:36:37,76.87,96%,The weird thing about houses is that they almost always look...,No win (3 of 5)
316.,2017-01-19 18:24:45,64.06,93%,"In the English language, swearing is essential to effective ...",No win (2 of 4)
315.,2017-01-19 13:59:43,66.05,93%,"That's right, and the one who wins gets a prize, only there ...",No win (5 of 5)
