265.,2018-03-19 11:13:15,59.01,97%,My name is Charlie Bartlett. If there's one thing I want you...,No win (3 of 5)
264.,2018-03-14 06:38:48,57.15,97%,"I'm Rex, founder of the Rex Kwon Do self-defense system! Aft...",No win (3 of 4)
263.,2018-03-14 06:31:17,54.78,97%,If you knew how to run a business he'd still have a job and ...,Win (1 of 4)
262.,2018-03-13 12:56:14,59.67,96%,As you know the concept of the suction pump is centuries old...,No win (2 of 5)
261.,2018-03-13 12:54:34,70.48,96%,"The point is that if you are a little different, or a little...",No win (4 of 5)
260.,2018-03-13 12:53:38,65.42,97%,Is it sweeter to exist only in the mind or to exist both in ...,Win (1 of 5)
259.,2018-03-13 12:52:04,64.64,97%,"Precious are the dead that lie there, every stone over them ...",Win (1 of 5)
258.,2018-03-13 12:50:39,63.78,97%,"Seeing someone lose it like that. You know, it reminded me o...",No win (3 of 5)
257.,2018-03-13 07:55:42,63.08,97%,I still see things that are not here. I just choose not to a...,No win (3 of 5)
256.,2018-03-13 07:54:35,55.66,96%,Good games offer players a set of challenging problems and t...,No win (3 of 5)
255.,2018-03-13 07:25:36,59.31,96%,"I know I'm supposed to help you, but I can't. Instead of bei...",No win (4 of 5)
254.,2018-03-13 07:22:09,66.28,97%,"That's great Rachel, but I'm on my third glass of chardonnay...",No win (3 of 5)
253.,2018-03-13 07:21:06,56.13,95%,"Give me your tired, your poor, Your huddled masses yearning ...",No win (2 of 5)
252.,2018-03-13 07:09:53,56.16,97%,"Everybody's talking about revolution, evolution, mastication...",Win (1 of 4)
251.,2018-03-13 06:44:24,63.78,99%,On my way to see my friends who lived a couple blocks away f...,No win (2 of 4)
250.,2018-03-13 04:29:27,57.65,97%,"Mathematics is a wonderful, elegant, and exceedingly useful ...",Win (1 of 5)
249.,2018-03-12 12:44:15,59.13,96%,"My mind is open so wide since you came inside, I feel so ali...",No win (2 of 5)
248.,2018-03-09 05:50:06,58.54,97%,"Empathy, he once had decided, must be limited to herbivores ...",No win (3 of 5)
247.,2018-03-09 05:48:30,58.64,95%,Time I'm sure will bring disappointments in so many things. ...,No win (3 of 4)
246.,2018-03-09 05:04:36,66.64,97%,All that year the animals worked like slaves. But they were ...,No win (3 of 4)
245.,2018-03-09 05:03:22,59.04,96%,Grown-ups like to tell you where they were when President Ke...,No win (4 of 4)
244.,2018-03-08 10:02:52,59.59,99%,"Leave my door open just a crack, 'cause I feel like such an ...",No win (3 of 5)
243.,2018-03-08 04:27:28,58.70,95%,It just so happens that your friend here is only mostly dead...,No win (4 of 5)
242.,2018-03-08 04:18:50,63.02,98%,I think the world divides neatly into those who are excited ...,No win (3 of 5)
241.,2018-03-08 04:17:16,51.30,97%,Games are bad. They make you mad. Games are bad. They make y...,No win (3 of 4)
240.,2018-03-08 04:12:41,57.43,95%,"At last, we finally meet. I have something for you, Chancell...",No win (2 of 2)
239.,2018-03-08 04:01:33,60.34,96%,I felt the urge to reassure him that I was like everybody el...,No win (3 of 5)
238.,2018-03-07 06:28:06,68.92,97%,You can know the name of a bird in all the languages of the ...,No win (2 of 5)
237.,2018-03-07 06:25:49,58.20,97%,I make my living off the evening news. Just give me somethin...,No win (3 of 5)
236.,2018-03-07 05:32:30,60.55,97%,"In the early days of America, when men wore ruffles on their...",Win (1 of 3)
235.,2018-03-07 05:30:59,58.55,97%,There'll always be the argument that video games are meant t...,No win (5 of 5)
234.,2018-03-06 10:36:42,66.12,98%,Fly me to the moon and let me play among the stars. Let me s...,No win (4 of 5)
233.,2018-03-06 10:35:28,52.41,97%,When is a legend a legend? Why is a myth a myth? How old and...,No win (2 of 5)
232.,2018-03-05 06:16:59,69.17,98%,"Hey you... did you ever realize what you'd become, and did y...",No win (3 of 5)
231.,2018-03-05 06:15:49,70.18,98%,I just watched the man that I love go to prison so that none...,No win (3 of 4)
230.,2018-03-05 06:05:49,63.78,97%,"I had been right, I was still right, I was always right. I h...",No win (3 of 5)
229.,2018-03-05 06:04:42,64.08,97%,"I'm so glad you came, I'm so glad you remembered, the walkin...",No win (2 of 4)
228.,2018-03-05 02:34:37,61.83,96%,"They are important, you understand, without being interestin...",Win (1 of 4)
227.,2018-03-05 02:32:51,50.03,94%,"Donning his new canine decoder, Professor Schwartzman become...",No win (2 of 3)
226.,2018-03-02 08:30:15,61.42,96%,I wondered how they would've felt if every time their husban...,Win (1 of 5)
225.,2018-03-02 08:29:07,54.42,96%,You know I'm terminally awkward and I have a face like a lit...,No win (3 of 4)
224.,2018-03-02 04:49:55,64.40,98%,I think he knows what Rome is. Rome is the mob. Conjure magi...,No win (4 of 5)
223.,2018-03-02 03:41:13,59.47,97%,"Look, you should admit to yourself that Microsoft will miss ...",No win (4 of 5)
222.,2018-03-02 03:39:47,65.50,98%,"My mom, especially, challenged us on everything. She'd use w...",No win (3 of 5)
221.,2018-03-01 11:56:55,56.44,96%,I'm starting to see just why turn-of-the-century Americans' ...,No win (2 of 4)
220.,2018-03-01 06:12:15,55.31,97%,The man who let himself in was the first person ever invited...,Win (1 of 4)
219.,2018-02-28 03:26:48,58.49,96%,"In the late 1960s, a growing number of people became concern...",No win (2 of 4)
218.,2018-02-28 03:25:14,54.98,96%,It was far easier for you as civilized men to behave like ba...,No win (3 of 5)
217.,2018-02-28 03:24:29,51.41,96%,Bringing to the table our capitalized reputation. Proactivel...,No win (4 of 5)
216.,2018-02-27 11:56:33,59.88,95%,No battle is ever won. They are not even fought. The field o...,No win (5 of 5)
215.,2018-02-27 11:55:22,68.62,98%,I just watched the man that I love go to prison so that none...,No win (3 of 5)
214.,2018-02-27 11:54:38,64.50,96%,I hope you still feel small when you stand beside the ocean....,Win (1 of 5)
213.,2018-02-27 11:43:48,60.66,97%,"Yes, not only humans but also every other organism in the co...",No win (4 of 5)
212.,2018-02-27 05:19:10,60.33,96%,We sat and drank with the sun on our shoulders and felt like...,No win (2 of 5)
211.,2018-02-26 11:59:01,60.89,97%,"At night I'm driving in your car, pretending that we'll leav...",No win (3 of 4)
210.,2018-02-26 09:39:13,57.59,96%,"All at sea again, and now my hurricanes, have brought down t...",No win (2 of 5)
209.,2018-02-26 09:37:41,63.14,98%,Rejoice in masses. The tribe collapses. The mother weeps in ...,Win (1 of 5)
208.,2018-02-26 09:07:38,58.89,96%,She dreams of 1969 before the soldiers came. The life was ch...,No win (4 of 5)
207.,2018-02-09 13:13:12,58.50,98%,"Anyway, I call this thing a ""Gate."" It's a kind of portal, t...",No win (4 of 4)
206.,2018-02-09 10:53:41,59.93,97%,He gazed up at the enormous face. Forty years it had taken h...,No win (5 of 5)
205.,2018-02-09 10:41:12,60.06,97%,"We are the world, we are the children. We are the ones who m...",No win (3 of 5)
204.,2018-02-09 08:56:15,65.31,97%,The man who pulls the lever that breaks your neck will be a ...,No win (4 of 5)
203.,2018-02-09 08:22:27,64.89,97%,Most people find that the biggest change they make in their ...,No win (4 of 5)
202.,2018-02-09 03:06:24,65.92,99%,There's a hole in the world like a great black pit. And the ...,No win (2 of 4)
201.,2018-02-09 02:32:21,64.58,97%,"If you know the enemy and know yourself, you need not fear t...",Win (1 of 5)
200.,2018-02-08 04:01:15,63.47,97%,"Money is like other goods: the higher the opportunity cost, ...",No win (2 of 5)
199.,2018-02-07 10:00:24,65.36,97%,Because some roads you shouldn't go down. Because maps used ...,Win (1 of 5)
198.,2018-02-07 09:57:14,66.93,97%,"Bobby, my uncle loves you. He needs you. So you're gonna get...",No win (2 of 5)
197.,2018-02-07 09:56:22,60.75,97%,I walked into the store. After the buzzing and booming of th...,No win (3 of 5)
196.,2018-02-07 08:57:36,56.55,96%,I'm dancing on the White House lawn; sipping tea by the Taj ...,No win (2 of 5)
195.,2018-02-05 10:16:58,66.11,98%,"I've been on a diet every day since I was nineteen, which ba...",No win (3 of 4)
194.,2018-02-05 08:35:00,66.19,98%,Nothing drives people to the church faster than the thought ...,No win (2 of 5)
193.,2018-02-05 08:33:40,65.07,97%,"I sing the body electric, the armies of those I love engirth...",No win (2 of 4)
192.,2018-02-05 06:52:18,65.58,97%,"I bet you never thought about it, but the Internet and dream...",Win (1 of 5)
191.,2018-02-05 04:42:15,61.66,98%,Like if you met me you wouldn't think I was the weird kid wh...,No win (3 of 5)
190.,2018-02-02 11:59:57,67.38,98%,"I see, these books are probably law books, and it is an esse...",No win (3 of 5)
189.,2018-02-02 11:58:29,55.71,96%,The man who passes the sentence should swing the sword. If y...,No win (4 of 5)
188.,2018-02-02 11:48:16,63.19,98%,"Keep drinking coffee, stare me down across the table while I...",No win (3 of 5)
187.,2018-02-02 06:32:19,66.31,98%,"Tim and the Princess lounge in the castle garden, laughing t...",Win (1 of 4)
186.,2018-02-02 05:56:39,60.80,98%,"I looked at the captain. That terrible avenger, like an arch...",No win (3 of 5)
185.,2018-02-02 04:35:48,56.86,97%,Flinging the history of inflicted pain into the perfect teet...,No win (4 of 5)
184.,2018-02-02 04:33:38,54.74,96%,"It's my leg! I want my leg, you understand? Can't you unders...",No win (3 of 5)
183.,2018-02-01 11:58:49,64.29,96%,"According to all known laws of aviation, there is no way tha...",No win (5 of 5)
182.,2018-02-01 11:57:34,65.85,98%,The ability to witness two men stand toe to toe in the spiri...,No win (2 of 5)
181.,2018-02-01 11:43:52,63.15,97%,What the boys from Jiangxi had never even considered was tha...,No win (4 of 5)
180.,2018-02-01 11:18:52,62.45,96%,Dreams. Each man longs to pursue his dream. Each man is tort...,No win (2 of 5)
179.,2018-02-01 11:17:37,57.18,97%,"How does a ragtag, volunteer army in need of a shower someho...",No win (2 of 5)
178.,2018-01-31 09:30:44,65.87,98%,"Never give up, no matter how far behind you are, no matter h...",Win (1 of 5)
177.,2018-01-31 09:13:09,62.36,98%,"Picture yourself in a boat on a river, with tangerine trees ...",Win (1 of 5)
176.,2018-01-31 05:27:31,65.38,98%,"Keep drinking coffee, stare me down across the table while I...",Win (1 of 4)
175.,2018-01-31 03:26:14,54.70,97%,"Benjamin Franklin, tactless in his youth, became so diplomat...",Win (1 of 2)
174.,2018-01-31 03:24:30,67.86,97%,Most of the people in the industry were young because the gu...,No win (3 of 5)
173.,2018-01-30 09:13:38,48.69,94%,"Prior to the 1970's, because the United States had long been...",No win (4 of 5)
172.,2018-01-30 05:38:33,67.18,98%,"The man who reviews his own life, as I do mine, in going on ...",No win (2 of 5)
171.,2018-01-30 05:37:15,63.01,97%,"Well, I'd learned one thing in advanced math class. I'd lear...",No win (2 of 3)
170.,2018-01-29 11:57:41,70.35,99%,"Well I don't know how to tell the weight of the sun, and of ...",Win (1 of 5)
169.,2018-01-29 11:56:43,71.88,98%,"You know no one and no one knows you, and at the same time y...",No win (4 of 5)
168.,2018-01-29 10:14:48,63.90,96%,I got some good news and some bad news. The bad news is that...,No win (3 of 5)
167.,2018-01-29 07:00:09,59.23,98%,"At the end of the meal, one of his friends complimented me o...",No win (2 of 4)
166.,2018-01-29 06:38:36,61.66,97%,We got the bubble-headed bleach blonde. Comes on at five. Sh...,Win (1 of 3)
165.,2018-01-29 06:36:58,61.22,97%,"""Look at that,"" she whispered, and then after a moment: ""I'd...",No win (2 of 5)
164.,2018-01-29 04:08:12,66.47,97%,"It is in the spirit of Andrew Jackson that I, from time to t...",Win (1 of 5)
163.,2018-01-29 04:06:42,54.75,95%,"They may torture my body, break my bones, even kill me, then...",No win (3 of 5)
162.,2018-01-29 03:53:26,58.21,96%,"My apologies. I have a nephew named Anfernee, and I know how...",No win (2 of 5)
161.,2018-01-29 03:52:35,57.56,97%,"My meaning simply is, that whatever I have tried to do in li...",No win (2 of 3)
