915.,2011-11-11 12:06:06,129.99,96%,Who has a safety deposit box full of money and six passports...,No win (1 of 1)
914.,2011-11-10 10:07:28,125.64,96%,I remember when we used to sit in the government yard in Tre...,No win (1 of 1)
913.,2011-11-10 10:00:26,136.76,95%,"Ticking away the moments that make up a dull day, you fritte...",No win (1 of 1)
912.,2011-11-08 05:36:55,127.26,87%,"You have a class of young strong men and women, and they wan...",No win (1 of 1)
911.,2011-11-07 08:22:50,133.16,96%,"Ever since I was a child, folks have thought they had me peg...",No win (1 of 1)
910.,2011-11-01 06:48:50,127.83,96%,Mac knew the score even if Aunt Ella didn't. Shot through th...,No win (1 of 1)
909.,2011-11-01 06:08:08,124.93,93%,"In the casino, the cardinal rule is to keep them playing and...",No win (1 of 1)
908.,2011-11-01 06:03:48,133.09,98%,The only preventive thing I do is wash clothes after buying ...,No win (1 of 1)
907.,2011-11-01 06:02:36,123.17,97%,Well I woke in mid-afternoon cause that's when it all hurts ...,No win (1 of 1)
906.,2011-11-01 05:57:50,126.90,95%,One essential rule: make sure the joke is the last possible ...,No win (1 of 1)
905.,2011-11-01 05:52:56,125.92,97%,The example of painting can teach us not only how to manage ...,No win (1 of 1)
904.,2011-11-01 05:46:30,126.24,95%,"The sooner your kids appreciate the value of work, the more ...",No win (1 of 1)
903.,2011-11-01 05:45:07,124.79,93%,"And you know it's time to go, through the sleet and driving ...",No win (1 of 1)
902.,2011-11-01 03:02:00,134.49,96%,The place to improve the world is first in one's own heart a...,No win (1 of 1)
901.,2011-10-31 11:52:58,130.46,100%,"O clear intelligence, force beyond all measure! Gentlemen, I...",No win (1 of 1)
900.,2011-10-31 10:51:13,126.01,94%,"Life is not suffering; it's just that you will suffer it, ra...",No win (1 of 1)
899.,2011-10-31 10:45:17,123.06,93%,San Francisco in the middle sixties was a very special time ...,No win (1 of 1)
898.,2011-10-31 10:43:39,123.77,92%,I have quit three jobs and been fired from all the rest. Get...,No win (1 of 1)
897.,2011-10-31 07:23:18,124.29,97%,"I've heard there was a secret chord that David played, and i...",No win (1 of 1)
896.,2011-10-31 06:55:21,134.29,100%,It doesn't mean much to be able to filter out most present-d...,No win (1 of 1)
895.,2011-10-31 06:52:20,120.34,95%,"They say that right after God created man, he took a rib fro...",No win (1 of 1)
894.,2011-10-31 06:49:25,135.75,98%,"In the casino, the cardinal rule is to keep them playing and...",No win (1 of 1)
893.,2011-10-31 06:38:37,126.36,96%,"Comfortable, Mullet? It seems sadly ironic that it's that ti...",No win (1 of 1)
892.,2011-10-31 03:44:33,133.61,91%,Remember that humor is written backwards. That means you fir...,No win (1 of 1)
891.,2011-10-30 14:16:00,126.35,95%,"I hope that whoever you are, you escape this place. I hope t...",No win (1 of 1)
890.,2011-10-30 03:24:53,129.98,95%,It is by will alone I set my mind in motion. It is by the ju...,No win (1 of 1)
889.,2011-10-30 03:22:09,131.79,97%,"There is no pain, you are receding. A distant ship smoke on ...",No win (1 of 1)
888.,2011-10-30 01:59:28,124.24,93%,"In the casino, the cardinal rule is to keep them playing and...",No win (1 of 1)
887.,2011-10-30 01:56:18,134.17,96%,Good games offer players a set of challenging problems and t...,No win (1 of 1)
886.,2011-10-30 01:50:27,125.70,95%,"No matter how bad things are, you can always make things wor...",No win (1 of 1)
885.,2011-10-30 01:49:02,127.62,93%,"As if that blind rage had washed me clean, rid me of hope; f...",No win (1 of 1)
884.,2011-10-30 01:45:11,147.33,98%,"Ticking away the moments that make up a dull day, you fritte...",No win (1 of 1)
883.,2011-10-29 05:53:42,129.84,92%,Who has a safety deposit box full of money and six passports...,No win (1 of 1)
882.,2011-10-29 05:52:06,127.88,95%,"In the casino, the cardinal rule is to keep them playing and...",No win (1 of 1)
881.,2011-10-29 05:50:37,129.11,94%,All time is all time. It does not change. It does not lend i...,No win (1 of 1)
880.,2011-10-29 00:21:50,133.22,98%,Good games offer players a set of challenging problems and t...,No win (1 of 1)
879.,2011-10-27 06:17:49,129.65,99%,Don't make assumptions - find the courage to ask questions a...,No win (1 of 1)
878.,2011-10-26 23:25:19,139.90,97%,Space is big. Really big. You just won't believe how vastly ...,No win (1 of 1)
877.,2011-10-26 23:16:02,131.40,95%,I've been looking so long at these pictures of you that I al...,No win (1 of 1)
876.,2011-10-26 10:26:24,126.94,92%,The time has come for man to set himself a goal. The time ha...,No win (1 of 1)
875.,2011-10-24 21:30:44,130.67,95%,"Ticking away the moments that make up a dull day, you fritte...",No win (1 of 1)
874.,2011-10-24 09:47:02,123.47,94%,"Ticking away the moments that make up a dull day, you fritte...",No win (1 of 1)
873.,2011-10-23 05:03:26,124.14,89%,"For centuries, the battle of morality was fought between tho...",No win (1 of 1)
872.,2011-10-23 04:49:50,125.29,94%,The place to improve the world is first in one's own heart a...,No win (1 of 1)
871.,2011-10-23 04:43:08,129.48,94%,The odds are that you will generally meet the worst of them....,No win (1 of 1)
870.,2011-10-22 21:44:46,121.06,91%,"Comfortable, Mullet? It seems sadly ironic that it's that ti...",No win (1 of 1)
869.,2011-10-21 05:59:11,129.96,98%,And I will strike down upon thee with great vengeance and fu...,No win (1 of 1)
868.,2011-10-19 09:16:00,123.72,96%,A glooming peace this morning with it brings. The sun for so...,No win (1 of 1)
867.,2011-10-19 04:22:34,141.40,98%,You've got a way to keep me on your side. You give me cause ...,No win (1 of 1)
866.,2011-10-18 18:12:29,137.65,95%,There's a hole in the world like a great black pit. And the ...,No win (1 of 1)
865.,2011-10-18 18:08:35,124.05,92%,"If you don't get what you want, you suffer; if you get what ...",No win (1 of 1)
864.,2011-10-18 15:05:37,125.78,97%,And I don't believe in the existence of angels but looking a...,No win (1 of 1)
863.,2011-10-18 15:04:58,123.18,94%,"But older than me now, more constant, more real, and the fur...",No win (1 of 1)
862.,2011-10-17 23:17:27,124.58,94%,"That's Tommy. He tells people he was named after a gun, but ...",No win (1 of 1)
861.,2011-10-17 21:26:55,134.77,95%,The truth of the matter is that there are a lot of available...,No win (1 of 1)
