421.,2012-08-30 09:38:52,115.55,97%,"A computer needs a manager to administer its operations, jus...",Win (1 of 5)
420.,2012-08-30 09:37:11,105.36,93%,Although his voice was also broken by uncertainty and his ha...,Win (1 of 5)
419.,2011-11-30 11:06:15,80.16,96%,"The brain can be a tool. It can recall phone numbers, solve ...",No win (2 of 5)
418.,2011-11-30 11:04:58,86.32,95%,"But no matter how effective the lesson was, I never really u...",Win (1 of 5)
417.,2011-11-30 11:02:16,87.64,92%,From compositional considerations the tomato layer would be ...,Win (1 of 3)
416.,2011-11-30 10:56:16,98.11,96%,"The Earth is a world, the world is a ball, a ball in a game ...",Win (1 of 5)
415.,2011-11-30 10:54:29,78.27,96%,"You ask Raymond what he does for a living and he says, ""I br...",Win (1 of 2)
414.,2011-11-30 10:52:39,85.21,98%,The wine list looks so imposing that you finally give up lab...,Win (1 of 4)
413.,2011-11-30 03:45:28,88.33,96%,Music finds a comfortable parallel with that of human langua...,Win (1 of 5)
412.,2011-11-30 03:44:47,91.41,94%,You've got a way to keep me on your side. You give me cause ...,Win (1 of 3)
411.,2011-11-29 12:31:56,81.30,97%,There was a stage and a PA up in western Massachusetts and t...,Win (1 of 5)
410.,2011-11-29 12:29:22,79.43,95%,"In 1966, Andy Dufresne escaped from Shawshank prison. All th...",Win (1 of 3)
409.,2011-11-29 12:24:31,72.70,97%,"And today, Lady Liberty is under attack from the cable chann...",Win (1 of 2)
408.,2011-11-29 12:23:23,69.71,93%,"It turned out that the sweet-talking, tattoo-sporting pikey ...",Win (1 of 4)
407.,2011-11-29 12:17:13,98.62,98%,All time is all time. It does not change. It does not lend i...,Win (1 of 5)
406.,2011-11-29 12:16:24,105.98,99%,"Keying text quickly is important, but it is more important t...",Win (1 of 3)
405.,2011-11-29 12:13:56,82.88,96%,I must not fear. Fear is the mind killer. Fear is the little...,Win (1 of 4)
404.,2011-11-29 12:12:34,80.00,93%,Every time I think of you I feel shot right through with a b...,Win (1 of 3)
403.,2011-11-29 12:11:28,72.01,94%,The problem we now face is that this thin layer of atmospher...,Win (1 of 5)
402.,2011-11-29 12:10:02,73.46,91%,Every time I think of you I feel shot right through with a b...,Win (1 of 5)
401.,2011-11-29 12:08:43,66.91,95%,"Some pilots like the excitement of our missions, knowing tha...",Win (1 of 2)
400.,2011-11-27 14:04:06,74.31,97%,"No matter how bad things are, you can always make things wor...",Win (1 of 4)
399.,2011-11-27 14:01:02,74.55,96%,"The National Rifle Association says that, ""Guns don't kill p...",Win (1 of 3)
