672.,2018-03-07 14:04:53,104.94,98%,Now this was a superior machine. Ten grand worth of gimmicks...,Win (1 of 4)
671.,2018-03-04 13:12:19,119.73,100%,Informal manufacturing activities often have strong domestic...,No win (1 of 1)
670.,2018-03-04 13:11:28,115.02,99%,I want to defeat the me that's dragging this failure around....,No win (3 of 4)
669.,2018-02-23 19:33:16,115.43,99%,Who has a safety deposit box full of money and six passports...,Win (1 of 5)
668.,2018-02-23 19:32:37,110.89,99%,"Oh, but anyway, Toto, we're home. Home! And this is my room,...",Win (1 of 5)
667.,2018-02-23 19:15:55,110.80,98%,"So tonight, sweet dreams, and sleep tight. I've been trying ...",No win (2 of 3)
666.,2018-02-23 19:14:55,123.22,100%,A good plan today is better than a perfect plan tomorrow.,Win (1 of 5)
665.,2018-02-13 17:33:27,108.11,98%,"The world says: ""You have needs - satisfy them. You have as ...",Win (1 of 4)
664.,2018-02-13 17:32:30,106.74,99%,"Gentlemen: You have undertaken to cheat me. I won't sue you,...",Win (1 of 3)
663.,2018-01-21 21:53:02,99.11,98%,"Truth is, identity theft isn't hard. A number and an ID is a...",No win (3 of 4)
662.,2018-01-21 21:51:55,106.36,98%,"I've seen it all. I have seen the trees, I have seen the wil...",No win (3 of 5)
661.,2018-01-21 21:49:13,106.05,99%,"You get a shiver in the dark, it's a-raining in the park but...",Win (1 of 5)
660.,2018-01-19 17:38:42,96.76,97%,"I felt that even when they were polite they hardly saw me, t...",No win (3 of 5)
659.,2018-01-19 13:52:02,103.55,99%,Injustice anywhere is a threat to justice everywhere. We are...,Win (1 of 3)
658.,2018-01-19 10:41:05,108.51,99%,Not only do we come into fairly regular contact with people ...,Win (1 of 5)
657.,2018-01-19 10:39:20,109.53,99%,Glancing through the 1977 Atlanta Yellow Pages reveals a cit...,Win (1 of 4)
656.,2018-01-18 22:36:59,107.33,98%,"You ask Raymond what he does for a living and he says, ""I br...",No win (4 of 5)
655.,2018-01-18 22:33:25,96.74,97%,"It soared, a bird, it held its flight, a swift pure cry, soa...",No win (2 of 5)
654.,2018-01-18 22:30:59,102.37,98%,"You can run far, you can take your small precautions. But ha...",No win (3 of 5)
653.,2018-01-18 22:16:51,112.79,99%,The withered leaves collect at my feet and the wind begins t...,Win (1 of 5)
652.,2018-01-18 22:12:06,122.36,100%,We're all taught from a young age that there are only two ch...,Win (1 of 3)
651.,2018-01-18 22:08:26,124.13,100%,Don't take anything personally - nothing others do is becaus...,Win (1 of 2)
650.,2018-01-18 22:07:24,110.22,99%,He rode past me and kept on goin'. Never said nothin' goin' ...,Win (1 of 4)
649.,2018-01-18 20:39:19,106.72,98%,"I lie here on this great immovable bed - it is nailed down, ...",No win (2 of 5)
648.,2018-01-18 20:37:22,109.98,99%,"For thirty years, I've sailed the seas and seen good and bad...",Win (1 of 4)
647.,2018-01-18 11:29:44,114.73,99%,It is pleasing to human vanity to believe that one suffers b...,No win (2 of 5)
646.,2018-01-17 19:38:29,112.79,98%,There's an infestation in my mind's imagination. I hope they...,Win (1 of 2)
645.,2018-01-15 10:42:20,96.45,98%,Isolated in their soundproof studios neither player is aware...,Win (1 of 3)
644.,2018-01-15 09:50:29,105.25,98%,"Look, you're supposed to be winning the hearts and minds of ...",Win (1 of 4)
643.,2018-01-15 09:49:25,112.90,99%,The evidence in the standard history of Qwerty versus Dvorak...,Win (1 of 4)
642.,2018-01-13 13:38:03,106.58,99%,Look at the night and it don't seem so lonely. We filled it ...,No win (3 of 4)
641.,2018-01-10 15:52:23,107.86,96%,The problem was the industry wasn't measured by who has the ...,No win (2 of 2)
640.,2018-01-10 15:51:07,107.77,98%,Everyone has a moment in history which belongs particularly ...,Win (1 of 5)
639.,2018-01-10 15:50:00,101.50,97%,The invention of the wheel represented a major turning point...,Win (1 of 4)
638.,2017-12-20 11:20:58,110.97,99%,"Oh, can I really believe the poet's tales, that when one fir...",No win (2 of 5)
