208.,2017-01-28 01:10:54,142.56,99%,"Well, let me tell you something, Caveman. You are here on ac...",Win (1 of 2)
207.,2017-01-28 01:09:56,136.40,97%,It is one thing to write as poet and another to write as a h...,Win (1 of 5)
206.,2017-01-28 01:07:17,127.33,97%,The place to improve the world is first in one's own heart a...,No win (4 of 5)
205.,2016-08-09 22:52:57,141.27,100%,There's a hole in the world like a great black pit. And the ...,Win (1 of 4)
204.,2016-04-28 00:33:55,116.75,96%,I still see things that are not here. I just choose not to a...,Win (1 of 2)
203.,2016-04-28 00:32:45,98.79,90%,"No matter how bad things are, you can always make things wor...",Win (1 of 2)
202.,2016-04-05 17:07:58,120.27,97%,Space is big. Really big. You just won't believe how vastly ...,No win (2 of 5)
201.,2016-04-05 17:07:19,133.60,99%,"Keying text quickly is important, but it is more important t...",Win (1 of 5)
200.,2016-04-05 17:06:23,136.69,98%,From compositional considerations the tomato layer would be ...,Win (1 of 5)
199.,2016-04-05 17:04:54,119.00,96%,"And though my journeys did take me to a great many states, a...",No win (2 of 3)
198.,2016-03-31 14:02:52,130.13,99%,We began to recognize in them a strange obsession. After all...,Win (1 of 3)
197.,2016-03-31 14:01:00,137.03,98%,There's a hole in the world like a great black pit. And the ...,Win (1 of 3)
196.,2016-03-31 02:27:39,149.79,100%,I hope it is true that a man can die and yet not only live i...,Win (1 of 2)
195.,2016-03-31 02:25:15,120.67,99%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 2)
194.,2016-03-31 02:24:36,125.52,98%,With the coming of Dean Moriarty began the part of my life y...,Win (1 of 3)
193.,2016-03-29 23:59:34,132.90,97%,For it is not enough to have a good mind; the main thing is ...,Win (1 of 3)
192.,2016-03-29 23:58:12,123.36,96%,"If you want to drive a race car well, whether to win an Indy...",Win (1 of 5)
191.,2016-03-29 23:57:22,116.74,96%,If I'm curt with you it's because time is a factor. I think ...,No win (3 of 5)
190.,2016-03-29 23:56:49,124.04,98%,A few light taps upon the pane made him turn to the window. ...,Win (1 of 4)
189.,2016-03-29 23:55:27,122.29,99%,We're no strangers to love. You know the rules and so do I. ...,Win (1 of 2)
188.,2016-03-29 23:18:13,121.59,99%,"O clear intelligence, force beyond all measure! Gentlemen, I...",Win (1 of 2)
187.,2016-03-29 23:17:32,149.46,100%,The day is made up of 24 hours and an infinite number of mom...,Win (1 of 2)
186.,2016-03-29 23:15:30,119.49,94%,Every time I think of you I feel shot right through with a b...,No win (2 of 3)
185.,2016-03-29 23:13:42,134.99,97%,I have quit three jobs and been fired from all the rest. Get...,No win (2 of 2)
184.,2016-03-29 23:12:17,128.51,97%,"Get it straight buster - I'm not here to say please, I'm her...",Win (1 of 2)
183.,2016-03-29 02:41:12,115.27,97%,"I was stealing saltshakers again. Ten, sometimes twelve a ni...",No win (2 of 4)
182.,2016-03-29 02:39:34,128.39,97%,I have quit three jobs and been fired from all the rest. Get...,Win (1 of 2)
181.,2016-03-29 02:01:14,129.72,99%,"Whenever you watch the mind, you withdraw consciousness from...",Win (1 of 5)
180.,2016-03-27 17:44:44,120.52,97%,"But, pray how could that which I spoke so many years ago, an...",Win (1 of 2)
179.,2016-03-27 17:43:34,116.02,96%,"Now that I know that I'm breaking to pieces, I'll pull out m...",No win (2 of 4)
178.,2016-03-27 17:42:05,124.10,98%,"Tim and the Princess lounge in the castle garden, laughing t...",Win (1 of 3)
177.,2016-03-27 17:40:42,110.19,95%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",Win (1 of 4)
176.,2016-03-27 16:55:37,126.79,96%,Never give up on everything if one thing is too hard. Never ...,Win (1 of 3)
175.,2016-03-26 01:07:41,121.59,92%,"If we all go for the blonde and block each other, not a sing...",Win (1 of 2)
174.,2016-03-26 01:06:36,134.38,98%,The example of painting can teach us not only how to manage ...,Win (1 of 3)
173.,2016-03-26 01:05:40,107.98,91%,"So don't be afraid; your heart is in me, and it's racing so ...",Win (1 of 2)
172.,2016-03-26 01:05:07,138.43,100%,To an outsider's ear it sounds absurdly wild and ridiculous ...,Win (1 of 2)
171.,2016-03-26 01:01:37,115.06,93%,It is possible that I already had some presentiment of my fu...,Win (1 of 3)
170.,2016-03-26 00:58:05,138.43,98%,Too often writers believe that they can emphasize words by p...,Win (1 of 3)
169.,2016-03-26 00:55:54,121.51,96%,You've got a way to keep me on your side. You give me cause ...,Win (1 of 3)
168.,2016-03-26 00:52:02,114.38,92%,"Well, the way they make shows is, they make one show. That s...",Win (1 of 3)
167.,2016-03-26 00:51:03,123.63,95%,You have two choices: you can keep running and hiding and bl...,No win (3 of 3)
166.,2016-03-25 17:18:16,138.15,100%,From compositional considerations the tomato layer would be ...,Win (1 of 5)
165.,2016-03-25 17:17:05,114.48,95%,"A little boy went out to play. When he opened his door, he s...",Win (1 of 4)
164.,2016-03-25 17:15:25,125.03,95%,Many rivers to cross but I can't seem to find my way over. W...,Win (1 of 3)
163.,2016-03-25 17:13:31,135.82,98%,"I don't believe in an interventionist God, but I know, darli...",No win (2 of 4)
162.,2016-03-25 17:12:52,126.77,96%,San Francisco in the middle sixties was a very special time ...,Win (1 of 4)
161.,2016-03-25 17:12:22,118.13,93%,When we got to the Mint I parked on the street in front of t...,Win (1 of 3)
160.,2016-03-25 17:11:07,121.16,97%,"When I was a kid, you never saw radicchio in the produce sec...",Win (1 of 3)
159.,2016-03-24 14:43:46,125.29,98%,I am learning about twenty new Italian words a day. Where am...,Win (1 of 2)
158.,2016-03-24 14:43:03,119.93,96%,Never give up on everything if one thing is too hard. Never ...,Win (1 of 4)
157.,2016-03-24 14:39:00,123.62,98%,"Very well, gentlemen. This, and maybe other similar things, ...",No win (2 of 4)
156.,2016-03-24 14:35:58,118.34,99%,"And in the world a heart of darkness, a firezone, where poet...",Win (1 of 3)
155.,2016-03-24 14:01:04,120.36,100%,The quick brown fox jumps over the lazy dog.,Win (1 of 2)
154.,2016-03-24 03:05:17,121.99,98%,"So I was sitting in my cubicle today, and I realized, ever s...",Win (1 of 5)
153.,2016-03-24 03:04:40,125.85,99%,"The time I waited seemed endless, and I felt doubts and fear...",Win (1 of 3)
152.,2016-03-24 03:02:10,127.83,96%,"One day you're in a funk about things, telling a friend that...",No win (3 of 5)
151.,2016-03-24 03:01:22,128.47,98%,"But, pray how could that which I spoke so many years ago, an...",Win (1 of 3)
150.,2016-03-24 03:00:20,87.69,94%,The quick brown fox jumps over the lazy dog.,No win (4 of 4)
149.,2016-03-24 02:59:58,131.20,99%,"Even though there may be a deceiver of some sort, very power...",Win (1 of 3)
148.,2016-03-24 02:59:16,124.08,97%,I don't know why he saved my life. Maybe in those last momen...,Win (1 of 3)
147.,2016-03-24 02:58:07,117.74,97%,Three changes occur while the stacked disk structure equilib...,No win (1 of 1)
146.,2016-03-15 03:05:39,121.04,96%,"Kid, I've flown from one side of this galaxy to the other, a...",No win (2 of 4)
145.,2016-03-15 03:04:59,129.28,99%,"Even though there may be a deceiver of some sort, very power...",Win (1 of 4)
144.,2016-03-15 03:03:09,128.19,98%,"When I really worry about something, I don't just fool aroun...",No win (2 of 5)
143.,2016-03-15 03:02:36,128.76,98%,"When we conceive of the sweetest being ever, we are conceivi...",Win (1 of 4)
142.,2016-03-15 03:01:34,112.19,96%,"It's a blue savanna song: somewhere cross the desert, someti...",Win (1 of 3)
141.,2016-03-08 23:28:29,119.76,97%,"On a manual typewriter, strike the key with a nice sharp str...",Win (1 of 2)
140.,2016-03-08 23:27:26,131.77,97%,"A robot may not injure a human being, or, through inaction, ...",Win (1 of 3)
139.,2016-03-08 23:26:32,126.32,94%,"The goal of the true seeker is to become a sage, or superior...",Win (1 of 4)
138.,2016-03-08 23:25:34,140.13,100%,Since every piece of matter in the Universe is in some way a...,Win (1 of 3)
137.,2016-03-08 23:24:20,129.65,97%,I've always wondered about this coat business. When I'm in a...,Win (1 of 5)
136.,2016-03-08 23:23:14,139.55,99%,I suddenly had the impression that I had been left all alone...,Win (1 of 3)
135.,2016-03-08 22:59:45,132.87,99%,"Keying text quickly is important, but it is more important t...",Win (1 of 3)
134.,2016-03-08 22:58:49,138.11,100%,If you're working out in front of a mirror and watching your...,Win (1 of 3)
133.,2016-03-08 22:57:42,130.82,98%,"Has it been five years? Six? It seems like a lifetime, the k...",Win (1 of 4)
132.,2016-03-07 20:55:04,110.67,94%,"In general, many of these targets are easier marks if you ar...",Win (1 of 2)
131.,2016-03-07 20:51:57,102.62,93%,Typing competitions provided another test of the Qwerty keyb...,Win (1 of 2)
130.,2016-03-07 20:50:03,138.64,99%,The problem we now face is that this thin layer of atmospher...,Win (1 of 2)
129.,2016-03-07 20:12:41,107.00,94%,"Warmer water increases the moisture content of storms, and w...",Win (1 of 2)
128.,2016-03-07 20:10:26,112.63,94%,"No man is an island, entire of itself; every man is a piece ...",Win (1 of 2)
127.,2016-03-07 20:07:56,133.51,97%,There comes a point when you just love someone. Not because ...,Win (1 of 2)
