241.,2016-12-20 05:14:33,96.68,90%,"Don't practice too much at first, or you're likely to develo...",Win (1 of 2)
240.,2016-12-20 05:12:47,143.50,97%,"But you know that when the truth is told, you can get what y...",Win (1 of 2)
239.,2013-02-08 14:26:50,130.97,95%,There's a hole in the world like a great black pit. And the ...,Win (1 of 2)
238.,2013-02-04 17:06:04,140.78,98%,Is it sweeter to exist only in the mind or to exist both in ...,Win (1 of 5)
237.,2012-11-14 12:33:22,128.40,94%,Is it really necessary to send that email? The more emails y...,Win (1 of 3)
236.,2012-11-10 02:32:48,120.83,94%,"Because they're at the bottom of the scale, nerds are a safe...",No win (1 of 1)
235.,2012-11-08 01:09:03,142.85,97%,"Many people limit themselves to leading boring, dull lives b...",Win (1 of 5)
234.,2012-11-08 01:08:04,124.90,96%,"She's got a smile that, it seems to me, reminds me of childh...",No win (2 of 2)
233.,2012-11-08 01:06:35,125.44,97%,Yet the web of thought has no such creases and is more like ...,Win (1 of 3)
232.,2012-11-08 00:57:37,131.42,96%,"I don't want tickets, I need you to find me a painting, a cl...",Win (1 of 4)
231.,2012-11-08 00:55:22,135.06,97%,All time is all time. It does not change. It does not lend i...,Win (1 of 5)
230.,2012-11-08 00:54:38,137.19,95%,"When we conceive of the sweetest being ever, we are conceivi...",Win (1 of 5)
229.,2012-11-08 00:52:26,133.71,97%,"I don't want tickets, I need you to find me a painting, a cl...",Win (1 of 3)
228.,2012-11-05 15:30:30,142.43,97%,There are very few things I wish I could change about those ...,Win (1 of 3)
227.,2012-11-05 15:29:51,114.29,93%,Lucid but wholly false recollections can easily be induced b...,Win (1 of 3)
226.,2012-11-05 14:44:36,137.44,98%,I thought climbing the Devil's Thumb would fix all that was ...,Win (1 of 3)
225.,2012-11-05 14:23:20,124.11,96%,We may climb into the thin and cold realm of pure geometry a...,Win (1 of 4)
224.,2012-11-05 14:21:10,132.62,96%,The ultimate way to compose is to be able to keyboard as fas...,Win (1 of 3)
223.,2012-11-05 14:16:00,134.67,98%,"If you want to drive a race car well, whether to win an Indy...",Win (1 of 3)
222.,2012-11-05 14:15:12,121.48,94%,"Whether they use the title or not, many lyrics have evocativ...",No win (2 of 3)
221.,2012-11-05 14:12:21,133.62,96%,"When I was your age, television was called books. And this i...",Win (1 of 2)
220.,2012-11-05 14:10:04,137.80,96%,If you're working out in front of a mirror and watching your...,No win (2 of 3)
219.,2012-11-05 14:07:33,123.33,94%,All time is all time. It does not change. It does not lend i...,No win (2 of 3)
218.,2012-11-05 14:07:00,128.73,97%,"That's Tommy. He tells people he was named after a gun, but ...",Win (1 of 5)
217.,2012-11-05 14:02:10,124.92,94%,The most precious treasures we have in life are the images w...,No win (3 of 3)
216.,2012-11-04 01:07:38,124.64,97%,"A little boy went out to play. When he opened his door, he s...",Win (1 of 3)
215.,2012-11-03 23:11:04,128.95,96%,"But older than me now, more constant, more real, and the fur...",Win (1 of 4)
214.,2012-11-03 23:09:56,131.80,91%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",Win (1 of 3)
213.,2012-11-03 23:09:06,142.48,99%,"The sooner your kids appreciate the value of work, the more ...",Win (1 of 2)
212.,2012-11-03 19:53:23,112.29,96%,"There is no physical separation after the slicing, so that e...",Win (1 of 3)
211.,2012-11-03 19:50:26,167.70,100%,I've been looking so long at these pictures of you that I al...,Win (1 of 3)
210.,2012-11-03 19:47:18,136.45,96%,There is something about yourself that you don't know. Somet...,Win (1 of 2)
