162.,2017-04-06 04:07:03,123.51,96%,"I'm so in love with you. And I hope you know, darling, your ...",Win (1 of 4)
161.,2017-04-06 04:05:58,134.31,99%,"Warmer water increases the moisture content of storms, and w...",Win (1 of 2)
160.,2017-04-06 04:05:16,125.71,98%,I have no idea how I untangled the complicated process of wo...,Win (1 of 5)
159.,2017-04-06 04:04:20,140.12,94%,It was one of those March days when the sun shines hot and t...,Win (1 of 3)
158.,2017-04-06 04:03:31,135.28,96%,You're not like the others. I've seen a few; I know. When I ...,Win (1 of 3)
157.,2016-04-14 17:38:43,127.59,97%,Be impeccable with your word - speak with integrity. Say onl...,No win (2 of 4)
156.,2016-04-14 17:38:16,134.20,98%,What you gonna do with your man there? You're always gonna h...,Win (1 of 4)
155.,2016-04-14 17:37:40,145.78,100%,The odds are that you will generally meet the worst of them....,Win (1 of 2)
154.,2016-04-14 17:37:05,135.70,98%,Writing is hard work. A clear sentence is no accident. Very ...,No win (2 of 5)
153.,2016-04-14 17:36:21,133.31,93%,The day is made up of 24 hours and an infinite number of mom...,Win (1 of 3)
152.,2016-04-14 17:35:49,131.40,95%,"I never wanted to become someone like him. So secure, conten...",Win (1 of 3)
151.,2016-04-14 17:34:18,142.74,99%,"When she returns to the forum page, her post is there. It is...",Win (1 of 3)
150.,2016-04-14 17:33:46,134.04,96%,The time has come for man to set himself a goal. The time ha...,Win (1 of 4)
149.,2015-08-04 23:14:28,148.54,100%,You have to wonder: how do the machines know what Tasty Whea...,Win (1 of 2)
148.,2015-08-04 23:13:27,141.76,99%,There is a theory which states that if anybody ever discover...,No win (2 of 2)
147.,2015-08-04 23:12:05,122.35,91%,I think you're gonna find - when all this stuff is over and ...,No win (2 of 2)
146.,2015-08-04 23:10:56,138.84,98%,Lucid but wholly false recollections can easily be induced b...,No win (2 of 2)
145.,2015-08-04 23:09:41,124.66,97%,"Run to the bedroom, in the suitcase on the left, you'll find...",Win (1 of 2)
144.,2015-08-04 22:52:21,151.75,100%,"No matter how bad things are, you can always make things wor...",Win (1 of 4)
143.,2014-08-17 21:46:12,133.09,99%,A few light taps upon the pane made him turn to the window. ...,Win (1 of 3)
142.,2014-08-17 21:41:20,143.42,96%,"When I was your age, television was called books. And this i...",Win (1 of 2)
141.,2014-08-17 21:40:30,125.07,95%,"Let's sort the buyers from the spiers, the needy from the gr...",Win (1 of 4)
140.,2014-08-17 21:39:58,113.65,91%,"When I really worry about something, I don't just fool aroun...",No win (3 of 3)
139.,2014-08-17 21:38:32,115.85,94%,We live in a charmed world. If we have money we can buy lite...,Win (1 of 2)
138.,2014-08-17 21:37:33,137.26,94%,"One day you're in a funk about things, telling a friend that...",Win (1 of 2)
137.,2014-08-17 21:36:06,138.47,98%,The place to improve the world is first in one's own heart a...,Win (1 of 4)
136.,2014-05-18 12:45:53,135.35,99%,"If you don't get what you want, you suffer; if you get what ...",Win (1 of 3)
135.,2014-05-18 12:43:12,120.15,97%,Involuntarily I glanced seaward - and distinguished nothing ...,No win (2 of 5)
134.,2014-05-18 12:42:07,123.29,96%,"Never give up, no matter how far behind you are, no matter h...",Win (1 of 4)
