208.,2016-05-18 20:14:10,115.93,98%,"That fear had been inside him for many years, it had lived w...",Win (1 of 2)
207.,2016-05-18 20:12:02,103.92,93%,There are but two types of men who desire war: those who hav...,Win (1 of 4)
206.,2016-05-18 20:10:25,115.60,97%,"When you are typing on a typewriter, your input appears dire...",Win (1 of 3)
205.,2016-05-18 20:09:21,129.84,98%,"I went to the woods because I wished to live deliberately, t...",Win (1 of 3)
204.,2016-05-18 20:08:08,120.15,96%,Popularity is only partially about individual attractiveness...,Win (1 of 2)
203.,2016-05-18 20:06:42,124.21,98%,"Often, we assume that a familiar situation will be but a rep...",Win (1 of 3)
202.,2016-05-18 20:05:32,107.78,98%,"That's Tommy. He tells people he was named after a gun, but ...",Win (1 of 4)
201.,2016-05-18 20:04:28,125.98,98%,The truth of the matter is that there are a lot of available...,Win (1 of 4)
200.,2015-07-06 01:35:22,119.03,98%,"Well, the way they make shows is, they make one show. That s...",No win (2 of 4)
199.,2015-07-06 01:34:23,129.41,100%,"As if that blind rage had washed me clean, rid me of hope; f...",Win (1 of 2)
198.,2015-07-06 01:33:21,105.31,92%,I can already hear your tune calling me across the room. Whe...,No win (3 of 3)
197.,2014-04-27 10:42:40,133.20,99%,"But older than me now, more constant, more real, and the fur...",Win (1 of 3)
196.,2014-04-27 10:14:13,119.45,93%,The most precious treasures we have in life are the images w...,Win (1 of 3)
195.,2014-02-23 23:30:29,119.20,98%,"In the witch trials, it was nearly impossible to provide com...",Win (1 of 3)
194.,2014-02-23 23:26:20,122.88,97%,"They had been given a sign - a powerful, lucid sign - that u...",Win (1 of 3)
193.,2013-05-23 17:39:30,116.38,96%,There are two places on Earth that serve as canaries in the ...,No win (2 of 2)
192.,2013-05-23 17:37:33,137.09,99%,The unknown future rolls toward us. I face it for the first ...,Win (1 of 3)
191.,2011-08-04 14:00:17,110.59,94%,So I'm two inches away from her. Her luscious lips part. Jus...,Win (1 of 3)
190.,2011-07-04 23:44:50,110.47,97%,"She's got a smile that, it seems to me, reminds me of childh...",No win (2 of 4)
189.,2011-07-04 23:43:38,110.18,93%,"Burning my bridges and smashing my mirrors, turning to see i...",No win (2 of 3)
188.,2011-07-04 23:42:51,134.27,100%,"The Earth is a world, the world is a ball, a ball in a game ...",Win (1 of 3)
187.,2011-07-04 23:42:19,110.76,96%,"If you really want to hear about it, the first thing you'll ...",No win (3 of 5)
186.,2011-07-04 23:41:31,113.44,96%,"Yes, the newspapers were right: snow was general all over Ir...",No win (2 of 4)
185.,2011-06-13 07:34:51,119.14,97%,"Padre, these are subtleties! We are not concerned with motiv...",Win (1 of 2)
184.,2011-06-12 21:55:06,119.75,96%,"The problem is, Willie, is that Charles and yourself are not...",Win (1 of 3)
183.,2011-06-12 21:54:13,125.55,100%,"That fear had been inside him for many years, it had lived w...",No win (2 of 2)
182.,2011-06-12 21:52:30,114.15,95%,Three changes occur while the stacked disk structure equilib...,Win (1 of 3)
