448.,2013-11-11 10:26:43,144.29,96%,"Let's sort the buyers from the spiers, the needy from the gr...",Win (1 of 2)
447.,2013-11-11 10:23:43,129.36,98%,"A little boy went out to play. When he opened his door, he s...",Win (1 of 3)
446.,2013-11-11 10:22:31,152.52,95%,"Many people limit themselves to leading boring, dull lives b...",Win (1 of 3)
445.,2013-11-11 10:18:15,114.08,100%,Remember that humor is written backwards. That means you fir...,Win (1 of 3)
444.,2013-11-11 10:15:10,149.43,99%,I can already hear your tune calling me across the room. Whe...,Win (1 of 2)
443.,2013-11-11 10:12:57,155.04,98%,Images of broken light which dance before me like a million ...,Win (1 of 5)
442.,2013-11-11 10:12:13,152.81,98%,"I don't believe in an interventionist God, but I know, darli...",Win (1 of 2)
441.,2013-11-11 10:11:14,137.63,95%,I must not fear. Fear is the mind killer. Fear is the little...,Win (1 of 3)
440.,2013-11-11 10:09:22,135.81,97%,There's sometimes a buggy. How many drivers does a buggy hav...,Win (1 of 2)
439.,2013-11-11 10:08:15,148.14,97%,Well I woke in mid-afternoon cause that's when it all hurts ...,Win (1 of 2)
438.,2013-11-11 10:06:50,167.47,100%,"I know a bloke who knows a bloke who knows a bloke. Now, I k...",Win (1 of 3)
437.,2013-11-11 10:06:13,138.34,96%,"Often, we assume that a familiar situation will be but a rep...",Win (1 of 2)
436.,2013-11-11 10:03:10,147.78,100%,I suddenly had the impression that I had been left all alone...,Win (1 of 3)
435.,2013-11-11 09:59:36,141.79,99%,I said that I would see you because I had heard that you wer...,Win (1 of 3)
434.,2013-11-11 09:56:02,143.43,99%,Being able to quit things that don't work is integral to bei...,Win (1 of 2)
433.,2013-11-11 09:54:28,128.91,94%,"Samatha is a state in which the mind is brought to rest, foc...",Win (1 of 3)
432.,2013-11-11 09:51:50,139.38,96%,It was hard to toss things I had once thought were valuable ...,Win (1 of 3)
431.,2013-11-11 09:46:05,135.62,95%,Sometimes you concentrate more on racing the cars around you...,Win (1 of 4)
430.,2013-11-11 09:45:18,147.97,98%,Imagine for a moment if we once again knew these few unremar...,Win (1 of 2)
