334.,2017-08-15 13:49:58,98.56,98%,"Consider, for example, Walmart workers. They may label thems...",Win (1 of 2)
333.,2017-06-13 23:30:50,133.93,99%,"For the sake of all that we ourselves hold dear, is it unthi...",Win (1 of 2)
332.,2017-06-13 23:29:19,132.52,100%,"I am invisible, understand, simply because people refuse to ...",Win (1 of 2)
331.,2013-10-30 00:38:38,100.63,90%,Typing competitions provided another test of the Qwerty keyb...,No win (2 of 3)
330.,2013-10-30 00:37:41,113.71,96%,There are still some places where you can get all you can ea...,Win (1 of 4)
329.,2013-10-30 00:36:47,110.23,95%,"A little boy went out to play. When he opened his door, he s...",No win (3 of 4)
328.,2013-10-30 00:36:19,94.67,90%,"He started running, up and up, until he hurled himself into ...",No win (3 of 3)
327.,2013-10-30 00:35:27,106.26,95%,The recipe for turning fruit into wine goes something like t...,No win (2 of 2)
326.,2013-10-30 00:27:44,82.25,82%,To an outsider's ear it sounds absurdly wild and ridiculous ...,Win (1 of 2)
325.,2011-10-18 23:02:50,135.93,97%,"This planet has, or rather had, a problem, which was this: m...",Win (1 of 2)
324.,2011-10-14 14:53:09,124.72,99%,Supermarket aisles are the perfect place to practice your gl...,Win (1 of 3)
323.,2011-10-14 14:51:19,146.11,100%,I've been looking so long at these pictures of you that I al...,Win (1 of 3)
322.,2011-10-14 14:47:03,101.63,96%,"Often, we assume that a familiar situation will be but a rep...",No win (1 of 1)
321.,2011-09-14 00:54:20,152.75,100%,"Time is tricky. You have whole months, even years, when noth...",Win (1 of 2)
320.,2011-09-14 00:52:17,137.13,99%,Typing competitions provided another test of the Qwerty keyb...,Win (1 of 2)
319.,2011-09-14 00:50:43,102.92,96%,"King, eh? Very nice. And how'd you get that, eh? By exploiti...",Win (1 of 2)
318.,2011-09-14 00:49:16,115.71,91%,I sincerely believe that if women study male lessons on conc...,Win (1 of 2)
317.,2011-06-21 10:00:38,132.38,98%,Lucid but wholly false recollections can easily be induced b...,Win (1 of 3)
316.,2011-06-21 09:59:54,113.06,94%,I know that you weren't bored that day because there was a l...,Win (1 of 2)
315.,2011-06-21 09:59:07,122.01,95%,"After removal from the oven, the pizza is sliced and plated ...",Win (1 of 3)
314.,2011-06-21 09:58:27,118.87,96%,In order to become an elf I filled out ten pages' worth of f...,Win (1 of 2)
313.,2011-06-21 09:57:41,121.78,92%,"After removal from the oven, the pizza is sliced and plated ...",Win (1 of 2)
312.,2011-06-21 09:56:56,104.58,91%,"The day dawned bleak and chill, a moving wall of gray light ...",Win (1 of 2)
311.,2011-06-21 09:55:38,122.78,98%,"Good games stay within, but at the outer edge, of the player...",Win (1 of 2)
310.,2011-06-21 09:55:03,136.26,96%,"To evaluate an option from the other side's point of view, c...",Win (1 of 4)
309.,2011-06-21 09:53:58,117.85,91%,Chance and chance alone has a message for us. Everything tha...,Win (1 of 2)
308.,2011-06-21 09:52:41,123.77,95%,"Do you smell that? Napalm, son. Nothing else in the world sm...",Win (1 of 5)
307.,2011-06-21 09:51:53,125.71,97%,"I was shaking like a leaf, so without thinking I lit up a ci...",Win (1 of 3)
306.,2011-06-20 19:47:41,110.16,93%,He had spent enormous amounts of time at the great libraries...,No win (2 of 2)
305.,2011-06-20 19:46:52,99.97,87%,"It's a blue savanna song: somewhere cross the desert, someti...",No win (4 of 4)
304.,2011-06-20 19:42:53,108.59,95%,"In the late 1960s, a growing number of people became concern...",No win (2 of 2)
303.,2011-06-20 19:41:54,108.89,95%,Glancing through the 1977 Atlanta Yellow Pages reveals a cit...,No win (2 of 2)
302.,2011-06-20 19:38:38,164.24,100%,The place to improve the world is first in one's own heart a...,Win (1 of 3)
301.,2011-06-20 19:37:40,154.07,100%,"Contrary to the feminist cant, there are many things we can ...",Win (1 of 3)
300.,2011-06-20 19:36:55,155.10,99%,"No matter how bad things are, you can always make things wor...",Win (1 of 3)
299.,2011-06-20 19:36:13,125.12,94%,"O clear intelligence, force beyond all measure! Gentlemen, I...",Win (1 of 3)
298.,2011-06-20 19:35:14,140.85,98%,The example of painting can teach us not only how to manage ...,Win (1 of 3)
297.,2011-06-20 19:34:00,108.69,90%,Space is big. Really big. You just won't believe how vastly ...,Win (1 of 3)
296.,2011-06-20 19:33:15,121.60,93%,There are two places on Earth that serve as canaries in the ...,Win (1 of 3)
295.,2011-06-20 19:32:16,145.43,97%,There is something about yourself that you don't know. Somet...,Win (1 of 4)
294.,2011-06-20 19:31:06,139.09,98%,"With no map to navigate one's life, some of us have stood st...",Win (1 of 3)
293.,2011-06-20 19:29:47,127.42,98%,Sholes consulted with an educator who helped him analyze the...,Win (1 of 2)
292.,2011-06-20 19:25:19,135.64,98%,We were playing checkers. I used to kid her once in a while ...,Win (1 of 2)
291.,2011-06-20 19:19:13,148.35,98%,The odds are that you will generally meet the worst of them....,Win (1 of 3)
290.,2011-06-20 19:18:06,138.58,98%,We all know people who are very bright but who do not always...,Win (1 of 2)
289.,2011-06-19 05:48:27,118.36,96%,Imagine for a moment if we once again knew these few unremar...,Win (1 of 4)
288.,2011-06-19 05:47:28,106.81,95%,"As customers of all races, nationalities, and cultures visit...",Win (1 of 3)
287.,2011-06-19 05:45:54,108.77,95%,"Tis but thy name that is my enemy. Thou art thyself, though ...",Win (1 of 2)
286.,2011-06-19 05:44:53,134.11,99%,"My friend, I shall be pedagogic, and say you ought to start ...",Win (1 of 4)
285.,2011-06-19 05:44:12,125.10,96%,"Milt, with the excellent timing of a master comedy writer, w...",Win (1 of 4)
284.,2011-06-19 05:42:43,137.05,99%,"Many people limit themselves to leading boring, dull lives b...",Win (1 of 3)
283.,2011-06-19 05:40:59,144.60,100%,"Ticking away the moments that make up a dull day, you fritte...",Win (1 of 2)
282.,2011-06-19 05:39:54,131.83,100%,Jay made up for the lack of glamour in his assignment by hav...,Win (1 of 3)
281.,2011-06-19 05:38:08,108.36,98%,"Listen, strange women lyin' in ponds distributin' swords is ...",Win (1 of 2)
280.,2011-06-19 05:37:18,112.78,95%,I still see things that are not here. I just choose not to a...,Win (1 of 4)
279.,2011-06-19 05:36:37,137.07,98%,"I hope that whoever you are, you escape this place. I hope t...",Win (1 of 4)
278.,2011-06-19 05:35:26,104.26,91%,Data is by definition easy to copy. And the Internet makes c...,No win (2 of 5)
