272.,2017-12-29 21:27:23,101.73,98%,Many wines have more than 14 percent alcohol because the win...,No win (2 of 2)
271.,2017-12-29 21:26:09,105.01,97%,"And high above, depicted in a tower, sat Conquest, robed in ...",No win (2 of 2)
270.,2017-12-29 21:25:25,118.89,97%,You are the most important thing to me now. The most importa...,No win (2 of 2)
269.,2017-12-29 21:24:49,90.05,97%,"Space, the final frontier. These are the voyages of the Star...",No win (2 of 2)
268.,2017-12-29 21:23:50,119.49,98%,Many rivers to cross but I can't seem to find my way over. W...,Win (1 of 2)
267.,2017-08-30 20:13:29,112.96,98%,For a moment the last sunshine fell with romantic affection ...,Win (1 of 3)
266.,2017-08-30 20:12:00,102.42,97%,"However, let us leave aside the philosophical, social, and e...",Win (1 of 3)
265.,2017-08-30 20:10:09,137.92,100%,"In America, circus folk ride through town, while bands play ...",Win (1 of 3)
264.,2017-08-30 20:08:13,121.95,99%,"From the very beginning - from the first moment, I may almos...",Win (1 of 3)
263.,2017-08-30 20:04:42,111.66,97%,Well all I can say Gerry is that some marches are for things...,Win (1 of 2)
262.,2017-08-30 20:02:50,132.81,98%,"How can I just let you walk away, just let you leave without...",Win (1 of 2)
261.,2016-08-01 14:18:22,134.37,98%,Every time I think of you I feel shot right through with a b...,Win (1 of 2)
260.,2016-08-01 14:17:18,144.15,100%,"You have a class of young strong men and women, and they wan...",No win (2 of 2)
259.,2016-08-01 14:14:47,116.88,96%,"When I was your age, television was called books. And this i...",Win (1 of 3)
258.,2016-08-01 14:08:47,123.73,95%,There comes a point when you just love someone. Not because ...,Win (1 of 4)
257.,2016-08-01 14:03:44,120.27,96%,Once you get into the processed foods you have to be a fairl...,Win (1 of 2)
256.,2016-07-20 15:30:27,135.07,97%,"After others have talked about themselves, a point will be r...",Win (1 of 4)
255.,2016-07-20 15:28:34,138.36,98%,"If you really want to hear about it, the first thing you'll ...",Win (1 of 5)
254.,2016-07-18 17:59:21,116.40,95%,Groups of illegal miners smuggle themselves down in freight ...,Win (1 of 3)
253.,2016-07-18 17:57:01,119.76,96%,"Dear Mr. Vernon, We accept the fact that we had to sacrifice...",Win (1 of 2)
252.,2016-07-18 17:36:35,120.76,97%,"O clear intelligence, force beyond all measure! Gentlemen, I...",Win (1 of 5)
251.,2015-05-14 20:14:18,125.62,98%,We began to recognize in them a strange obsession. After all...,Win (1 of 2)
250.,2015-05-14 20:11:59,111.18,95%,"When we pulled out into the winter night and the real snow, ...",Win (1 of 2)
249.,2015-05-14 20:10:18,116.31,97%,"To some, the rules of etiquette may seem outdated, stuffy an...",Win (1 of 2)
248.,2015-05-14 18:53:52,129.59,98%,"If we all go for the blonde and block each other, not a sing...",Win (1 of 2)
247.,2015-05-07 17:46:26,108.49,95%,"Good games stay within, but at the outer edge, of the player...",Win (1 of 2)
246.,2014-08-27 21:22:42,102.68,95%,A few light taps upon the pane made him turn to the window. ...,Win (1 of 3)
245.,2014-08-27 21:21:53,101.57,97%,"I'm so glad you came, I'm so glad you remembered, to see how...",No win (2 of 5)
244.,2014-08-27 21:21:18,96.95,93%,"Around midafternoon, the snow thinned into sleet, and some u...",No win (4 of 5)
243.,2014-07-27 23:00:40,116.13,96%,I've flown seven million miles. And I've been waiting on peo...,No win (2 of 3)
242.,2014-07-27 22:59:06,97.68,95%,"So, I'm tending bar there at Ecklund & Swedlin's last Tu...",Win (1 of 3)
241.,2014-07-27 22:57:48,105.64,93%,The Inca believed that if one did not give thanks and obedie...,No win (2 of 2)
240.,2014-07-27 22:56:49,109.49,94%,"Combat for a naval aviator is fought in short, violent burst...",No win (2 of 3)
239.,2014-07-27 22:55:34,97.71,93%,"She was a genius of sadness, immersing herself in it, separa...",No win (2 of 3)
238.,2014-07-27 22:54:11,110.51,93%,Many rivers to cross but I can't seem to find my way over. W...,No win (2 of 3)
237.,2014-07-27 22:53:06,115.21,94%,"I don't want tickets, I need you to find me a painting, a cl...",No win (2 of 3)
236.,2014-07-27 22:51:59,94.73,92%,In 1873 the Sholes & Glidden Type Writer became the firs...,No win (2 of 3)
235.,2014-07-27 22:50:23,97.91,95%,The evidence in the standard history of Qwerty versus Dvorak...,No win (2 of 3)
234.,2014-07-27 22:48:57,98.90,90%,"Kid, I've flown from one side of this galaxy to the other, a...",No win (2 of 3)
233.,2014-07-27 22:47:38,120.77,94%,If you're working out in front of a mirror and watching your...,No win (2 of 3)
232.,2013-03-07 15:24:15,83.82,90%,"Webster defines intelligence as, ""the ability to apprehend i...",No win (2 of 3)
231.,2013-03-07 15:16:04,111.86,96%,And I will strike down upon thee with great vengeance and fu...,Win (1 of 5)
230.,2013-03-07 15:14:01,102.22,88%,"However we choose to feed ourselves, we eat by the grace of ...",No win (4 of 6)
229.,2013-03-07 15:11:33,100.25,93%,From compositional considerations the tomato layer would be ...,No win (3 of 6)
228.,2013-03-07 15:09:01,98.00,91%,Always do your best - your best is going to change from mome...,No win (2 of 7)
227.,2013-03-07 15:07:09,98.35,91%,Remembering you running soft through the night. You were big...,No win (4 of 7)
226.,2013-03-07 15:05:31,121.59,97%,"That fear had been inside him for many years, it had lived w...",Win (1 of 6)
225.,2013-03-07 15:02:36,113.43,96%,"But, pray how could that which I spoke so many years ago, an...",No win (2 of 7)
224.,2012-01-31 20:49:53,116.09,98%,The streets were cleared by a Critical Mass bike ride and we...,Win (1 of 3)
223.,2012-01-31 20:48:51,78.93,88%,The pickpockets' profession demands extraordinary nimbleness...,Win (1 of 2)
222.,2012-01-31 20:47:34,117.73,96%,Every time I think of you I feel shot right through with a b...,Win (1 of 3)
221.,2012-01-31 20:46:24,113.01,97%,"It's a blue savanna song: somewhere cross the desert, someti...",Win (1 of 4)
220.,2012-01-31 20:44:57,112.43,97%,"Padre, these are subtleties! We are not concerned with motiv...",Win (1 of 4)
219.,2012-01-31 20:43:39,96.42,95%,So I'm two inches away from her. Her luscious lips part. Jus...,No win (2 of 3)
218.,2012-01-31 20:42:08,118.40,96%,"I often see racers, particularly at the back of the pack in ...",Win (1 of 3)
217.,2012-01-31 20:40:34,121.86,96%,There is a theory which states that if anybody ever discover...,Win (1 of 2)
216.,2012-01-31 20:39:26,97.69,90%,"Whether you're a student, secretary, office administrator, m...",Win (1 of 3)
215.,2012-01-31 20:38:04,115.64,96%,"Look and think as far ahead as possible. Often, a driver's n...",Win (1 of 4)
214.,2012-01-31 20:36:37,101.88,93%,The Inca believed that if one did not give thanks and obedie...,Win (1 of 3)
213.,2012-01-31 20:34:36,114.75,96%,"There are perhaps twenty regular posters on the forum, and s...",Win (1 of 3)
212.,2012-01-31 20:33:09,137.84,98%,I've seen things you people wouldn't believe. Attack ships o...,Win (1 of 3)
211.,2012-01-31 20:31:17,94.47,93%,"Finally, gentlemen, there are people with an hereditary anim...",Win (1 of 2)
210.,2012-01-31 20:29:39,124.41,98%,If there is one thing the history of evolution has taught us...,Win (1 of 2)
209.,2012-01-31 20:26:55,126.85,95%,There is something about yourself that you don't know. Somet...,Win (1 of 2)
208.,2012-01-31 20:25:59,110.14,97%,A total of twenty-five friends were headed from San Francisc...,Win (1 of 5)
207.,2012-01-31 01:13:52,115.83,97%,The chemistry of an element is determined by the manner in w...,Win (1 of 2)
206.,2012-01-31 01:13:16,79.76,89%,"O clear intelligence, force beyond all measure! Gentlemen, I...",No win (3 of 3)
205.,2012-01-31 01:12:30,112.66,97%,I know that you weren't bored that day because there was a l...,Win (1 of 2)
204.,2012-01-31 01:11:28,98.36,95%,"Excellent. He's enterprising, aggressive, outgoing, young, b...",Win (1 of 5)
203.,2012-01-31 01:10:46,107.28,94%,"That's Tommy. He tells people he was named after a gun, but ...",Win (1 of 5)
202.,2012-01-31 01:10:15,95.66,93%,"My dog barks some. Mentally you picture my dog, but I have n...",No win (2 of 4)
201.,2012-01-31 01:09:04,118.20,97%,The only message I got was from the company that holds my st...,Win (1 of 3)
200.,2012-01-31 01:08:06,110.38,95%,"The brain can be a tool. It can recall phone numbers, solve ...",No win (2 of 5)
199.,2012-01-31 01:07:04,107.60,95%,What should have been swift revenge turned into an all out w...,No win (2 of 5)
198.,2012-01-31 01:06:06,112.55,97%,Who has a safety deposit box full of money and six passports...,Win (1 of 2)
197.,2012-01-31 01:05:15,99.99,95%,"Whether you're a student, secretary, office administrator, m...",No win (2 of 5)
196.,2012-01-31 01:04:05,115.40,95%,Since every piece of matter in the Universe is in some way a...,Win (1 of 4)
195.,2012-01-31 01:03:21,102.55,95%,The beginner writes just twenty pieces. The professional wri...,No win (2 of 4)
194.,2012-01-31 01:02:30,110.81,97%,"In the casino, the cardinal rule is to keep them playing and...",No win (2 of 3)
193.,2011-01-18 16:15:29,104.61,100%,"Hey Mr. Tambourine Man, play a song for me, I'm not sleepy a...",Win (1 of 2)
190.,2010-09-24 17:33:39,110.62,100%,Groups of illegal miners smuggle themselves down in freight ...,Win (1 of 2)
189.,2010-09-24 17:31:54,131.95,100%,"No matter how bad things are, you can always make things wor...",Win (1 of 2)
188.,2010-09-24 17:27:27,115.93,100%,"One day you're in a funk about things, telling a friend that...",Win (1 of 2)
187.,2010-08-14 17:40:40,128.60,100%,I have quit three jobs and been fired from all the rest. Get...,Win (1 of 2)
186.,2010-08-14 17:39:41,66.46,100%,"And though my journeys did take me to a great many states, a...",No win (3 of 3)
185.,2010-08-14 17:37:56,109.23,100%,"It may seem quite novelistic to you, and I am willing to agr...",Win (1 of 3)
184.,2010-08-14 17:36:38,100.59,100%,But if in efficient causes it is possible to go on to infini...,Win (1 of 3)
183.,2010-08-14 17:34:29,87.58,100%,"Alfred Hitchcock once said, ""Drama is life with the dull bit...",Win (1 of 3)
182.,2010-08-14 17:29:58,107.38,100%,Space is big. Really big. You just won't believe how vastly ...,No win (1 of 1)
181.,2010-08-13 18:44:13,111.52,100%,Quality humor doesn't just deliver one gag and then tax the ...,Win (1 of 2)
180.,2010-08-13 18:37:08,102.10,100%,"On a manual typewriter, strike the key with a nice sharp str...",No win (2 of 3)
179.,2010-08-13 18:35:56,106.29,100%,"They knew they were privileged to have these choices, but th...",Win (1 of 3)
178.,2010-08-13 18:34:35,114.11,100%,The basic concept is simple: a satellite in geosynchronous o...,Win (1 of 3)
177.,2010-08-13 18:33:21,109.99,100%,Being able to quit things that don't work is integral to bei...,Win (1 of 3)
176.,2010-08-13 18:31:56,103.04,100%,"Every craft and every investigation, and likewise every acti...",Win (1 of 3)
175.,2010-08-13 18:28:56,72.77,100%,"Milt, with the excellent timing of a master comedy writer, w...",No win (2 of 4)
174.,2010-08-13 18:27:12,100.57,100%,"Whether you're a student, secretary, office administrator, m...",Win (1 of 4)
173.,2010-08-13 18:25:04,101.72,100%,He rode past me and kept on goin'. Never said nothin' goin' ...,Win (1 of 3)
172.,2010-08-13 18:23:16,125.73,100%,All that year the animals worked like slaves. But they were ...,Win (1 of 5)
171.,2010-08-13 18:21:48,106.73,100%,The truth of the matter is that there are a lot of available...,No win (2 of 5)
170.,2010-08-13 18:20:47,111.64,100%,"Throughout my academic career, I'd given some pretty good ta...",Win (1 of 5)
169.,2010-08-13 18:19:54,115.97,100%,Remembering you running soft through the night. You were big...,Win (1 of 5)
168.,2010-08-13 18:19:05,74.46,100%,"A zealot might be, for instance, an individual with a person...",No win (5 of 5)
167.,2010-08-13 18:17:33,119.46,100%,"There are men who possess a peculiarly strong visual memory,...",Win (1 of 5)
166.,2010-08-13 18:16:19,109.15,100%,"To evaluate an option from the other side's point of view, c...",Win (1 of 4)
165.,2010-08-13 18:15:17,99.44,100%,The only message I got was from the company that holds my st...,Win (1 of 5)
164.,2010-08-13 18:13:45,118.55,100%,"If I leave here tomorrow, would you still remember me? For I...",Win (1 of 5)
163.,2010-08-13 18:12:47,92.81,100%,Unlike the other four senses located in the logical regions ...,No win (3 of 4)
162.,2010-08-13 18:11:24,96.00,100%,"I know that the idea of raising well-rounded, smarter kids c...",No win (2 of 4)
161.,2010-08-13 18:09:26,108.61,100%,"Anyway, like I was saying, shrimp is the fruit of the sea. Y...",Win (1 of 3)
160.,2010-08-13 18:02:49,102.53,100%,The wine list looks so imposing that you finally give up lab...,Win (1 of 3)
159.,2010-08-12 18:58:17,104.12,100%,"Anyway, like I was saying, shrimp is the fruit of the sea. Y...",Win (1 of 3)
158.,2010-08-12 18:57:04,94.28,100%,"Let me get this straight. You think that your client, one of...",Win (1 of 4)
157.,2010-08-12 18:54:53,103.33,100%,"According to the popular story, the keyboard invented by Aug...",Win (1 of 4)
156.,2010-08-12 18:53:14,105.69,100%,Once you get into the processed foods you have to be a fairl...,No win (2 of 6)
155.,2010-08-12 18:51:52,95.71,100%,But speculations on the structure of the universe also move ...,Win (1 of 5)
154.,2010-08-12 18:50:22,110.88,100%,"To evaluate an option from the other side's point of view, c...",Win (1 of 5)
153.,2010-08-12 18:48:58,97.38,100%,Who is Keyser Soze? He is supposed to be Turkish. Some say h...,Win (1 of 5)
152.,2010-08-12 18:47:33,115.10,100%,Rhymes trap you into saying things you don't want to say. A ...,Win (1 of 4)
151.,2010-08-12 18:46:14,130.78,100%,"But no matter how effective the lesson was, I never really u...",Win (1 of 3)
150.,2010-08-12 18:45:13,118.48,100%,"I had a job, I had a girl. I had something going, mister, in...",Win (1 of 3)
149.,2010-08-12 18:44:01,101.92,100%,It's the possibility of having a dream come true that makes ...,Win (1 of 3)
148.,2010-08-10 21:24:26,98.89,100%,Corn is what feeds the steer that becomes the steak. Corn fe...,Win (1 of 3)
147.,2010-08-10 21:22:47,108.16,100%,The basis of the Aztecs' success in creating a great state a...,Win (1 of 3)
146.,2010-08-10 21:21:31,111.93,100%,I had the impression of being abandoned by everyone when the...,Win (1 of 3)
145.,2010-08-10 21:19:59,104.99,100%,"I rejected those answers; instead, I chose something differe...",Win (1 of 3)
144.,2010-08-10 21:16:07,116.97,100%,It was one of those days when it's a minute away from snowin...,Win (1 of 3)
143.,2010-08-10 21:14:53,102.48,100%,"However, let us leave aside the philosophical, social, and e...",Win (1 of 3)
142.,2010-08-10 21:13:18,108.88,100%,"After removal from the oven, the pizza is sliced and plated ...",Win (1 of 3)
141.,2010-08-10 21:12:11,96.39,100%,"Imagine this: Here we are, a plane full of grown human being...",Win (1 of 3)
140.,2010-08-10 21:10:53,118.23,100%,Imagine for a moment if we once again knew these few unremar...,Win (1 of 3)
139.,2010-08-10 21:09:20,119.47,100%,"I don't want tickets, I need you to find me a painting, a cl...",Win (1 of 3)
138.,2010-08-10 21:07:36,116.60,100%,The ultimate way to compose is to be able to keyboard as fas...,Win (1 of 3)
137.,2010-08-10 21:06:27,71.34,100%,"Trudging slowly over wet sand, back to the bench where your ...",Win (1 of 2)
136.,2010-08-10 21:05:15,122.66,100%,"We turn away to face the cold, enduring chill, as the day be...",Win (1 of 2)
135.,2010-04-09 15:42:27,116.12,100%,"A computer needs a manager to administer its operations, jus...",No win (2 of 4)
134.,2010-04-09 15:41:20,86.43,100%,"What good's a reward if you ain't around to use it? Besides,...",Win (1 of 4)
