163.,2017-10-27 15:47:15,130.33,99%,"I never sleep, I don't know why. I had a roommate and I drov...",Win (1 of 3)
162.,2017-10-27 12:02:39,137.68,99%,"That's too bad, I said lunch meet. You want a drink? Lose th...",Win (1 of 5)
161.,2017-10-27 12:01:14,136.95,100%,The arts are not a way to make a living. They are a very hum...,Win (1 of 2)
160.,2017-10-27 12:00:17,130.37,99%,We all carry around so much pain in our hearts. Love and pai...,Win (1 of 2)
159.,2017-10-27 11:59:10,132.90,99%,Supermarket aisles are the perfect place to practice your gl...,Win (1 of 5)
158.,2017-08-16 02:01:38,80.30,96%,"We've had vicious kings and we've had idiot kings, but I don...",Win (1 of 2)
157.,2017-08-16 02:00:34,116.09,99%,I can teach you how to bewitch the mind and ensnare the sens...,Win (1 of 2)
156.,2017-08-16 01:57:20,107.06,98%,"I know I'm supposed to help you, but I can't. Instead of bei...",Win (1 of 2)
155.,2017-08-16 01:56:09,120.00,99%,"How many winners were losers, successes failures, rich men p...",Win (1 of 2)
154.,2017-08-16 01:53:28,124.44,99%,Focus your attention on the Now and tell me what problem you...,Win (1 of 3)
153.,2017-08-16 01:52:01,90.70,97%,We go waiting for the stars to come showering down. From Mos...,Win (1 of 2)
152.,2017-08-15 03:01:15,137.41,100%,Sure. Support a man you never met over a partner who knows y...,Win (1 of 2)
151.,2017-08-15 03:00:17,111.24,98%,I sincerely believe that if women study male lessons on conc...,Win (1 of 3)
150.,2017-08-15 02:58:41,151.03,100%,"Take care where you're going, doing all the things you do. E...",Win (1 of 2)
149.,2017-08-15 02:57:36,147.96,100%,"Everybody knows in their bones that something is eternal, an...",Win (1 of 3)
148.,2017-08-15 02:56:56,129.28,99%,A real artist must never be afraid of what other people are ...,Win (1 of 3)
147.,2017-08-15 02:56:20,116.29,99%,A real artist must never be afraid of what other people are ...,Win (1 of 3)
146.,2017-08-15 02:55:30,94.86,99%,Stupid human propaganda! The very concept of a superior alie...,Win (1 of 3)
145.,2017-08-15 02:54:35,89.57,99%,The hallway is luxurious and tasteful. Tapestries and painti...,No win (2 of 3)
144.,2017-08-15 02:53:35,100.34,99%,"When we pulled out into the winter night and the real snow, ...",Win (1 of 2)
143.,2016-06-13 05:32:19,135.19,99%,"But, pray how could that which I spoke so many years ago, an...",Win (1 of 4)
142.,2016-06-13 05:31:43,118.92,96%,Convection also plays a minor role because of the relative t...,No win (2 of 3)
141.,2016-06-13 05:30:47,116.40,94%,"In 1966, Andy Dufresne escaped from Shawshank prison. All th...",Win (1 of 2)
140.,2016-04-04 04:52:59,119.07,92%,"When I was your age, television was called books. And this i...",Win (1 of 3)
