400.,2017-09-21 17:17:25,102.10,98%,I didn't wanna spend my twenties as a professional defendant...,Win (1 of 5)
399.,2017-09-21 17:15:10,98.49,98%,Today is the shadow of tomorrow. Today is the present future...,No win (2 of 5)
398.,2017-09-21 17:14:17,95.59,98%,For we are not as faithful to the being we have most loved a...,No win (3 of 5)
397.,2017-07-15 01:16:54,95.93,97%,"Duty bound, Aeneas, though he struggled with desire to calm ...",Win (1 of 2)
396.,2017-07-15 01:15:13,106.47,98%,"Somewhere over the rainbow way up high, there's a land that ...",Win (1 of 3)
395.,2017-07-15 01:13:19,96.86,96%,Underneath the bridge the tarp has sprung a leak and the ani...,Win (1 of 3)
394.,2017-07-15 01:12:06,103.13,97%,I believe like a child that suffering will be healed and mad...,Win (1 of 3)
393.,2017-07-15 01:10:16,104.81,98%,Today is gonna be the day that they're gonna throw it back t...,No win (2 of 3)
392.,2017-07-15 01:09:18,90.09,98%,"There is more to color than a swatch in a book, or a pull do...",Win (1 of 2)
391.,2017-07-15 01:08:09,75.70,96%,"If only you'd attached my legs, I wouldn't be in this ridicu...",No win (2 of 3)
390.,2017-07-15 01:05:30,114.69,98%,"They knew they were privileged to have these choices, but th...",Win (1 of 2)
389.,2017-07-15 01:04:04,109.47,99%,Tatum used a special device to elongate his descending penta...,Win (1 of 2)
388.,2017-07-15 01:00:47,107.21,98%,I called Betsy again at her office and she said maybe we'd g...,Win (1 of 2)
387.,2017-07-15 00:59:06,79.87,99%,Aztec rule was based upon a system of tribute and fear over ...,No win (2 of 2)
386.,2017-07-15 00:56:51,99.08,97%,"Paul Gauguin asked, ""Whence do we come? What are we? Where a...",Win (1 of 2)
385.,2017-07-15 00:53:27,101.56,98%,The wonders of life and the universe are mere reflections of...,Win (1 of 2)
384.,2017-07-15 00:52:33,96.09,97%,Once you get into the processed foods you have to be a fairl...,Win (1 of 2)
383.,2017-04-06 18:42:56,102.20,94%,"The goal of the true seeker is to become a sage, or superior...",Win (1 of 2)
382.,2017-04-06 18:41:13,112.53,94%,We have a criminal jury system which is superior to any in t...,Win (1 of 2)
381.,2017-04-06 18:39:16,92.70,92%,No one could figure out how I coaxed such hearty flavor out ...,Win (1 of 2)
380.,2017-04-06 18:36:13,107.28,94%,I had considered how the things that never happen are often ...,No win (3 of 5)
379.,2016-12-19 01:34:40,103.23,95%,Although the United Nations does not have the power to enfor...,No win (2 of 3)
378.,2016-12-19 01:33:21,105.09,93%,"Well, the way they make shows is, they make one show. That s...",Win (1 of 3)
377.,2016-12-19 01:32:09,116.92,98%,The man who pulls the lever that breaks your neck will be a ...,No win (2 of 3)
376.,2016-12-19 01:31:04,107.95,95%,"Everyone laughed and looked around, surprised to discover th...",No win (2 of 3)
375.,2016-12-19 01:29:43,112.98,95%,"I've never tried to keep a specific person alive before, and...",Win (1 of 3)
374.,2016-12-19 01:28:47,93.60,94%,I had a friend who was a heavy drinker. If somebody asked hi...,Win (1 of 2)
373.,2016-12-19 01:27:43,90.46,92%,They say in chess you've got to kill the queen and then you ...,No win (3 of 3)
372.,2016-12-19 01:26:39,109.07,95%,"It was a marvelous night, the sort of night one only experie...",No win (2 of 3)
371.,2016-12-19 01:25:34,96.82,96%,"It was an effect of light: quick sunlight dappling, yellow l...",No win (2 of 3)
370.,2016-12-19 01:24:12,108.57,98%,I was looking for myself and asking everyone except myself q...,No win (2 of 3)
369.,2016-12-19 01:23:05,103.85,96%,We may climb into the thin and cold realm of pure geometry a...,No win (2 of 3)
368.,2016-12-19 01:21:57,109.55,97%,One just can't imagine what prison is like from outside. You...,No win (2 of 2)
